,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,26687018447.28,16706503147.39,7900658585.36,34452379533.63,25017223835.74,16102730679.90,7018050690.11,32928245496.39,25305252617.56,15951341221.58,8029892644.21,38928034324.23,20457724860.59,13337339626.67,5595164780.54,37063538450.52,30911970054.96,17736845590.13,7991490155.62,33551156427.26,22203416351.75,15929341586.95,7917799960.97,30491124501.49,22869735141.05,15329071169.63,7583348227.89,36051804515.42,27036948363.41,16248147538.65,6438710318.35,33143686564.82,21925251696.64,12706087738.33,3827758058.56,21647386402.33,16581717653.89,11428553870.25,4952221755.41,18712095382.15,11908402076.27,6918656983.82,3187400775.68,14502898678.34,11971203460.15,8715266527.20,4656810626.01,11249567218.18,6847638607.12,2871110990.94,1495077823.24,5409776751.63,3762593613.75,2448104762.89,1306070406.21,4449722455.14,3224774013.99,2200945980.89,894141393.58,3462352383.63,2398850483.69,1406757929.01,578189851.60,2184241123.61,1520372072.51,909502328.42,382274323.43,878150403.24,508362028.69,323247968.39,584437729.81,587831069.46,0.0
2,营业收入,26687018447.28,16706503147.39,7900658585.36,34452379533.63,25017223835.74,16102730679.90,7018050690.11,32928245496.39,25305252617.56,15951341221.58,8029892644.21,38928034324.23,20457724860.59,13337339626.67,5595164780.54,37063538450.52,30911970054.96,17736845590.13,7991490155.62,33551156427.26,22203416351.75,15929341586.95,7917799960.97,30491124501.49,22869735141.05,15329071169.63,7583348227.89,36051804515.42,27036948363.41,16248147538.65,6438710318.35,33143686564.82,21925251696.64,12706087738.33,3827758058.56,21647386402.33,16581717653.89,11428553870.25,4952221755.41,18712095382.15,11908402076.27,6918656983.82,3187400775.68,14502898678.34,11971203460.15,8715266527.20,4656810626.01,11208943068.89,6847638607.12,2871110990.94,1495077823.24,5384658554.61,3757650869.56,2443791716.79,1305143404.52,4446058933.94,3221422814.86,2198569447.18,892712263.16,3461373182.01,2398192429.84,1406430666.01,577900739.03,2184274158.44,1520378796.70,909652862.60,382147238.09,878100962.38,507934150.81,323034698.76,584499074.65,586867822.79,0.0
3,二、营业总成本,25758894097.79,16237401396.19,7709980718.47,33939602098.63,24656810632.00,15854759052.30,6897541401.28,32256193517.17,24586165881.87,15438816931.49,7812321456.35,38327705195.31,19791847386.65,12997280864.57,5483121144.19,36862786180.76,30667750007.10,17562178860.37,7908107798.51,33125556768.66,21382174479.87,15368509840.04,7674686360.87,29609221798.34,21567291983.52,14248560688.42,6929444629.24,33246364623.67,24905527370.07,14800318061.16,5730826275.79,30079192915.70,19494078648.61,11317775463.79,3279131344.61,19682040778.53,15025956875.99,10476756581.60,4593483711.55,17686064452.34,11399653489.80,6602181989.91,3090745153.65,13647085509.07,11161517289.32,8134200334.52,4353418511.74,10651545506.99,6180389758.44,2583741085.95,1362946873.38,4972406583.01,3405761885.37,2205591302.07,1219164162.08,4232064413.28,3069410950.41,2106003315.97,854055960.85,3403934444.48,2366643480.16,1384525557.96,568158734.60,2129570306.38,1482398260.65,880776880.05,367234700.77,843732728.35,500745365.09,318508537.80,569882515.91,575854752.72,0.0
4,营业成本,23752765548.26,14934464194.59,7061051340.27,30868339361.91,22609161567.49,14498527699.74,6238699801.82,29166646558.29,22660910238.84,14123660243.68,7145133602.70,35613658730.36,17933998064.21,11755753550.06,4871803314.15,34522126213.76,29152318658.84,16557716962.66,7431910369.26,30650057616.31,19984491684.64,14474722676.46,7287813710.83,27561330054.44,20256086820.09,13397008499.88,6521374914.76,31315947351.77,23569733609.68,13951702659.65,5358624824.97,28375643419.11,18432514802.03,10707966756.55,3000376997.07,18421880376.65,14218993948.05,9956943485.18,4352379574.32,16689950675.28,10808000297.69,6252516796.36,2928070546.54,12838999859.28,10570106291.84,7782759316.77,4189118891.71,10309463137.15,0,2420866157.41,1279256755.15,4661951060.61,3177537433.06,2051834566.76,1148914645.06,3950294527.00,2886829276.51,1992148707.95,802280062.71,3284493685.45,2298502258.82,1342789050.74,547664417.54,2033419590.87,1413033530.69,835045132.39,344328131.78,754597285.66,434755726.17,273243205.27,489652879.06,484880900.02,0.0
5,营业税金及附加,218241999.02,137123105.78,58220550.26,302835904.61,212981267.13,145115530.64,68968968.21,289294947.35,200316025.04,130385983.67,61752831.86,237609453.54,109462639.32,55627680.33,26064503.25,101961072.52,74117898.54,48954203.30,21950789.68,105585199.38,74506917.61,48040307.83,21148213.42,77404216.92,54259654.65,36769885.70,16500177.53,71257760.86,50985004.05,32171060.03,14966947.69,65960489.61,51931003.02,31247332.54,12604602.54,45442446.87,34353617.44,19356957.60,8828563.87,30877336.33,18778723.03,10501258.70,4452202.84,33717461.01,23626636.59,15663804.27,6164153.54,17045064.39,12209447.21,8469014.36,4337066.90,11006976.59,8115722.09,5444026.34,1874723.94,7441305.66,5212775.12,3391526.18,1458580.64,2254602.07,1486280.38,1079357.39,532703.76,1626383.33,1211424.59,850338.64,432120.55,1557074.70,1087944.66,808140.59,1563506.18,1684699.64,0.0
6,销售费用,147159213.41,93595960.78,43257313.61,139330372.03,89262785.25,57208362.24,19115059.57,90553773.82,84290102.28,68702838.57,41228122.73,85896657.17,57446825.22,36933073.13,21379792.99,58458609.20,43301731.01,28243497.59,12667115.05,56141047.00,40156511.33,25542866.54,13759075.43,56409999.68,38251169.39,26894740.01,14027830.93,62396821.87,41999226.62,25252332.07,11226526.31,56493747.12,38697166.23,24831187.49,11622725.49,49248229.92,35297938.09,23734849.59,9156974.60,62736493.80,49426885.41,34006891.13,15877260.85,47602717.48,32600906.77,23236980.00,10538839.10,34935337.45,24047279.38,12073534.60,6237874.18,28780614.04,18996373.76,11329123.90,5714712.31,20814545.25,14056857.93,9434800.49,4051721.70,8912092.70,6206395.03,3655362.85,1460280.51,7369959.37,4937324.65,3201521.94,1751444.13,4072948.25,2313583.71,1494154.19,2164213.79,1678427.48,0.0
7,管理费用,1079943813.92,711593019.94,376328366.61,1637802288.57,1139970737.39,857375005.30,391454028.90,1754621136.73,1224967617.70,784580466.05,380753125.08,1631030923.62,1195303160.45,806266548.86,391946957.31,1682716622.87,1127510877.09,743595390.89,346887749.74,1585995047.14,1095036833.45,712808109.01,327294391.91,1555997438.41,1110046779.65,713370349.65,340876949.88,1517172988.27,1068127388.51,681520591.72,312153426.16,1329890255.10,820741288.35,462425444.47,212645651.04,959292793.87,623505318.23,399509677.46,182200629.78,777284780.12,475458991.86,274330786.55,133971911.62,647627664.61,437875635.80,276776906.21,133405820.42,272546185.82,192640948.27,129370279.45,64387256.16,254108647.47,188700867.85,129018039.15,58913226.65,235671210.76,150504415.68,92039433.95,42170812.62,103229284.51,58729616.42,35958780.23,17990947.81,79157887.84,55368544.85,36205086.06,17911222.15,72189184.69,54415109.63,37317535.34,64353823.12,75825743.63,0.0
8,财务费用,387556350.23,264998286.63,127611064.55,710394694.20,482589467.12,316236457.48,179220400.17,629530801.83,428175935.58,301259073.62,158784965.20,692243853.58,487398546.52,339322111.26,171826576.49,386800230.05,277229119.96,193397084.27,97106853.40,272720859.33,187631684.78,107028649.34,46877305.07,170895308.27,109568394.12,75062888.54,39056170.52,214716544.71,172049749.23,108297930.15,45103407.98,224289497.52,145783440.35,90503786.92,41944434.47,179522319.00,115625913.47,78773458.87,40189422.01,101963665.49,48771464.52,31399047.42,8868847.67,66681650.26,46268065.86,28695980.81,14193335.33,14465191.33,15192798.15,8378320.55,4060312.29,16559284.30,12411488.61,7965545.92,3746854.12,17842824.61,12807625.17,8988847.40,4094783.18,5044779.75,1718929.51,1043006.75,510384.98,7996484.97,7847435.87,5474801.02,2811782.16,11316235.05,8173000.92,5645502.41,12148093.76,11784981.95,0.0
