,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20050630,20041231,20040630,20031231,20030630,20021231,20011231,20001231,19991231,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2516810000000.00,1814402000000.00,1196259000000.00,591041000000.00,2353588000000.00,1709933000000.00,1108822000000.00,542654000000.00,2015890000000.00,1457704000000.00,975909000000.00,493559000000.00,1616903000000.00,1150437000000.00,739067000000.00,352830000000.00,1725428000000.00,1305105000000.00,877624000000.00,410336000000.00,2282962000000.00,1754548000000.00,1153968000000.00,528947000000.00,2258124000000.00,1682784000000.00,1101096000000.00,540263000000.00,2195296000000.00,1598269000000.00,1046661000000.00,525647000000.00,2003843000000.00,1482908000000.00,952247000000.00,445980000000.00,1465415000000.00,1048099000000.00,684797000000.00,318795000000.00,1019275000000.00,683019000000.00,415277000000.00,181582000000.00,1071146000000.00,853658000000.00,549522000000.00,259048000000.00,835037000000.00,598616000000.00,392726000000.00,182604000000.00,688978000000.00,552229000000.00,252489000000.00,388633000000.00,178404000000.00,303801990000.00,147960000000.00,244476530000.00,238943250000.00,242663450000.00,175969000000.00,147287000000.00,157381000000.00,143677000000.00,0.0
2,营业收入,2516810000000.00,1814402000000.00,1196259000000.00,591041000000.00,2353588000000.00,1709933000000.00,1108822000000.00,542654000000.00,2015890000000.00,1457704000000.00,975909000000.00,493559000000.00,1616903000000.00,1150437000000.00,739067000000.00,352830000000.00,1725428000000.00,1305105000000.00,877624000000.00,410336000000.00,2282962000000.00,1754548000000.00,1153968000000.00,528947000000.00,2258124000000.00,1682784000000.00,1101096000000.00,540263000000.00,2195296000000.00,1598269000000.00,1046661000000.00,525647000000.00,2003843000000.00,1482908000000.00,952247000000.00,445980000000.00,1465415000000.00,1048099000000.00,684797000000.00,318795000000.00,1019275000000.00,683019000000.00,415277000000.00,181582000000.00,1071146000000.00,853658000000.00,549522000000.00,259048000000.00,835037000000.00,598616000000.00,392726000000.00,182604000000.00,688978000000.00,552229000000.00,252489000000.00,388633000000.00,178404000000.00,303779310000.00,147960000000.00,244264400000.00,238893570000.00,241990880000.00,175969000000.00,147287000000.00,157381000000.00,143677000000.00,0.0
3,二、营业总成本,2408655000000.00,1741741000000.00,1140583000000.00,566786000000.00,2242260000000.00,1607527000000.00,1052718000000.00,519743000000.00,1971674000000.00,1418629000000.00,949558000000.00,478868000000.00,1596997000000.00,1147398000000.00,740532000000.00,362459000000.00,1695625000000.00,1261957000000.00,844050000000.00,403018000000.00,2141382000000.00,1631921000000.00,1067721000000.00,486226000000.00,2117182000000.00,1584992000000.00,1039126000000.00,494734000000.00,2038652000000.00,1480834000000.00,965659000000.00,475769000000.00,1831956000000.00,1344537000000.00,858457000000.00,394566000000.00,1279372000000.00,914778000000.00,598309000000.00,276020000000.00,875919000000.00,576887000000.00,352233000000.00,157199000000.00,926547000000.00,743036000000.00,483094000000.00,222180000000.00,647380000000.00,456177000000.00,289882000000.00,131974000000.00,497997000000.00,364646000000.00,166952000000.00,247903000000.00,114148000000.00,208382830000.00,92965000000.00,180684370000.00,180028370000.00,168024380000.00,149009000000.00,127626000000.00,125406000000.00,110538000000.00,0.0
4,营业成本,2002403000000.00,1446106000000.00,944943000000.00,469670000000.00,1824382000000.00,1326850000000.00,870788000000.00,430823000000.00,1584245000000.00,1153646000000.00,777147000000.00,391809000000.00,1235707000000.00,889907000000.00,566904000000.00,274088000000.00,1300419000000.00,984100000000.00,655690000000.00,311016000000.00,1735354000000.00,1331682000000.00,866314000000.00,386785000000.00,1701840000000.00,1279567000000.00,837762000000.00,392949000000.00,1634819000000.00,1183866000000.00,767155000000.00,377041000000.00,1425284000000.00,1039942000000.00,656752000000.00,300751000000.00,970209000000.00,690353000000.00,448217000000.00,206422000000.00,633100000000.00,409681000000.00,248922000000.00,110650000000.00,683677000000.00,552395000000.00,361287000000.00,168787000000.00,487112000000.00,347506000000.00,223140000000.00,99971000000.00,362590000000.00,276622000000.00,166952000000.00,179880000000.00,114148000000.00,154195980000.00,92965000000.00,130671700000.00,134676200000.00,121735200000.00,129069000000.00,111798000000.00,108749000000.00,96086000000.00,0.0
5,营业税金及附加,226905000000.00,169927000000.00,112419000000.00,55034000000.00,215881000000.00,160088000000.00,103545000000.00,49665000000.00,196095000000.00,145945000000.00,94633000000.00,47890000000.00,187846000000.00,136555000000.00,92084000000.00,46760000000.00,200255000000.00,151825000000.00,102961000000.00,50976000000.00,227774000000.00,172346000000.00,115354000000.00,56762000000.00,238663000000.00,176629000000.00,119935000000.00,62368000000.00,246078000000.00,182903000000.00,124319000000.00,63478000000.00,258027000000.00,194320000000.00,129370000000.00,60046000000.00,177666000000.00,128997000000.00,86064000000.00,40967000000.00,129756000000.00,90953000000.00,54393000000.00,23797000000.00,116460000000.00,98083000000.00,61891000000.00,28878000000.00,68678000000.00,45680000000.00,26853000000.00,11611000000.00,51692000000.00,19768000000.00,0,16370000000.00,0,13856620000.00,0,12999230000.00,12499100000.00,11853070000.00,0,0,0,0,0.0
6,销售费用,74108000000.00,51087000000.00,32901000000.00,16326000000.00,68882000000.00,47880000000.00,30962000000.00,15323000000.00,66067000000.00,46660000000.00,30138000000.00,14583000000.00,63976000000.00,45644000000.00,29899000000.00,14740000000.00,62961000000.00,46268000000.00,30455000000.00,15141000000.00,63207000000.00,45174000000.00,29694000000.00,14495000000.00,60036000000.00,42983000000.00,27593000000.00,13666000000.00,55032000000.00,41110000000.00,26324000000.00,13144000000.00,52946000000.00,37900000000.00,24476000000.00,11846000000.00,57655000000.00,40663000000.00,26471000000.00,12422000000.00,48210000000.00,33181000000.00,20972000000.00,10119000000.00,46189000000.00,33322000000.00,21576000000.00,10497000000.00,41345000000.00,29675000000.00,19075000000.00,9069000000.00,35050000000.00,28381000000.00,0,20171000000.00,0,16599970000.00,0,14973290000.00,12012590000.00,7980810000.00,7344000000.00,5990000000.00,6830000000.00,4725000000.00,0.0
7,管理费用,61757000000.00,44045000000.00,28605000000.00,14667000000.00,67714000000.00,49321000000.00,31623000000.00,17858000000.00,77565000000.00,54829000000.00,36047000000.00,18649000000.00,75958000000.00,58534000000.00,40376000000.00,20420000000.00,79659000000.00,60517000000.00,42391000000.00,20098000000.00,84595000000.00,63035000000.00,42265000000.00,20030000000.00,90564000000.00,66067000000.00,42656000000.00,19466000000.00,83936000000.00,59624000000.00,38354000000.00,18525000000.00,77124000000.00,55853000000.00,38459000000.00,19732000000.00,63417000000.00,47326000000.00,31496000000.00,14296000000.00,57213000000.00,36746000000.00,24752000000.00,10741000000.00,53211000000.00,44319000000.00,29562000000.00,13157000000.00,49324000000.00,33051000000.00,21475000000.00,10571000000.00,44429000000.00,36284000000.00,0,24895000000.00,0,21809700000.00,0,18639580000.00,17696750000.00,20802680000.00,12596000000.00,9838000000.00,9827000000.00,9727000000.00,0.0
8,财务费用,27816000000.00,20035000000.00,14028000000.00,7423000000.00,18480000000.00,14211000000.00,9707000000.00,6070000000.00,21648000000.00,17156000000.00,11328000000.00,5760000000.00,20652000000.00,16675000000.00,11190000000.00,6460000000.00,23826000000.00,19208000000.00,12471000000.00,5791000000.00,24877000000.00,19693000000.00,14092000000.00,8158000000.00,21897000000.00,16925000000.00,10987000000.00,6296000000.00,16824000000.00,11885000000.00,8052000000.00,3585000000.00,9816000000.00,7754000000.00,4998000000.00,2209000000.00,6017000000.00,4357000000.00,2919000000.00,1932000000.00,5192000000.00,4036000000.00,3153000000.00,1887000000.00,2245000000.00,1884000000.00,1448000000.00,872000000.00,2869000000.00,2597000000.00,1656000000.00,828000000.00,1322000000.00,833000000.00,0,1308000000.00,0,1920560000.00,0,3400570000.00,3143730000.00,4418830000.00,0,0,0,0,0.0
9,研发费用,15666000000.00,10541000000.00,7687000000.00,3580000000.00,12826000000.00,9026000000.00,6084000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-6000000.00,34589000000.00,162000000.00,14000000.00,4000000.00,26054000000.00,393000000.00,265000000.00,177000000.00,12858000000.00,83000000.00,79000000.00,-9000000.00,28505000000.00,39000000.00,82000000.00,-4000000.00,5575000000.00,-9000000.00,2000000.00,-4000000.00,4182000000.00,2821000000.00,193000000.00,-11000000.00,1963000000.00,1446000000.00,1455000000.00,-4000000.00,8759000000.00,8768000000.00,4402000000.00,-18000000.00,4408000000.00,3082000000.00,3142000000.00,-19000000.00,2448000000.00,2290000000.00,41000000.00,5000000.00,24765000000.00,13033000000.00,7330000000.00,-11000000.00,-1948000000.00,-2332000000.00,-2317000000.00,-76000000.00,2914000000.00,2758000000.00,0,5279000000.00,0,0,0,0,0,1233790000.00,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,8867000000.00,7123000000.00,5233000000.00,2478000000.00,11956000000.00,5398000000.00,3939000000.00,2148000000.00,6734000000.00,3757000000.00,2470000000.00,992000000.00,28968000000.00,28417000000.00,27263000000.00,630000000.00,26627000000.00,3525000000.00,3789000000.00,1754000000.00,12297000000.00,9746000000.00,6296000000.00,2980000000.00,10769000000.00,7449000000.00,4778000000.00,2736000000.00,8787000000.00,6855000000.00,5203000000.00,2948000000.00,12630000000.00,8114000000.00,5742000000.00,2458000000.00,7043000000.00,4417000000.00,2626000000.00,1915000000.00,1409000000.00,1672000000.00,885000000.00,36000000.00,4733000000.00,6145000000.00,4297000000.00,1270000000.00,6301000000.00,4123000000.00,3090000000.00,1151000000.00,1344000000.00,1786000000.00,0,982000000.00,0,617510000.00,0,138560000.00,200260000.00,384730000.00,0,0,0,0,0.0
