,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7679239699.66,5023143254.41,2455796269.59,11005069692.59,8039535045.25,5205813434.35,2581101239.91,10177226827.99,7315811705.59,4955251088.44,2499802666.17,9485725904.11,6886887855.57,4558785177.33,2131748737.16,8481099518.74,4135023458.43,2753044238.87,1339239186.71,5535128065.59,3978669392.78,2579094844.35,1228437431.71,4552340496.97,3260911796.45,2159463888.55,1038042982.82,4090751916.56,3026105905.41,1974388608.79,960843682.50,3933460638.50,2868935972.49,999941942.40,486950719.03,1895360956.52,1401211946.19,944467024.29,459908605.56,1354783147.60,923013667.98,551861680.31,242453979.04,1444689110.85,1180249124.59,823016765.01,383543388.65,1745630451.95,1318235747.17,885494843.04,401956845.79,1473962012.22,1059778511.06,696744913.91,328312611.15,1045904633.10,737019423.60,535700380.72,0.0
2,营业收入,7679239699.66,5023143254.41,2455796269.59,11005069692.59,8039535045.25,5205813434.35,2581101239.91,10177226827.99,7315811705.59,4955251088.44,2499802666.17,9485725904.11,6886887855.57,4558785177.33,2131748737.16,8481099518.74,4135023458.43,2753044238.87,1339239186.71,5535128065.59,3978669392.78,2579094844.35,1228437431.71,4552340496.97,3260911796.45,2159463888.55,1038042982.82,4090751916.56,3026105905.41,1974388608.79,960843682.50,3933460638.50,2868935972.49,999941942.40,486950719.03,1895360956.52,1401211946.19,944467024.29,459908605.56,1354783147.60,923013667.98,551861680.31,242453979.04,1444689110.85,1180249124.59,823016765.01,383543388.65,1745630451.95,1318235747.17,885494843.04,401956845.79,1458793821.56,1050867500.00,693621068.98,328312611.15,1040276543.68,724300265.85,532659358.50,0.0
3,二、营业总成本,7062708895.58,4579303177.90,2237099430.11,10036363543.00,7095652011.06,4537669298.18,2305434058.24,9174877220.49,6495361141.39,4325954859.62,2221290339.04,8217345853.47,5897913129.82,3885703368.70,1874638151.35,7418069415.63,3567291138.51,2406300549.85,1163540091.36,4902365143.86,3524428530.44,2260786573.31,1091657280.02,4179682653.06,2961410621.43,1959461549.31,936057188.11,3728752509.73,2754754882.21,1795454018.39,868185740.49,3625515107.61,2654112807.86,915065297.86,437968019.69,1722022434.28,1274352694.94,870651823.88,417906778.84,1266465483.67,872627384.60,523409394.96,230322448.87,1428968908.00,1152087824.93,795299648.73,365429290.77,1657027309.29,1260228126.93,849189750.44,387239703.33,1410908143.26,1001489993.44,664626822.76,312901939.83,985587556.07,645453958.05,433307875.66,0.0
4,营业成本,6020067719.53,3893511433.71,1922819873.66,8721419827.60,6333744444.13,4076625251.49,2063214725.00,8124226774.37,5718441539.97,3814422989.82,1951824689.74,7236549933.68,5165826884.47,3406197285.69,1643893789.61,6445622740.31,3081855935.90,2067313283.15,1009974730.16,4260797252.86,3083567119.56,2004858008.42,978382897.85,3651901189.51,2598543310.31,1718162174.42,825790754.67,3292761679.21,2441533994.82,1606677083.46,782174556.66,3287613156.77,2416648806.57,828268939.43,401634218.56,1547442300.01,1162364451.37,788989784.05,387624936.91,1142129654.02,791517823.33,481395707.37,209000023.22,1285860679.75,1039395554.81,717617619.04,322588509.63,1522364325.85,1164074944.88,784320618.95,357748890.08,1284375483.11,914375106.18,608217369.67,289150381.10,883708278.17,574935685.74,384856369.35,0.0
5,营业税金及附加,48686637.76,33819472.54,18607969.75,55145576.66,39751739.74,25807169.01,13446350.80,55142027.34,41115008.02,27312187.44,13620733.67,49827532.59,22495537.38,15609400.77,8889000.92,30819135.54,23752395.88,17034721.60,6684246.91,23994911.45,17382455.42,11741289.82,6007747.64,20112934.40,14484492.22,9348298.11,5116682.73,18234259.92,13840793.59,9259446.48,4414363.42,15624850.47,10635748.89,4222744.24,2360530.77,8260961.58,5542630.93,3547825.64,1729320.71,6255406.43,4569503.93,3160144.69,2046641.63,7650074.04,6620632.97,4887873.67,1955682.96,4711869.12,3234484.85,2402477.81,1071421.59,2323207.80,644592.11,222955.09,21606.19,2866306.10,516228.36,962087.07,0.0
6,销售费用,158921180.47,103435688.69,48712499.08,214635911.98,143899932.04,91629961.18,49825002.24,192057073.19,131806419.93,86625144.10,47155019.00,211880267.24,150514002.41,101825616.47,48164022.36,188904895.04,105374012.64,71822245.24,31001439.11,124443772.14,93107725.81,51910292.14,20769229.89,108586617.74,72070105.87,50616357.50,22628834.10,96795180.90,71593117.01,45734287.00,22702894.19,93269596.79,66136825.62,26398438.27,12867054.76,54973770.08,41002905.10,27523625.04,12309584.25,40584135.83,30372760.16,17628922.33,8371992.74,46520875.90,40519229.50,27507313.18,15795739.82,60563121.39,29481302.08,19621198.79,11807334.27,42304831.61,27472717.50,16368766.96,6085976.72,23401472.34,18149157.78,17005505.86,0.0
7,管理费用,390217828.61,261928249.69,135961212.15,476404819.32,294184165.09,329784252.86,154570590.91,706666670.52,535133505.14,356507733.73,190741541.90,652982278.13,503554865.32,319937138.55,144537941.73,663901012.74,343393951.91,220453064.86,100034840.36,437260463.85,294262745.96,173815366.79,78450559.84,330181384.91,229082821.90,147293121.23,65354798.41,289385879.98,214223161.26,123087281.55,55407515.37,202125097.32,137563862.50,50106448.05,19274227.24,87444277.31,52825453.66,35017056.50,12861150.64,63873279.30,36328543.12,17937673.50,8316765.90,53520473.26,33731122.95,22823894.81,12540841.15,33690506.69,37341063.33,23594157.91,8562562.92,46350590.22,32540953.97,23918037.52,10360691.33,44009290.71,32574987.06,22528117.77,0.0
8,财务费用,188228821.68,120737811.59,36552384.40,116240705.30,34883315.39,16498634.48,24377389.29,88671731.41,71397908.14,43620044.34,17948354.73,53184054.16,54982562.35,42460045.01,29122036.33,72385705.56,12785912.26,27378553.53,15443681.78,52901229.74,31750205.72,15881467.52,7806303.40,63469040.46,45595012.49,32656719.41,16547947.92,27898218.67,13653909.19,10725919.90,3516410.85,31461691.43,24957094.51,6068727.87,1831988.36,17760018.03,12585302.57,12769654.34,5265415.33,9895371.95,5123034.46,3286947.07,2587025.38,35732921.91,31821284.70,22462948.03,12548517.21,36456517.58,24160502.74,17315467.93,8049494.47,35554030.52,26456623.68,15899693.52,7283284.49,31602208.75,19277899.11,7955795.61,0.0
