,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,603363,傲农生物,15.35,8.64,24.0825,151.0616,0.3479,1748.2388,4.0262
1,600396,金山股份,8.44,9.28,21.4224,187.8432,0.1275,2023.1333,1.3737
2,300529,健帆生物,7.9,48.67,85.7363,184.4252,0.4405,378.8819,0.9049
3,300628,亿联网络,7.68,56.27,67.8317,365.8348,0.6102,650.0721,1.0844
4,002978,安宁股份,7.53,45.26,64.9287,191.2876,,422.6376,
5,002299,圣农发展,7.45,23.46,29.9425,700.7225,0.5631,2985.9616,2.3997
6,300770,新媒股份,6.17,48.91,56.7155,143.6671,1.1192,293.7338,2.2882
7,002838,道恩股份,6.0,11.2,22.5752,69.3989,0.1705,619.1659,1.5211
8,002223,鱼跃医疗,5.92,27.5,53.1227,382.62800000000004,0.3816,1390.9646,1.3875
9,300234,开尔新材,5.25,135.77,36.8006,47.483000000000004,0.1639,34.973,0.1207
10,002916,深南电路,5.23,11.08,25.5901,276.7804,0.8155,2497.5057,7.3594
11,603866,桃李面包,4.93,14.69,43.2023,194.4097,0.295,1322.6834,2.0074
12,601865,福莱特,4.55,17.88,39.8824,215.167,0.1103,1203.0864,0.6169
13,000534,万泽股份,4.54,26.65,87.3234,45.1263,,169.2667,
14,300686,智动力,4.43,9.1,25.63,35.383,0.17300000000000001,388.4521,1.8998
15,002661,克明面业,4.42,11.71,28.4908,103.8176,0.3157,886.2514,2.6953
16,300690,双一科技,4.28,24.45,41.2183,46.0849,0.4154,188.4745,1.699
17,300031,宝通科技,4.26,18.51,60.3449,118.4425,0.2985,639.7407,1.6123
18,300624,万兴科技,4.25,16.54,96.9776,32.6238,0.4013,197.2367,2.4264
19,600681,百川能源,4.15,12.85,22.4753,193.7322,0.1342,1506.6549,1.0443
20,603058,永吉股份,4.11,38.36,41.3019,44.2492,0.1055,115.3473,0.2752
21,603156,养元饮品,4.1,41.16,52.8966,525.962,0.4987,1277.7401,1.2116
22,603939,益丰药房,4.04,6.26,38.1843,190.8505,0.5036,3047.9584,8.0437
23,000739,普洛药业,3.94,9.09,28.8767,154.7334,0.1312,1700.8741,1.4432
24,000799,酒鬼酒,3.8,30.73,85.3999,96.0718,0.2956,312.5657,0.9619
25,300059,东方财富,3.76,134.53,75.1497,873.6892,0.13,649.4228,0.0967
26,002007,华兰生物,3.63,36.49,61.4574,247.2864,0.1762,677.5414,0.4829
27,603185,上机数控,3.53,14.35,24.3071,62.6478,0.3512,436.4595,2.447
28,000818,航锦科技,3.51,11.71,22.9407,97.6161,0.1414,833.4416,1.208
29,300496,中科创达,3.48,15.14,48.1407,66.9686,0.1663,442.1211,1.0983
