,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
13,其中:对联营企业和合营企业的投资收益,-845604.20,-184472.88,-89880.40,-333304.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,92251577.83,60907594.97,18792962.28,57616483.49,53028544.19,29015407.76,-8730763.86,19696433.71,19449542.50,7431827.05,2666734.25,-85747366.05,-33325103.55,-17573620.20,-2755914.19,-17151192.85,13526990.57,135805.79,-2877430.63,-67625942.64,-42873292.31,-24643337.58,-17834183.06,6908262.98,28793922.05,32911746.37,185574.45,91428778.87,62475400.47,37180056.86,-2044026.31,155450547.28,108807070.92,33965335.83,119961246.03,119185209.43,99855047.65,0.0
16,加:营业外收入,794752.32,559963.81,539953.77,1165445.34,209029.94,130372.39,6424.94,427783.15,3985629.01,2427571.16,864087.08,6859661.59,4403302.01,2051605.47,1282876.35,23066931.46,3414390.58,1632939.42,865167.62,3536584.25,2388616.94,1294688.29,220170.61,7183094.88,5443133.40,2281364.69,1080811.39,10814996.08,7443493.13,4901917.44,3012044.44,5768062.71,3915808.31,3627192.47,16813391.09,13810085.03,9147678.67,0.0
17,减：营业外支出,535781.54,404361.14,400488.29,1819812.87,121400.19,17678.14,448.72,635975.74,200433.99,65133.58,30507.97,2856745.37,2296613.18,2232513.18,26059.52,49891.16,45824.43,42829.36,20000.00,10494945.67,629471.34,0,0,6203075.54,5710008.06,2930796.48,8945.53,3903583.99,2454805.99,148635.20,58173.53,4833315.94,3033707.52,1293087.99,9426766.86,9908526.52,10505171.78,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,17678.14,0,0,92850.33,65133.58,30507.97,135069.34,26059.52,26059.52,26059.52,27208.56,0,0,0,31481.56,3241.34,0,0,2061535.97,1655768.49,1584213.22,8945.53,330998.70,191922.19,74510.20,909844.60,726325.79,25175.08,4025.55,171297.29,1038824.29,3442141.68,0.0
19,四、利润总额,92510548.61,61063197.64,18932427.76,56962115.96,53116173.94,29128102.01,-8724787.64,19488241.12,23234737.52,9794264.63,3500313.36,-81744449.83,-31218414.72,-17754527.91,-1499097.36,5865847.45,16895556.72,1725915.85,-2032263.01,-74584304.06,-41114146.71,-23348649.29,-17614012.45,7888282.32,28527047.39,32262314.58,1257440.31,98340190.96,67464087.61,41933339.10,909844.60,156385294.05,109689171.71,36299440.31,127347870.26,123086767.94,98497554.54,0.0
20,减：所得税费用,-584041.51,-1228603.46,-255159.78,-1014646.57,1390076.90,2445300.46,-1275263.06,2605065.31,699219.34,-611049.87,-393010.70,-4151757.41,-670351.85,116505.25,275085.11,2563077.79,3931514.28,963844.80,1387937.67,-5383252.67,-3679960.95,-1360700.85,-2633521.94,1420695.33,4279057.10,4839347.19,188616.04,15283007.46,10569613.13,6290000.85,136476.68,23563956.09,16760978.16,5505355.11,22392638.01,24616975.13,18846489.01,0.0
21,五、净利润,93094590.12,62291801.10,19187587.54,57976762.53,51726097.04,26682801.55,-7449524.58,16883175.81,22535518.18,10405314.50,3893324.06,-77592692.42,-30548062.87,-17871033.16,-1774182.47,3302769.66,12964042.44,762071.05,-3420200.68,-69201051.39,-37434185.76,-21987948.44,-14980490.51,6467586.99,24247990.29,27422967.39,1068824.27,83057183.50,56894474.48,35643338.25,773367.92,132821337.96,92928193.55,30794085.20,104955232.25,98469792.81,79651065.53,0.0
22,归属于母公司所有者的净利润,94773175.80,62846543.36,19187786.67,57976762.53,51726097.04,26682801.55,-7449524.58,16883175.81,22535518.18,10405314.50,3893324.06,-77592692.42,-30548062.87,-17871033.16,-1774182.47,3302769.66,12964042.44,762071.05,-3420200.68,-69201051.39,-37434185.76,-21987948.44,-14980490.51,6467586.99,24247990.29,27422967.39,1068824.27,83057183.50,56894474.48,35643338.25,773367.92,132821337.96,92928193.55,30794085.20,104955232.25,98469792.81,79869286.13,0.0
23,少数股东损益,-1678585.68,-554742.26,-199.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-218220.60,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.180000,0.120000,0.040000,0.110000,0.099000,0.051000,-0.014000,0.030000,0.043000,0.020000,0.007000,-0.150000,-0.058700,-0.034400,-0.003000,0.010000,0.025000,0.001500,-0.007000,-0.130000,-0.070000,-0.040000,-0.029000,0.010000,0.050000,0.050000,0.002000,0.180000,0.190000,0.130000,0.002000,0.510000,0.360000,0.120000,0.420000,0.390000,0.320000,0.0
26,稀释每股收益(元/股),0.180000,0.120000,0.040000,0.110000,0.099000,0.051000,-0.014000,0.030000,0.043000,0.020000,0.007000,-0.150000,-0.058700,-0.034400,-0.003000,0.010000,0.025000,0.001500,-0.007000,-0.130000,-0.070000,-0.040000,0,0.010000,0,0,0,0,0,0,0,0.510000,0.360000,0,0.420000,0.390000,0.320000,0.0
27,七、其他综合收益,-5839976.49,-5774833.99,472822.50,-287933.51,1220300.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,87254613.63,56516967.11,19660410.04,57688829.02,52946397.04,26682801.55,-7449524.58,16883175.81,22535518.18,10405314.50,3893324.06,-77592692.42,-30548062.87,-17871033.16,-1774182.47,3302769.66,12964042.44,762071.05,-3420200.68,-69201051.39,-37434185.76,-21987948.44,-14980490.51,6467586.99,24247990.29,27422967.39,0,83057183.50,56894474.48,35643338.25,0,132821337.96,92928193.55,30794085.20,104955232.25,98469792.81,79651065.53,0.0
29,归属于母公司所有者的综合收益总额,88933199.31,57071709.37,19660609.17,57688829.02,52946397.04,26682801.55,-7449524.58,16883175.81,22535518.18,10405314.50,3893324.06,-77592692.42,-30548062.87,-17871033.16,-1774182.47,3302769.66,12964042.44,762071.05,-3420200.68,-69201051.39,-37434185.76,-21987948.44,-14980490.51,6467586.99,24247990.29,27422967.39,0,83057183.50,56894474.48,35643338.25,0,132821337.96,92928193.55,30794085.20,104955232.25,98469792.81,79869286.13,0.0
30,归属于少数股东的综合收益总额,-1678585.68,-554742.26,-199.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-218220.60,0.0
