,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1183712575.19,684782741.27,455721151.79,190781228.62,767469079.12,366507105.46,206119479.70,85648657.53,485178519.19,202280217.08,142771123.12,90565528.17,655137590.83,214641600.45,135201721.07,106698860.58,1304026666.04,510472070.25,320237520.58,168030370.00,1255860454.79,451989721.48,330045701.03,190884408.11,1874811756.60,788041636.43,663476947.32,445378002.08,1974436811.57,1033156613.00,653390080.10,280455562.67,1816778206.96,730538305.86,572113760.16,361268928.47,1589356456.17,678466818.00,614627480.20,431041891.22,1512696635.35,743394477.34,636762255.41,340431916.97,1109980326.03,631354812.09,470700667.38,242910525.34,752563504.85,451047888.13,285369648.70,163174932.47,894297104.57,590847873.00,384176958.43,181084255.89,779754602.29,542541422.24,416446649.94,161806713.24,746634189.82,443593119.28,359794107.88,128267723.45,449787112.00,228701134.63,208622187.63,111795707.37,556827978.20,322673321.07,400684766.64,0.0
2,营业收入,1183712575.19,684782741.27,455721151.79,190781228.62,767469079.12,366507105.46,206119479.70,85648657.53,485178519.19,202280217.08,142771123.12,90565528.17,655137590.83,214641600.45,135201721.07,106698860.58,1304026666.04,510472070.25,320237520.58,168030370.00,1255860454.79,451989721.48,330045701.03,190884408.11,1874811756.60,788041636.43,663476947.32,445378002.08,1974436811.57,1033156613.00,653390080.10,280455562.67,1816778206.96,730538305.86,572113760.16,361268928.47,1589356456.17,678466818.00,614627480.20,431041891.22,1512696635.35,743394477.34,636762255.41,340431916.97,1109980326.03,631354812.09,470700667.38,242910525.34,752563504.85,451047888.13,285369648.70,163174932.47,893669020.26,590261541.88,383946647.65,180898378.62,774861695.34,542836999.11,416815083.29,161633319.11,746214777.32,443604762.45,359698398.56,128300117.80,448998967.82,228460653.50,208388512.98,111783434.18,555508800.18,320791002.56,398156680.98,0.0
3,二、营业总成本,1355526744.29,823088929.50,547194785.18,237650898.73,1050654175.92,527193643.13,317067612.80,142597903.04,872302442.24,470834152.61,305963264.92,146871315.35,1041445040.45,516104274.52,299698562.85,185396850.77,1375627754.45,673800516.13,450244445.61,224472478.84,1492882741.17,647648817.59,467618616.93,258011712.37,1743006920.61,954479795.78,741273247.09,442101697.33,1994738911.78,1254903996.04,790105926.50,319526395.39,1583796831.75,760389646.19,549569858.04,306906931.98,1322577708.34,653367019.68,550953600.52,340203520.34,1366795826.80,763329705.69,630568317.62,288962481.09,1058785374.11,644941300.18,466147799.42,204839146.88,795961008.24,536343859.45,334470218.33,170068877.67,876407464.74,583493115.19,370745892.25,171533201.40,892449743.07,603785860.70,415663770.05,161662581.79,721753946.69,441931035.04,348016484.93,126671566.66,424695189.09,226027634.27,200875621.75,114865711.68,525412268.85,298802801.56,378491878.64,0.0
4,营业成本,1060363003.19,643613672.10,428289708.07,169819956.24,681407412.42,325881627.52,171496589.54,72950351.71,432692700.09,223085865.79,136736777.44,67864900.64,502787486.10,187189566.21,122408889.15,84163835.56,914399353.10,413627556.13,260577252.48,132344658.14,819957206.57,362141206.83,269080527.09,138860584.47,1235704496.52,629299189.40,518046427.98,317828793.31,1481493605.18,944281306.91,570796934.39,207552934.60,1199016169.28,540511989.36,392503386.68,220660822.77,947597495.30,440555148.05,389430883.96,229476204.71,1064930303.99,590827755.38,496958278.88,217490786.11,822662458.99,510017922.75,365136249.00,153733493.51,610561721.41,416725929.75,250940866.76,142600124.64,693682161.33,469745531.18,291623649.44,130039464.19,676357551.49,470660126.67,333407629.84,127950252.06,598863683.76,363992947.99,292458230.84,100035289.99,338219334.89,176055229.07,161546556.78,92278838.79,434774578.80,232870058.65,315080970.78,0.0
5,营业税金及附加,9292040.30,5314625.09,4521368.96,811275.91,10169675.52,6587768.31,5469370.12,1254441.36,10619285.99,5836493.82,4215663.43,-65691.76,11112732.13,750291.55,654464.08,609810.24,864731.75,769099.82,728823.03,625891.47,2742549.27,607898.31,448289.76,197815.60,1038614.04,609099.48,366517.17,64425.13,761811.64,246130.36,160284.42,53320.53,389112.22,332520.03,75932.32,23447.55,893535.46,431859.98,243516.89,58534.45,540075.95,447980.05,282433.45,76317.11,330571.88,91836.17,44254.92,4486.34,309939.58,164791.30,66913.14,10512.03,616389.84,248905.31,57900.67,10706.40,813763.15,47899.57,41732.82,23479.19,334930.83,324354.02,3886.02,0,169465.70,198123.99,172249.90,16121.28,157578.57,416635.44,994926.37,0.0
6,销售费用,102785412.89,51562915.35,37287538.33,16681983.60,101986892.08,57438400.82,42221127.30,21878868.69,108208895.14,60228732.24,42450681.47,23592909.47,129012655.00,63747863.34,42378527.96,22474406.68,182681513.25,71385016.31,51487118.82,25544081.44,194346621.59,87882534.25,58791205.38,31491133.79,213595352.04,107252103.48,75600435.32,39156979.75,205213543.06,97837386.32,68219973.59,37146991.30,183966034.33,75118943.14,57094052.63,36504316.37,169468350.32,80338028.84,65682801.70,47775216.62,135566396.95,66806125.16,53565507.75,38562624.20,85014985.89,48804103.41,38529634.58,24230966.78,56690792.54,38483676.96,25695218.18,10387984.38,79255320.03,52896329.60,38006038.31,21684163.24,89811610.74,58346934.98,38672956.02,16131610.72,42825220.36,27846040.80,19173494.80,10651151.76,31977334.68,21483037.27,18029875.39,11971881.41,35787439.49,26022556.08,28764716.07,0.0
7,管理费用,140204576.34,91178997.38,56481790.68,27937620.54,138942241.12,90902417.94,66261851.09,28919844.94,192950661.28,118662376.48,70002953.51,31809922.36,193909304.70,122748343.19,82567959.23,29342669.70,180967936.34,115814335.11,81064732.29,29129755.14,179710694.26,115155364.46,78196484.37,35899365.36,166502178.62,121728090.47,70537974.44,32667338.69,159034276.47,111379077.19,66444383.92,32584301.26,116569430.63,79915743.98,48317586.05,17614925.69,119227691.32,74417789.99,50767794.75,24860252.94,93397650.24,58835810.75,40744241.55,18011818.03,66251785.90,44088361.31,31561442.45,12468850.53,62427821.57,48483799.34,34967356.13,9621118.75,73664147.39,42926564.70,27924240.22,14418431.29,98686145.67,53979867.81,29852148.27,11776681.98,59614072.57,37303521.64,26895095.77,9968776.92,38831785.44,20471788.08,15273687.63,8731464.23,38959706.90,26842407.39,23976530.99,0.0
8,财务费用,35699042.17,26433927.01,17518098.64,9521889.81,34593717.95,22008770.67,12909861.09,7506255.78,59207892.31,34519616.10,22980621.98,11370003.60,55166314.73,30002949.50,20886380.14,11386314.24,67723688.14,55799360.26,38471519.58,15591531.24,72964809.46,52834676.74,36897733.54,19903696.32,82406712.98,61125899.79,41439293.20,21575868.20,94926241.32,69063069.03,48790425.29,24939666.08,66296578.31,44511251.81,30185056.65,16004229.34,54185854.99,33897394.68,24161818.73,11042240.14,50417722.12,37726996.06,28269240.01,12734729.96,62013324.18,40805970.09,29928844.88,14709760.41,49746756.24,30205285.15,20681839.00,7865930.88,29189446.15,17675784.40,13134063.61,5380436.28,26780672.02,20751031.67,13689303.10,5780557.84,20116039.17,12464170.59,9485777.50,6016347.99,15497268.38,7819455.86,5853252.05,1867405.97,15732965.09,12651144.00,9674734.43,0.0
9,研发费用,7182669.40,4984792.57,3096280.50,1528317.27,10573762.63,6686530.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,11349855.36,72980474.20,17688127.79,18708813.66,10088140.56,68623007.43,28501068.18,29576567.09,12299271.04,149456547.79,111665260.73,30802342.29,37419814.35,28990531.87,16405148.50,17914999.41,21236561.41,223160860.02,29027137.00,24204376.79,31659116.83,43759566.41,34465413.16,35282598.98,30808292.25,53309434.11,32097026.23,35693924.89,17249181.62,17559506.98,19999197.87,21393843.71,16099190.26,31204780.95,23726798.14,20666784.49,26991071.48,21943677.55,8685038.28,10748615.98,2086205.68,22512247.27,1133106.45,947373.59,-308410.69,16223976.90,2280376.95,2118025.12,-416793.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,12879491.00,12416679.30,13643528.10,7677023.28,-8882227.22,-9074441.09,-2645685.00,-663307.00,-4146764.29,-2058788.52,-1989028.52,-578177.63,-1135231.09,-272788.25,-186240.00,310650.00,189200.00,-9635.00,-90025.14,-17990.59,-608.05,69966.39,-12926.71,-54951.71,0,-1021451.55,-631622.54,-432972.36,139275.00,-1038557.14,-329802.02,1067677.32,-1319940.16,-15935560.12,-7851320.00,-156250.00,-33540.12,36475.00,8500.00,5550.00,3504597.53,1255220.51,4901826.02,647337.32,-3510147.53,-4292997.56,-4529640.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-8136009.46,-10551588.09,-12768601.36,-5032668.35,7259278.47,6793434.13,6927227.32,1830338.32,343371130.87,328333383.48,324229154.14,323058415.67,40208798.23,24824012.61,20699411.03,4172604.38,159392256.61,5562030.24,3517579.28,263750.59,-6696066.66,135313.78,-2280552.21,-2789593.41,4773781.58,6622978.28,-2729414.46,-1768947.98,-2646857.94,-2716287.40,-729987.44,-835159.03,-51063249.64,-18316889.04,-8130802.18,2122423.51,11578272.65,7862084.32,-1020650.61,992269.60,-5166958.48,359492.90,-1072535.80,-171486.00,5293520.42,-633603.50,-398449.50,0,2398205.57,2470078.71,3595824.76,0,-2276637.92,-415260.93,-239830.69,-35113.05,-3050948.53,-569814.00,-569814.00,0,-1975004.98,3371.40,3371.40,3371.40,591742.79,0,0,0,0,188640.72,186220.71,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-425683.79,-528457.37,0,0,-2732658.50,-671736.83,0,0,-1113306.99,0,0,0,-1737113.74,0,0,0,-1384241.46,0,0,0,-1159361.93,0,0,0,0,0,0,0,8000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-216574415.57,-138584095.43,-99490003.12,-43135877.63,-270273260.19,-157961836.75,-103429342.77,-55127840.37,-28542040.06,57720659.43,159047983.82,266174450.86,-347233882.48,-276911449.71,-143983670.75,-74214735.81,87980368.20,-157776050.64,-126579370.89,-56196348.84,-243718961.09,-195453815.94,-139866394.82,-69971849.38,136578617.57,-160836632.62,-81157336.77,1074384.41,-22809683.15,-225502227.58,-137775635.86,-38838314.43,180598185.41,-64103789.49,6561779.94,56328170.00,278323480.36,32998357.64,62661729.07,91836190.48,144238447.60,-18320514.94,10023228.01,51945287.20,52978324.81,-18513089.15,-375221.54,38071378.46,-40999297.82,-82825892.61,-45504744.87,-6893945.20,18534191.91,7097486.88,13191235.49,9515941.44,-114976089.31,-61272258.75,693065.89,624131.45,32358358.15,8625455.64,16960994.35,1699528.19,34743665.70,11733500.36,16806565.88,-3010004.31,43518743.99,33279160.23,36256509.49,0.0
16,加:营业外收入,8698160.03,2534691.47,2472722.17,1829048.74,6200475.86,2871501.06,1727466.10,405306.09,5695039.17,15666300.11,12251037.99,2134179.39,19113053.95,10730753.67,8754453.42,5999397.17,17289258.53,4079358.53,3336497.95,2602096.49,34678191.42,6079754.27,2281228.27,560887.61,27926791.33,8699224.87,6024972.42,3086525.59,19797172.01,4855582.06,4619656.18,2835015.32,25955613.14,5684763.83,3618440.04,497406.01,9299388.25,3298692.69,1466025.89,833077.70,5580680.31,2364989.55,1212853.90,217772.50,16976744.81,2123699.26,2966826.33,173946.05,25757369.97,16415634.36,16183850.28,810486.96,130340.20,59030.60,45387.60,15399.95,758722.92,224354.75,176146.49,73265.19,581735.49,70613.37,16248.64,1088.00,232410.56,151162.56,149985.33,65499.48,17808.80,483839.12,4094122.77,0.0
17,减：营业外支出,3914272.14,2310038.09,2102745.72,541335.64,3931027.22,2149257.39,2148951.93,1066919.67,7730091.94,2352963.33,1696857.05,170350.26,6357212.23,3592671.99,2123852.24,597267.71,11324268.19,5937068.85,5474925.14,4008357.87,16454526.12,1418416.59,1501288.70,252302.55,11550625.22,11321496.35,5141027.18,822097.96,17784604.84,13204714.41,12681802.81,11216979.42,34285243.09,2266463.80,1251789.66,80124.93,4465461.29,1222548.99,814071.41,345807.02,11299879.92,2178382.71,1141523.91,570131.88,1940705.91,1170220.44,1036004.51,308100.64,1236255.30,725983.67,299613.20,91485.19,5328672.06,1839648.86,1047287.39,300689.64,4077220.19,568701.66,346111.34,90530.00,1653829.65,409393.08,265257.82,89559.39,2876277.35,1115853.51,1090296.84,690199.15,891601.66,3419918.03,3391109.54,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,15741.15,0,0,-156758.07,-156758.07,0,3463621.32,970125.70,970125.70,0,1394612.70,802813.53,599343.57,69209.58,560691.45,509632.61,0,0,362938.82,11364.61,11364.61,0,179462.96,0,0,0,461077.67,300575.77,297588.37,1441.85,424466.38,80954.93,80954.93,0,0,97390.12,0,12628.10,419839.36,321149.85,321149.85,0,361641.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,-211790527.68,-138359442.05,-99120026.67,-41848164.53,-268003811.55,-157239593.08,-103850828.60,-55789453.95,-30577092.83,71033996.21,169602164.76,268138279.99,-334478040.76,-269773368.03,-137353069.57,-68812606.35,93945358.54,-159633760.96,-128717798.08,-57602610.22,-225495295.79,-190792478.26,-139086455.25,-69663264.32,152954783.68,-163458904.10,-80273391.53,3338812.04,-20797115.98,-233851359.93,-145837782.49,-47220278.53,172268555.46,-60685489.46,8928430.32,56745451.08,283157407.32,35074501.34,63313683.55,92323461.16,138519247.99,-18133908.10,10094558.00,51592927.82,68014363.71,-17559610.33,1555600.28,37937223.87,-16478183.15,-67136241.92,-29620507.79,-6174943.43,13335860.05,5316868.62,12189335.70,9230651.75,-118294586.58,-61616605.66,523101.04,606866.64,31286263.99,8286675.93,16711985.17,1611056.80,32099798.91,10768809.41,15866254.37,-3634703.98,42644951.13,30343081.32,36959522.72,0.0
20,减：所得税费用,4071295.07,4414138.18,3742914.34,292572.41,-3266316.67,406075.15,-423776.13,-6929.37,54630480.16,3164723.14,3406867.25,926267.45,-12344420.92,-20153347.15,213810.88,550464.62,37811602.49,1208475.71,940185.57,47013.83,47706129.78,246237.28,-104737.20,1414512.45,38475789.83,-1162706.95,1787565.39,6361459.64,22467854.25,1609350.62,1602156.61,1987941.37,36842309.32,9610221.92,9376664.14,9275633.09,46113836.66,12633056.37,12639215.88,13429667.58,-2774093.01,1190449.41,958674.45,-52702.62,2021538.57,303154.81,303154.85,0,46515.65,6328.89,0,0,0,0,0,0,0,0,0,0,0,2685.07,0,0,0,0,0,0,8529763.20,6680285.11,12625179.31,0.0
