,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1282282705.00,160873062.37,95424170.68,32168752.03,154771791.30,112175315.87,67820339.76,36663099.81,976160122.82,918918088.48,67277883.98,34457660.61,893302306.32,662958103.80,408980054.63,149896083.78,740471240.20,960290941.77,438021207.80,240575548.59,1819465107.41,1488456221.13,1179838923.93,810324211.55,2542474592.94,1059979786.51,855279183.65,429528277.70,2502641601.11,1943113004.68,1012396598.17,361078799.91,1474226012.66,1117132915.44,696014697.69,283174172.14,3447682655.09,2250190562.84,1223389936.98,575259335.29,1813440930.88,880353888.06,456613216.80,232922134.90,1260366007.06,959706384.31,629823157.43,315117003.47,1680432826.08,1015031202.18,646278482.41,291540683.00,1081396303.74,729694125.78,482342372.93,280554231.48,1233932002.15,734861840.74,282016356.04,127321936.50,554874543.17,447147157.38,301343217.02,98353875.11,479708016.24,343685635.91,228929404.37,76624704.27,476730693.38,252654990.74,179054943.88,54386257.18,328221725.79,112865854.98,369186801.89,147483871.93,431911367.47,80547168.30,373881317.79,380827053.68,235768484.67,251670787.25,0.0
2,营业收入,1282282705.00,160873062.37,95424170.68,32168752.03,154771791.30,112175315.87,67820339.76,36663099.81,976160122.82,918918088.48,67277883.98,34457660.61,893302306.32,662958103.80,408980054.63,149896083.78,740471240.20,960290941.77,438021207.80,240575548.59,1819465107.41,1488456221.13,1179838923.93,810324211.55,2542474592.94,1059979786.51,855279183.65,429528277.70,2502641601.11,1943113004.68,1012396598.17,361078799.91,1474226012.66,1117132915.44,696014697.69,283174172.14,3447682655.09,2250190562.84,1223389936.98,575259335.29,1813440930.88,880353888.06,433030434.70,232922134.90,1207137915.09,959706384.31,628895203.85,315117003.47,1626755797.87,1015031202.18,639825510.41,291540683.00,1079005137.37,728095746.66,481429637.39,280412067.84,1233362241.72,734426722.42,281633596.57,127111075.60,554815446.72,447179235.56,301365389.76,98367350.41,480497394.50,342970411.30,228214179.76,76294095.04,476730693.38,252666048.35,179065333.49,54393176.79,328199447.30,112850175.91,369500754.70,147480871.93,431884498.43,80531929.16,354627039.43,373385872.65,228402699.12,251670019.82,0.0
3,二、营业总成本,946470146.25,199069968.68,119235917.76,54429743.83,311356988.80,157077210.13,96517304.06,46439241.91,1138219498.49,974515077.88,122203252.06,48548486.68,841624260.45,578580217.67,364627610.43,148268361.09,839100603.46,979082060.98,496244774.38,276670151.87,1798538318.43,1443902466.12,1108284272.16,723863884.89,2835088384.79,1273375911.49,994366509.63,499650089.18,2662486565.40,2008616862.41,1070288955.40,452573792.59,1813611225.79,1241952273.67,776961573.53,316912796.32,3281061765.53,2137696095.78,1163815614.19,561521261.97,1802793198.49,904941178.98,499080541.16,253146972.85,1238921792.43,937949192.76,603455895.04,307046899.45,1587391331.10,916694755.94,576765128.10,272275618.96,967782249.96,658090332.27,447166211.64,266310121.31,1156684961.29,647864765.78,266467264.60,114306496.42,528469266.23,430563757.39,290754775.62,96220355.66,479171800.88,320702108.20,217603771.45,76058876.44,424380967.37,230942321.20,169078450.21,55190573.78,267816011.69,106874129.77,315151757.88,136241306.01,376596812.60,60577520.57,322225602.53,326664157.79,183226875.04,213650566.43,0.0
4,营业成本,519838762.49,112923543.22,67357267.10,27621991.39,115656854.13,81840603.27,45103068.27,24980754.47,866690876.34,820506768.77,46734368.08,25672057.83,556242928.84,409199088.41,251016215.10,94691232.99,476128048.41,764040094.47,390111731.83,214260780.75,1341808201.38,1109337438.86,855290128.15,567572015.34,2158797420.64,937983066.27,754103333.88,375694613.41,2088511293.79,1630768624.62,828145899.70,338303656.10,1252577311.09,946128598.57,592831446.35,241436229.54,2719701435.56,1871705145.53,977315967.70,470014792.36,1468448682.59,707170301.54,388793097.50,199968284.26,907678068.05,680615865.95,427720008.74,205965866.33,1247523177.93,764989990.80,485536872.36,229923202.81,751495233.30,515159261.78,362248128.05,218071568.19,961902663.66,529001501.18,199872176.90,86430968.71,400353707.58,332786232.67,217998227.70,61814234.42,347645936.82,263728157.22,176425699.68,58619598.79,316911926.38,172066493.41,131300262.15,38836605.27,194950788.16,67397778.07,276998048.67,115775181.92,342563187.84,45767273.15,280781416.11,286034087.98,153022638.86,183204323.50,0.0
5,营业税金及附加,299737130.22,10394840.51,4298450.39,1210084.22,16711007.82,5453464.23,3501348.54,488414.01,71414116.88,65456183.59,11297112.09,1403017.52,107682834.62,75321855.24,52347117.05,17867644.29,80155844.60,51907645.23,-4532604.97,8734467.10,179591794.11,119206511.09,104619009.04,79230241.05,160458680.22,35116187.19,29128170.94,13808106.88,112394545.50,93640105.13,50987318.05,8543745.53,44784608.35,33263462.88,20920475.20,8668806.24,182407236.17,72509950.89,62867111.12,27528575.71,56343380.07,50293425.78,14802713.36,7145433.34,71917489.27,52628723.29,40697159.45,22459829.17,106227190.69,33457442.19,21902141.31,6933362.88,49096125.96,30211350.35,20407645.09,12306327.87,49320727.60,23897356.14,7253265.42,3666075.87,16703507.92,13071451.03,10793641.08,3507101.75,13882999.52,10354926.47,8713523.66,487819.10,10043510.71,3553090.40,2844655.39,1066091.28,11163496.90,4607542.70,10556953.14,1484444.61,6845065.22,1757264.75,7554535.67,6200880.38,9195307.25,11084476.97,0.0
6,销售费用,65803317.49,34859439.39,18907220.27,11671200.01,54093320.85,25860673.78,16350180.98,8077178.91,39536419.82,25190175.67,19749553.64,8281758.40,46845857.76,34521513.41,22350423.02,13515953.54,79859719.28,34218570.46,14848617.25,8011903.58,49538702.13,36267979.22,28790712.50,21682510.09,50550391.21,10614977.52,6570624.68,6344875.66,33774877.55,18893992.25,13533787.49,8117213.08,53448526.24,22076960.66,14510740.92,5748852.14,37752077.43,15616541.73,6914560.23,6156126.99,36501773.91,8256554.15,4002363.82,2159331.67,20666721.24,9214178.82,5589206.02,2559587.86,18504644.83,5472282.27,3797809.06,1286333.22,16281076.28,13682009.02,3317662.66,1765799.64,16138660.29,7858009.03,5446141.77,2216092.15,12258942.10,7548402.33,5162851.94,1557044.65,10238246.53,7190670.43,4479963.77,2167067.04,5506641.58,3744601.84,2923660.63,1478433.86,5041927.24,1946858.14,2626340.29,1349888.60,1171615.49,508849.08,3027963.85,3577950.95,2239476.83,2443623.06,0.0
7,管理费用,52616604.39,36811776.01,25344609.19,11737488.69,57644766.63,37749850.38,25361422.62,9397253.70,60306545.68,38103312.97,27691382.05,15051737.34,55232151.98,35972028.18,25868143.77,11868948.32,81545495.79,41670602.33,24606886.15,13603260.22,83731609.92,55188162.39,36291621.20,15539992.19,82168866.84,58093423.91,38227543.61,24764225.34,127208867.14,72178936.26,44349014.55,22360079.66,90261394.34,62604356.28,40092613.73,17525126.15,93586280.04,42029228.01,26583290.68,14257075.59,82201093.73,41416571.30,25800242.58,13332339.86,81446762.80,55589160.74,38288245.39,25247390.10,76491305.16,34998615.17,20591845.85,14336331.79,73587598.05,40270985.92,20182247.17,12774507.65,52575606.83,30126950.16,16588508.45,5151064.39,37550926.93,25567955.49,19718182.56,9341575.79,57388712.99,20580632.92,8416833.54,9838551.17,61290009.42,29494910.90,19127562.30,8328329.61,26655594.71,17745394.46,19061068.78,11201371.45,23281238.15,9698649.83,17162337.20,19692196.91,9063542.89,8907072.44,0.0
8,财务费用,8474331.66,4080369.55,3328370.81,2188993.52,15713021.79,5372626.41,5250897.07,3506972.90,48626562.93,34171958.60,25640933.52,7749452.07,47585325.10,29946878.05,18445269.99,10594462.69,93726108.11,81824305.86,63281297.49,32835182.14,185037803.58,121615471.74,81005898.45,40175865.02,301254792.97,222524034.68,157292614.60,79038267.89,310594727.84,219653367.51,159743181.88,75262034.30,248134374.52,177285439.72,108012841.77,43533782.25,182580706.99,135086220.93,88764456.57,43564691.32,134182514.38,97876879.08,65732755.09,30541583.72,157008860.78,143479634.28,94521590.63,50899225.99,107494740.25,77753909.60,45007419.57,19796388.26,77322216.37,58766725.20,41010528.67,21391917.96,76747302.91,56980949.27,37307172.06,16842295.30,61602181.70,51589715.87,37081872.34,20000399.05,50015905.02,18847721.16,19567750.80,4945840.34,30628879.28,22083224.65,12882309.74,5481113.76,30004204.68,15176556.40,11055418.53,6430419.43,2735705.90,2845483.76,13699349.70,11159041.57,9705909.21,8011070.46,0.0
