,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1922956745.38,1275261891.44,609962721.05,2197507493.54,1592273066.79,1072287388.33,496484936.06,1750592393.66,1190881244.51,782116765.20,385812281.73,2102806895.51,1410011913.16,948347145.90,475801703.32,1783682352.15,1269321346.04,838546811.39,426153908.54,1620801191.95,1151452625.50,802515489.62,404470923.05,1602282477.43,1147122183.46,782089553.18,402003981.98,1542034451.31,1105360919.34,780814320.96,363573598.93,1415545180.08,1032833441.74,680172477.70,286532234.99,1178494580.77,853979923.03,569741720.79,257512848.15,1021983355.06,767542897.17,520620491.71,230990868.47,809630970.50,518648637.43,350527590.83,167066042.46,548633980.06,397397503.07,264372353.11,123229856.75,537608429.41,385640309.25,255645901.02,109899347.24,413899019.54,281020347.23,191817966.66,78066265.88,371693856.54,251526853.94,183340054.94,326216665.31,159177010.88,248136960.36,205982062.52,0.0
2,营业收入,1922956745.38,1275261891.44,609962721.05,2197507493.54,1592273066.79,1072287388.33,496484936.06,1750592393.66,1190881244.51,782116765.20,385812281.73,2102806895.51,1410011913.16,948347145.90,475801703.32,1783682352.15,1269321346.04,838546811.39,426153908.54,1620801191.95,1151452625.50,802515489.62,404470923.05,1602282477.43,1147122183.46,782089553.18,402003981.98,1542034451.31,1105360919.34,780814320.96,363573598.93,1415545180.08,1032833441.74,680172477.70,286532234.99,1178494580.77,853979923.03,569741720.79,257512848.15,1021983355.06,767542897.17,520620491.71,230990868.47,809630970.50,518648637.43,350527590.83,167066042.46,548633980.06,397397503.07,264372353.11,123229856.75,535599394.40,384198404.06,254819799.90,109562404.56,411790536.06,279527666.98,190879075.15,78025382.29,370989893.08,251079072.65,182994074.11,325644573.21,159093309.17,248116916.92,204905570.36,0.0
3,二、营业总成本,1619159210.23,1040647940.01,485334233.76,1889976528.77,1349590926.85,869054833.76,394566918.56,1486633077.74,980488400.58,601199232.36,294120787.51,1871721188.60,1216285632.44,795469179.80,396309214.31,1577062907.90,1073900054.32,700301718.96,354387487.33,1423716456.87,962609689.56,662590252.86,326956897.99,1408436153.58,973680878.21,652572886.37,327356510.11,1379232687.03,958490570.07,666979250.13,292643119.05,1242760281.29,875166426.81,557948695.95,227396314.13,1057645184.31,739697329.14,461413532.24,204759863.78,905203813.66,660225533.97,451664043.32,201923072.70,706641262.83,427197433.01,285703970.84,137789212.16,499137057.54,332663518.71,217432629.20,102933512.11,446973525.15,317084110.72,205636924.83,90540963.09,335813164.80,224679939.00,148751961.55,59812675.02,306129030.95,202494383.19,143192085.73,279620730.63,126277216.25,213319353.91,176117707.68,0.0
4,营业成本,1107604065.41,720902718.01,342652918.12,1206472130.00,886750801.37,584850299.95,261926520.42,874251708.62,578015554.82,363740633.81,184567799.90,1339435664.66,870361691.40,586567529.07,301212862.15,1079573190.26,745130488.01,487275906.57,256244700.45,943305359.49,640362610.34,444541806.51,235265539.44,916522590.89,651666360.23,434345005.87,234040598.12,900827606.05,645108526.91,456224955.82,206515611.32,857550139.89,627820749.25,404769934.17,157527186.62,733986804.73,526635378.08,324683081.79,138636657.95,634978657.45,481123479.32,331534109.79,142417091.19,494726617.05,303345190.02,201850067.81,96904098.17,312281853.03,229211866.59,149512754.31,73644006.46,277580363.03,203434662.83,129475669.29,59449505.91,173110689.96,120793673.68,78055627.11,36454314.79,159901549.67,109008681.75,79477389.18,132338334.56,64137593.37,84984530.24,68478458.21,0.0
5,营业税金及附加,15060272.58,10754258.79,5900775.78,21553137.35,15417127.52,10797091.20,5586102.55,21250096.81,14757735.68,9372223.71,4756924.41,16328820.55,10565867.87,7275847.85,3879623.50,13379707.54,10013711.61,6674362.83,3383225.52,15507094.94,11583662.77,8020781.29,4092625.08,15980469.92,11678336.27,8471483.85,4259910.10,16185725.68,11608742.70,7911354.55,4067388.33,14551436.92,10582148.87,7035623.32,3478755.12,10776244.17,7996059.46,5876192.13,2936135.91,9209943.26,6772648.25,4659843.16,2223891.97,8069478.61,5580046.60,3842133.64,1859250.39,5739227.26,3922128.01,2747141.46,1178287.80,6319391.12,4242607.01,2874323.95,987072.27,5537602.24,3451786.28,2357880.12,829213.90,5059277.52,3279545.42,2338072.15,4508744.41,2098730.02,3737636.90,3307527.46,0.0
6,销售费用,405986652.69,245053222.50,108253544.84,529629062.86,350115100.39,204006016.51,89883606.21,465033727.54,295176858.97,165901662.40,75705787.96,390412105.16,244058575.20,143552808.17,61544946.73,354720462.45,226061222.82,144154437.76,62720524.74,356472284.97,230335140.35,151051395.80,58240525.14,367161178.19,231696390.72,153811490.48,62070801.33,363071676.86,228900226.94,151730324.96,57659869.53,285566425.17,178485666.62,108267393.57,46275495.48,241904744.73,156817963.41,97757233.56,44633606.47,200588231.18,131797928.61,85413763.10,43387716.61,148779479.27,85953205.62,57136898.87,25711532.96,118010754.06,63959925.67,42341812.11,16462955.83,116650475.29,74994398.95,52694311.90,20586359.78,112476646.86,71739177.75,49738970.04,14965199.87,101736325.07,62477240.21,42665390.41,100010275.12,39851791.26,87667217.04,67671234.38,0.0
7,管理费用,61200034.63,41675274.74,15583567.69,93742126.15,63457738.33,68140510.00,33273137.38,126321627.37,91806181.09,61095648.76,28697783.25,123403046.47,91985229.68,59452704.18,28227858.44,127310594.94,92811985.64,62819203.26,29640680.20,117282144.33,86697098.95,59131316.53,28307141.79,114983081.73,79540401.00,54863499.83,24994330.63,102375686.33,71588514.60,46989641.34,22511782.50,81904863.02,56407050.38,37096366.86,18062372.15,69243509.67,49574833.55,34445347.75,17778330.33,61817388.34,39095823.84,25910214.29,12815993.12,54621525.29,32463363.26,21944197.91,12321858.96,59359202.52,35458608.30,23234123.24,12205057.50,51759866.94,37811381.34,24019062.00,11072876.65,48973787.07,32049423.98,21207197.77,8176993.54,41501656.36,27518423.29,18224211.95,42086613.94,19032081.31,34214073.60,33589273.60,0.0
8,财务费用,-7569727.03,-4600640.52,68022.99,-5304989.32,-2506495.02,-2110280.40,-1013223.47,-1967105.45,-2011997.08,-1630810.43,-284290.62,-1181177.61,569999.22,-1156258.58,339962.63,-2624577.64,-3435640.30,-3387238.23,-2470324.74,-11373707.74,-10598744.66,-5120765.69,-2189394.41,-10572592.95,-6648352.30,-4618060.73,-1773608.79,-6776338.62,-2521882.48,1301899.99,-545263.84,-2111969.13,-725451.36,-553564.83,-338672.88,-2473510.99,-2217117.01,-1327884.27,-661532.05,-2746344.55,-2215846.28,-84067.17,1438741.50,16697.09,-18770.17,401197.76,966339.25,1710439.63,649818.15,-179736.51,-368433.46,-5336571.23,-3398939.41,-3426442.31,-1554851.52,-4285561.33,-3354122.69,-2607713.49,-613047.08,-2069777.67,210492.52,487022.04,676762.60,1157020.29,2715896.13,3071214.03,0.0
9,研发费用,36877911.95,26863106.49,12215337.99,40888758.81,32800459.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,39978.18,2996302.92,3556194.28,3371196.50,4910775.47,1743022.85,2744067.10,2719874.11,676782.61,3322729.37,-1255730.93,-223450.89,1103960.86,4703530.35,3318286.54,2765046.77,4868681.16,2523280.88,4229921.81,4965718.42,3240460.95,4361425.80,5747742.29,5699467.07,3764478.72,3548330.73,3806441.40,2821073.47,2433731.21,5299385.42,2596263.05,1332942.86,2391177.64,4207392.00,890211.65,-20438.72,1436665.17,1355937.98,3651500.23,4230180.15,-360361.69,427465.52,-125602.32,529474.85,26132.43,2035581.04,-538828.01,-223465.41,-188362.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,7234894.81,-922587.33,20742378.68,-152621572.08,-144145226.56,-110772260.82,-39600067.82,48283713.65,25703480.16,461408.53,-964845.69,-457077.79,748472.20,255097.78,362175.46,2431608.61,-11693531.19,4832643.26,4388171.54,1456075.98,403538.01,-3509952.95,-4458514.23,-1906463.45,499653.26,-844679.59,1057380.09,26917133.44,3998619.58,2679100.00,13153114.98,-23804204.51,-6989979.55,-8722053.39,4394805.15,-7369331.16,-1125803.16,-12076682.01,-2716452.12,-9255541.97,-5688584.83,-4115666.58,10635710.60,10396234.20,-3975572.17,-3653606.11,-8347534.44,2935918.34,13169104.91,-5098035.10,-416284.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,19950970.75,13557769.41,6474016.87,25355920.44,24117571.68,17162118.23,8737723.81,40622844.35,28990167.82,18527323.33,7628180.79,30708779.89,25780359.16,16807214.19,7181667.52,28321091.68,20386213.40,16604596.95,5847943.56,16708617.70,12587194.62,9298048.17,7942395.31,10925052.04,7960737.67,6774099.48,5353449.83,-2343767.26,13532161.94,13315157.85,-8413525.12,4933117.11,6186074.33,6078013.76,3172543.73,22738546.77,13445899.51,6606728.35,11660546.24,107084741.26,85097365.29,62298633.11,28109281.03,-27420169.57,-3721574.44,-3383952.98,-6520023.84,133601947.80,103120019.31,84974406.62,41076724.41,1658285.94,-1715891.40,-1209279.63,-786764.69,-2929306.28,-2093483.98,-1392309.21,-907439.90,-1098898.84,-79222.49,126922.52,-190694.19,1101040.55,1244972.85,1649316.91,0.0
