,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2358564324.45,1642579794.10,822313750.58,3324078265.78,2396648240.63,1580502489.40,707844757.10,2976771644.51,1987236637.44,1225632600.83,501196830.07,2736697077.39,1854942618.80,1216930561.84,567773907.19,2334760837.13,1646612836.81,1138644975.94,524888874.41,2240099344.17,1645396753.93,1134306644.26,523815761.10,1956861171.05,1330802905.33,864605759.32,389296784.32,1445463170.08,1023904322.87,665602132.12,314664239.12,1145230667.95,809481664.08,551600126.89,265894560.38,1113327767.35,779483792.24,523628407.05,258750456.28,1025515498.78,731345281.03,490855282.69,231773766.55,927821791.82,671702331.71,467121992.76,228620936.37,845146602.11,580858307.55,385678585.93,204050021.64,769313660.01,590794960.14,408924297.17,241484625.16,768403083.44,548364120.40,368091895.61,224433834.54,824365167.82,520786314.41,344416644.68,192609853.58,676292502.14,401279483.50,304492565.33,149350805.45,571509994.78,389195517.93,296726467.32,142642253.76,446791714.12,250829906.61,77409831.00,314981477.66,175820635.27,423754095.73,205829743.70,372948840.23,165682345.99,331055665.97,154827998.28,242752733.81,116521990.00,173264972.42,123625938.00,101312443.00,0.0
2,营业收入,2358564324.45,1642579794.10,822313750.58,3324078265.78,2396648240.63,1580502489.40,707844757.10,2976771644.51,1987236637.44,1225632600.83,501196830.07,2736697077.39,1854942618.80,1216930561.84,567773907.19,2334760837.13,1646612836.81,1138644975.94,524888874.41,2240099344.17,1645396753.93,1134306644.26,523815761.10,1956861171.05,1330802905.33,864605759.32,389296784.32,1445463170.08,1023904322.87,665602132.12,314664239.12,1145230667.95,809481664.08,551600126.89,265894560.38,1113327767.35,779483792.24,523628407.05,258750456.28,1025515498.78,731345281.03,490855282.69,231773766.55,927821791.82,671702331.71,467121992.76,228620936.37,845146602.11,580858307.55,385678585.93,204050021.64,770228862.53,590674457.63,408886279.20,241485726.39,767321745.75,547695393.38,368202673.09,224112534.54,820775199.94,520690455.11,344228888.18,192576849.20,673733886.27,405221120.81,304993000.13,149823476.42,573816269.74,388876645.26,296472302.66,142529794.09,445762800.31,250367062.87,77230198.34,314183034.49,175447658.60,423008775.50,205810340.52,368057704.69,165393761.31,330445704.73,154523149.67,242689635.21,116521990.00,173133540.46,123625938.00,101312443.00,0.0
3,二、营业总成本,2128980183.92,1463774159.08,793780995.31,3093741371.94,2149817594.18,1399527071.76,633618248.99,2641071452.38,1724181510.69,1052393998.69,443699385.98,2413929888.93,1544738708.42,999320869.38,476122557.75,2026621900.29,1399192769.25,963306733.54,464208209.84,1899388280.19,1355284942.66,924965844.45,450891262.09,1763743210.36,1147153299.01,722709950.42,333512440.66,1302584399.68,874044000.03,560789356.77,267488371.07,1058346568.46,690911564.42,471049455.33,224438987.40,1005470327.22,681427623.90,465904962.94,237012923.42,901848424.68,611331802.38,417921206.62,204672233.05,855536569.97,621413146.86,408093912.93,211299188.54,785650391.73,531020191.92,346427712.96,192405218.46,664019960.52,537659254.35,357936078.31,200939552.31,675390408.68,454407257.04,284095091.66,176645408.55,678568336.60,413579434.47,264635324.47,153159128.58,569678853.76,359091861.15,270286434.41,123586572.02,490179172.41,318646428.79,235451020.75,118245598.63,408247885.54,188645134.64,67237368.82,276797497.27,149145060.59,338168397.94,142688637.15,276115888.81,116566372.77,225152679.15,0,203066413.12,0,145252343.38,0,0,0.0
4,营业成本,690253435.53,479094086.64,217201411.05,930699461.09,665224272.43,442869442.13,192398360.92,870663773.79,602173635.18,385184878.98,161636866.19,792905719.79,525517788.08,358473711.20,169955813.49,724846352.40,518857408.24,409988468.94,189417763.46,693776808.02,495706928.23,332947801.88,155745747.47,627438666.75,434276307.73,276667761.08,119338087.94,499026311.82,330525839.28,229944906.94,115901367.77,412723164.11,282265468.53,191074896.06,86702827.24,356862313.48,242705788.19,160239671.62,77535330.07,357370082.70,237961122.06,166810835.32,93657650.38,342889146.11,244882864.50,169062370.38,96754181.80,314413925.67,193611942.66,128939541.52,93367440.56,266457859.95,222738011.31,141790309.19,95980324.62,287671496.60,201632487.47,122007990.09,89269120.90,325680757.50,209664751.97,140101698.01,77590267.82,255964714.67,162603496.03,132731965.57,76078609.27,220175800.11,143641915.73,115746025.94,74063255.74,157867903.32,97167390.23,39106092.91,100902502.98,65381948.26,138796145.55,61643832.72,115376748.32,50413282.84,98500164.89,0,71447104.15,0,63506915.02,0,0,0.0
5,营业税金及附加,43559183.19,30637617.91,17114539.78,68334842.03,50668054.64,33889770.38,15646320.92,62549584.19,43522319.17,26726269.93,11576617.72,53934231.77,28586924.84,18678852.12,8663067.31,35787703.53,24510846.27,16199681.17,8204331.15,31737818.68,23843214.50,16017791.19,7837775.36,27087658.74,18367758.53,11603139.30,5117978.02,20952799.55,15751280.41,10411609.88,4768958.13,15087912.81,10614212.75,7395501.87,3255257.03,13916754.58,10439155.15,7266410.20,3199102.86,15144187.20,11037263.76,7225384.69,2695871.81,14346215.24,10170260.65,6835508.78,3075111.79,13227322.57,8930763.29,5612108.62,2276491.68,12992709.89,8750368.92,5741403.85,2109492.00,12509711.19,8504786.91,5886009.01,2542527.88,12619193.68,7655275.15,3230012.51,1461576.97,7747001.76,4694361.41,2980915.56,1217364.05,6351530.72,3990729.62,2900097.31,1206782.72,5333820.92,3233218.80,1495810.22,3268323.59,2224892.29,6056854.72,2812987.52,5503823.61,2015636.15,4806554.81,0,2672127.66,0,2363601.97,0,0,0.0
6,销售费用,1032961098.15,722166384.58,415240426.44,1557903986.38,1114112855.59,726998632.43,357556660.10,1388818770.97,912191807.99,538025529.90,224144847.36,1135746507.41,788557651.17,487208843.75,229751977.71,912421800.95,644444421.24,412639841.25,209056685.16,893253343.65,646375561.08,443126587.75,223958663.16,822251066.24,535404465.09,321813144.11,162590514.11,590258551.36,416895940.35,249449021.86,110509919.09,418568301.42,284224603.29,203084564.68,109823880.07,457924424.29,321118834.47,218319981.11,116642519.68,359375593.36,276390432.12,177534178.84,78424552.09,345164417.25,263064900.76,160258727.88,77719139.19,298043135.71,223143234.62,143430708.28,66313990.43,242290520.93,211107403.12,146252599.67,73434234.61,241206576.99,164469085.84,112378254.24,60324717.15,222186061.59,130447671.82,93865071.60,54374308.39,199875043.00,112995476.89,78202609.76,30135696.35,171810480.52,106984340.63,73976261.57,27933013.96,137583040.90,60797446.15,16343438.00,119903784.54,57820096.71,138292736.99,60135185.08,129203962.90,51377400.70,97853032.18,0,97700901.27,0,68745227.83,0,0,0.0
7,管理费用,229128762.46,149404724.81,78466318.57,377725425.70,206731871.88,165300798.75,57095667.91,327793250.76,161516849.60,99263823.00,42583840.09,367472233.99,175412012.34,115792847.25,52917672.46,354833032.36,205790046.56,116215013.56,46747057.80,301256185.11,181410228.91,121892315.88,41822908.47,262345398.99,156553645.77,104784882.27,38074768.99,198644734.23,120537702.80,73585056.57,35907527.86,169445146.99,124465323.84,72215510.23,30485000.51,161529938.63,94238608.89,61096127.41,31893198.12,162007136.70,89364121.11,56896803.23,29018911.41,145045327.98,86641681.41,57477929.09,28167525.59,126831339.96,76268364.60,49415737.15,22044067.93,124364758.56,76623635.17,52951979.36,21341865.98,118977591.65,70757440.67,40342435.39,17234062.82,120525029.83,65132518.76,34536037.55,16803129.51,100064732.75,64313732.15,47051843.82,10871376.56,82825688.05,60151299.86,40767421.46,11284424.65,99077719.31,22705098.73,8042406.23,34424821.44,18085811.58,50058866.98,16273680.96,27714173.93,11994575.95,19145656.83,0,23337147.89,0,8550395.73,0,0,0.0
8,财务费用,22383206.98,11877469.99,8129709.69,44324686.19,31812080.44,17493859.86,711701.32,-32970848.98,-7461771.97,-2808000.46,-564074.16,9733799.51,12420692.74,8911456.10,4829085.55,-7336726.70,-12923500.52,-7131298.10,-3156261.05,-34154648.84,-13932956.66,-4598453.67,-1062341.16,-18650591.30,-9462974.88,-516893.79,1029234.01,-17864929.49,-9684062.41,-4379990.06,-610560.01,-24520383.21,-13800270.02,-6427197.28,-1013109.24,-10843014.53,-10144599.54,-4087064.14,-699495.55,-15134032.91,-12631878.82,243262.39,571204.58,13024028.33,12053087.48,9848438.69,4085507.54,33385303.19,30699617.08,20663347.72,8403227.86,17914111.19,18439835.83,11199786.24,8073635.10,15025032.25,9043456.15,3480402.93,7274979.80,-2442706.00,679216.77,-7097495.20,2929845.89,6027361.58,14484794.67,9319099.70,5283525.79,9015673.01,3878142.95,2061214.47,3758121.56,8385401.09,4741980.73,2249621.46,17720674.28,5632311.75,4283498.70,1822950.87,-1682819.95,765477.13,4847270.44,0,7909132.15,0,2086202.83,0,0,0.0
