,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3525238122.24,2610749502.96,1691640822.85,804063401.00,3328553963.17,2290642594.53,1489035729.78,690326657.69,3182743792.32,2280331808.96,1512613253.82,657602206.76,2864885512.19,1987274320.86,1278271451.55,520548192.58,2446684074.68,1679243747.57,1107602154.45,447621391.10,2194240470.52,1532324860.20,1025777632.43,412345721.85,1972855085.34,1311654821.06,859891160.01,356608713.81,1583422733.47,1042512677.50,688706250.72,292655394.68,1256527271.35,869104696.58,574279378.62,242615470.20,979443766.84,691524133.54,483303615.44,245192058.16,904270114.64,676877620.73,459585880.88,243820065.04,801429486.46,548035261.56,412425609.01,221324875.30,679777224.92,507888440.96,324287184.19,137422644.24,603482730.89,425975120.75,294087318.85,134392921.30,667071867.83,475250129.68,317343749.35,144427963.58,605580539.08,452339674.76,284798799.14,127511925.29,687341443.20,342939267.72,582022085.37,560414229.73,0.0
2,营业收入,3525238122.24,2610749502.96,1691640822.85,804063401.00,3328553963.17,2290642594.53,1489035729.78,690326657.69,3182743792.32,2280331808.96,1512613253.82,657602206.76,2864885512.19,1987274320.86,1278271451.55,520548192.58,2446684074.68,1679243747.57,1107602154.45,447621391.10,2194240470.52,1532324860.20,1025777632.43,412345721.85,1972855085.34,1311654821.06,859891160.01,356608713.81,1583422733.47,1042512677.50,688706250.72,292655394.68,1256527271.35,869104696.58,574279378.62,242615470.20,979443766.84,691524133.54,483303615.44,245192058.16,904270114.64,676877620.73,459585880.88,243820065.04,801429486.46,548035261.56,412425609.01,221324875.30,679777224.92,507888440.96,324287184.19,137422644.24,602686103.10,425115323.67,293560325.62,134193568.65,665825902.48,474355939.42,316719829.29,144301701.47,604927872.57,451843997.47,284463018.21,127343958.26,686800188.80,342742088.75,582027410.17,560211954.61,0.0
3,二、营业总成本,3145710312.06,2372291699.34,1566022191.65,742722726.16,3032962511.04,2127313035.15,1412118492.64,646179676.08,2943054105.30,2157156359.32,1456233953.18,619073328.68,2681395852.60,1906469028.68,1239037175.50,498940454.44,2361571879.62,1632002525.72,1076899392.96,431877460.71,2075857235.16,1462922559.06,984690565.75,394032685.40,1824698011.66,1230617882.15,806925331.93,334441893.60,1451212005.18,960092214.38,629897452.39,267189264.15,1138000459.12,790754395.34,516115697.73,219025738.07,902738175.22,623666830.19,429802007.80,210409556.13,764661746.52,574714355.56,397865407.51,207420575.57,690353319.64,453582704.59,365557975.63,189665460.73,613270185.42,473508326.53,332515697.44,147522008.12,545838140.29,377569639.80,262504710.23,123332087.54,600239763.73,424816081.74,286005897.47,132083475.32,553334175.85,410147651.55,255041088.54,113687499.09,616412354.74,309662473.98,521782282.79,508757538.27,0.0
4,营业成本,1918690938.79,1440334877.93,941776683.90,417413754.45,1776271447.61,1196652742.27,782564513.64,366237543.77,1743230679.27,1308333809.03,844879289.73,350691408.53,1573323913.79,1106982824.24,756064366.07,323133311.66,1311507810.56,929383005.94,619919616.98,268919865.80,1141091844.92,831550549.39,578633696.42,248744297.96,1006817088.88,681517946.56,451105470.88,194502668.34,786314721.81,512860223.73,340860519.87,151708206.59,603537960.27,413644076.72,267105077.28,102705073.72,427854949.22,282962335.94,191273604.89,92583296.40,360833075.82,269864390.51,184993201.48,98750536.62,345792702.28,206316892.86,175194911.92,92783800.08,322306153.13,227031300.01,144192146.90,61673905.71,309368462.58,219399787.02,163171585.76,77570843.31,423793631.19,300185800.92,203047502.85,94946039.75,409395935.23,306909383.45,183986275.45,86799977.20,476095902.87,242709310.82,405901254.57,417276319.62,0.0
5,营业税金及附加,37750513.91,27450340.62,18214569.86,9072166.46,40364954.18,29211913.47,19020647.31,9410739.96,40142284.84,26893025.09,16859157.36,7212943.10,33829059.50,18110419.10,11322240.91,4239840.73,24970359.69,16571619.84,10827105.82,3995227.58,22889850.56,15358116.51,9296599.71,2989117.41,23617374.95,14522138.71,9616233.31,3794107.40,19416919.03,12288417.03,7988323.68,3152735.85,16554443.64,11326528.47,7462510.56,3045294.70,12005244.15,8785963.92,6025467.90,2879711.31,12420701.78,9118082.63,6141703.64,3331292.23,10711599.20,7846192.51,4930808.03,2856388.83,7280214.15,5517374.08,3518094.54,1466916.10,6115300.23,4928429.61,2490429.24,1124514.09,4447416.06,3306877.59,2260697.52,1048545.62,3349433.73,2611711.24,1876048.38,750770.60,3970399.66,1779460.49,3058633.84,2755929.28,0.0
6,销售费用,938862330.58,732858642.13,489434659.26,254758304.08,994172390.75,731566845.08,485365395.97,214393543.55,942518774.64,642625934.21,465729260.03,202116258.81,861899351.04,622194365.64,374721855.58,128968934.86,801827492.02,533361514.28,345613473.11,117322443.95,724882894.40,490628281.25,316178103.94,104318511.79,624388920.50,410161479.30,265043058.46,99351770.05,508754997.62,345956908.76,220997472.94,87300612.76,428559558.54,301773088.61,199559070.71,91889917.21,379736304.11,277386997.46,193778330.05,97816806.89,321076249.80,248115225.16,171996723.63,88825826.36,275445238.66,199463032.43,152185252.07,80312457.96,221324662.76,192803421.67,144239080.31,71845336.96,173988209.94,119558457.89,74592061.21,33752265.26,124440575.64,87607331.09,59001667.82,25835906.70,98613709.62,69813033.78,46731741.44,14852073.72,94700064.72,42171684.43,77727305.58,61069690.74,0.0
7,管理费用,182464612.82,133661144.43,82726937.70,41580183.58,153214935.54,111730018.87,120533879.58,54088628.20,220377304.12,174714619.56,123157806.14,54547406.18,215922713.18,157174618.92,95512094.58,39667947.47,216122346.55,140080192.81,89017897.92,34450552.44,176552989.10,113667567.41,72602934.87,31696422.06,162388020.81,113587577.58,72182716.23,29671641.94,135560721.82,84230464.24,60628500.02,25987208.59,91422475.76,66090389.27,43424444.17,22125847.24,82229089.86,55002401.51,38859265.31,17260113.65,71004635.67,47771167.21,34088664.26,15879900.03,59095051.26,39459941.73,31584525.05,13290378.85,54291791.28,40598882.64,34269393.52,11942348.05,57582131.67,34490798.39,22785559.93,11112733.31,49119412.73,35311445.16,23005026.98,10980005.90,44374596.84,32572394.50,22320357.67,11222253.42,43652738.28,23418611.03,37309981.64,29025812.48,0.0
8,财务费用,-37420708.10,-25183583.63,-15676784.56,-6157880.62,-18708033.04,-11036723.83,-6716456.62,-3356346.09,-8285711.50,-7593137.29,-5565172.21,-2367207.88,-6826631.94,-5041331.02,-4698257.63,-2500065.42,2717214.93,3175738.28,2651541.17,1046679.40,5262491.94,3285183.63,2581181.26,2190125.54,4305309.28,3784920.78,2451883.71,1457101.78,620370.78,-44706.80,177592.36,-970346.08,-3796093.13,-2582285.30,-1938450.06,-741576.80,-932168.00,-852307.34,-520700.64,-135986.12,-961521.80,-746356.14,50227.24,-222914.31,-1909345.31,-1472445.37,-717503.23,-26386.97,724107.09,-230114.91,-127647.07,593501.30,-1215964.13,-807833.11,-534925.91,-228268.43,-1561271.89,-1595373.02,-1308997.70,-727022.65,-2399499.57,-1758871.42,126665.60,62424.15,-2006750.79,-416592.79,-2214892.84,-1370213.85,0.0
