,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1297929255.89,6849043376.68,4519364376.13,2699014398.89,1344772560.55,5471102912.14,3835582152.93,2412763624.84,1013992911.64,4775779486.94,3189209879.41,2044728817.76,947255825.56,3960273298.06,2561615324.71,1716975495.37,850074961.48,3937684793.19,2739023175.78,1615920917.63,795052559.48,4071898249.01,2595915827.60,1606458136.90,754261425.40,3581286564.78,2283065420.85,1524877522.05,842397677.56,3638475498.21,2649306786.73,1758831564.69,1040003451.33,3145455229.92,2205929484.91,1443724015.20,731844796.98,2581438766.76,1876817256.34,1227958990.71,685108811.08,2273159397.27,1714401575.27,1195763640.14,606684352.75,2146809996.75,1673961203.70,1110904278.74,480320829.81,1828650065.08,1360329984.79,848098684.43,362843395.28,1522732107.62,1025554390.86,669308745.82,329636998.47,1338722063.97,948535833.15,611950797.79,265619788.22,1313213443.55,780578466.86,522146802.93,176483268.40,966354197.36,634501452.40,393732470.18,149050702.93,640761155.91,427509905.22,249975327.87,82494677.29,399541239.84,262675419.83,165806551.47,86626000.00,230534439.31,115220494.36,218150192.89,136930860.19,299849965.24,174940066.91,459255199.00,234044992.96,530644044.73,316965571.49,511948962.35,223735700.00,587484110.00,364618037.57,878292327.67,626983000.00,418410000.00,0.0
2,营业收入,1297929255.89,6849043376.68,4519364376.13,2699014398.89,1344772560.55,5471102912.14,3835582152.93,2412763624.84,1013992911.64,4775779486.94,3189209879.41,2044728817.76,947255825.56,3960273298.06,2561615324.71,1716975495.37,850074961.48,3937684793.19,2739023175.78,1615920917.63,795052559.48,4071898249.01,2595915827.60,1606458136.90,754261425.40,3581286564.78,2283065420.85,1524877522.05,842397677.56,3638475498.21,2649306786.73,1758831564.69,1040003451.33,3145455229.92,2205929484.91,1443724015.20,731844796.98,2581438766.76,1876817256.34,1227958990.71,685108811.08,2273159397.27,1714401575.27,1195763640.14,606684352.75,2146809996.75,1673961203.70,1110904278.74,480320829.81,1828650065.08,1360329984.79,848098684.43,362843395.28,1521849753.97,1024390212.91,668573416.63,329288497.12,1336822430.56,947657398.55,611301053.10,265549834.36,1311488207.61,780097755.37,521882474.92,176157633.78,964717881.55,632887084.83,392666756.64,149539009.46,639696569.21,427105656.27,249697813.53,82465512.95,397354165.99,260326787.44,164869303.01,86023100.00,231286851.22,114145260.91,213959230.51,134977615.77,295344973.70,172592064.31,455288478.32,233182353.60,529468249.06,315463661.95,511989923.97,221816900.00,581888250.00,362993528.05,875717251.01,626983000.00,418410000.00,0.0
3,二、营业总成本,1001997179.67,5914437726.56,3865817292.98,2219713759.70,1120613009.66,4776156746.03,3289747057.80,2084353195.75,861162262.14,4323508137.91,2822348336.09,1806385656.64,848646600.47,3620155884.99,2301126977.21,1527021184.35,771601174.13,3673762701.54,2543069094.44,1491374269.91,717641656.48,3774674466.80,2382412224.85,1456326095.38,679984657.20,3361692793.29,2070516554.13,1371033890.91,771227970.99,3386223233.57,2453510311.93,1610497794.34,966189123.18,2913580518.77,2014430260.88,1311720382.64,664291754.36,2387046334.15,1688265180.29,1093264072.45,617047444.20,2093168325.92,1536052379.15,1065119028.14,546863976.45,1961052727.66,1489715846.43,967815216.55,426520872.35,1686866285.41,1264791497.91,787453630.44,331599575.73,1447075518.93,962866371.29,628650990.11,304289648.58,1268656355.31,898228124.98,579265744.83,246896480.26,1245878629.27,729157352.03,488133181.09,166188118.77,905111194.86,587816819.38,365708506.91,139411592.30,593702299.82,388103441.84,226748048.16,74444302.73,361501002.03,236962910.81,153056252.43,93147000.00,341636958.72,151900087.22,403985640.84,164386366.59,358628047.77,175459717.95,454302382.58,0,526984205.49,0,524451554.84,0,0,0,799528023.74,581794000.00,438960000.00,0.0
4,营业成本,822603331.09,4791831808.02,3168396193.54,1824055659.08,938375953.71,3942405708.91,2708786912.43,1715192151.86,689188664.57,3502435806.53,2286659056.42,1457847329.59,691371099.32,2817372068.92,1798145834.18,1203385270.20,607174038.23,2864166857.08,2016384756.70,1168233572.69,571696173.52,2931787384.98,1854122667.52,1112153587.04,515331867.76,2729596776.89,1721717325.21,1149391531.44,659423499.55,2892786686.01,2118126002.10,1395330860.52,871075580.27,2376392571.60,1680855430.48,1092812053.27,561100156.08,1906509216.43,1385026513.45,900002046.16,520556555.98,1683868708.32,1268099883.59,884233935.32,466185571.62,1576485209.43,1234753309.93,818764519.69,363576837.80,1382629028.06,1046227777.37,636270210.19,278052797.44,1150989969.02,775625949.82,505829753.36,253876294.31,1029800650.05,730980788.64,464644962.25,204449001.73,1037970920.70,629386682.35,424334852.89,138691452.91,745918854.30,500432547.80,311349322.80,113474149.40,481812502.26,326887745.07,190207598.17,62660707.40,288942796.52,189560159.53,123277508.99,77101500.00,232826123.78,115035006.86,206742420.65,126203178.58,267490659.24,147239000.06,383286370.28,0,452729364.53,0,461260136.90,0,0,0,687521205.42,528644000.00,412804000.00,0.0
5,营业税金及附加,5138659.11,17331229.12,11166754.52,8118201.63,3447308.01,17358363.51,12754448.63,9383227.67,3814645.12,16490348.01,11442977.45,8647411.35,4923484.07,13644329.22,9984946.44,8094048.03,5661498.66,18700279.55,10703052.64,6608782.31,3574087.52,21210910.31,11790394.64,5820593.76,2651769.51,8770615.09,9779947.19,5982052.46,2152864.52,11872827.58,3258507.92,-1162824.84,-4750703.14,34840275.74,18896484.21,15566529.87,6463856.26,24542071.38,14765543.03,10712375.02,6635251.55,17835467.73,12054185.70,9812905.09,3183717.40,19268488.33,13014344.18,9926112.15,5223145.03,13695875.11,10979345.44,7767408.55,4534067.06,13584608.27,7693319.66,4206553.85,927313.30,14439789.51,11283177.73,7440627.43,3206037.22,8053620.55,5720231.12,3977213.53,1098261.88,7187566.65,4902782.33,1793500.89,1261598.75,5571639.18,7606649.57,4462463.91,1914841.39,8440474.71,4608884.16,2577462.62,0,238792.08,195393.18,791899.75,647139.40,791039.60,106532.79,227460.13,0,285321.17,0,270785.00,0,0,0,40158726.41,53150000.00,26156000.00,0.0
6,销售费用,33380646.23,173482141.88,122117887.70,76577928.85,36714075.75,150330268.41,110071060.87,73334447.45,33366191.37,138839154.20,96734431.38,63222051.16,30461599.10,131042791.10,87848722.75,58441709.82,28169626.74,117736404.22,83238930.98,57804638.01,27364909.82,124746050.04,88795451.94,58620120.82,28959521.44,121400704.02,79946692.56,51869504.47,24840261.08,116447811.54,80349616.11,51731888.46,24720739.21,98858898.72,67430184.38,44756230.57,22243507.53,91015215.20,61176039.74,38857149.84,18809002.04,85270524.68,59917822.79,39670569.14,18564657.52,106792846.40,73800070.13,46161261.90,23025404.06,104111858.70,75068364.15,47497644.26,21795362.28,102583266.88,70362809.45,45853022.84,22978035.01,72493684.97,50801756.21,32254761.70,13894876.94,53304427.55,34681576.12,22792995.30,9680458.55,38583317.29,25358046.37,15958576.27,6421122.06,20578795.33,13925019.82,8850426.82,3114924.48,11921326.21,6991827.82,4024542.63,1586400.00,1767634.89,949666.38,1872432.90,833502.71,1868952.47,874577.37,238766.39,0,442544.56,0,237333.23,0,0,0,3022585.49,0,0,0.0
7,管理费用,43715535.17,246197334.98,148950664.74,88053221.24,39823995.10,171138384.37,122871450.36,309733711.22,133405334.56,680071813.14,452134169.31,297782452.00,125701473.69,663657092.72,440592301.70,287350328.65,133306059.91,658649707.62,435889851.85,260920225.66,117648281.42,645328382.49,416348859.93,266009354.00,131258293.64,461590506.22,252242712.24,159333156.43,82743650.30,346751688.38,242241409.48,157859066.00,73983004.86,392038897.44,250813700.61,162955816.43,80261381.36,356945898.12,225635463.76,142603144.23,71168475.11,299836669.93,193201604.59,127515622.44,59192245.17,264631087.12,172378544.35,97055925.78,38543655.50,185554362.82,130682370.15,92715252.38,26998640.60,179090087.58,108821779.91,72689912.78,26317280.69,151560044.24,104927604.64,75077424.15,25446893.35,146630290.43,59115412.05,36998727.83,16761348.56,113299147.57,57265790.72,36702167.53,18447252.66,86440461.36,40221467.35,23859249.91,7123256.94,49091665.80,32517929.70,19805631.81,11086500.00,88247164.00,29641197.14,163510443.16,29515378.60,66889134.00,24149919.39,55214775.30,0,60068909.60,0,49288416.89,0,0,0,57324969.86,0,0,0.0
8,财务费用,-9767971.17,-38158695.38,-31707195.99,-23873753.20,-6800788.06,-26198760.95,-13209676.52,-7940993.71,1387426.52,-24336163.78,-11678438.01,-8173813.81,-3811055.71,-19820061.46,-12388299.08,-7370125.07,-2710049.41,-9065625.13,-4545016.98,-3302946.41,-2511285.61,-2637348.76,-1265930.65,1137791.04,1800514.50,10002706.62,5815254.66,3443023.84,2073096.91,-747516.16,-479821.50,1863671.16,1160501.98,-8141597.50,-7799921.68,-8604670.03,-5777146.87,2167181.75,766684.81,194421.70,-121840.48,-2166049.10,-1175456.83,-412829.16,-262215.26,-7748499.26,-1910936.24,-1775099.61,-3872100.52,393207.68,61583.99,1489521.70,218708.35,827587.18,362512.45,71747.28,190725.27,362186.54,234797.76,-152030.70,-100328.98,-80629.96,253450.39,29391.54,-43403.13,122309.05,-142347.84,-95060.58,-192530.57,-701098.31,-537439.97,-631690.65,-369427.48,3104738.79,3284109.60,3371106.38,3372600.00,16046477.78,7066577.80,18782055.63,7187167.30,16409762.29,2807138.92,15335010.48,0,13458065.63,0,13394882.82,0,0,0,11500536.56,0,0,0.0
