,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,258840384.90,162880795.50,78658451.35,220239773.76,46743673.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,1865270.18,2011963478.94,1846531178.92,1843864852.25,12513096.29,97629469.46,-9127613.02,-210072.11,-21121214.00,10474083.83,6794507.96,2554227.45,-14742.56,7294209.38,768866.68,-257496.72,-954727.83,19915483.43,-762629.15,-265173.66,-391783.30,310255.12,-616090.54,86880.12,-132166.57,-22412675.19,365845.81,-334999.32,-21691.77,4488239.68,32036.85,32036.85,0,-1900465.55,-1391185.05,-1391185.05,0,7279959.86,-7883.91,14062.74,0,-837398.33,-2973845.84,-2922097.31,-961122.67,19731461.84,-1593791.37,-569437.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181350.48,186848.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15874954.10,11085714.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,1547237.60,982450.31,980383.81,-70715733.29,823313.40,1254847.43,856199.73,70676087.02,70252071.02,-1220303.84,-595760.92,4975917.85,6389237.03,152025.55,108888.24,436544169.94,436845524.04,431260952.64,0,11337082.32,11159073.04,4625093.04,2763569.24,4061274.14,1861527.01,3.21,3.21,95102669.75,86800000.00,86800000.00,86800000.00,32216148.00,-6235852.00,-6235852.00,0,-1538300.20,7500000.00,0,0,9484025.23,6012000.00,6012000.00,0,25619030.42,17082168.20,17112000.00,0,23756232.84,22710635.31,4834681.42,0,7227678.24,24211992.11,24067287.12,1146908.56,14866297.12,3628301.85,784857.63,839835.33,6380552.29,-72235.80,-193173.15,14041.81,17675185.40,3680411.60,1434194.44,680795.52,-14138979.91,-7151996.67,-5304495.20,-3282571.46,903196.61,2824527.11,-3538862.20,-6321430.25,-13629811.47,329170.00,1828405.52,75938.24,14400534.64,8842344.05,10645724.44,1389525.13,9553374.11,5209126.36,3224000.00,2139600.00,2598550.81,201000.00,0.0
13,其中:对联营企业和合营企业的投资收益,0,982450.31,980383.81,1729636.56,823313.40,1254847.43,856199.73,1358959.64,1346516.12,-1220303.84,-595760.92,-2285567.80,0,0,0,-708665.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12754141.52,0,0,0,3374324.13,0,0,0,9115669.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1855353940.71,1381902806.01,471111044.33,-266904839.45,-799698697.70,-1340441493.54,196523169.68,1115362365.57,684089345.03,254108806.87,-10074396.53,499938856.45,-470642902.12,-274791453.38,-183135479.99,563634663.40,61748295.78,240688470.27,-159868188.73,523907257.29,133605976.76,124537363.51,79990927.40,173661743.93,114631293.66,95524460.39,62646110.98,222174220.77,164842903.87,155973623.84,130903611.71,102816758.53,75699673.77,64648135.22,47053648.93,100208134.52,98553820.48,77656810.16,47838527.22,110880216.20,78516767.85,62684748.31,38626424.38,111850776.37,93559533.47,75139641.42,37622202.30,107211657.78,109786582.40,75133686.30,38946014.78,155826958.79,101259313.66,55700089.54,37047308.02,91837254.95,63767686.17,50967504.36,31366261.26,80619555.99,58166841.61,44307103.46,30470478.05,99477263.71,50484425.38,39068251.65,26270509.64,91255345.75,58358678.29,42173510.75,30291464.65,76285869.55,45316056.36,77226268.36,44555321.13,70094805.82,47994937.22,79899754.05,41995546.94,74637550.15,25118464.47,37700770.38,28004757.02,56656962.85,29081668.65,58080000.00,34494432.74,41927045.96,33222600.00,0.0
16,加:营业外收入,1717657.43,875277.15,151832.77,1975472.68,241065.42,100059.62,68062.04,998298.06,4216530.50,3253448.24,569518.00,7856981.50,4109575.99,693083.70,71540.98,7463704.35,2731075.57,2581851.70,1138189.58,5244984.79,3593836.81,794536.27,733682.79,3639122.39,649918.68,227319.78,151716.50,2550870.66,812980.88,689819.07,162672.64,1641725.64,570471.34,458650.50,93600.00,1842487.98,428376.77,115057.49,6041.40,465932.84,2156263.87,340715.26,61492.00,6654350.89,6510018.43,7802424.11,3522560.39,3237307.72,995497.98,772127.68,592251.93,375393.74,225342.95,100040.75,48632.19,384687.28,222350.33,134617.91,34879.37,945603.34,583266.26,477309.14,6911.96,4332820.42,4478225.08,4450010.83,20909.97,613780.13,296891.08,170065.36,81153.17,8234638.22,4180218.45,1738056.03,970988.14,617299.29,173320.81,1269953.73,855229.07,1864165.28,0,3502378.54,0,190940.35,0,0,140156.25,535906.15,201000.00,0.0
17,减：营业外支出,1579567.19,679067.22,65053.27,14226690.72,1849416.20,854348.64,62439.10,22684826.98,4115824.64,1685326.56,156880.29,7156154.46,2906626.21,2640968.82,622241.63,63783351.54,56125148.17,953863.34,208375.63,5903065.25,1376503.99,1075075.72,134345.94,1953714.58,1917381.06,1269466.28,79156.45,2139054.52,1682307.65,1443525.69,8752.13,4006208.39,3827394.63,3730185.56,18762.03,6850904.24,4696960.66,2246227.38,1546362.86,914126.64,849449.65,214824.62,53958.04,18432899.74,2538273.44,2291234.93,308830.05,4527588.88,1619327.17,1094475.47,1350091.52,47110042.09,-15054954.67,-17214070.22,1473663.28,22818657.33,1578044.85,950728.07,367808.60,1571117.78,694029.93,555201.44,239250.24,2385518.82,1665981.19,1307544.46,946007.66,3566837.13,3294300.25,1422825.66,1160603.83,6024221.04,1402816.09,1252913.11,2771348.03,3641431.68,2703433.18,5687326.11,2771422.22,1907927.80,0,3558353.01,0,6431701.91,0,0,1591407.23,2061152.11,8003200.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,957005.90,33035.27,2531795.11,4615622.26,532179.11,354375.08,327765.56,62654648.86,135769.09,135126.74,111252.15,1783290.85,60414.38,44624.92,24392.16,616921.03,571690.83,104478.92,0,119670.39,0,1886.70,0,121850.24,0,28561.57,0,3585828.83,0,0,0,255463.33,0,0,0,163341.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
