,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,16097764.60,12431480.04,3141954.03,15745978.70,7236389.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,90915095.80,11781594.63,11315027.12,0,72520237.34,-816273.68,-816273.68,0,56879806.28,-202494.55,-202494.55,-280301.22,30618648.96,-713633.47,-713633.47,0,45650166.10,1147612.96,1147612.96,0,11918154.51,1387937.70,1452960.32,0,14801093.03,0,0,0,5723690.65,0,0,0,8664729.48,4900737.80,0,0,9180506.37,7625591.01,8526002.66,0,5251518.12,0,0,0,2083080.74,7103.17,7103.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,2660672.89,1072008.60,1563020.80,7980678.53,774741.00,293221.27,200000.00,3106007.16,73252.57,73252.57,0,1392155.16,245537.84,118263.27,0,262908.46,2031707.66,1890707.66,0,6088934.74,501921.45,501921.45,180000.00,2173785.57,649534.77,623439.40,176851.00,5521516.75,1037697.05,1033315.04,204428.10,2386219.03,440073.21,90000.00,90000.00,2365956.76,309742.86,239742.86,30000.00,1994979.61,15000.00,15000.00,15000.00,2976250.92,852410.88,852410.88,194972.96,1507405.01,662471.97,0,719595.01,-515654.44,-138780.97,-29491.12,-52214.85,-378217.89,-259498.53,-187771.13,-150990.15,-551123.35,-453090.42,-302060.28,-150687.50,-567808.49,-416778.36,-338372.30,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,605185.12,0,0,0,1590513.54,0,0,0,356193.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,152327553.91,119337732.27,-10292765.47,304718588.62,125283014.05,73008568.50,10016610.00,141165119.24,106488503.48,66810490.70,15786059.25,121314529.31,56614384.59,13975789.57,-35020809.93,109767879.00,117990694.43,120719039.86,36476196.53,333826646.05,225296402.16,158941983.39,35655992.46,330377697.22,217001173.09,141529948.64,34880697.10,319377472.20,204446640.37,129220372.90,22305127.88,334545180.05,210910306.69,128875909.71,23692694.83,204986716.68,134073291.19,71740043.56,17431646.76,155340820.58,100275067.37,51923750.16,10513782.52,86312508.71,33702825.88,16321624.79,-1171749.57,71440959.86,45230067.36,27410834.53,7884167.92,78187758.41,54263280.03,33310414.09,8567974.07,65277200.20,47831901.59,27109740.99,4958134.66,48422533.28,36476560.41,25959776.62,6150050.06,42688578.13,21819181.58,28237829.46,27263091.82,0.0
16,加:营业外收入,5517678.25,4765991.20,531529.03,11813864.70,4779954.76,2190119.74,1809794.47,8686990.06,7529144.60,3160002.52,1557503.28,18155291.58,4610884.52,2631164.63,1112153.20,29111530.42,14307311.48,3634752.01,699699.02,22272937.46,4691348.21,1807134.59,390252.49,5685852.99,1786806.61,602577.51,299994.50,13329248.10,7428486.98,7225423.94,5172379.02,8124545.18,1623256.94,1331261.31,609976.68,7406550.96,3118869.94,352666.09,259100.23,7602629.16,3749686.89,3563581.18,1567705.60,7586373.72,6618299.51,3251086.05,25184.86,6845574.02,4120235.26,3071081.29,166690.30,230293.01,39380.68,19380.68,150.00,122093.04,94010.87,77837.91,600.00,87410.86,5838.50,540.00,140.00,180706.61,155022.01,29103.32,25951.62,0.0
17,减：营业外支出,4341886.53,4309291.94,337801.62,6031030.99,2399182.19,1217065.78,452104.40,2579057.40,1187340.21,212028.84,76056.58,16428346.29,2114682.37,1225127.19,772379.91,2348681.50,1683249.87,476791.40,89675.33,9618479.78,3460172.35,1545881.77,796493.52,4390393.08,2605988.98,1331706.80,496130.55,4382019.55,2176743.19,1573057.36,907449.14,14830442.18,11080744.20,10390238.48,532887.79,4886674.88,4200908.65,2163290.58,614011.44,13210611.71,9199628.04,6045406.83,565228.10,2465843.39,1204526.56,1010559.09,29826.80,3526699.60,3056298.64,2933613.25,2085413.95,976570.98,849126.64,264397.46,9694.34,896306.12,323702.95,293499.45,81413.74,184569.59,27865.25,15853.07,9984.89,497687.16,407345.04,301839.15,1076361.68,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,43156.94,0,8884109.79,0,91099.97,0,312482.34,0,8937.50,0,2736506.15,0,0,0,0,0,0,0,1059751.76,0,0,0,10494405.22,8555721.88,8565721.88,0,1964084.60,0,0,0,10436022.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,153503345.63,119794431.53,-10099038.06,310501422.33,127663786.62,73981622.46,11374300.07,147273051.90,112830307.87,69758464.38,17267505.95,123041474.60,59110586.74,15381827.01,-34681036.64,136530727.92,130614756.04,123877000.47,37086220.22,346481103.73,226527578.02,159203236.21,35249751.43,331673157.13,216181990.72,140800819.35,34684561.05,328324700.75,209698384.16,134872739.48,26570057.76,327839283.05,201452819.43,119816932.54,23769783.72,207506592.76,132991252.48,69929419.07,17076735.55,149732838.03,94825126.22,49441924.51,11516260.02,91433039.04,39116598.83,18562151.75,-1176391.51,74759834.28,46294003.98,27548302.57,5965444.27,77441480.44,53453534.07,33065397.31,8558429.73,64502987.12,47602209.51,26894079.45,4877320.92,48325374.55,36454533.66,25944463.55,6140205.17,42371597.58,21566858.55,27965093.63,26212681.76,0.0
20,减：所得税费用,44609346.81,34064683.04,8057804.37,69736113.93,31802170.75,18252119.97,8406614.56,48146388.01,33177957.14,23059221.51,9092630.64,43808318.73,22685875.15,11198272.05,1903681.82,46983091.18,33811203.49,28994637.43,10219363.94,79057960.41,43667918.28,29601946.52,9854481.49,74946647.81,39662987.39,29646323.30,11949982.28,74064793.24,50365965.13,33480553.26,10088057.04,78678482.13,46182393.90,27424832.45,6557902.44,48851334.59,30509335.46,15753805.72,4449703.48,34793639.77,19172952.67,11520842.23,3050232.96,20750324.01,8944203.59,4727659.70,912390.23,19432796.58,10863374.71,6768658.53,2526774.57,20268761.37,14916248.83,9605888.40,3111221.97,16861966.71,12174921.24,6960349.58,1455172.11,10932873.67,8657384.35,6332388.66,1549818.66,8479048.01,4638396.58,4293908.93,9531249.93,0.0
21,五、净利润,108893998.82,85729748.49,-18156842.43,240765308.40,95861615.87,55729502.49,2967685.51,99126663.89,79652350.73,46699242.87,8174875.31,79233155.87,36424711.59,4183554.96,-36584718.46,89547636.74,96803552.55,94882363.04,26866856.28,267423143.32,182859659.74,129601289.69,25395269.94,256726509.32,176519003.33,111154496.05,22734578.77,254259907.51,159332419.03,101392186.22,16482000.72,249160800.92,155270425.53,92392100.09,17211881.28,158655258.17,102481917.02,54175613.35,12627032.07,114939198.26,75652173.55,37921082.28,8466027.06,70682715.03,30172395.24,13834492.05,-2088781.74,55327037.70,35430629.27,20779644.04,3438669.70,57172719.07,38537285.24,23459508.91,5447207.76,47641020.41,35427288.27,19933729.87,3422148.81,37392500.88,27797149.31,19612074.89,4590386.51,33892549.57,16928461.97,23671184.70,16681431.83,0.0
22,归属于母公司所有者的净利润,81473340.23,67711715.08,-12235529.08,177447982.37,74292679.72,44462806.44,5054284.38,76773998.25,62814380.30,37676658.83,6472248.88,61937521.35,19829623.61,4393217.57,-25266064.65,81204143.40,88913773.00,91611394.64,24507558.23,219928991.30,143569184.74,100901520.93,22949427.63,206171143.55,142291250.38,87422239.54,20400050.42,200946074.50,129215467.10,80996139.88,15500479.18,200459983.98,128513421.85,76551095.36,15371504.45,112506060.87,73704847.65,38341055.69,8864292.47,75769175.02,54980406.51,23216311.50,4926282.37,37814166.36,14412017.79,5007313.78,-3899079.37,37524873.38,25347633.79,15743922.55,3888902.85,38984110.80,25305844.86,15699502.12,2619052.25,35221035.93,25022374.00,14023041.69,2191829.97,30678729.33,23032315.08,16055117.87,3504328.04,30559385.48,14474212.74,22926308.94,11356177.90,0.0
23,少数股东损益,27420658.59,18018033.41,-5921313.35,63317326.03,21568936.15,11266696.05,-2086598.87,22352665.64,16837970.43,9022584.04,1702626.43,17295634.52,16595087.98,-209662.61,-11318653.81,8343493.34,7889779.55,3270968.40,2359298.05,47494152.02,39290475.00,28699768.76,2445842.31,50555365.77,34227752.95,23732256.51,2334528.35,53313833.01,30116951.93,20396046.34,981521.54,48700816.94,26757003.68,15841004.73,1840376.83,46149197.30,28777069.37,15834557.66,3762739.60,39170023.24,20671767.04,14704770.78,3539744.69,32868548.67,15760377.45,8827178.27,1810297.63,17802164.32,10082995.48,5035721.49,-450233.15,18188608.27,13231440.38,7760006.79,2828155.51,12419984.48,10404914.27,5910688.18,1230318.84,6713771.55,4764834.23,3556957.02,1086058.47,3333164.09,2454249.23,744875.76,5325253.93,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.170000,0.140000,-0.030000,0.360000,0.230000,0.140000,0.020000,0.230000,0.190000,0.120000,0.020000,0.190000,0.060000,0.010000,-0.080000,0.250000,0.270000,0.280000,0.070000,0.670000,0.440000,0.310000,0.070000,0.630000,0.430000,0.270000,0.100000,1.060000,0.700000,0.470000,0.090000,1.160000,0.740000,0.440000,0.090000,0.650000,0.430000,0.220000,0.070000,0.570000,0.410000,0.170000,0.040000,0.310000,0.120000,0.040000,-0.040000,0.340000,0.230000,0.140000,0.040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.170000,0.140000,-0.030000,0.360000,0.230000,0.140000,0.020000,0.230000,0.190000,0.120000,0.020000,0.190000,0.060000,0.010000,-0.080000,0.250000,0.270000,0.280000,0.070000,0.670000,0.440000,0.310000,0.070000,0.630000,0.430000,0.270000,0.100000,1.060000,0.700000,0.470000,0.090000,1.160000,0.740000,0.440000,0.090000,0.650000,0.430000,0.220000,0.070000,0.570000,0.410000,0.170000,0.040000,0.310000,0.120000,0.040000,-0.040000,0.340000,0.230000,0.140000,0.040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,787.50,787.50,0,-40671000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,108894786.32,85730535.99,-18156842.43,200094308.40,95861615.87,55729502.49,2967685.51,99126663.89,79652350.73,46699242.87,8174875.31,79233155.87,36424711.59,4183554.96,-36584718.46,89547636.74,96803552.55,94882363.04,26866856.28,267423143.32,182859659.74,129601289.69,25395269.94,256726509.32,176519003.33,111154496.05,22734578.77,254259907.51,159332419.03,101392186.22,16482000.72,249160800.92,155270425.53,92392100.09,17211881.28,158655258.17,102481917.02,54175613.35,12627032.07,114939198.26,75652173.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,81474127.73,67712502.58,-12235529.08,148108516.37,74292679.72,44462806.44,5054284.38,76773998.25,62814380.30,37676658.83,6472248.88,61937521.35,19829623.61,4393217.57,-25266064.65,81204143.40,88913773.00,91611394.64,24507558.23,219928991.30,143569184.74,100901520.93,22949427.63,206171143.55,142291250.38,87422239.54,20400050.42,200946074.50,129215467.10,80996139.88,15500479.18,200459983.98,128513421.85,76551095.36,15371504.45,112506060.87,73704847.65,38341055.69,8864292.47,75769175.02,54980406.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,27420658.59,18018033.41,-5921313.35,51985792.03,21568936.15,11266696.05,-2086598.87,22352665.64,16837970.43,9022584.04,1702626.43,17295634.52,16595087.98,-209662.61,-11318653.81,8343493.34,7889779.55,3270968.40,2359298.05,47494152.02,39290475.00,28699768.76,2445842.31,50555365.77,34227752.95,23732256.51,2334528.35,53313833.01,30116951.93,20396046.34,981521.54,48700816.94,26757003.68,15841004.73,1840376.83,46149197.30,28777069.37,15834557.66,3762739.60,39170023.24,20671767.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
