,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3802490001.80,2351786020.36,1612571389.41,729469529.96,3556994250.20,2449254191.02,1541938023.09,812805921.03,2558615770.26,1886029465.28,1246534018.79,534650086.82,3226318318.40,1911034331.04,1188295192.64,570003482.71,2399146595.39,1804259443.12,1185720728.87,755550480.33,2935245145.05,2158737863.61,1516038369.79,821049622.42,3162763817.67,2277513281.45,1474697470.79,697074311.45,2989484211.54,1983812637.66,1304993841.46,620093492.52,2780166085.93,2072106383.61,1319464549.22,647973657.73,3447461385.12,2650357971.16,1851218255.67,774580250.56,3433997303.88,2531873624.20,1795808177.23,1027967335.95,4883735872.12,3614027800.35,2488902477.54,1061855597.71,5430604545.59,3985297787.64,2920607829.19,1034093808.73,4584953473.75,3125980615.10,1819926613.30,881294519.34,4026564352.74,3038210473.32,1864600889.87,816285602.48,3212851732.46,2356354639.31,1581200672.19,767129818.01,2755167155.94,1873370028.78,1124468474.13,552425652.89,1973886266.11,1383121828.56,892752547.47,408565772.64,1674929445.68,625855509.84,1371283565.33,606774133.06,1024442918.01,442048209.38,750981287.09,343662863.52,696640632.70,351513092.01,609348654.24,283587435.99,422614673.31,216857004.63,307845000.00,116566814.71,159370929.95,42961049.48,45093456.19,0,0.0
2,营业收入,3636517851.44,2233505595.09,1536241170.49,697536782.89,3404961070.59,2342109275.11,1474908106.33,784209369.30,2394296440.73,1764761883.18,1164799337.81,494585207.82,3060070754.07,1788005747.56,1108570833.22,530010237.33,2220277158.42,1666088709.19,1090683035.69,705942121.90,2719030452.98,1991211871.74,1403955195.80,768786541.79,2998407323.81,2166095952.87,1402203499.04,661627369.20,2912974950.29,1923296120.30,1275098400.24,620093492.52,2780166085.93,2072106383.61,1319464549.22,647973657.73,3447461385.12,2650357971.16,1851218255.67,774580250.56,3433997303.88,2531873624.20,1795808177.23,1027967335.95,4883735872.12,3614027800.35,2488902477.54,1061855597.71,5430604545.59,3985297787.64,2920607829.19,1034093808.73,4531885845.18,3088823795.75,1798132795.80,870240708.39,3981987213.41,2996519746.56,1833255086.11,799469311.48,3178655721.71,2324147046.28,1562459494.68,757488452.66,2719004644.91,1851917503.93,1106702935.18,550168145.10,1955532983.99,1373249843.59,886842123.76,405370051.41,1659108444.89,619649954.34,1355659333.58,600913534.65,1016480662.19,438962775.40,741281612.92,339022051.57,675490277.21,343320570.09,601748016.65,280805514.39,415997607.81,213270545.17,301333000.00,116566814.71,154887019.60,40607731.46,43755707.42,0,0.0
3,二、营业总成本,3246246637.23,2051055513.06,1392496356.11,639570188.78,3007218231.73,1995492752.76,1243599997.94,621717901.99,2238651053.13,1660659305.92,1079738638.59,462582094.65,2881762131.77,1724449455.07,1058807017.26,486153829.30,2132235543.00,1567506246.31,1034067966.39,679642260.42,2640532794.98,1925388415.17,1346704910.39,746391750.75,2871092186.22,2035451510.86,1299713843.02,618260442.98,2778229826.18,1848426307.68,1234999265.99,592705709.87,2609228250.15,1949489946.85,1242314997.53,594973584.46,3084511202.63,2393255038.93,1663951736.43,695658075.64,3344310984.24,2474659842.40,1768205458.87,1089945673.94,4998289993.13,3624872859.85,2419961554.09,1077927254.58,5216690294.22,3785097058.40,2705917802.20,985064733.19,4493062498.41,3052216795.27,1813110914.57,860894425.06,3913867604.93,2895544015.78,1768789350.50,791680027.13,3119846503.19,2270881511.28,1512204144.37,736731976.11,2664478705.19,1803130826.54,1087292251.35,502873036.66,1839949608.88,1253837053.28,800220604.70,364296105.96,1510054490.33,535554005.48,1216469442.73,525045798.28,874056877.34,364953339.19,619438205.68,262998966.51,580948141.86,0,514436334.54,0,340788912.94,0,0,0,90068500.36,17526751.21,22393816.49,0,0.0
4,营业成本,2347476997.97,1512510575.31,1020341410.04,487172176.19,2275226467.67,1526920502.96,934616529.16,461153794.94,1667388112.00,1249575258.90,841461882.66,366153669.68,2116782690.49,1251480564.17,782144471.32,377729294.95,1551617078.36,1165066114.32,762640615.27,536736188.06,2108043217.19,1569704063.83,1117885320.87,635805977.74,2343043912.27,1685442298.10,1081906664.47,513683178.66,2225332308.14,1476445726.74,972799271.34,477439825.34,2086932230.19,1550431578.76,993171157.13,468189900.93,2510090070.53,1977542956.25,1379889522.08,566884235.93,2727424543.33,2032038543.74,1465075702.07,907612223.34,4117106415.16,2966581749.10,1973127505.75,880857058.43,4429634319.61,3208818965.18,2316622532.05,837136863.22,3620635124.05,2427341516.99,1429521593.15,683199805.83,3162322621.09,2336795456.64,1418402346.22,620509727.06,2445472987.50,1786891443.62,1188438916.66,577152258.55,2043754957.53,1385002968.27,813960030.12,391793724.74,1427992945.70,1007849124.02,640606130.58,284497244.05,1178493510.89,389495791.16,921249260.93,392278908.52,661118787.92,269349339.22,464374417.32,189524356.29,475208273.59,0,433218037.21,0,285562850.30,0,0,0,87280937.58,17595809.08,20313198.43,0,0.0
5,营业税金及附加,259424714.06,124701057.96,97501414.35,32110763.11,147096519.82,113781606.12,77831890.42,49566511.36,105200982.26,85887678.63,31731065.15,8676620.73,131759238.11,42049908.27,26789035.18,13645972.26,60633374.31,42721938.35,27207544.97,14030491.91,50284942.98,40132536.57,27411092.54,13251673.90,72914706.17,41863779.71,28283791.86,11882171.21,75699357.27,36412131.17,23107237.85,10071821.90,91233349.64,85711558.21,42534978.58,20206301.06,120012418.81,84573907.33,64385057.57,21469269.93,109793905.74,73307958.49,50621644.57,31728976.55,187294901.15,112120141.59,82866660.51,29241365.59,179448738.85,131965500.61,105079863.34,28368526.44,121946089.56,87080973.92,45401162.49,22520752.12,119384492.96,89928181.53,51414292.92,20808243.28,79713273.74,57287351.04,38185213.80,18657886.27,63299268.09,44799392.60,29085824.69,13998480.81,52360175.41,37172429.14,24410187.56,12259284.90,49030696.66,17756694.86,38857999.01,17621627.31,29187986.89,14207828.94,18115074.97,8934999.78,14833785.27,0,13120427.91,0,10574719.08,0,0,0,3919418.43,1023748.18,1397535.40,0,0.0
6,销售费用,114110779.15,54451807.57,31587019.25,12520989.33,80552092.54,54704872.48,31024745.95,9504747.99,69712758.69,56125176.61,33282709.98,15676624.37,206547258.83,152617315.80,76648405.18,15182788.67,69790357.55,42370093.29,22110197.68,13301442.53,62169535.46,54613304.55,32102983.06,17237170.30,70414853.63,50280496.96,31065849.37,13381382.36,69718360.45,61867452.67,51445564.77,17874751.43,78091474.11,56349472.17,34334051.40,16734550.31,83184303.90,64367394.78,39206298.78,18714627.82,72005374.01,57618087.95,31693493.92,14018926.29,95896074.03,81837138.13,57785887.82,18855597.08,78598884.01,65755858.45,44354788.78,12347368.35,79968060.13,51800830.03,19477217.00,8827942.83,41528782.59,38970623.65,19108535.46,8342764.04,26258879.65,19248681.41,13356186.81,6801158.60,49171353.96,35305013.17,22769147.42,10234777.51,19986262.62,13928380.18,8764601.40,4351227.76,16672729.95,4633681.65,11935746.19,5587787.13,7461153.14,2696328.83,9352596.92,3758953.65,5872960.01,0,3096024.80,0,3695185.89,0,0,0,1470170.53,399363.59,324495.69,0,0.0
7,管理费用,389562924.96,266241115.97,179296350.37,66610988.71,366709173.12,227798894.49,150422200.80,60918372.46,307003012.80,211244076.61,142715248.94,56187575.47,303884638.56,195537002.35,128790909.64,56562157.56,293160459.35,191318557.08,118329348.51,60962621.17,273171033.16,168991957.58,109389999.18,51873408.11,270352908.32,179208398.92,113962469.24,54526517.76,279683539.20,174503889.56,114492808.15,55565068.29,248618710.18,176598588.45,117644760.11,60293626.96,291162918.60,200403076.09,131740413.17,63989809.96,329787833.16,228393813.99,158933376.66,99944008.24,418866551.01,329648291.32,217200635.22,107882460.11,370744755.03,288134708.79,186298472.40,89755572.62,563458695.38,403351676.27,265540535.64,121720097.00,499392622.54,362116145.76,236858043.24,121468555.06,482471577.65,348589961.73,234334449.18,115868189.44,437513236.86,287710746.99,186342458.31,71360242.11,298829715.43,150085070.48,97368614.22,48874765.36,211253035.21,86104792.20,183889269.06,83628731.79,141870943.46,63472179.48,98982443.51,46008448.04,79380232.47,0,60708332.88,0,40189268.09,0,0,0,13985231.33,5147756.28,4648712.03,0,0.0
8,财务费用,112601327.27,77913358.01,54138393.21,34281448.26,80425410.82,52845399.24,41621293.72,31804072.87,70589335.26,49038420.07,25781462.68,9906030.02,56051505.72,50671309.75,31111398.57,16839315.23,72972373.28,58936709.85,44904370.22,19968079.83,88609986.21,68192180.10,45563643.66,22150125.04,83964045.36,62193514.24,36814832.53,19231620.25,107043361.25,87668166.63,64930966.09,31203907.00,104731143.23,80716876.35,54324570.87,29627259.70,74695921.83,60076254.71,42554241.81,23609501.16,102821683.63,81207198.88,60213329.87,35268094.11,176454330.30,134809856.92,89122264.36,42668733.29,136098174.45,94048892.28,56635441.86,22009241.56,107054529.29,82641798.06,53170406.29,24625827.28,91239085.75,67733608.20,43006132.66,20550737.69,85929784.65,58864073.48,37889377.92,18252483.25,70739888.75,50312705.51,35134790.81,15485811.49,40780509.72,44802049.46,29071070.94,14313583.89,54604517.62,37563045.61,60474608.03,25928743.53,34418005.93,15227662.72,28613672.96,14772208.75,5652890.52,0,4293511.74,0,766889.58,0,0,0,-16587257.51,-6639925.92,-4290125.06,0,0.0
