,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,797748324.67,540438337.42,225461391.48,1121237410.81,798142982.45,501325846.24,225524725.82,821584240.40,559776182.16,359109385.87,156330789.77,1136610564.86,848705314.75,545414434.37,230892895.96,935933377.78,683891532.69,434299167.91,185519583.16,829812692.14,588449697.37,389019644.50,169249079.30,771759619.53,597692387.71,452265725.43,209668087.66,804986600.30,578149746.72,379198832.93,160547458.26,671146456.89,486377196.81,329888204.85,153207756.28,538976244.62,393783697.53,272829583.22,125912352.90,381359476.68,266686653.58,166552762.77,74165415.02,417199155.39,338779586.74,297568053.88,180793386.69,784974432.18,558313394.08,356738439.50,170797526.76,724280829.14,552221347.66,342557386.33,142495004.38,635341402.70,442391390.28,253090619.71,92460077.74,386789930.89,246977230.56,154566726.19,68888284.02,269543586.97,208877623.38,139116009.91,64997139.75,343577627.06,176450508.04,87841338.04,34487884.49,145285559.32,53403325.95,108652396.52,49640846.60,103214415.49,41121172.18,93248181.97,35294772.74,92156538.99,32750650.17,95084431.58,66519707.68,0.0
2,营业收入,797748324.67,540438337.42,225461391.48,1121237410.81,798142982.45,501325846.24,225524725.82,821584240.40,559776182.16,359109385.87,156330789.77,1136610564.86,848705314.75,545414434.37,230892895.96,935933377.78,683891532.69,434299167.91,185519583.16,829812692.14,588449697.37,389019644.50,169249079.30,771759619.53,597692387.71,452265725.43,209668087.66,804986600.30,578149746.72,379198832.93,160547458.26,671146456.89,486377196.81,329888204.85,153207756.28,538976244.62,393783697.53,272829583.22,125912352.90,381359476.68,266686653.58,166552762.77,74165415.02,417199155.39,338779586.74,297568053.88,180793386.69,784974432.18,558313394.08,356738439.50,170797526.76,723121032.50,550928987.73,341690093.04,142206033.44,632483486.85,440937586.06,252547505.18,92430231.49,387786122.18,247038171.36,154549745.14,68868284.02,269504097.22,208660657.58,139213884.03,64938579.07,343732067.61,175240949.08,86635505.08,34393284.49,142867714.76,52285932.60,106753516.30,49749876.93,101574588.72,39615135.33,92232343.97,35184067.66,81661235.61,32753736.11,86267330.07,66546226.02,0.0
3,二、营业总成本,775263229.40,500927985.00,228668942.13,1104156891.68,763663027.68,481104471.79,220397818.94,842196605.30,569625879.66,370878988.96,181044306.08,1059129712.93,751038562.29,478154775.93,215311533.44,893119687.01,633253996.39,424104407.34,192610377.35,802224088.90,560748081.55,374978560.61,173355302.78,845305910.99,579161134.61,420301016.02,200985182.03,829254256.68,541162894.52,356579598.30,164234890.95,671788771.87,488315960.71,337915571.24,166215955.28,578399000.27,406692773.53,300430232.05,148614042.54,452137829.82,319220456.52,208602275.01,99904113.77,555735682.05,397269546.65,321818716.28,185211333.28,756684226.16,535746559.72,357343613.98,174362169.94,719154927.35,537970535.77,337335708.21,145517323.80,646720124.81,411446678.62,236735974.21,75073418.69,328577939.23,210614183.78,145464347.31,66230713.22,227117901.48,177567230.35,129283616.09,59886985.56,282220481.19,134665858.58,74927672.46,31249338.79,112326525.05,40554267.63,77309729.07,38709856.71,58731827.97,20363655.09,47352210.91,22473942.31,46126381.59,19645406.48,47318777.67,33956380.75,0.0
4,营业成本,669025230.96,442757743.13,203982857.03,939883060.30,672092281.08,421391560.19,194107449.54,710445991.64,486851061.81,321305003.37,154224003.39,921144725.63,657738555.20,418892523.58,187459256.61,749770269.68,534405850.38,356709601.27,160581479.86,647850735.99,449292179.16,299915167.31,137597453.04,611714269.70,462234689.57,343411633.66,164848652.45,606604336.19,424948081.05,283923821.26,128462133.19,544631055.55,396228735.68,274476778.42,135809929.35,445577347.79,327049509.61,241719979.45,121251882.52,344904725.07,243911587.93,152138633.69,70499902.13,401904478.19,323784607.90,269360536.35,156527044.48,617383320.46,436872642.71,289792909.39,146316676.32,584392963.23,439594843.64,270620778.87,123413408.11,477211867.47,317769819.90,179969787.15,59321186.03,232340757.42,152207561.09,106618379.35,50559696.97,159390877.96,134406033.77,104628402.70,47022955.59,213004842.63,95938525.97,52339955.59,16270901.46,67548014.91,27327541.91,42040973.29,22230988.67,36263865.78,14574610.00,31162748.98,15032141.79,31053257.47,13612178.50,33207695.20,21956858.36,0.0
5,营业税金及附加,7206290.62,4925913.64,1621786.14,12218920.36,8276974.53,5438377.02,2580460.00,6734981.74,4930701.11,3221342.54,788860.95,7420653.02,4194286.84,2844011.18,1239056.92,5298768.92,3854785.59,2460714.59,1068274.44,5278558.70,3833796.57,2532380.74,1104060.89,6690612.24,5507408.37,4589221.87,1044233.19,5289218.58,3760040.10,2484892.67,926151.27,3810010.51,2663286.09,1639043.12,575680.43,2393908.38,1942689.05,1478748.17,630422.55,1942481.81,1275158.10,768890.57,346908.98,1316308.07,1114730.24,1066952.18,701973.90,3395898.85,2184229.38,1258221.99,762267.22,2910237.42,2258506.63,1461417.87,428789.11,3328276.17,2321152.65,1325122.70,533714.01,3016491.45,1658094.59,993173.98,655539.89,1469577.08,743015.37,221186.28,154801.19,3378912.35,2216273.15,1232082.55,548662.63,2378145.87,863840.43,1572981.86,768773.76,1643176.33,720083.83,1409536.91,533564.01,1388737.38,469571.32,1148901.27,961425.55,0.0
6,销售费用,5811261.70,1582461.78,726614.04,5356384.37,3132949.92,1883932.15,650874.46,7611749.66,4746251.16,3785635.60,2269763.10,10734497.05,6945440.15,4262812.49,1860254.22,9871174.85,5939019.99,3876918.80,1851779.39,9232803.96,5722110.81,3613090.44,1638823.62,9062235.10,4779368.98,3045932.39,1479194.66,7092712.92,4278070.73,2505876.79,957609.40,5530741.16,3587772.81,2470239.21,1017300.37,4689687.46,2950663.27,2085710.60,744154.91,4469312.02,2898654.92,1704412.35,770375.48,4328767.99,2671919.80,1961749.96,735517.30,3491847.08,2451660.13,1344643.42,615456.71,3510143.86,1946967.03,1364901.12,653486.93,6185109.07,3873861.75,2176863.98,717509.41,1222607.18,2744084.04,115736.12,399831.14,2177892.65,4157674.06,1141194.40,481331.84,2796584.92,4605886.34,3435436.91,1526915.18,3243473.15,3089158.73,8436908.24,1308498.53,1078715.65,412155.22,1264692.12,495856.19,929791.40,422887.97,921600.58,725390.16,0.0
7,管理费用,64009022.30,31819724.42,12662451.72,76749765.68,47726273.16,29969853.34,11695537.25,64750149.49,38048896.89,24633396.13,12139979.58,64381577.98,41805503.99,24882556.43,11150693.19,63284403.45,37980467.93,25569520.46,11582009.05,61644731.09,40930674.98,27801627.49,13229417.08,57333017.04,47627017.86,29590375.10,14093827.87,68999002.94,43909839.16,26746532.31,11181270.71,59600700.12,38802964.60,26832070.78,10392214.53,52858665.10,28506763.19,22246800.59,6808502.96,52850768.29,30661633.39,19434649.93,7941481.26,46991268.93,27609653.68,20256476.73,9665203.17,66663957.69,44408831.56,29659588.21,13943524.10,81238616.63,58898940.57,40525071.76,9037196.22,108075467.15,51037721.79,28730147.82,4113395.25,46251738.21,20324963.12,14961061.74,3685242.69,39850618.79,18079505.48,11869015.63,5129570.87,35182995.80,14560845.71,7621912.21,2560258.08,23983930.03,5735677.41,17019371.12,10392476.89,11550527.27,3481840.09,9871236.25,4215328.29,7565069.54,3425044.47,7119719.25,6087315.22,0.0
8,财务费用,29211423.82,19842142.03,9627543.22,43559044.97,34454868.28,22523831.69,11176442.64,47464588.47,35914415.43,24297115.81,11586107.47,55005030.92,40070840.36,26810443.39,13024974.23,63559035.87,50663692.39,35088447.49,17455975.77,78676500.33,61351180.28,41002139.02,19676470.32,79387053.84,58737025.30,39002834.96,19140170.29,89371167.44,63465032.86,39776962.54,20430013.71,59940906.17,47901382.89,33732590.82,16353601.30,55166290.01,40646520.68,26310850.67,12652410.99,51065779.96,41385492.23,28497738.13,13477139.53,61375554.74,44637413.92,30644116.28,12907172.62,51779067.06,38250462.22,22453795.92,11032664.00,47102966.21,35271277.90,23363538.59,11984443.43,51919404.95,36444122.53,24534052.56,10387613.99,45746344.97,33679480.94,22775996.12,10930402.53,24228935.00,20181001.67,11423817.08,7098326.07,27857145.49,17344327.41,10298285.20,10342601.44,15172961.09,3538049.15,8239494.56,4009118.86,8195542.94,1174965.95,3643996.65,2197052.03,5189525.80,1715724.22,4920861.37,4225391.46,0.0
