,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-2612155.69,155769545.82,140199869.28,63873290.12,0,210851641.80,27360428.36,21392923.28,8051119.79,35148433.51,639827.87,639827.87,239827.87,7074029.84,0,0,0,-3646256.71,-5753320.00,-5724465.20,0,1655269.91,0,0,0,1163864.53,-13352.76,-13352.76,0,860128.95,0,0,0,310661.79,-449181.95,-448773.95,-361044.71,6369915.55,-949550.44,-845550.44,0,16598876.48,454731.53,454731.53,0,3451576.54,-122861.74,-122861.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68721.64,28121.64,357159.10,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,-931440.16,-930303.52,-926286.62,-2738896.71,976511.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-6329956.39,-6579971.89,-4408112.18,-7312785.80,-3067555.99,-3652217.25,563773.62,298403554.59,137298867.97,138134178.49,-13046038.41,668180.66,-32393.60,-18193.45,-14000.34,-8436.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230408.97,1230408.97,0,0,0,0,0,0,0,0,0,5430583.57,5436402.15,5436402.15,5436402.15,0,1281400.34,1320794.77,-19523.83,-173433.22,0,0,0,-30814.32,0,0,0,-32154.04,0,0,0,35791961.49,0,0,0,-3300000.00,0,0,0,-4180000.00,0,18249088.00,0,4020187.11,0,69360.00,0,5736433.29,5323643.69,468138.03,133112.83,450760.60,371100.00,3930000.00,0,5363733.88,0.0
13,其中:对联营企业和合营企业的投资收益,-7648478.70,-6579971.89,-4408112.18,-5586147.74,-1282709.01,-1875077.01,-5452.04,51532628.65,-11917129.16,-11081818.64,-13046038.41,-6553290.49,-32393.60,-18193.45,-14000.34,-8436.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,6029.98,788.75,-565.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,23921057.01,65931522.08,12481993.84,-1213331274.54,-1046505230.40,-689326824.49,-82019794.36,-147855772.58,128956118.04,95443998.31,32665088.17,121110815.32,115349450.83,92713812.69,-8568501.62,143781271.18,86026691.83,64765208.61,16563231.64,91170888.59,30829578.86,22010644.01,9857439.11,31129493.20,12053385.61,6564568.81,8046060.80,23156512.62,16679110.63,7436392.70,4652475.02,60620881.41,46459880.00,45533498.19,39212027.38,136647909.81,79647568.23,91577014.10,90638303.40,-65192170.51,-27054668.34,-15304011.20,-5760178.75,25779385.04,16955847.15,6855359.98,1472838.83,17813422.66,1293735.12,6666068.90,5846350.80,41581016.93,-20020542.86,-12730759.38,-5986582.14,-34215067.89,-18366194.30,-17236091.94,-8394066.78,-43811929.79,-22316123.19,-16018479.82,-10633436.63,1438766.93,-23475270.69,-17837582.19,-11593363.85,-59241930.96,-26110508.47,-17635294.88,-7805294.48,-74165266.79,-15914810.76,472585.80,8763013.45,30711695.92,4473069.22,25222061.19,2614079.64,20565005.74,14010149.89,1841171.93,1511900.55,4743962.26,2921600.00,12317000.00,6745952.57,21823609.93,0.0
16,加:营业外收入,47287788.31,47281656.42,12055.51,1281539068.08,84026832.34,83410658.78,963206.00,1137692.47,1228796.86,1203278.42,1149264.00,24520930.73,3937029.00,3442791.47,3427295.04,276211.39,190918.24,53218.58,34973.41,3506828.65,1957409.32,132482.67,132482.64,179906.53,148753.72,111275.40,500.00,340864.94,145867.14,103031.50,102931.50,2748711.37,2710234.21,2708484.21,197977.90,1845675.78,1842555.78,77762.45,14660.00,2788284.56,156717.02,128211.60,12781.20,1084049.04,1530376.46,1152609.46,848689.54,122542061.79,10102691.20,268830.40,97557.76,7412.40,0,0,0,19229.52,16362.73,10134.03,5411.03,347.00,0,0,0,300.00,0,0,12000.00,5991881.84,5981456.15,4683.46,4683.46,700907.61,700907.61,1475629.20,0,185503.76,148932.17,731831.13,0,0,0,67978.50,0,25379.43,0,0,160758.12,407683.45,0.0
17,减：营业外支出,6849019.09,1063470.34,29384.66,2284722.56,44228.43,17260.79,16427.11,9389044.62,137890.56,78652.37,77447.27,611882.89,189498.52,153795.30,5000.00,7167399.46,511569.68,305497.98,6436.68,765946.87,733094.13,389682.73,0,647632.72,587245.12,44960.97,10788.71,3008982.42,226411.36,187345.67,85262.65,1109722.26,929558.89,263178.32,132738.67,2685877.00,1281869.13,1191236.10,1099391.76,7760898.41,1808786.28,6426.60,50923.19,1935110.78,2983250.61,2532172.68,112202.48,468567.03,403982.84,190470.19,187406.00,-563304.27,175772.17,171240.00,160000.00,530213.38,409137.00,135957.04,0,66575.57,29895.85,29195.85,8025.00,38028.36,22120.40,5076.00,11960.00,9558286.36,119910.29,90216.90,14192.07,21802420.89,193703.41,1545899.09,1431032.99,376678.08,22000.00,124971.02,80.00,126311.49,0,175555.08,0,133425.76,0,0,189613.14,172776.08,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,2453.02,2453.02,2369.02,75607.20,21751.21,21751.21,0,200291.61,23655.12,23655.12,6436.68,18055.16,0,0,0,42048.47,0,0,0,53845.52,0,0,0,88842.19,0,0,-4774.88,21091.86,-7248.66,0,0,66009.87,16264.74,0,0,125533.82,0,0,0,131092.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
