,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,227902943.03,139697524.84,79291585.85,31775136.67,146396293.30,115246266.52,72491528.79,33021978.05,14482789.54,10745726.19,7061151.34,3475483.65,20626591.85,11045351.52,7330183.32,3084141.16,10952570.00,8221171.50,5489781.00,2744890.50,10578317.22,7934376.72,5290308.01,2648003.00,10444483.87,7859897.12,5268585.81,2638959.41,24883377.65,22095130.65,18828322.87,13921912.00,68400213.87,53095140.07,40304112.87,11415400.83,38906388.31,31281634.22,21570350.89,10174533.63,76847751.56,54891865.37,36690768.16,16265987.09,84566735.07,62045555.20,46469100.29,27234424.47,122722856.61,82227946.60,61583688.87,41995985.72,83933292.00,49086095.29,31940412.42,12876390.56,48785696.78,41005730.81,29607863.83,22661708.08,706020038.96,707305639.70,657499057.70,308025838.39,676926103.00,266574689.99,112464320.21,38045519.41,141320984.89,106258173.80,73997968.64,43020972.56,142400861.69,109218734.13,296308255.12,228215544.68,451309117.64,382422421.07,521221298.97,0.0
2,营业收入,227902943.03,139697524.84,79291585.85,31775136.67,146396293.30,115246266.52,72491528.79,33021978.05,14482789.54,10745726.19,7061151.34,3475483.65,20626591.85,11045351.52,7330183.32,3084141.16,10952570.00,8221171.50,5489781.00,2744890.50,10578317.22,7934376.72,5290308.01,2648003.00,10444483.87,7859897.12,5268585.81,2638959.41,24883377.65,22095130.65,18828322.87,13921912.00,68400213.87,53095140.07,40304112.87,11415400.83,38906388.31,31281634.22,21570350.89,10174533.63,76847751.56,54891865.37,36690768.16,16265987.09,84566735.07,62045555.20,46469100.29,27234424.47,122722856.61,82227946.60,61583688.87,41995985.72,78314486.36,44599965.92,28773946.31,11869825.53,49507058.00,42901724.61,32302887.58,22089454.24,702457825.91,706125464.01,656799787.78,308103634.22,675490985.55,264305551.95,111108765.42,37923432.62,139854077.05,105348180.63,73414940.48,42798512.77,139638844.79,107197669.95,293685593.84,227732706.62,448531013.59,381213072.91,519402944.27,0.0
3,二、营业总成本,205570497.65,120467505.70,68388302.18,29689241.45,141155736.05,108914274.82,66065807.75,28119891.48,46425902.69,27399686.36,17771793.96,8012642.01,29795702.88,18336388.19,13230485.15,6466393.04,40286854.43,26668049.31,21455457.31,13394428.95,61100532.74,23779992.95,13876364.22,6741466.75,52601307.49,30708954.23,20404644.28,10262959.26,81334607.66,52952177.98,39384147.79,21219045.69,107232942.75,71568687.81,53029221.83,17490396.79,43264499.11,48825370.26,32932783.41,15362713.40,94724095.26,72213053.60,47463233.11,23165912.60,110789230.32,81003035.12,57442449.40,32431228.26,172368501.05,104785147.65,79425640.95,44750879.73,85655493.25,69533911.91,46826725.19,19096348.54,338954171.28,101392028.73,83765037.47,53863816.65,1185211903.80,741491475.44,676894697.19,302647549.87,663734580.39,288175134.45,128574170.39,46167829.98,266402233.90,146831686.85,100937179.91,54200902.97,214056662.91,118987329.19,275965874.04,219930364.03,430303675.56,369978779.62,501756603.03,0.0
4,营业成本,160298453.87,89558245.45,48130232.35,18901059.84,95497813.12,76839203.96,45200248.85,20377511.80,631694.38,457275.79,278101.94,109887.41,5846153.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11117.96,11117.96,8606.37,7240.44,151064.17,132872.38,113501.80,66305.46,15611425.23,15448852.87,14237155.38,11485592.58,58582588.70,43058283.37,33983907.71,9164311.20,28888530.84,23553290.63,16190548.67,7288194.65,60208742.44,41982442.77,27839411.49,13235247.63,68894983.19,50896172.39,37509311.29,22155735.00,102519567.84,68162114.04,50273539.13,35978219.59,66279827.48,37796383.67,24710352.31,9229859.11,42725780.83,34126944.09,25802471.91,22750358.20,679309289.78,653063919.74,603585410.51,268860732.60,560156119.69,220881900.36,86710736.63,28102005.15,159557492.14,74141388.27,51839598.79,30280929.29,95399140.74,74358714.29,221585605.64,200552140.02,385862711.85,322799689.30,445483247.13,0.0
5,营业税金及附加,3772494.54,2648109.93,1739836.47,689717.10,1558360.74,1098543.89,701729.85,345008.38,1353455.08,1026014.14,708863.32,306943.96,1225143.06,346969.72,312387.07,172711.90,613343.52,460385.64,307427.76,153713.88,592136.82,444076.14,296015.46,148065.85,578381.44,434398.50,290266.03,145351.92,639507.15,494333.70,314664.59,145620.74,906660.87,452561.60,315630.07,148487.23,571377.23,462137.04,324799.86,184817.22,808412.92,617485.09,373570.08,179607.01,834240.12,581134.40,400407.03,218347.46,716119.08,493039.14,388843.36,70271.61,319359.86,183387.60,60535.79,10776.15,75468.56,54175.27,46647.51,31557.98,580417.72,542442.55,505678.62,366590.83,1112711.09,809215.23,637304.33,479484.45,1717246.08,1337162.64,925636.59,542374.79,2309687.50,1435245.59,1196206.51,512449.49,1973590.38,1754485.49,2531511.16,0.0
6,销售费用,10009110.50,6918891.42,4519333.85,2098511.92,6172584.67,4098596.98,2355835.86,1147629.04,0,0,0,0,0,0,0,0,0,0,0,0,188408.71,167964.71,141204.71,95997.71,343870.68,242912.21,177531.21,94571.58,1003183.75,873838.17,763216.13,389263.07,2438986.38,1531152.87,870762.89,300117.34,2243314.49,1884237.62,1051537.65,474146.86,4199437.81,2470540.38,1708016.09,651446.26,5899153.50,4814876.72,3414579.11,1341402.40,6913415.77,4489106.30,3492722.25,1416018.54,6399356.22,3085600.37,2407652.60,462390.35,7184307.14,5657961.23,4190683.30,2241861.83,27823784.55,34702109.14,28678788.49,12949665.13,46494297.19,25094895.64,11749533.01,4060284.27,17361871.94,13434095.80,9944761.17,6184321.36,22548754.77,11475600.13,19214088.86,9377861.91,16850584.39,17820831.04,21433786.88,0.0
7,管理费用,18753120.61,11776174.18,7599213.02,3798090.20,21559670.17,15641247.69,11178216.70,3816918.35,22595788.98,16719055.11,10226303.80,4199399.01,9592176.30,7664463.66,5745054.29,2389643.24,27249184.62,16707259.42,14663203.57,9504120.61,21471292.74,9781694.42,5908325.45,3260772.41,16400115.44,11063205.80,7255346.49,3722038.82,26253734.39,18968227.93,12966053.30,4876818.78,16529072.58,7251427.92,4244916.67,2225736.79,9992437.17,6507878.06,4207874.05,2148958.57,11572282.65,7006701.60,4217105.35,2269063.67,9812799.79,6481147.09,4517701.90,2138981.56,10500536.98,9211115.80,6666526.91,1910110.03,-16041251.43,12231896.93,7295887.91,4466839.69,254553728.69,48264519.41,42759631.88,24836544.08,461193545.87,42579865.39,36310290.97,15969350.37,41836663.14,31361509.96,22193704.22,9839614.74,62925741.65,39598139.27,24587836.35,11560721.85,72588311.97,25308622.68,31858284.68,9937990.10,23829019.89,25269480.87,31745682.65,0.0
8,财务费用,12737318.13,9566084.72,6399686.49,3259002.79,11084257.59,9331283.32,6253382.10,2260042.66,12589916.44,8824104.03,6127361.14,3026431.09,6780037.72,3141737.59,2096378.75,1048428.21,4736724.51,3453178.22,2215968.45,1430516.40,9976756.77,6658405.07,3815611.89,1398046.73,16663900.58,13723455.90,9157642.92,4527539.17,19107007.18,13027695.23,8570938.67,2525817.26,20853556.89,13899959.50,9702212.99,4185274.79,16219211.69,11563337.57,7663881.76,3746852.91,5755526.57,20437462.36,13626708.70,6819927.80,24059668.70,14621218.09,9386583.26,5274186.76,27949130.13,19979233.98,15843999.55,5315776.96,28698201.12,16236643.34,12352296.58,4926483.24,34414886.06,13288428.73,10965602.87,4003494.56,16304865.88,10603138.62,7814528.60,4501210.94,14134789.28,10027613.26,7282892.20,3686441.37,24839882.09,18320900.87,13639347.01,5632555.68,21210767.93,6368843.84,1741590.04,-450077.49,1726625.04,498118.68,435848.75,0.0
