,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,129293733000.00,94238593000.00,61031699000.00,29552412000.00,104140066000.00,77137407000.00,50209981000.00,25764695000.00,81123232000.00,59793093000.00,37103957000.00,17864765000.00,60631613000.00,41489247000.00,26300798000.00,12512676000.00,59270865000.00,44878835000.00,29746556000.00,13075000000.00,70663840000.00,52079324000.00,35434584000.00,16858658000.00,82316482000.00,59609662000.00,40398169000.00,20125066000.00,87291670000.00,64603891000.00,45407704000.00,21920024000.00,88872409000.00,66293981000.00,42442156000.00,20909106000.00,71268417000.00,52564210000.00,35560714000.00,15589691000.00,53729503000.00,37899978000.00,22764420000.00,9963407000.00,51464934000.00,42177132000.00,26607902000.00,11256227000.00,36823308000.00,27347429000.00,16929878000.00,8072326000.00,28346728000.00,26081515000.00,17878528000.00,0.0
2,营业收入,129293733000.00,94238593000.00,61031699000.00,29552412000.00,104140066000.00,77137407000.00,50209981000.00,25764695000.00,81123232000.00,59793093000.00,37103957000.00,17864765000.00,60631613000.00,41489247000.00,26300798000.00,12512676000.00,59270865000.00,44878835000.00,29746556000.00,13075000000.00,70663840000.00,52079324000.00,35434584000.00,16858658000.00,82316482000.00,59609662000.00,40398169000.00,20125066000.00,87291670000.00,64603891000.00,45407704000.00,21920024000.00,88872409000.00,66293981000.00,42442156000.00,20909106000.00,71268417000.00,52564210000.00,35560714000.00,15589691000.00,53729503000.00,37899978000.00,22764420000.00,9963407000.00,51464934000.00,42177132000.00,26607902000.00,11256227000.00,36823308000.00,27347429000.00,16929878000.00,8072326000.00,28346728000.00,26081515000.00,17878528000.00,0.0
3,二、营业总成本,119320637000.00,84886436000.00,54525502000.00,26700902000.00,97316584000.00,69798388000.00,45103264000.00,23217248000.00,76403385000.00,54901049000.00,33621996000.00,15690139000.00,58841961000.00,41676118000.00,26818778000.00,12754253000.00,62477986000.00,47005799000.00,31011774000.00,13104539000.00,69704345000.00,50888166000.00,34168487000.00,15935349000.00,76510468000.00,54583311000.00,36008530000.00,17547986000.00,74058843000.00,55134652000.00,38898208000.00,18193393000.00,75698679000.00,55498997000.00,35305959000.00,17665802000.00,61327328000.00,43977261000.00,29235405000.00,12774953000.00,45091661000.00,31211372000.00,18085410000.00,7545363000.00,40543326000.00,32964947000.00,20660844000.00,8720261000.00,31571851000.00,23282547000.00,14484592000.00,6860084000.00,24809507000.00,22266089000.00,15538991000.00,0.0
4,营业成本,93176079000.00,65157302000.00,41690378000.00,20698940000.00,74314057000.00,54342203000.00,34948336000.00,18391436000.00,54831451000.00,39268502000.00,23381448000.00,10628165000.00,40320959000.00,28697353000.00,18182506000.00,8521688000.00,40695555000.00,30998773000.00,20502276000.00,9185251000.00,49434386000.00,36114339000.00,23890733000.00,10944881000.00,56141963000.00,40075384000.00,26927983000.00,12996843000.00,55715705000.00,41691300000.00,29820468000.00,13716062000.00,58997102000.00,43461207000.00,27462127000.00,13808219000.00,47449361000.00,33759997000.00,22313208000.00,9354916000.00,34460109000.00,23616822000.00,13561949000.00,5737659000.00,29840450000.00,24956385000.00,15174114000.00,6410717000.00,20990360000.00,15593558000.00,9592472000.00,4604408000.00,16847225000.00,16350872000.00,9988192000.00,0.0
5,营业税金及附加,3891737000.00,3054167000.00,2024951000.00,969812000.00,3252080000.00,2302245000.00,1524142000.00,711823000.00,2665896000.00,1934267000.00,1312137000.00,667979000.00,1900129000.00,1043402000.00,648072000.00,313939000.00,1492708000.00,1126330000.00,827539000.00,351537000.00,1078112000.00,878183000.00,622101000.00,325130000.00,1293811000.00,969024000.00,653888000.00,327024000.00,1371631000.00,998112000.00,716774000.00,358234000.00,1363979000.00,1013813000.00,692549000.00,390166000.00,1174810000.00,929288000.00,691366000.00,291738000.00,918900000.00,686751000.00,443416000.00,184829000.00,1249031000.00,911584000.00,586521000.00,175300000.00,656732000.00,448947000.00,280695000.00,124939000.00,434149000.00,291968000.00,189741000.00,0.0
6,销售费用,13285623000.00,10190006000.00,6672751000.00,3182771000.00,10593623000.00,7667160000.00,5101262000.00,2459148000.00,9958926000.00,7476658000.00,4967679000.00,2532946000.00,8761299000.00,6535845000.00,4425987000.00,2349662000.00,12296624000.00,9150958000.00,5862857000.00,2010875000.00,12553617000.00,9459070000.00,6606834000.00,3211203000.00,13787598000.00,9967550000.00,6247222000.00,3146261000.00,12217072000.00,8908499000.00,5845451000.00,3008175000.00,10463790000.00,7791688000.00,5132739000.00,2566042000.00,9028321000.00,6874113000.00,4621479000.00,2227237000.00,7396177000.00,5509912000.00,3443822000.00,1527985000.00,7187805000.00,5541582000.00,3795159000.00,1604144000.00,6846167000.00,5088478000.00,3176854000.00,1520325000.00,5529476000.00,4255934000.00,3815638000.00,0.0
7,管理费用,3923865000.00,2770528000.00,1731603000.00,842898000.00,4044742000.00,2625247000.00,1714052000.00,864144000.00,3728946000.00,2421810000.00,1566675000.00,831673000.00,3517077000.00,2283900000.00,1416284000.00,662699000.00,3687977000.00,2587092000.00,1745316000.00,810726000.00,4179005000.00,2949683000.00,1984244000.00,1067666000.00,4420372000.00,3147454000.00,1983788000.00,1032462000.00,4266463000.00,2952726000.00,2156710000.00,1069343000.00,4611860000.00,3074382000.00,1945557000.00,888492000.00,3326995000.00,2267715000.00,1491598000.00,927267000.00,2739115000.00,1808593000.00,1100741000.00,570822000.00,2576703000.00,1973881000.00,1300835000.00,473625000.00,2261461000.00,1622497000.00,1106078000.00,408743000.00,1688772000.00,1322120000.00,1091296000.00,0.0
8,财务费用,4753862000.00,3558380000.00,2317589000.00,967126000.00,3652738000.00,2701153000.00,1751891000.00,786897000.00,3251709000.00,2393606000.00,1582204000.00,881859000.00,3742684000.00,3002050000.00,2037545000.00,1005511000.00,3981210000.00,3047536000.00,1955408000.00,733409000.00,1951873000.00,1323932000.00,894480000.00,387009000.00,629767000.00,390898000.00,156112000.00,44773000.00,254004000.00,381382000.00,172639000.00,40049000.00,176656000.00,90202000.00,10592000.00,12319000.00,108976000.00,34292000.00,1439000.00,-27935000.00,-452479000.00,-344012000.00,-388458000.00,-465276000.00,-525105000.00,-411070000.00,-196550000.00,70166000.00,734905000.00,491668000.00,267369000.00,201442000.00,382514000.00,28649000.00,486800000.00,0.0
9,研发费用,289471000.00,156053000.00,88230000.00,43177000.00,216615000.00,117141000.00,27203000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,1106332000.00,36042000.00,29181000.00,3800000.00,1966457000.00,1406206000.00,811853000.00,147517000.00,599813000.00,113568000.00,108384000.00,-99246000.00,323912000.00,95110000.00,118378000.00,12741000.00,507352000.00,162959000.00,170095000.00,-540000.00,236957000.00,33001000.00,39537000.00,623000.00,233968000.00,202633000.00,186166000.00,1530000.00,85292000.00,67705000.00,62395000.00,564000.00,238865000.00,111856000.00,116315000.00,1730000.00,29839000.00,-66694000.00,-76060000.00,-10656000.00,214442000.00,-7415000.00,765000.00,-13691000.00,82226000.00,37399000.00,61124000.00,227000.00,-72629000.00,16546000.00,-32676000.00,0.0
