,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,8848025.08,5738032.87,5236846.38,14644329.46,7042258.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,12705213.77,1591586.65,-4020967.32,0,20437993.50,-3500759.21,-3500759.21,0,53430291.11,171478.33,171478.33,0,2766693.72,-692866.93,-692866.93,0,54844035.81,1035047.52,1035047.52,0,477125.83,1988677.28,1845309.08,0,2264733.37,2921720.01,2921720.01,0,-1003248.80,4173558.94,4173558.94,0,1026999.97,104083.05,104083.05,0,3084100.16,975357.60,975357.60,0,-475185.09,236981.95,0,0,1698028.80,815994.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-444386.13,0,-504543.51,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,8444505.28,4100788.41,3725190.91,4802231.66,4850387.45,2942173.86,-769594.95,5925198.07,1383616.25,1383616.25,993242.00,120200996.73,694788.30,694788.30,134599.50,39709496.27,17157404.54,16407404.54,0,47673379.31,18704776.16,2017802.70,0,56818363.65,38029727.18,3765136.80,1800000.00,53562031.02,3140178.85,3140178.85,0,53017927.04,2215500.00,2215500.00,0,53653457.47,900000.00,900000.00,0,36133032.96,3067000.00,3067000.00,2317000.00,2317000.00,2317000.00,2317000.00,0,3486000.00,3375352.49,3375352.49,0,2787435.95,2127211.01,2127211.01,141211.01,2709971.05,1964912.11,1964912.11,0,2885868.23,2902406.88,2917006.40,0,2052765.63,1564093.78,230434.34,230434.33,848170.00,860600.00,860600.00,0,0,0,10173335.50,4631063.63,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,909556398.15,550959542.60,274409397.32,361074611.80,152501336.74,129309972.88,80465147.78,720693013.76,727757408.66,-9631952.29,-5118851.57,-589392.54,-35681868.47,-12742943.70,-1145924.47,-180484.80,-32379865.66,-29600242.95,-26996607.67,-97260510.39,1032383.37,1902774.05,1135131.43,5221997.03,3205336.14,4261349.45,2067517.39,11688225.70,4008415.10,4349429.18,2767902.23,14333892.62,3262994.61,4897468.55,6102536.42,31217582.33,1760363.12,-530479.84,244433.26,13413248.77,4571218.26,5808062.45,201601.08,12044625.69,6368178.22,8134163.57,707983.97,10908832.95,5138090.40,4928638.47,-3468617.37,4327653.27,-4763010.29,-4603448.58,-9334542.65,-43020798.50,-27148803.27,-14831551.59,-8731240.04,4721920.62,2611248.66,7795501.46,1216888.65,11832121.16,11132288.77,9410270.67,668367.07,10135716.63,9236461.46,8225604.09,-2975569.53,17879258.23,11278054.90,28910105.30,17843879.86,35739363.51,19029562.93,32889978.86,29167591.77,17664769.61,0.0
16,加:营业外收入,46761.62,4038.00,425030.84,2991656.56,183390.20,91300.52,1881672.48,1442220.65,26647557.35,1205966.98,420880.42,3962222.01,4515635.13,3604823.41,2397287.41,994672.28,533687.83,296510.44,285099.76,1033612.15,615512.15,437027.67,198600.65,842028.65,378369.18,174987.83,113881.98,498088.95,424131.52,375831.52,831.52,878903.29,602221.27,468861.10,42064.00,2802942.67,2360580.66,1779978.61,606853.16,2309034.60,1503276.17,1485382.18,176701.90,1339935.29,1087165.40,557315.40,541631.69,487973.76,160600.00,115100.00,89600.00,279600.00,229300.00,27000.00,0,159561.32,70821.32,15000.00,0,379401.68,31116.16,27916.16,22916.16,1993654.64,1061089.19,199286.96,37245.77,327647.19,62800.00,48000.00,43500.00,158569.06,78820.00,383973.14,26802.00,3789354.20,0,0,0,0,0.0
17,减：营业外支出,350895.37,226270.37,469473.47,5005453.55,129852.45,6513.95,338949.08,7451781.36,276543.10,138052.62,1600.00,88766.30,46367.80,1935.90,1935.90,133259.92,110192.38,2185.96,0,253595.64,158628.34,158328.34,40610.82,711464.11,330453.39,218234.42,105076.60,1135398.65,24586.61,2361.36,1761.36,1561679.34,941940.58,849134.41,787545.39,7931980.69,977514.00,734735.16,349500.37,490034.75,381788.33,259418.79,220321.33,1216216.19,987540.46,341935.00,91512.98,262135.45,238083.42,208421.78,85881.78,1055763.47,533147.49,2706.00,483.00,704011.43,115462.48,97724.33,4414.77,1086921.54,425928.86,145429.67,87639.47,2640201.76,1299613.18,657453.29,166472.63,317324.79,260010.39,70055.75,31938.75,690873.37,255752.01,262927.87,56622.76,2138.00,0,0,0,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,105909.98,0,3304.90,1935.90,1935.90,1935.90,110249.18,2185.96,2185.96,0,75247.97,70489.72,70489.72,0,474137.73,280653.39,168434.42,0,235031.34,2710.25,1661.36,0,0,0,0,0,7141811.82,0,0,0,410813.67,0,0,0,405098.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
