,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,100346048000.00,75369599000.00,51992583000.00,25136233000.00,107764908000.00,80820403000.00,52187640000.00,25759522000.00,92013569000.00,68157618000.00,43106950000.00,22571848000.00,77894285000.00,54584662000.00,36993191000.00,16564814000.00,80803422000.00,61557902000.00,42152450000.00,19630320000.00,102182861000.00,76718822000.00,51374277000.00,24113501000.00,115539829000.00,86356446000.00,57110922000.00,28857297000.00,93072254000.00,69152724000.00,46472594000.00,23550221000.00,95601248000.00,73743100000.00,49524992000.00,24633858000.00,77591187000.00,55179683000.00,36151430000.00,18739405000.00,51722727000.00,34264070000.00,21204680000.00,9072948000.00,60310570000.00,49863968601.11,32907761000.00,16020326000.00,55404687000.00,39558923000.00,26883431000.00,12844301000.00,50677196000.00,37269336000.00,23492517000.00,11371842000.00,46032005000.00,33728409000.00,21955257000.00,10687002000.00,39532831000.00,28230568000.00,17854128000.00,8388763000.00,29649935000.00,21715797000.00,14181528000.00,6888990000.00,22396978000.00,15321054000.00,9581756000.00,3885438000.00,20264335000.00,9821920000.00,21340973000.00,9696963000.00,14455959000.00,5980107000.00,11183180000.00,4546468000.00,12194512000.00,5955909000.00,12269330000.00,6173591000.00,12295820000.00,5996090000.00,9464256000.00,4305569000.00,8264878000.00,5177100000.00,0.0
2,营业收入,100346048000.00,75369599000.00,51992583000.00,25136233000.00,107764908000.00,80820403000.00,52187640000.00,25759522000.00,92013569000.00,68157618000.00,43106950000.00,22571848000.00,77894285000.00,54584662000.00,36993191000.00,16564814000.00,80803422000.00,61557902000.00,42152450000.00,19630320000.00,102182861000.00,76718822000.00,51374277000.00,24113501000.00,115539829000.00,86356446000.00,57110922000.00,28857297000.00,93072254000.00,69152724000.00,46472594000.00,23550221000.00,95601248000.00,73743100000.00,49524992000.00,24633858000.00,77591187000.00,55179683000.00,36151430000.00,18739405000.00,51722727000.00,34264070000.00,21204680000.00,9072948000.00,60310570000.00,49863968601.11,32907761000.00,16020326000.00,55404687000.00,39558923000.00,26883431000.00,12844301000.00,50479436000.00,37141952000.00,23423280000.00,11334091000.00,45897807000.00,33644463000.00,21886472000.00,10650504000.00,39402533000.00,28126622000.00,17778137000.00,8370356000.00,29567140000.00,21647027000.00,14139070000.00,6866529000.00,22322896000.00,15250060000.00,9523023000.00,3868009000.00,20197396000.00,9760097000.00,21277268000.00,9639324000.00,14386482000.00,5965416000.00,11080854000.00,4511221000.00,12127256000.00,5890687000.00,12203768000.00,6074924000.00,12061493000.00,5849813000.00,9464256000.00,4305569000.00,8264878000.00,5177100000.00,0.0
3,二、营业总成本,98772492000.00,74160447000.00,51094452000.00,24583829000.00,102171237000.00,75802703000.00,48337587000.00,23765489000.00,85423378000.00,63795370000.00,40430380000.00,20351059000.00,71100953000.00,49898601000.00,33296242000.00,15222312000.00,77334325000.00,59138619000.00,40248551000.00,19648811000.00,103274661000.00,76946434000.00,51472431000.00,24142966000.00,113738337000.00,85023515000.00,56477440000.00,28597057000.00,95357781000.00,71420312000.00,48172442000.00,23825443000.00,94484211000.00,71720751000.00,47884179000.00,23531658000.00,74701802000.00,53417033000.00,34649651000.00,17788080000.00,50180807000.00,32581466000.00,20105382000.00,9011049000.00,70905872000.00,55846075634.49,35257950000.00,16662983000.00,54835581000.00,38395685000.00,25175884000.00,11808477000.00,50588400000.00,37596559000.00,23672242000.00,11589334000.00,44308843000.00,31426096000.00,19652075000.00,9197862000.00,34724653000.00,24913879000.00,15867074000.00,7436780000.00,27907298000.00,20569725000.00,13582624000.00,6509757000.00,21300461000.00,14709341000.00,9286308000.00,4010155000.00,20025938000.00,9543845000.00,20225326000.00,9104999000.00,13470036000.00,5647620000.00,11045212000.00,4640872000.00,11308584000.00,0,10872319000.00,0,9660189000.00,0,0,0,7192783000.00,4003200000.00,0.0
4,营业成本,83781040000.00,62821404000.00,43664730000.00,20831769000.00,87029575000.00,64033755000.00,40707831000.00,19769281000.00,69656977000.00,51614139000.00,32841971000.00,16110849000.00,55743306000.00,38530849000.00,25177628000.00,11390927000.00,60089297000.00,46009615000.00,31233864000.00,15209321000.00,90046890000.00,67485251000.00,45017696000.00,21215178000.00,100477000000.00,75174216000.00,50019472000.00,25343751000.00,86041072000.00,64367403000.00,43448096000.00,21649053000.00,85042194000.00,64518414000.00,43007104000.00,20882563000.00,65787455000.00,47226453000.00,30821820000.00,15860056000.00,42665330000.00,27466240000.00,16678661000.00,7469981000.00,65753651000.00,52969122045.13,33304394000.00,15867028000.00,50573669000.00,36031006000.00,23678698000.00,11123462000.00,47922431000.00,35558036000.00,22335084000.00,10963390000.00,41605113000.00,29482173000.00,18362576000.00,8555226000.00,32009082000.00,22999561000.00,14579417000.00,6776008000.00,25242197000.00,18704305000.00,12393952000.00,5851171000.00,18743107000.00,12838061000.00,8063143000.00,3461578000.00,17841620000.00,8472347000.00,17939691000.00,7932391000.00,11402226000.00,4661112000.00,9155336000.00,3798249000.00,9494972000.00,0,9027833000.00,0,7943629000.00,0,0,0,5379749000.00,4003200000.00,0.0
5,营业税金及附加,12213927000.00,9018863000.00,5830148000.00,2973374000.00,12075424000.00,9137920000.00,6114438000.00,3252945000.00,12744088000.00,9576364000.00,6005273000.00,3313522000.00,11906438000.00,8551331000.00,6186162000.00,2895830000.00,13710933000.00,10290714000.00,7060938000.00,3520244000.00,9401283000.00,6720066000.00,4654222000.00,2130254000.00,9987148000.00,7493290000.00,4923735000.00,2387128000.00,5791064000.00,4228871000.00,2837286000.00,1429399000.00,6009203000.00,4569612000.00,3155653000.00,1612892000.00,5424817000.00,3845268000.00,2450087000.00,1268101000.00,4312665000.00,3053108000.00,2094713000.00,892265000.00,897088000.00,759090166.95,572750000.00,205277000.00,1073695000.00,521144000.00,352076000.00,184368000.00,681362000.00,500413000.00,316004000.00,159520000.00,765689000.00,575959000.00,378135000.00,173600000.00,738474000.00,548305000.00,350253000.00,162019000.00,624457000.00,439764000.00,274512000.00,123569000.00,599927000.00,422748000.00,275118000.00,130031000.00,579630000.00,281610000.00,548713000.00,276678000.00,349895000.00,156829000.00,372347000.00,88026000.00,294782000.00,0,302652000.00,0,226050000.00,0,0,0,682305000.00,0,0.0
6,销售费用,532455000.00,389367000.00,260415000.00,125926000.00,536914000.00,389205000.00,271446000.00,132265000.00,510199000.00,347316000.00,222774000.00,121012000.00,493289000.00,354298000.00,235672000.00,115517000.00,516943000.00,375943000.00,261581000.00,123031000.00,544227000.00,425524000.00,273907000.00,142020000.00,691020000.00,496969000.00,334802000.00,159615000.00,649906000.00,506355000.00,329807000.00,164565000.00,675771000.00,508411000.00,335445000.00,164120000.00,578761000.00,401747000.00,255584000.00,125493000.00,410432000.00,292956000.00,185880000.00,87642000.00,467987000.00,401727099.75,270356000.00,133249000.00,504712000.00,361794000.00,243101000.00,112775000.00,521990000.00,411742000.00,281013000.00,138010000.00,444449000.00,324983000.00,196886000.00,104656000.00,395694000.00,321764000.00,228604000.00,119014000.00,444703000.00,337573000.00,228624000.00,129517000.00,421208000.00,296252000.00,200368000.00,89228000.00,349392000.00,158335000.00,314870000.00,150900000.00,275003000.00,114275000.00,201541000.00,75571000.00,146978000.00,0,129345000.00,0,92558000.00,0,0,0,88006000.00,0,0.0
7,管理费用,2500287000.00,2189749000.00,1516182000.00,765507000.00,2616798000.00,2367112000.00,1394462000.00,717657000.00,2550610000.00,2309150000.00,1413059000.00,830823000.00,2683310000.00,2198849000.00,1544793000.00,812458000.00,2667413000.00,2129601000.00,1490220000.00,730807000.00,2666597000.00,1937285000.00,1224420000.00,527032000.00,2732355000.00,1984612000.00,1325241000.00,735188000.00,2388555000.00,1832477000.00,1178587000.00,546610000.00,2556011000.00,2006613000.00,1243528000.00,679532000.00,2382085000.00,1662006000.00,958094000.00,469293000.00,2326818000.00,1533091000.00,958157000.00,466906000.00,2178866000.00,1367664338.07,899460000.00,397588000.00,2268946000.00,1333882000.00,813358000.00,336900000.00,1260324000.00,957184000.00,614810000.00,285897000.00,1281011000.00,895709000.00,585138000.00,296081000.00,1265594000.00,795410000.00,537305000.00,287820000.00,1193327000.00,777815000.00,476195000.00,296018000.00,1128816000.00,857422000.00,569836000.00,237150000.00,975250000.00,500645000.00,1146295000.00,601940000.00,1056494000.00,535616000.00,922687000.00,512491000.00,1049906000.00,0,1118189000.00,0,1072788000.00,0,0,0,600237000.00,0,0.0
8,财务费用,-348181000.00,-288237000.00,-198402000.00,-119841000.00,-293429000.00,-208631000.00,-174217000.00,-106688000.00,-217202000.00,-137971000.00,-88839000.00,-44034000.00,-55830000.00,3904000.00,1983000.00,7591000.00,254114000.00,245837000.00,140537000.00,59682000.00,391625000.00,355419000.00,279343000.00,128294000.00,-189024000.00,-149451000.00,-149729000.00,-28574000.00,283257000.00,294495000.00,193087000.00,37376000.00,-83542000.00,-84606000.00,-14132000.00,7825000.00,95219000.00,97275000.00,116712000.00,64298000.00,310726000.00,253511000.00,204807000.00,111022000.00,428082000.00,276516396.59,139034000.00,59841000.00,177926000.00,148065000.00,88757000.00,51021000.00,202293000.00,169184000.00,125331000.00,42517000.00,212581000.00,147272000.00,129340000.00,68299000.00,315809000.00,248839000.00,171495000.00,91919000.00,402614000.00,310268000.00,209341000.00,109482000.00,407403000.00,294858000.00,177843000.00,92168000.00,280046000.00,130908000.00,272186000.00,147934000.00,368287000.00,185272000.00,366561000.00,147823000.00,321946000.00,0,294300000.00,0,325164000.00,0,0,0,442486000.00,0,0.0
