,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,1016997870.73,630314253.55,313135854.86,1542057203.76,936139508.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,58357906.57,-34386422.01,-71863636.30,75544427.55,82698527.49,109178088.09,41828155.73,-6457363.74,34703627.18,96486913.70,37237545.15,11802517.39,78843187.82,48545964.36,23628164.35,10120432.74,158425469.08,130947990.51,85279358.44,40509526.17,156272989.04,115977633.25,70566349.18,28649682.99,99298122.88,95238967.49,60937769.29,23050718.71,73207855.05,67515761.22,37226956.86,11554378.20,34092595.58,32868799.12,16513593.95,4569375.76,17086603.39,20483510.62,9145108.84,748640.16,10688863.94,12624174.68,8026025.96,1431235.16,11280079.02,9898411.77,6491971.11,1232649.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,36241777.79,32781111.11,16300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,44353111.92,34137154.98,2602990.36,110156423.68,26831380.80,19980811.99,14504847.88,32599188.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321390.22,1188640.22,0,0,21537025.86,15425420.34,15425420.34,-90358.89,6966881.82,7042264.28,7084884.89,-5715.12,-10281.24,0,0,0,0,0,0,0,-1986856.31,-1490142.24,-993428.16,-496714.09,-1986856.32,-1490142.24,-993428.16,-496714.08,-165571.36,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-131036.87,-23441.10,-14104.35,157981.70,-121505.62,-90150.35,-18169.20,32956.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140296.92,0,-5715.12,-10281.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,2604222328.25,1460628655.81,121964014.45,4998126518.48,2821931045.22,1669135138.55,176422707.07,4201399030.48,935368237.72,353017551.23,-14702341.91,1382260571.31,721781081.65,258909018.66,-12763120.06,1278134740.51,262717133.88,-11588215.55,-24868989.98,1248221790.73,609006654.13,524346439.67,183057772.97,1487531051.35,526754854.15,320979471.58,70642036.09,993746656.04,466615668.34,309627294.79,44610290.77,830154111.36,421750369.03,250909507.85,38210688.50,434972533.26,234396166.56,157918662.57,21440084.59,205133803.42,150082629.88,59002255.57,1152189.25,81167382.95,53531468.22,32296407.63,3042310.65,113057885.99,39035339.44,20587954.68,-134493.34,138205143.97,59901849.87,42298255.11,7996688.89,113467429.00,63609165.76,44010168.10,6528321.67,92242925.42,53289021.58,34520826.19,4205206.45,61445469.54,31360745.32,20849975.78,-7517560.24,36179471.00,26343499.84,30882578.86,17684977.95,0.0
16,加:营业外收入,22112520.31,17316104.42,6842429.17,37248849.89,17195027.50,7998986.38,755279.23,50115900.10,20028911.28,16567415.58,51235869.54,268579789.18,128761888.48,74656378.31,46262714.75,254851474.89,103344320.26,58936376.63,42955994.57,213179103.07,102105699.82,77387197.92,28523268.02,309776563.59,124974734.96,89308614.39,44551207.29,185509620.47,87143808.25,46437004.89,33063542.17,149539051.64,33696017.83,30880116.73,20342850.58,102249487.61,44035951.80,25733224.79,14657184.98,74854279.57,41934962.47,22184374.88,8911474.14,59511060.96,34331556.01,23056103.17,8670378.22,54159288.87,36722384.47,23856930.05,8009273.48,0,0,0,0,0,0,0,0,17307.49,0,0,0,0,0,0,0,18711.96,18711.96,0,0,0.0
17,减：营业外支出,1063098.72,661189.98,450852.77,17879418.67,2872177.17,1514530.56,584040.07,4121396.76,329581.47,255022.10,82704.70,494826.21,400519.96,291162.36,48647.47,501334.12,254481.54,100724.77,29576.87,180721.73,124825.79,87662.95,19509.39,1749023.12,1049595.99,841453.22,36142.49,452398.61,451442.50,446830.12,340935.78,366878.87,105584.99,3043.94,840.96,422468.97,56671.91,2985.11,2985.11,577672.53,413245.93,286947.44,252813.71,89969.94,6979.87,6979.87,0,707107.30,519320.62,519320.62,0,109929.70,0,0,0,6223.60,6173.60,3688.80,3688.80,0,0,0,0,0,0,0,0,355133.98,355133.98,1292.99,5000.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,248100.04,173654.59,82704.70,239447.25,166678.64,87721.04,48051.96,370471.03,138233.92,86912.25,15641.70,156528.40,100632.46,81144.83,14473.32,1145120.89,1037039.85,841438.52,36142.49,0,362010.78,357398.40,331504.06,283293.59,24493.05,3043.94,840.96,127311.37,4655.11,2985.11,2985.11,233002.55,84669.94,0,50313.71,89969.94,0,0,0,151742.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
