,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,798153798.14,521518827.37,189113758.24,1103642382.06,808819490.81,529961847.54,225975429.12,1095925832.06,808438769.94,535927519.73,259202018.77,1122143269.52,746811578.67,535302701.43,163505831.22,707468020.07,424500683.72,293862986.26,139204604.02,686015247.76,478560677.05,367112453.49,148002156.34,796151249.80,551107679.44,372641391.17,179035562.63,925191526.30,711580773.43,486748530.36,187035839.86,1059540577.69,690785787.93,440103871.66,138942929.08,923898219.85,575353586.55,387365010.72,105515844.74,832017933.71,500440587.48,343783870.38,131638857.27,753973375.53,506882623.49,303714280.17,146132134.32,482226250.75,290978449.82,205583902.41,277463625.15,98479967.24,0.0
2,营业收入,798153798.14,521518827.37,189113758.24,1103642382.06,808819490.81,529961847.54,225975429.12,1095925832.06,808438769.94,535927519.73,259202018.77,1122143269.52,746811578.67,535302701.43,163505831.22,707468020.07,424500683.72,293862986.26,139204604.02,686015247.76,478560677.05,367112453.49,148002156.34,796151249.80,551107679.44,372641391.17,179035562.63,925191526.30,711580773.43,486748530.36,187035839.86,1059540577.69,690785787.93,440103871.66,138942929.08,923898219.85,575353586.55,387365010.72,105515844.74,832017933.71,500440587.48,343783870.38,131638857.27,753973375.53,506882623.49,303714280.17,146132134.32,482226250.75,290978449.82,205583902.41,277463625.15,98479967.24,0.0
3,二、营业总成本,838809742.73,556475270.34,215613526.94,1365365013.50,894729995.16,570346112.00,240869520.55,1198215631.02,853079874.33,537887192.62,262337103.44,1096437503.39,722779134.84,513314550.38,177353276.05,815353137.98,531521555.25,370582773.42,170211892.82,888597863.96,619926632.78,395009704.24,157000660.35,725711789.66,479678365.83,312818994.55,162718165.33,804501698.86,607864891.54,400209155.51,166229243.45,882505452.02,608835870.54,387766526.26,120909054.43,771265816.23,495558121.25,332428223.34,92533017.76,701256229.76,409337080.93,282083652.10,111043545.61,643451337.24,425245687.36,252472128.11,128933811.10,403465570.62,242874002.71,177961493.91,250959508.84,90007026.45,0.0
4,营业成本,612595661.57,402693302.15,153542324.98,948947187.77,655167728.02,419164035.58,181300248.66,871071385.66,617859794.79,402216003.87,198356000.71,826614895.39,544928273.48,393606852.71,122207067.89,550381697.89,340444257.78,235534676.47,109641130.79,621536318.63,397669391.03,282427563.04,104782924.93,581366706.37,373531015.40,248237439.98,122092562.85,652583247.08,481858650.09,329851848.92,129440955.24,739225444.14,486202991.50,302645421.05,99560971.05,633180912.35,408235222.57,266759033.79,74386310.90,576194085.44,358871071.84,246129577.00,94322285.80,555125660.01,369121580.19,219780496.60,108004911.19,351067416.46,206051895.48,155772752.12,215938168.88,79256742.93,0.0
5,营业税金及附加,8334492.67,6767450.72,1723057.56,18623999.94,10308152.77,9470457.26,3139076.66,16150857.34,5608383.61,4322972.13,533878.45,8418606.21,2095073.75,809931.66,947666.90,3234256.80,1741207.03,1452211.77,628369.27,2005403.55,1641637.76,1251682.48,408842.21,3167310.33,1323776.81,1298421.69,512017.00,8926293.43,6501549.77,4188840.73,1507492.85,4174145.20,2631392.44,1478871.78,2739.00,7888102.52,4583512.19,3616462.14,830912.73,8060682.70,2861087.32,1951253.74,858035.26,4668901.11,1827489.29,363645.60,69479.46,1756781.45,911961.01,513301.37,1234628.15,472378.99,0.0
6,销售费用,18251643.54,11331212.99,5499315.63,46364651.88,37415958.90,23681880.62,8205844.95,47380408.21,44940065.33,27189392.32,10669998.98,47717133.67,32293803.97,21019301.53,11120912.38,41010493.10,28203634.20,18776053.84,8562939.27,36605325.11,30567127.12,14575878.94,6721408.79,26356795.73,22049033.83,12062898.20,7626838.19,24501104.13,17120391.32,9045066.11,4733357.88,17799765.44,11936583.18,7664707.00,3862346.11,15395371.60,8897307.61,4568530.72,1875590.28,13683641.86,6105202.23,2632996.99,2381435.97,7197635.13,1706850.59,1285229.56,604763.99,10294988.29,10055893.47,5649989.99,11521242.77,453340.40,0.0
7,管理费用,117536299.30,76955652.72,32273057.06,156317629.85,109908656.82,74045441.66,34985016.94,168509796.17,139100352.61,76998334.28,38654971.00,177008441.68,119573925.07,81371720.97,32725139.70,155650395.25,107435100.13,76786647.20,37611658.88,168629137.87,131239897.73,70182451.20,36443090.42,114634213.60,81059075.74,50395920.05,32674394.10,130740750.56,98861581.85,57443870.32,30376014.30,113967083.03,98303208.95,67352726.74,13513138.12,79182198.07,55551497.33,38284092.12,11776552.32,82077077.94,41839886.53,28358454.67,13903149.43,67006894.71,44698852.22,26562898.00,19386043.23,34735998.71,23418999.12,13783410.89,18443621.39,8546791.51,0.0
8,财务费用,48395292.36,34328402.23,21030204.60,92796319.80,70110977.00,47404443.54,11776330.32,76452922.82,46428534.91,29233609.64,10781771.41,19940781.42,17562227.25,8680246.91,10174395.72,49332283.47,46599404.40,31594531.36,13347567.78,58077816.90,51469341.48,27276576.83,9610231.85,16495701.46,7101699.48,5103059.35,4084627.17,14324829.05,4986659.61,2952650.88,876528.42,3528631.55,2671166.60,3517496.92,1889625.78,10379329.74,4987777.94,7136126.79,1671913.54,-9121368.08,-7989528.55,-64674.20,-421360.85,2214926.88,2264637.67,1938996.11,868613.23,1412329.60,1192997.90,999783.81,1120295.58,441579.77,0.0
