,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,211498307.80,113714627.06,51999045.51,260761136.15,185516061.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,18369123.17,911902012.79,824386632.38,220995664.22,19395589.79,617693493.18,231267289.95,116739812.08,20570104.15,138369845.86,-9737671.08,5365900.09,12497085.11,177959889.87,25599557.67,16517891.36,4436390.12,177687467.43,46847443.94,21162386.52,18231265.84,90502731.81,24153106.99,11586119.10,13812000.14,28785050.86,68000506.73,61351950.73,4711338.08,53069177.07,36719217.22,32608328.38,6524762.96,52847578.69,15796872.15,2876563.37,14443404.89,132458265.76,75829993.08,50077248.81,1281724.49,-2849045.24,18258922.50,16327075.37,-4670063.36,18039966.97,4869274.89,3328186.79,7411696.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4491273.27,4658411.40,1262361.02,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,1547875.01,0,0,0,0,0,0,0,0,0,0,-85000.00,-97900.00,6945000.00,-85000.00,-145000.00,-230000.00,-230000.00,-210000.00,-944920.00,-22574920.00,-1096420.00,2695080.00,1174920.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,171562808.85,97216631.44,-115919.07,-86383803.32,104078816.31,30182746.28,703374.24,382104455.31,83752820.89,9867998.48,904405.74,68547891.70,7450417.54,7040604.97,52467918.58,823256654.96,701101739.34,687659619.54,224303371.37,60903973.96,30697458.33,-574803.40,48199033.41,1238914869.93,110069960.46,41972244.84,34589800.57,165074469.09,187176494.20,167444890.86,78383644.71,29921885.76,18486954.07,7583804.27,-89099.31,50298703.53,15938297.95,11021472.33,4716866.91,27800153.15,20909088.24,14899645.42,14026844.86,22384455.19,15801879.32,11723570.27,5572748.20,5860404.63,262425.09,200275.91,121945.10,-603597.78,-382447.16,-283541.20,-219350.99,-747206.85,-527855.86,-337600.19,-141232.71,-564930.86,-423698.15,-282465.43,-141232.71,-564930.86,-423698.14,-282465.43,-141232.71,-564930.86,-423698.14,-282465.43,-141232.71,-419482.28,-137016.85,-544152.49,0,-5349483.19,0,2323835.09,2658327.58,4445645.54,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,125001387.44,52583710.03,-115919.07,34004017.80,61294316.31,20182746.28,703374.24,-262683068.04,16300549.26,9819546.57,0,10323175.07,-9429499.07,-9386021.92,369507.74,353750162.02,233836338.03,237893088.29,205908981.19,8185717.99,15644537.08,-40819827.92,8753344.68,12490308.63,21332527.08,15717515.63,29597093.90,24122146.85,171738824.20,30213261.95,4758643.94,28012013.36,15486954.07,7584681.20,-89099.31,31276634.26,17308331.19,11090074.26,4716866.91,17720290.85,0,0,0,22384455.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1811053502.86,1245980633.74,556593081.33,3375875250.12,2637141509.38,1704432657.18,627059838.42,1733416970.38,1000142987.71,530359290.17,192505627.48,142508229.08,253174621.65,206650751.14,-15313337.61,80326681.74,-24138416.23,231869528.06,-17556107.74,-438986225.49,-149745015.87,-56614097.22,-14458110.88,1366062265.57,577012005.16,505743415.74,453757308.47,1384711973.71,1086743113.85,968961753.08,507594986.08,1996913335.12,1736372054.94,1166915020.72,535250111.91,1605198070.52,1178810922.80,770228346.93,325386534.10,1294268857.00,1190663017.99,729361857.16,204996811.72,662496009.68,738057714.30,568008655.43,258189259.51,920652293.04,733812264.88,505683555.34,230826124.85,816058358.61,595501210.81,407869740.83,170499365.67,782365157.41,645114404.31,483022589.83,270717054.17,972294827.72,733422415.32,485975898.61,257967909.39,835447239.20,668203325.37,400180751.70,170857082.88,620999458.10,459646948.51,307253335.83,158980151.61,537828054.61,257506920.37,403599820.31,206100182.70,293883969.77,173549218.92,274363801.75,123335667.59,227911575.15,112257716.38,162506403.00,211730766.00,238456896.00,0.0
16,加:营业外收入,33478616.96,27589182.75,12572797.22,261556326.56,38344654.00,18221143.45,3506295.94,325368245.32,143075394.25,118487731.22,95960982.29,783240930.96,80609145.21,50402155.19,41337117.71,1048504207.05,337335192.81,73976018.03,38580312.71,1500090516.31,912476022.94,610953074.04,298637670.06,144329704.25,106241812.31,87094517.94,28375601.92,415167006.66,129268369.46,95951022.41,51644280.09,212964332.73,33766711.40,27911990.49,18943837.94,164340860.15,140870097.63,97656195.59,87875905.04,65192723.03,58992294.36,55752227.38,50460394.83,149908076.84,48881051.86,34822422.02,32819962.84,60794326.98,45344847.48,40355407.79,27616789.76,3622213.98,1834885.71,936366.38,487221.31,3486528.71,4164618.09,3941865.73,3426881.24,11231208.57,10854438.14,6703416.22,6101586.24,18215607.13,13303343.19,9014109.99,4927734.24,17548704.50,12994711.70,8292264.52,4053464.30,16227857.21,8107428.61,16219801.96,8108128.61,16244404.74,30547.53,289682.79,3163.80,11933982.35,0,40349088.00,10164195.00,429995.00,0.0
17,减：营业外支出,39384589.50,29970353.59,22642442.95,621710068.43,221706031.66,143567156.97,126677543.47,508135938.60,105007206.01,43747879.92,1770828.09,119667109.08,10119227.89,8186018.99,3140538.71,326725966.37,7078653.02,4679084.33,442261.48,50499745.95,6863416.01,5510132.54,4158800.80,8539704.55,2031472.12,1719032.85,1553601.23,5832199.08,4255095.70,3437328.45,3198162.14,7494269.19,4533967.70,1771968.38,596697.29,6501830.27,5522388.78,4922701.22,4172509.07,9153055.86,6236229.21,5010791.57,2150072.96,15801400.01,13170478.81,12018228.85,356369.38,12019110.27,5746747.67,3753315.61,2899056.14,15782356.95,7635243.72,6095574.50,958734.43,25843631.41,1857262.30,586845.82,-296357.00,12656507.72,13020853.28,9672962.07,266584.52,10548671.64,2283783.20,1265270.69,388209.39,5986517.56,507377.45,294931.62,8683.50,2157234.76,191766.63,8977697.67,228301.92,1010397.62,810486.33,1244313.02,639111.00,391477.69,0,12067619.00,19518766.00,5081166.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,40735892.84,40516615.85,0,22569037.66,9046483.58,7404798.31,2941464.15,6809155.11,4939278.43,4141789.20,235071.27,953060.01,441225.00,236383.54,0,5206999.77,143570.83,101580.23,100989.59,1891372.36,1848339.99,1848339.99,1827970.69,1786751.20,558567.43,527652.52,1627.53,4120533.59,3550760.17,3503234.77,3477534.11,5664236.64,4313430.17,4058554.49,1561631.26,8002699.70,5449025.62,5196148.35,105624.85,7064621.56,1819691.67,90857.36,420.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,1805147530.32,1243599462.90,546523435.60,3015721508.25,2453780131.72,1579086643.66,503888590.89,1550649277.10,1038211175.95,605099141.47,286695781.68,806082050.96,323664538.97,248866887.34,22883241.39,802104922.42,306118123.56,301166461.76,20581943.49,1010604544.87,755867591.06,548828844.28,280020758.38,1501852265.27,681222345.35,591118900.83,480579309.16,1794046781.29,1211756387.61,1061475447.04,556041104.03,2202383398.66,1765604798.64,1193055042.83,553597252.56,1763037100.40,1314158631.65,862961841.30,409089930.07,1350308524.17,1243419083.14,780103292.97,253307133.59,796602686.51,773768287.35,590812848.60,290652852.97,969427509.75,773410364.69,542285647.52,255543858.47,803898215.64,589700852.80,402710532.71,170027852.55,760008054.71,647421760.10,486377609.74,274440292.41,970869528.57,731256000.18,483006352.76,263802911.11,843114174.69,679222885.36,407929591.00,175396607.73,632561645.04,472134282.76,315250668.73,163024932.41,551898677.06,265422582.35,410841924.60,213980009.39,309117976.89,172769280.12,273409171.52,122699720.39,239454079.81,112257716.38,190787872.00,202376195.00,233805725.00,0.0
20,减：所得税费用,337811666.10,289193035.95,138747397.60,981690189.35,579614483.84,427524097.76,125674819.18,485015962.03,248587172.44,130128193.88,65726679.21,355586840.88,78963027.87,50499440.44,12095477.84,335069312.17,106985755.04,28740349.13,6717484.42,453884757.02,186587357.73,119345343.54,41391018.41,418304835.93,120901527.96,97549299.66,92243126.84,278006843.18,203932591.23,205558382.84,102163670.56,447838483.99,375869702.55,244551560.75,107950241.44,218515020.86,172593407.92,96085738.21,72771346.83,298863564.31,264708479.90,153407662.06,58885888.76,66368248.23,125459369.00,75686778.17,69241003.76,225223454.89,226404144.11,154038909.62,74036784.35,254340332.84,165142212.96,99368665.14,17355812.46,142985101.76,136674624.66,110582740.15,41178506.56,253939482.42,185041887.12,112411790.12,72635063.18,235870477.77,193781342.40,112003323.69,45238868.17,162116746.29,123349377.62,71420283.67,37252398.41,127542504.29,77469500.24,117640399.42,61038308.36,64300031.78,52677955.41,75564374.67,35979946.57,64788944.13,30228985.90,47696968.00,50594049.00,58451431.00,0.0
21,五、净利润,1467335864.22,954406426.95,407776038.00,2034031318.90,1874165647.88,1151562545.90,378213771.71,1065633315.07,789624003.51,474970947.59,220969102.47,450495210.08,244701511.10,198367446.90,10787763.55,467035610.25,199132368.52,272426112.63,13864459.07,556719787.85,569280233.33,429483500.74,238629739.97,1083547429.34,560320817.39,493569601.17,388336182.32,1516039938.11,1007823796.38,855917064.20,453877433.47,1754544914.67,1389735096.09,948503482.08,445647011.12,1544522079.54,1141565223.73,766876103.09,336318583.24,1051444959.86,978710603.24,626695630.91,194421244.83,730234438.28,648308918.35,515126070.43,221411849.21,744204054.86,547006220.58,388246737.90,181507074.12,549557882.80,424558639.84,303341867.57,152672040.09,617022952.95,510747135.44,375794869.59,233261785.85,716930046.15,546214113.06,370594562.64,191167847.93,607243696.92,485441542.96,295926267.31,130157739.56,470444898.75,348784905.14,243830385.06,125772534.00,424356172.77,187953082.11,293201525.18,152941701.03,244817945.11,120091324.71,197844796.85,86719773.82,174665135.68,82028730.48,143090904.00,151782146.00,175354294.00,0.0
22,归属于母公司所有者的净利润,1306468698.31,818859406.20,318965175.75,2101334686.61,1810591275.70,1134230149.68,377585753.36,1093031785.37,808147154.57,501048668.97,230583881.23,440222122.80,226973087.52,188619089.72,39099549.94,599622820.76,293225520.06,348953060.10,46100536.66,835199224.80,670681434.48,507479902.39,254165547.07,1031297789.92,461372700.49,409875329.17,326978371.69,1265866614.60,802867640.27,682439104.41,360155458.09,1464948735.16,1158279782.75,808592584.53,391931798.80,1350680719.81,1030917609.34,703437114.51,317128691.19,877075445.98,809935160.74,472182935.52,135325142.03,503995303.79,448565724.76,355939056.76,165109847.94,587412083.27,440476468.58,316899925.44,152222955.90,458069916.01,351118189.06,252061129.21,124323144.04,509772185.01,435142878.61,311050270.94,185970154.46,621884543.79,469705251.57,310839537.56,157267140.30,558467084.05,454804249.25,277428073.88,122123864.83,441395706.93,327369446.09,230296260.54,119749014.64,382828107.52,173758554.93,273427044.14,142455676.66,230957095.58,112630144.47,189182991.50,82527020.13,170659954.35,82028730.48,143090904.00,151782146.00,175354294.00,0.0
