,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990331,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,46067256.24,24330346.03,12601551.60,5600056.29,30132732.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-72659.61,-4245208.73,-7371624.35,-6318868.77,-12783701.93,1844133.46,-1476134.47,-1901317.54,-84175.51,-13788852.13,-1301524.20,958214.05,-4641760.88,6382656.34,21735347.31,9123309.12,1740897.95,6249322.28,43394494.50,11483914.55,917620.43,33194760.53,5004327.47,-8402784.46,856868.46,15357328.44,2472783.61,2675783.26,807915.22,-26930262.82,-1526725.60,-1471316.35,-1980906.38,20715124.39,-1782741.45,-1188045.20,-1219269.33,-1689620.39,9486668.87,9486668.87,-565494.87,87846070.68,78060369.74,80834310.02,0,51423798.31,0,0,0,475153273.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5054874.00,0,0,0,0,0,0,0.0
11,公允价值变动收益,-1009000.00,-1008980.00,-1008980.00,1178000.00,-7711960.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21834.67,21834.67,11250.41,-99827.58,-31567.49,-31567.49,0,67651.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,167122365.37,58130236.66,39523208.35,9391347.77,38749008.10,-4639113.92,-3005829.93,63520.27,2315611.98,2227430.71,2504213.94,1988016.76,37959650.70,40598243.00,20168029.37,13770030.31,66873721.51,66831287.52,11059315.35,5038456.61,23533311.83,13109384.94,2095871.48,1321312.16,3464256.76,3812450.10,3611421.20,2154244.34,9318114.56,3047599.46,2184471.61,843309.25,14045461.59,4108473.90,3880070.95,3589105.92,1086719.28,4076398.46,1779863.15,972194.57,11629088.98,2761640.12,2718140.37,266696.40,71333336.73,1085477.35,1085477.35,0,7362911.79,0,0,0,0,0,0,-3289882.77,-12031982.86,-8178325.98,-4888443.21,-1598560.44,-1990816.03,-1192878.45,-795252.30,-397626.15,-795252.30,-397626.15,0,0,0,0,0,0,0,0,2502063.00,2502063.00,0,0,22240405.07,19590811.30,14029221.60,0.0
13,其中:对联营企业和合营企业的投资收益,158398820.39,53425420.26,34838410.68,9383070.57,28198663.93,-4731660.24,-3093608.75,14400.00,2084399.91,2050119.60,2387097.01,1929785.44,37782417.96,40476164.06,20103711.45,13746931.42,66830569.75,66831287.52,11059315.35,5038456.61,0,13109384.94,2095871.48,1321312.16,0,3812450.10,0,2154244.34,0,3047599.46,2184471.61,0,0,4108473.90,3880070.95,0,0,4076398.46,1779863.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,574154512.58,350963937.47,198607811.43,111563034.62,471112128.29,253391992.08,134566565.08,44548437.31,299543128.20,167309724.01,88665617.44,38538074.82,223638115.53,110951244.56,40380817.13,34718262.00,273749509.48,145331221.52,102618045.44,73456835.88,384641965.98,250396063.50,108553437.02,63149842.45,543371178.41,196573043.46,53245473.06,29454904.31,484051140.60,68388322.83,31188694.94,25300548.04,316328190.57,82939731.38,31465018.37,23103416.85,612130403.56,140710716.39,62837836.04,17709668.75,588163044.21,123831855.48,42224627.91,18773255.20,-198907730.58,-541058137.74,-424796615.97,-22322180.82,-438035510.54,-181601795.18,-97044124.58,-43059426.14,-890550365.08,-249400906.76,-197499569.87,-145382482.90,-142861712.36,31081951.79,26008856.55,14163243.97,26269688.25,68152056.97,51689767.95,34048944.19,133494887.51,107573023.63,55006041.32,24248872.00,118493368.17,101129754.28,76292845.46,35241811.98,148621283.93,91050319.70,175559636.43,72110350.77,156035801.09,32745714.58,66993749.59,54498099.25,30833056.11,0.0
16,加:营业外收入,3851419.15,3940788.91,1053223.12,410952.18,7140435.54,2606477.22,2169469.74,676152.35,3508001.90,11911493.63,11131059.20,7935627.51,24133090.37,17496300.62,9165349.76,854539.65,8488339.86,6387666.96,3388416.34,1259323.92,10296039.57,7212894.68,6416593.55,93988.00,13319527.83,12782859.96,12485532.90,655636.00,1168660.42,690705.68,484316.81,83000.00,4339321.12,2800685.19,2740784.23,0.40,1770954.23,985559.76,661026.99,60268.62,773410.48,218558.12,9900.00,7900.00,1518815.10,5444027.07,5024764.08,713807.86,421398443.85,2795318.74,465804.99,108748.05,31305790.16,5307106.51,4263853.33,346966.96,1894778.45,725719.73,603439.22,107178.69,575254.85,315537.88,275939.41,255637.64,3221638.51,4514351.12,2745202.13,2669144.59,869532.67,787538.17,640615.96,299795.82,602035.68,309260.65,277017.60,8227.34,4909500.40,200.00,5167.01,0,145.90,0.0
17,减：营业外支出,9045836.35,6333614.50,3157930.38,317144.22,20434900.97,8795077.67,6893718.52,682148.21,50405412.84,25998629.36,15325414.41,7109122.72,16091640.96,10937861.94,8726139.15,6273428.19,27309894.82,17489751.33,15000341.18,7377660.09,25077579.85,9679138.50,7522363.55,2975758.14,9297638.49,5152898.55,4515346.53,4213987.52,9992992.61,2684736.36,1162269.53,1109092.72,11083544.09,1457112.00,537866.84,290932.91,25037706.70,2298510.96,1277992.23,276571.96,3150633.39,1420191.61,1077003.11,40266.11,7160461.41,4851374.27,2125251.52,708388.17,12855759.65,1078506.33,262082.84,173921.83,6716868.24,696066.69,493785.57,302891.63,1365419.83,2312194.10,1393186.87,740871.41,517340.51,8602.27,8127.03,3549.03,4448361.93,4060077.13,2924611.91,1724381.30,85519.50,81419.09,61560.24,54853.54,10763.32,52160.99,2594726.14,9373.07,3714.37,1000.00,33480.80,1610.05,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,10615.22,9185.22,0,32304.39,7981.44,6119.34,3918.94,36886.95,13778.42,7642.40,440.00,9472.11,6965.61,2342.50,1340.00,29383.69,5467.76,1078.78,0,0,1269.00,969.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43979.83,0,43979.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
