,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2736629592.39,1654642957.58,707938610.32,3323850956.54,2101147117.49,1394741305.78,542427314.30,2222818469.69,1549686642.83,1045242158.73,414526271.00,1622387417.90,1038322772.43,497132093.20,178212254.60,854458663.60,522585865.84,318386825.19,117338005.63,961734097.25,564640505.80,380435863.30,163587414.56,859527070.19,589840299.22,421120054.48,183763570.52,1012243464.64,729311663.99,562966966.27,271740969.06,1155992985.74,835654819.27,557189736.75,248590974.61,810250646.02,555464505.91,355244669.82,165681092.76,587377409.99,404042562.77,291259073.93,142759392.12,579510172.91,405083028.11,263344348.34,115458922.48,530899963.43,462433617.00,414225992.48,0.0
2,营业收入,2736629592.39,1654642957.58,707938610.32,3323850956.54,2101147117.49,1394741305.78,542427314.30,2222818469.69,1549686642.83,1045242158.73,414526271.00,1622387417.90,1038322772.43,497132093.20,178212254.60,854458663.60,522585865.84,318386825.19,117338005.63,961734097.25,564640505.80,380435863.30,163587414.56,859527070.19,589840299.22,421120054.48,183763570.52,1012243464.64,729311663.99,562966966.27,271740969.06,1155992985.74,835654819.27,557189736.75,248590974.61,810250646.02,555464505.91,355244669.82,165681092.76,587377409.99,404042562.77,287954926.16,140794206.24,579510172.91,399173517.04,263344348.34,115458922.48,530899963.43,462433617.00,414225992.48,0.0
3,二、营业总成本,2552569050.12,1548491414.78,719430548.42,3163857931.39,1962543214.17,1291114699.09,542684815.54,2406109305.23,1737949769.22,1223001028.92,511794277.01,2063297334.37,1353503117.50,504207983.74,187581020.03,809295546.80,478994072.78,301329097.50,118893049.09,905235362.04,510446610.93,350379353.24,162731915.04,722072429.21,486682129.58,354471744.14,168330850.26,826260054.99,588629549.14,462197624.09,234253184.24,970123546.92,684384606.97,460520652.38,218082404.12,696476944.51,466920641.81,294626118.84,145330176.37,520425719.96,342954721.00,245407770.20,124804019.39,524442476.12,353768888.14,231362125.26,99521268.52,477022021.62,410425115.04,369849474.91,0.0
4,营业成本,1585950132.80,932265718.16,390214264.40,2048305426.87,1255335036.33,855346178.00,315096376.84,1409548683.35,948798166.53,669972892.94,276509285.97,977785262.66,621970205.18,299776805.52,101058653.95,507409012.55,281567416.82,170375981.88,55742546.68,628784448.53,332142937.44,225632350.02,99385605.42,499358439.38,331911557.99,245309371.18,117850267.49,613268046.31,435124003.57,361601562.83,177578365.63,769905298.86,560802852.05,372157972.63,170230701.00,546422925.72,360658086.81,226808216.49,111253602.02,388532720.52,257108304.60,184438248.24,91399684.44,409469736.70,272775788.70,179197182.23,73373825.69,369408595.34,308826678.85,278870799.08,0.0
5,营业税金及附加,17735402.70,15116819.04,8410298.77,20476291.84,12946438.31,9979744.61,6769756.22,17890408.59,11577351.58,7873065.82,1094787.36,9420660.64,2971045.85,2320388.29,1729214.07,5617710.75,3096167.37,1655678.47,646353.43,4779486.75,3145494.31,1368046.45,1010292.96,4179807.35,2885772.43,2085292.22,1086543.19,7342401.40,5762234.89,4810907.62,2726974.79,4870088.39,2862908.39,1977065.40,686575.40,3810376.21,1989543.46,1277918.90,828080.82,3708664.85,2537417.13,2139340.30,1175395.48,2605231.90,1672353.35,1037181.41,475703.91,2251727.61,1792910.42,1881880.97,0.0
6,销售费用,156125165.57,101565096.31,54162797.53,168883173.25,111173412.01,71369227.68,36907910.55,125063466.51,83532485.65,53812256.70,25503671.60,108755679.48,67590334.66,28644499.07,13622893.08,44589688.23,31182379.46,21675638.82,11232400.09,44626833.03,33046568.98,21552802.70,11285494.74,48470692.72,34709828.85,22632695.51,11332766.36,41900880.42,29775238.26,18652689.10,9452861.43,39845543.95,26682994.61,16616543.68,9126872.24,30459868.87,21404024.10,12924989.78,6214552.31,23709591.06,16956076.39,11433719.63,5455385.11,24527984.66,16711371.40,11018940.49,4955055.85,21215305.33,18393957.09,17096283.67,0.0
7,管理费用,370637285.26,248034475.28,134067911.07,503393061.23,382956754.82,307330183.70,161377440.92,795372092.63,654458422.25,459744415.29,198003073.09,904046013.53,633299994.58,154588351.88,68652737.32,203445223.57,137082315.29,86880766.60,43447004.33,178980776.51,121169082.27,84070504.43,44132021.94,160454365.64,105464263.64,70544256.46,33286476.43,132719953.95,92299881.51,56663298.87,33968236.52,144161421.14,82127931.62,57639447.36,33152686.61,114530268.57,73207539.20,46667821.51,21643076.14,91633745.41,55915027.39,37471033.41,19825777.86,77983651.97,54123292.03,35403375.30,18099998.97,78851092.82,71093409.16,67710897.15,0.0
8,财务费用,69165644.46,40418744.17,13720488.33,47650345.35,32356538.24,21025995.72,11295113.27,26747918.29,19122586.30,12292961.46,7106880.60,27366951.68,20648228.96,9619504.09,4240002.26,16785218.65,11521287.23,7816417.26,3333896.24,10188566.46,6170630.30,3842529.63,1598119.47,1049654.20,2096863.02,571140.38,1375569.76,6580443.14,3686806.93,3232098.91,1423097.45,2745236.95,3290733.29,2131317.95,1005253.33,72652.77,4225004.94,3058727.30,2102483.31,5677636.55,4816800.22,3679698.49,3326334.81,5997253.51,3981884.65,2409635.78,1026366.74,3414722.52,3102826.18,2452357.50,0.0
9,研发费用,352955419.33,211090561.82,105805530.53,351241389.57,131322423.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,13049257.79,23908243.28,36452610.65,26063369.38,11238217.74,31486735.86,20460756.91,19305436.71,3576578.39,35922766.38,7023308.27,9258434.89,-1722480.65,31448693.05,14544506.61,12924614.47,4490848.32,37875250.76,14771897.63,13913120.01,5320380.51,8559469.92,9613843.65,13328988.39,3399227.03,24448329.77,21981383.98,17237066.76,9103648.42,8595957.63,8617187.01,9998305.36,3880315.54,1180852.37,5436443.30,3888444.86,3288381.77,7163361.57,5621095.27,5319826.08,3249333.00,3858617.38,4504198.01,2295810.05,1590317.36,1880578.00,7215333.34,1837256.54,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9501.37,9501.37,9501.37,9501.37,0,0,0,0,0,0,0.00,0,-33545.40,0,0,0,0,0,0,0,0,0,0,0,-13431.85,0,0,0,0,0,-10205.38,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,320733059.28,187498469.74,37170176.96,334172411.73,243992571.56,166595354.58,31880637.14,196273916.44,136046911.94,90540133.54,-97268006.01,-440909916.47,-315180345.07,-7075890.54,-9368765.43,45163116.80,43591793.06,17057727.69,-1555043.46,56508236.58,54203396.24,30066011.43,865000.89,137454640.98,103158169.64,66648310.34,15432720.26,185983409.65,140682114.85,100769342.18,37487784.82,185835893.42,151270212.30,96669084.37,30508570.49,113773701.51,88543864.10,60618550.98,20350916.39,66951690.03,61087841.77,45851303.73,17955372.73,55054264.94,51314139.97,31982223.08,15937653.96,53877941.81,52008501.96,44366312.19,0.0
16,加:营业外收入,13822626.90,11932666.94,1043734.50,12870266.14,6385002.40,3419899.34,104011.55,11494515.30,8040522.16,1165000.00,109664281.19,616874720.30,432640961.25,56420541.03,20483199.18,51827963.62,29902623.60,22351668.53,11186188.90,45011697.26,19275765.85,13295191.16,6606457.20,22590303.96,17517373.75,14398679.13,4460276.68,7554128.33,5334369.53,932778.07,463862.29,9383681.47,1218906.99,849463.69,447324.65,4134074.81,1288674.67,945358.06,326244.01,6565178.98,3852787.59,2683223.49,980992.20,4245198.65,3351314.00,2050774.61,1409994.61,455588.52,370200.22,290770.77,0.0
17,减：营业外支出,2765352.45,1539857.48,15924.57,1876172.56,2387516.54,1215148.90,138442.70,1932084.63,1693409.50,823332.24,460437.23,1768900.71,1029786.81,422955.27,31851.83,1103884.50,413972.55,293608.89,285736.33,1292898.70,954669.25,241578.08,103206.26,992695.80,311297.18,197668.23,165090.23,331439.60,32915.77,-1681.16,1596.16,2607921.07,162113.25,160676.16,65652.75,358037.08,185182.48,130388.50,12496.64,906102.08,164232.52,117773.54,25671.03,414012.88,466912.13,455515.85,19947.01,272486.80,476393.83,513511.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,959912.63,89835.37,43705.37,344641.83,246387.93,186314.85,21851.83,132509.81,123970.39,23606.73,15736.33,34421.61,34373.98,7651.49,6958.26,90404.63,8295.83,4006.88,3526.88,69727.31,3186.50,-2210.16,1067.16,2541010.07,127513.25,126076.16,31052.75,335320.44,2160.23,0,0,892916.59,0,0,0,154189.24,75746.32,75746.32,5947.01,247902.37,425089.23,0,0.0
19,四、利润总额,331790333.73,197891279.20,38197986.89,345166505.31,247990057.42,168800105.02,31846205.99,205836347.11,142394024.60,90881801.30,11935837.95,174195903.12,116430829.37,48921695.22,11082581.92,95887195.92,73080444.11,39115787.33,9345409.11,100227035.14,72524492.84,43119624.51,7368251.83,159052249.14,120364246.21,80849321.24,19727906.71,193206098.38,145983568.61,101703801.41,37950050.95,192611653.82,152327006.04,97357871.90,30890242.39,117549739.24,89647356.29,61433520.54,20664663.76,72610766.93,64776396.84,48416753.68,18910693.90,58885450.71,54198541.84,33577481.84,17327701.56,54061043.53,51902308.35,44143571.96,0.0
20,减：所得税费用,68630045.06,41767614.29,10125091.90,62317803.92,49313229.04,34028050.77,13422548.92,38453180.83,35084883.41,19767380.31,5219664.18,36248071.40,27984295.39,14982364.20,5234114.82,20783170.08,12956191.30,7116792.44,2855908.53,26702537.31,13927749.56,8767092.19,2053296.25,27026263.84,20552257.46,14011071.46,2567244.87,26187795.71,22075670.77,14640809.98,6079000.29,34536997.68,25089613.88,16662465.81,5373093.16,19854424.87,14615404.81,10400255.38,4072422.55,12284030.76,9672269.39,7525914.75,3285403.88,9526502.66,13168838.41,6367909.56,2348199.78,10533591.45,4552487.39,4733677.53,0.0
