,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940930,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,12077067.56,9037108.31,3737379.11,12152023.67,8686144.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,17552164.35,2210260.88,7321765.23,6403771.35,17205965.82,-16584115.25,-749100.60,-3300799.09,11118746.62,25868082.51,9569473.84,4731426.56,6726084.42,4889341.77,9720420.42,5409393.10,9868318.43,-962390.57,7134826.83,4002342.96,8348858.36,7933342.87,10787954.61,7715796.97,7623298.05,-17872824.13,-6778836.64,11116265.04,8932710.96,4330868.82,20596144.61,17068874.05,4197025.28,27284801.66,12086901.40,230034.77,570329.38,2012515.00,2246371.02,1902327.87,148279.92,22061309.27,1654997.82,1555436.59,1097023.54,494351.25,1091927.55,1651150.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750000.00,0,100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,160000.00,160000.00,160000.00,997940.34,380122.77,507133.06,18968.23,895457.16,755995.94,351913.80,0,-879954.14,-1074303.66,-811437.13,160000.00,375348.20,360971.20,360971.20,360971.20,11501.60,0,0,0,284313.10,280000.00,280000.00,0,4313.10,0,0,0,611625.19,227179.57,227179.57,227179.57,161942.40,161942.40,0,0,169130.90,169130.90,0,0,101478.54,101478.54,0,0,132587.86,2587.86,0,0,765993.48,31923.36,-131163.89,-82975.39,411186.54,48694.48,-11590.58,-11136.83,70103.69,0,0,0,305967.70,302594.13,304530.00,304530.00,114220.00,114226.00,0,0,285059.00,0,0,179351.78,0,187247.00,136640.00,301693.39,200479.36,274697.00,0,188205.42,0,181734.59,53600.00,208000.00,0,0,137310.55,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,879155.49,220122.77,0,0,751673.25,0,0,0,-1347289.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,2537602009.69,1768361891.42,1290730271.94,2177018801.04,1913583532.54,1411589425.69,1062576922.42,1384846692.86,1251843526.56,985138795.96,747818205.49,929659605.09,698264282.40,548681149.83,412540999.22,772076545.16,525727366.15,415729462.87,323716475.03,508836378.79,563525992.12,494405872.22,450216666.54,1484836221.46,1681093190.33,1394424564.03,994261114.40,2015144420.82,1824345036.24,1361563691.64,814465633.89,1365704220.04,1180078679.14,1037854010.71,727813350.03,889325950.99,873654407.76,540280950.04,397007644.37,670851872.99,638814507.59,401832552.54,264278191.36,486016805.36,365975510.08,125236222.15,36221707.55,685208468.27,453798566.25,359408698.54,239110650.33,504044026.10,442689782.07,298594374.96,223207927.41,280332802.64,262022229.62,171800848.06,95841514.84,208427772.61,169034700.74,104932169.21,58627937.26,87044450.21,82448413.03,43475544.46,32767859.93,42798257.65,33493715.80,24742298.83,15391878.76,36234331.79,0,23669761.81,14463378.00,8353815.69,9010671.94,5893395.58,5154004.89,96483.41,60974162.72,29177568.95,62062483.79,48365856.87,56735603.53,36269100.00,113543000.00,92301775.13,65460330.37,146076154.95,117061519.00,89683650.00,76627036.00,0.0
16,加:营业外收入,3749174.38,862976.95,239058.65,1159244.89,1338217.82,1208143.60,447020.21,9229640.72,2470483.52,1986810.55,1475219.98,5223797.38,3793681.30,3538794.32,700566.95,3809610.30,3062229.95,2199174.38,811270.90,8651144.21,3811230.60,2982680.46,2038867.84,4463107.50,4192235.50,3447715.65,3269087.96,4946572.77,2495065.08,2118016.76,918848.00,3943005.23,3348470.79,1586572.48,1099498.16,2777005.50,2047712.40,1637838.45,951682.00,1109815.02,489266.90,393993.40,142427.50,2578892.04,593767.50,286400.00,226400.00,1939578.63,1383355.07,1116582.38,23000.00,1392224.83,98857.52,85247.13,3780.00,601989.39,59947.79,59947.79,59947.79,75583.84,55383.84,45025.00,44050.00,140620.57,131674.80,76244.67,2461.12,124474.41,16974.41,8496.87,6700.43,69507.74,0,0,151514.07,705.80,39256.94,0,1356160.87,702560.87,956772.51,0,251924.33,0,168469.67,0,0,11834.55,0,73417.93,24454.00,6921.00,11404.00,0.0
17,减：营业外支出,1281123.55,806809.90,1515.08,3758911.81,5141655.90,4643109.58,881337.63,10832397.24,5602675.86,5063200.86,4916932.17,14823143.01,10598808.45,7784822.33,4257466.44,16034927.26,11988721.93,9674703.46,7458101.83,40118746.61,30783879.42,23780481.01,19275229.01,48659693.18,35898620.95,28340054.81,20980908.48,54329746.98,46027512.49,35679238.46,20753571.71,32151215.59,21752315.46,18389073.27,9729929.22,25334783.57,19600421.63,15289874.25,9760264.59,9958924.22,6873562.83,4020826.28,2132108.88,44720337.78,27468652.91,15017940.92,1233799.77,19438793.65,11708719.94,10389015.70,1038001.24,8146285.49,6062374.29,4790738.46,1940698.76,6608580.32,1396838.24,732666.56,178246.58,12791414.92,401787.76,330970.27,277533.01,14178107.15,6766586.39,4507092.73,1355471.52,2639839.30,438809.30,165.75,90.00,2508.11,0,164.61,125717.24,18097.96,1077.10,203.28,255666.54,518335.05,1276672.74,0,2349459.67,0,1996841.85,0,0,2395759.33,0,4033011.65,2707914.00,1778654.00,1570815.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,41106.91,18363.17,19198.49,0,33344.61,0,0,15965.03,13283398.50,2873221.17,36914.00,53949.21,1303642.55,266095.27,0,0,6722262.92,5986522.02,5786449.55,0,1446949.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,2540070060.52,1768418058.47,1290967815.51,2174419134.12,1909780094.46,1408154459.71,1062142605.00,1383243936.34,1248711334.22,982062405.65,744376493.30,920060259.46,691459155.25,544435121.82,408984099.73,759851228.20,516800874.17,408253933.79,317069644.10,477368776.39,536553343.30,473608071.67,432980305.37,1440639635.78,1649386804.88,1369532224.87,976549293.88,1965761246.61,1780812588.83,1328002469.94,794630910.18,1337496009.68,1161674834.47,1021051509.92,719182918.97,866768172.92,856101698.53,526628914.24,388199061.78,662002763.79,632430211.66,398205719.66,262288509.98,443875359.62,339100624.67,110504681.23,35214307.78,667709253.25,443473201.38,350136265.22,238095649.09,497289965.44,436726265.30,293888883.63,221271008.65,274326211.71,260685339.17,171128129.29,95723216.05,195711941.53,168688296.82,104646223.94,58394454.25,73006963.63,75813501.44,39044696.40,31414849.53,40282892.76,33071880.91,24750629.95,15398489.19,36301331.42,0,23669597.20,14489174.83,8336423.53,9048851.78,5893192.30,6254499.22,280709.23,60654262.49,29177568.95,59964948.45,48365856.87,54907231.35,36269100.00,113543000.00,89917850.35,65460330.37,142116561.23,114378059.00,87911917.00,75067625.00,0.0
20,减：所得税费用,728124553.86,502891879.63,347406958.98,614528955.05,554893510.45,397984549.50,298503551.31,379084720.57,386376537.65,340221658.87,250299033.09,278486582.10,216876621.08,168411937.78,101723287.51,218043448.07,139221491.45,116691816.91,91208452.21,119494133.71,125677483.26,102368796.14,81142155.17,455221670.95,421728749.07,348671738.38,203140836.04,578647172.09,478580697.58,365316308.81,201070003.56,412935650.74,306541495.18,249861243.47,140316258.61,264843478.17,208185933.68,135293530.27,84360086.57,204089198.34,163945145.70,105764048.58,64616548.75,129267871.87,88819854.14,38225985.19,14530511.30,252494742.20,151014025.99,115924376.65,75656219.33,179034989.94,149703951.97,103316905.28,79280837.80,105895109.34,94542182.23,62074733.32,31612508.75,83894314.06,59282528.21,35277673.03,19478446.98,17729545.37,30140165.96,15945265.50,14097412.16,24591205.24,14594319.78,11635082.92,8020406.66,9899114.73,0,9255505.63,3629895.75,3093739.15,5333335.67,3054060.25,2120784.76,39995.03,8956403.56,4376635.34,8999350.14,7265633.44,8222324.51,5440400.00,17161000.00,29672890.62,9804913.25,0,35135208.00,26460252.00,34105145.00,0.0
21,五、净利润,1811945506.66,1265526178.84,943560856.53,1559890179.07,1354886584.01,1010169910.21,763639053.69,1004159215.77,862334796.57,641840746.78,494077460.21,641573677.36,474582534.17,376023184.04,307260812.22,541807780.13,377579382.72,291562116.88,225861191.89,357874642.68,410875860.04,371239275.53,351838150.20,985417964.83,1227658055.81,1020860486.49,773408457.84,1387114074.52,1302231891.25,962686161.13,593560906.62,924560358.94,855133339.29,771190266.45,578866660.36,601924694.75,647915764.85,391335383.97,303838975.21,457913565.45,468485065.96,292441671.08,197671961.23,314607487.75,250280770.53,72278696.04,20683796.48,415214511.05,292459175.39,234211888.57,162439429.76,318254975.50,287022313.33,190571978.35,141990170.85,168431102.37,166143156.94,109053395.97,64110707.30,111817627.47,109405768.61,69368550.91,38916007.27,55277418.26,45673335.48,23099430.90,17317437.37,15691687.52,18477561.13,13115547.03,7378082.53,26402216.69,0,14414091.57,10859279.08,5242684.38,3715516.11,2839132.05,4133714.46,240714.20,51697858.93,24800933.61,50965598.31,41100223.43,46684906.84,30828700.00,96382000.00,60244959.73,55655417.12,142116561.23,71335119.00,53722328.00,27904210.00,0.0
22,归属于母公司所有者的净利润,1695905099.68,1190100208.31,877410231.07,1466733719.47,1263800216.36,937155352.47,710071792.17,944101731.03,805530769.83,601683705.94,467710587.29,605125960.75,451174626.01,358930017.33,294709348.38,520602935.56,365266179.38,279422899.62,215322936.62,355758196.70,398583498.38,360065571.00,342344365.91,960424806.93,1186048068.11,985720497.86,751814785.55,1327314482.43,1243379512.16,786840738.35,492532388.75,780547480.32,707537139.81,658625189.75,506084693.29,494490329.50,536971981.45,333974406.46,260427847.11,354985809.95,366696822.39,230468160.00,155841229.93,245171673.65,199355020.87,61918522.69,28014361.75,359557832.22,246394889.11,194685814.97,133336583.86,261326295.20,229898105.23,154246066.88,111218672.81,132293451.17,130333709.05,86139284.48,49896835.90,88973149.11,83934868.74,51288335.55,29400527.60,42191815.07,39976503.73,22966852.34,18228184.42,15837173.68,18174821.57,13123643.86,7377849.89,26393506.98,28345000.00,14413805.81,10853776.11,5238968.53,3714830.39,2838973.27,4133647.61,240706.41,51697830.53,24800933.61,50965598.31,41100223.43,46684906.84,30828700.00,96382000.00,60244959.73,55655417.12,142116561.23,71335119.00,53722328.00,27904210.00,0.0
23,少数股东损益,116040406.98,75425970.53,66150625.46,93156459.60,91086367.65,73014557.74,53567261.52,60057484.74,56804026.74,40157040.84,26366872.92,36447716.61,23407908.16,17093166.71,12551463.84,21204844.57,12313203.34,12139217.26,10538255.27,2116445.98,12292361.66,11173704.53,9493784.29,24993157.90,41609987.70,35139988.63,21593672.29,59799592.09,58852379.09,175845422.78,101028517.87,144012878.62,147596199.48,112565076.70,72781967.07,107434365.25,110943783.40,57360977.51,43411128.10,102927755.50,101788243.57,61973511.08,41830731.30,69435814.10,50925749.66,10360173.35,-7330565.27,55656678.83,46064286.28,39526073.60,29102845.90,56928680.30,57124208.10,36325911.47,30771498.04,36137651.20,35809447.89,22914111.49,14213871.40,22844478.36,25470899.87,18080215.36,9515479.67,13085603.19,5696831.75,132578.56,-910747.05,-145486.16,302739.56,-8096.83,232.64,8709.71,0,285.76,5502.97,3715.85,685.72,158.78,66.85,7.79,28.40,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.953700,1.369600,1.013300,1.694000,1.459600,1.082400,0.820100,1.090400,0.930300,0.694900,0.540200,0.698900,0.521100,0.414500,0.340400,0.601300,0.421900,0.322700,0.248700,0.410900,0.460000,0.415900,0.395400,1.109200,1.370000,1.138400,0.868300,1.533000,1.436000,0.908800,1.140000,1.803000,1.630000,1.521300,1.170000,1.142000,1.240000,0.770000,0.600000,0.820000,0.847000,0.532400,0.360000,0.566300,0.460000,0.143000,0.065000,0.830000,0.570000,0.450000,0.310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
