,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1814296130.05,1046020340.26,395665107.86,2277286680.41,1377930676.09,1102538808.14,459453270.15,1171553611.20,789243358.66,461987265.08,190435539.56,1065508630.29,642892191.70,434171955.66,195139315.86,1498813791.52,987780056.91,660051095.59,271933755.70,1404153163.12,947982230.08,661277699.75,251714467.29,1481028649.92,967987555.15,659277842.67,255107152.24,1402749727.46,957638336.93,649067152.32,266397835.92,1372790206.42,863403020.65,559801141.03,259787148.83,1049053839.91,764161478.56,489968992.66,221337851.73,979420179.37,746992648.26,465592672.61,184587552.20,752622891.07,587569639.30,344753301.63,163840707.10,660936125.23,507536847.15,335308357.22,156956338.20,499710281.45,399750690.64,0.0
2,营业收入,1814296130.05,1046020340.26,395665107.86,2277286680.41,1377930676.09,1102538808.14,459453270.15,1171553611.20,789243358.66,461987265.08,190435539.56,1065508630.29,642892191.70,434171955.66,195139315.86,1498813791.52,987780056.91,660051095.59,271933755.70,1404153163.12,947982230.08,661277699.75,251714467.29,1481028649.92,967987555.15,659277842.67,255107152.24,1402749727.46,957638336.93,649067152.32,266397835.92,1372790206.42,863403020.65,559801141.03,259787148.83,1049053839.91,764161478.56,489968992.66,221337851.73,979420179.37,746992648.26,465592672.61,184587552.20,752622891.07,587569639.30,344753301.63,163840707.10,660936125.23,507536847.15,335308357.22,156956338.20,499710281.45,399750690.64,0.0
3,二、营业总成本,1630010228.00,930246888.78,344126306.64,2987716843.24,1218499259.70,971261187.61,421857026.45,1104691252.13,718956547.84,411634944.61,170165379.04,980856161.34,584215503.87,398252279.66,183143503.66,1405137944.60,927023872.88,597923060.51,256992795.50,1333533408.94,894640818.39,611107718.85,236853218.56,1375489375.17,863406443.78,561135016.48,224195117.61,1220055667.93,822454349.81,550840556.81,235598938.81,1197554996.18,740388648.00,479088737.11,233720635.07,906856333.06,636601479.76,413679407.21,192639029.86,832402823.61,636926466.04,399166570.69,167525611.27,660651548.52,525119211.18,302620358.32,147050998.64,562905183.60,446180074.75,295651345.64,141038495.93,443783673.09,359591794.48,0.0
4,营业成本,1467857053.83,827038701.77,294744757.33,1780291460.13,1040278140.24,856087304.74,371697711.98,888471616.15,606244866.61,328549007.96,139111120.70,774650709.97,450264241.74,306056132.45,145570180.35,1210793618.21,808896256.46,518748259.00,222418745.11,1126631605.15,751182713.99,506343856.26,187902354.03,1149813709.16,728521985.92,481496340.45,184296461.31,1045835604.21,719804159.51,488956807.27,201240910.59,1051888207.08,654673717.18,425418419.78,204314933.91,775847139.70,559327170.67,361601927.13,168519014.55,745243737.50,577336953.76,361743647.82,149349815.58,576869357.31,465142993.34,264527389.00,127959119.48,506908836.58,401387970.65,267610306.90,125051543.26,391968600.80,311689770.94,0.0
5,营业税金及附加,12164251.70,8479924.30,4450924.87,18311370.17,8662350.02,6582351.76,2864066.94,18093496.04,10421148.20,6444160.27,3495175.79,16216358.18,8154434.09,4753056.90,4372673.00,8839014.71,6371304.17,3933337.33,1563601.22,4057049.11,2338542.57,2126679.23,1435266.97,7401866.76,4830385.10,3897585.44,1698081.72,8595250.20,6108267.32,4252276.14,1769206.86,8492610.36,3937182.41,2859004.54,943529.84,8988626.49,6476643.92,4816526.09,2198524.70,2712815.64,1448318.70,851738.70,308514.92,1054827.92,752975.82,524144.10,243509.21,2503764.89,1728992.62,1103117.29,510663.45,1935622.95,2125582.76,0.0
6,销售费用,23153210.61,15104592.57,8447227.81,32773492.02,19756821.33,14142813.53,7022459.22,27279595.43,19705549.64,12593661.65,6376153.14,19413409.01,13156236.10,8622462.36,3919247.08,21452741.15,17074247.82,11903423.11,6198127.66,18140497.16,14115530.30,10540045.14,5025448.66,22858692.54,14308515.22,9512044.35,4757238.16,18679768.21,11820414.07,7193536.35,3856363.81,14723327.69,9889731.72,6555458.79,2582443.85,12918928.87,9089386.85,5565339.88,2556236.63,12333840.82,9591076.15,6888858.26,3494371.06,11587756.34,8474146.37,5859952.97,3036890.03,11825211.44,9005107.84,5123326.32,2835433.55,6639491.19,5832682.05,0.0
7,管理费用,84436409.52,51078479.75,27505105.09,108581472.77,86561980.16,67563024.79,33744586.94,136576704.32,82799157.42,58650346.95,21586837.35,131661840.61,86110505.28,60716990.93,27207747.30,133328961.68,89966159.42,58910454.85,28679315.73,166703891.58,125975180.80,92386566.47,40935025.10,170595327.67,114014981.87,65586290.01,32644724.35,137704974.36,87904414.98,55628724.50,27502974.64,107387417.05,70608711.96,44257310.84,24565604.17,102424268.73,63482438.73,42609794.04,20307901.57,66410430.78,50081038.48,28900307.42,13808341.17,58370876.30,40799854.34,24648295.61,12620292.46,36714499.49,31254250.09,20201984.39,11867832.10,38823342.20,35294931.40,0.0
8,财务费用,25652069.09,17543941.52,2132519.15,34483193.50,17473542.90,12287371.74,6855162.47,-561854.30,-116312.34,443842.27,-236981.42,-127452.28,1184172.03,767804.89,247430.93,5053408.48,4797472.48,4507178.69,2768037.76,4257257.12,1030850.73,-289428.25,1555123.80,5676287.67,1731059.39,642272.51,798612.07,-1884146.07,-3182906.07,-5190787.45,1229482.91,-1073155.67,1279304.73,-1456.84,1314123.30,-6417689.64,-1774160.41,-914179.93,-942647.59,-2133336.64,-1530921.05,782018.49,564568.54,12150314.58,9949241.31,7060576.64,3130227.91,5455026.51,3322056.20,1645274.63,805687.46,2098745.48,2206422.68,0.0
