,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
16,加:营业外收入,200.00,0,0,0,0,0,0,0,19969.72,1128154.26,931845.41,5180593.95,18597543.91,14598745.20,9146649.42,4560577.62,49512927.19,33579619.89,23775679.89,8231617.53,27844270.33,11606814.81,7091707.71,2921470.96,9710190.55,0,967741.92,483870.96,10901287.79,0,3461163.46,6506921.67,12218400.00,0.0
17,减：营业外支出,50000.00,50000.00,0,0,7805538.75,0,36019.48,0,1147761.95,1147761.95,0,0,3854761.10,3854761.10,0,0,23712977.73,13462945.71,13455898.03,0,13130.42,13130.42,2768.70,0,13658.77,0,13658.77,0,5568.00,0,760.00,0,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,3854745.70,3854745.70,0,0,23268811.06,13362945.71,13355898.03,0,13080.51,13080.51,2718.79,0,13658.77,0,13658.77,0,5568.00,0,760.00,0,0,0.0
19,四、利润总额,112419392.01,61729302.76,25262521.52,3857140.94,79992338.21,33930784.82,26846283.67,12444597.70,105559922.46,76793394.37,62273817.63,27366376.43,56982498.26,35863803.02,30124764.72,18446054.26,132957153.16,111642997.55,80054732.54,58316219.57,223394855.02,158689352.65,101256184.23,49508737.46,181224204.75,134079600.00,84748654.91,37832555.66,165620139.79,124235600.00,129713758.07,100431060.47,56065100.00,0.0
20,减：所得税费用,4114439.55,9813242.83,3706806.69,506257.68,8867534.47,3527258.38,2628100.45,1987138.89,9868185.47,12116715.50,9753900.53,4082624.41,4229226.51,5601329.41,4201791.07,2356515.81,19681849.57,15989067.16,11009935.29,8915442.21,27083977.03,23119487.65,14952305.29,7602985.77,27492044.01,0,12315074.80,5879333.29,27708370.91,0,15030307.39,9688691.14,5157800.00,0.0
21,五、净利润,108304952.46,51916059.93,21555714.83,3350883.26,71124803.74,30403526.44,24218183.22,10457458.81,95691736.99,64676678.87,52519917.10,23283752.02,52753271.75,30262473.61,25922973.65,16089538.45,113275303.59,95653930.39,69044797.25,49400777.36,196310877.99,135569865.00,86303878.94,41905751.69,153732160.74,113025600.00,72433580.11,31953222.37,137911768.88,105719100.00,114683450.68,90742369.33,50907200.00,0.0
22,归属于母公司所有者的净利润,108304952.46,51916059.93,21555714.83,3350883.26,71124803.74,30403526.44,24218183.22,10457458.81,95691736.99,64676678.87,52519917.10,23283752.02,52753271.75,30262473.61,25922973.65,16089538.45,113275303.59,95653930.39,69044797.25,49400777.36,196310877.99,135569865.00,86303878.94,41905751.69,153732160.74,113025600.00,72433580.11,31953222.37,137911768.88,105719100.00,114683450.68,90742369.33,50907200.00,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.470000,0.220000,0.090000,0.010000,0.310000,0.130000,0.110000,0.050000,0.420000,0.290000,0.230000,0.100000,0.230000,0.130000,0.110000,0.070000,0.500000,0.420000,0.300000,0.220000,0.880000,0.610000,0.390000,0.210000,0.810000,0.600000,0.380000,0.170000,0.730000,0.560000,0.610000,0.500000,0,0.0
26,稀释每股收益(元/股),0.470000,0.220000,0.090000,0.010000,0.310000,0.130000,0.100000,0.050000,0.420000,0.290000,0.230000,0.100000,0.230000,0.130000,0.110000,0.070000,0.500000,0.420000,0.300000,0.220000,0.880000,0.610000,0.390000,0.210000,0.810000,0.600000,0.380000,0.170000,0.730000,0.560000,0.610000,0.500000,0,0.0
27,七、其他综合收益,6566491.68,1486837.27,1555629.52,-9024.65,3330291.29,1930440.29,1329562.40,-188512.91,1590138.64,348934.09,885003.61,-16588.30,-1316334.25,-1181003.76,-698677.73,-411765.11,3043675.24,1556599.63,2150346.92,118511.33,-8150093.10,-3111.86,4645.23,11066.45,-34532.72,0,-24111.40,-2920.58,-9101.33,0,-23614.72,-7278.98,0,0.0
28,八、综合收益总额,114871444.14,53402897.20,23111344.35,3341858.61,74455095.03,32333966.73,25547745.62,10268945.90,97281875.63,65025612.96,53404920.71,23267163.72,51436937.50,29081469.85,25224295.92,15677773.34,116318978.83,97210530.02,71195144.17,49519288.69,188160784.89,135566753.14,86308524.17,41916818.14,153697628.02,0,72409468.71,31950301.79,137902667.55,0,114659835.96,90735090.35,50907200.00,0.0
29,归属于母公司所有者的综合收益总额,114871444.14,53402897.20,23111344.35,3341858.61,74455095.03,32333966.73,25547745.62,10268945.90,97281875.63,65025612.96,53404920.71,23267163.72,51436937.50,29081469.85,25224295.92,15677773.34,116318978.83,97210530.02,71195144.17,49519288.69,188160784.89,135566753.14,86308524.17,41916818.14,153697628.02,0,72409468.71,31950301.79,137902667.55,0,114659835.96,90735090.35,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0.0
