,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,474928.81,0,0,0,-209418.77,-184351.15,-184351.15,0,227280.66,-36882.92,0,0,-58289.22,132718.58,0,0,284713.91,24034.95,24034.95,0,-49990.28,0,0,0,-494926.78,0,0,0,8130963.45,0,0,0,-488089.22,0,0,0,2602514.27,24917.21,24917.21,0,16068722.43,0,0,0,13693909.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456520.79,0,1261042.43,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,12341.80,12341.80,12341.80,12341.80,1970593.37,484424.41,45863.01,30419.33,147747.94,69533.33,0,0,6300272.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18154.05,-72616.20,-54462.14,-36308.09,2233648.58,0,0,0,0,0,-1082394.43,-773602.23,-416930.37,620712.00,1018139.54,952505.17,0,84474.57,25738.82,25738.82,75949.72,5029750.02,2510305.73,1871607.60,3996783.52,0,0,0,2800.00,0,5898444.69,5898444.69,11852.75,28661.00,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,28321779.42,22675858.07,11976075.90,2201648.30,15059381.29,10366748.72,7564128.49,5751291.46,15621223.55,9276083.67,2588524.48,-658091.53,-7032005.26,-4755056.37,-3846382.91,-545230.03,-970044.66,-1036526.73,-1320195.79,-11750.33,1522201.48,-1956390.96,-1431910.16,81664.12,657788.99,-1191423.04,-413178.89,-369876.34,3533374.75,-1135459.30,-410418.98,-573301.83,-10742870.88,-1843108.86,-1308920.82,-452179.42,3825618.01,2152752.86,2675821.91,-483598.65,-5507337.93,-2291481.94,1804954.30,-652909.30,-26008769.39,3163118.43,1980010.87,1607571.47,-8938504.74,6259944.31,4731499.75,3440002.63,9751703.82,4666906.71,3742652.31,2478803.78,-25149891.68,-7824246.95,-5900931.00,-2225459.38,782471.00,-5716588.66,-5828921.69,-1336374.02,-8167905.00,2269625.77,2423332.90,2294276.19,4637715.49,-3576734.07,-4382332.37,-1527803.85,5352214.09,-1268507.64,-2059848.81,-48730742.73,-1889843.93,788254.85,5897550.81,32309471.84,11110920.06,27427736.54,13527301.18,13329149.78,25939219.44,0.0
16,加:营业外收入,4000000.05,0,0,0,12564347.37,10000.00,0,0,9884560.31,500000.00,500000.00,0,10862821.07,578941.64,578941.64,576431.64,51297945.27,51247945.27,0,0,200000.00,0,0,0,0,0,0,0,0,1650000.00,0,0,300000.00,3504.27,3504.27,0,508490.00,0,0,0,9341142.88,3660000.00,0,0,25000.00,1932455.80,1927455.80,147855.80,15900418.06,5400523.75,4736965.25,5586.70,28055.00,19118.40,11131.20,4162.90,24489.00,24339.00,20671.00,9740.00,335350.01,335350.01,331850.01,127467.52,23090.21,21765.66,19623.04,201106.37,138620.98,181417.84,110786.52,27717.52,116994.59,486813.21,396737.59,2233518.17,1072004.33,728437.24,525725.80,183055.28,278725.78,70242.07,0,13263748.10,1755860.84,0.0
17,减：营业外支出,200326.55,162246.57,1387.37,0,0,0,0,0,8193.80,93831.14,0,0,2004.15,2004.15,15.98,0,217385.38,216863.92,287.00,0,47298.93,45397.00,45397.00,28500.00,279094.34,99788.34,72897.05,15254.24,597181.78,140998.31,0,0,2000.00,3269.23,302855.59,62663.76,423706.01,302543.57,229701.01,56271.79,958853.93,464630.37,7188.37,1052.24,17164753.22,55827.01,54677.01,1738.11,444098.32,321543.44,185189.11,54608.81,215408.63,7893.63,331.41,0,70596.11,12806.11,5299.37,4164.07,19150.63,19150.63,12618.95,0,54.15,0,0,0,636834.97,631834.97,631702.60,586936.10,78431.74,72943.57,19943.57,2502509.70,109013.61,167357.09,89686.93,657109.80,630024.35,79134.99,0,479045.77,942597.74,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,93831.14,0,0,1984.51,1998.17,0,0,0,0,0,0,1893.05,0,0,0,1417.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
