,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,859400774.56,568185877.57,221256048.59,836480164.09,613604518.60,380155769.00,181761284.45,1405074077.46,563611965.84,359732353.05,159419182.24,818858379.67,603808611.51,432525342.17,166804374.51,898615658.83,572329890.87,359622815.23,136258446.60,1086618396.90,815349294.39,560908186.32,222572624.73,1342723832.63,993525958.66,649649712.85,239561113.78,1321570167.36,886384419.17,584700194.71,235699312.83,1333152520.82,961395474.01,632708352.27,313790480.34,1237348951.75,840756024.67,545767024.44,221717764.48,964207472.57,698794124.36,464745572.82,188186146.54,1257268330.64,924856064.79,645285604.23,280308671.64,1065388897.68,714129445.29,518360260.87,172791755.43,1082936594.82,847291842.53,553483496.06,199694011.95,899690465.38,797978667.61,522680957.05,171264227.01,890494703.16,659615090.55,444030278.87,149750747.94,548993333.91,411641674.72,386666072.85,268882652.74,0.0
2,营业收入,859400774.56,568185877.57,221256048.59,836480164.09,613604518.60,380155769.00,181761284.45,1405074077.46,563611965.84,359732353.05,159419182.24,818858379.67,603808611.51,432525342.17,166804374.51,898615658.83,572329890.87,359622815.23,136258446.60,1086618396.90,815349294.39,560908186.32,222572624.73,1342723832.63,993525958.66,649649712.85,239561113.78,1321570167.36,886384419.17,584700194.71,235699312.83,1333152520.82,961395474.01,632708352.27,313790480.34,1237348951.75,840756024.67,545767024.44,221717764.48,964207472.57,698794124.36,464745572.82,188186146.54,1257268330.64,924856064.79,645285604.23,280308671.64,1065388897.68,714129445.29,518360260.87,172791755.43,1082234895.31,846782455.25,552880162.57,199538995.81,899075865.78,798007562.26,522352815.92,170890596.27,890699377.45,659954407.61,444314865.28,149523877.48,548167371.97,413277497.20,387905160.82,268518570.01,0.0
3,二、营业总成本,543348084.22,363311131.35,157652422.34,563571074.36,409041208.99,276974116.38,138158621.29,1171741089.28,556791622.96,355655401.89,158809655.68,791804297.82,578108762.49,426007487.97,167098351.83,849728183.20,547832879.92,352104807.08,139070148.61,1130661870.66,824061953.53,558577573.55,222305205.72,1316000942.19,975995970.68,642802858.79,244995969.63,1299230119.31,884788718.62,580727949.16,243374923.14,1305298136.06,935770425.70,617133763.54,307868574.63,1219078566.22,834627791.96,543916905.38,225978166.47,994038113.62,708717510.63,466361441.81,195908634.24,1325754426.42,950240661.45,659721853.71,288790825.01,1083580214.14,698320924.59,494588788.83,170347289.56,1058054045.07,812269625.23,528082548.44,195840771.45,857955611.76,751729694.51,490631436.33,165069728.19,845174358.92,616556499.87,412534151.02,144357492.50,512566460.31,381530863.80,359182931.10,247969722.08,0.0
4,营业成本,393466995.38,270372012.93,112100168.80,400393838.10,296898179.19,204142866.79,102104442.15,933592544.43,466880979.86,299450239.05,132917772.73,677774710.06,499088698.34,360587403.37,141279099.05,741518731.07,482850890.67,305136410.66,118743529.00,971806732.81,718012231.78,483832860.77,188341418.06,1161487660.67,850968526.90,563089960.62,200960258.36,1146303380.11,772229067.79,514276197.35,217476276.25,1147870577.51,837857650.90,536567480.22,269001564.39,1071769046.94,742590055.68,483177000.95,202946433.86,867321322.21,629125447.47,412787243.43,168001461.53,1187873162.02,854112625.74,595875234.59,256167515.62,973616466.79,631182185.17,455083548.88,150452268.88,974112943.71,753109808.48,489337484.48,179592791.86,789292923.61,700963323.03,455671385.83,150960106.81,782919352.01,569702531.59,380021096.86,131674297.74,470643388.15,353433991.27,329696808.95,231846444.18,0.0
5,营业税金及附加,19497135.18,13290157.86,6328744.44,24976342.97,18539081.52,11660379.81,5307637.17,28568389.82,4837825.72,4153467.13,1694072.12,8082660.48,3366879.59,2486221.02,1860079.69,4134584.83,2955145.61,2268818.41,1190234.04,4447538.85,3432869.73,2468406.95,1403574.82,5346948.51,4423547.22,2772735.14,1509003.25,6398584.88,4522830.63,3324107.33,2255815.12,4727497.10,3045026.03,2288063.41,909592.37,4921385.71,3007567.03,2123003.11,994293.97,4518535.07,2711714.05,1760826.54,753263.38,2402830.37,4771705.83,3386594.23,1247748.58,3146265.99,2409469.81,717658.88,425117.61,2293603.68,1426255.40,445439.16,181341.00,3138346.95,2573891.38,1411611.27,27478.84,233877.33,307586.90,152970.87,53609.56,219430.40,199028.14,64725.80,190202.69,0.0
6,销售费用,0,0,0,0,0,0,0,36859013.06,33700813.48,20170776.82,10887073.73,42611046.20,30763174.94,22542353.73,11054044.35,37426389.28,29309083.44,19226204.14,8894229.75,41325262.46,31085754.95,19897950.86,9727496.45,40974786.20,31008360.29,23780761.96,9356428.85,43265312.36,29430765.46,18912450.54,6670412.84,44078412.68,25582306.87,21370693.24,9584383.55,37806612.12,27091905.11,16953032.27,6917959.66,42630689.79,31500457.64,21420248.71,8729617.16,47199633.09,34916377.93,23648997.80,10591821.99,42144549.70,32897727.64,20130793.43,9166485.74,41765661.63,31252014.12,20737866.15,8152620.54,29037589.49,20050727.66,12469688.64,5461887.05,21578818.29,15488080.87,9227214.17,3872885.38,12332788.82,7697207.58,10159344.16,4680461.42,0.0
7,管理费用,58182793.03,35336391.39,18009579.12,65406615.82,52005972.19,41654387.78,20949130.43,116200511.89,47194133.06,29027346.79,13903126.56,61355291.74,42992122.99,30983764.61,12656782.57,55016658.20,34873394.63,23645802.07,10598502.99,74795759.42,54480576.76,39040427.67,19943863.21,82542135.57,68299179.25,40245861.32,28674308.05,69843158.48,53231027.56,27217195.03,12434561.18,52393201.27,42297031.67,33955353.41,22467033.08,57258823.03,43607027.20,29038269.99,10309622.53,48151928.04,29365605.76,19503243.56,11771965.72,42225751.73,33473792.66,22231879.88,10512948.25,29113607.61,18625171.22,10609056.42,6371277.24,27310573.26,18250010.82,12149183.73,5910968.89,26544342.30,22036760.44,17265963.15,7162121.69,30652952.53,22527104.31,16366205.25,6182175.29,21927563.43,15111192.74,13504916.86,8951945.16,0.0
8,财务费用,44387419.31,26807752.51,10428166.95,38654780.53,30951067.34,19727757.18,9797411.54,48140033.33,1797869.43,869569.93,357366.36,-5108836.47,-2350910.63,-1392156.55,-135506.14,-1975530.39,-3593909.17,-386412.42,-685830.87,13118086.56,10432031.83,4830936.87,1490758.52,20886076.69,14384296.65,6597518.55,5353450.36,19386249.46,15702657.74,10849119.49,4739554.15,22052600.42,17230874.86,11523315.95,5058848.45,25118574.09,16653026.30,10946650.83,4809856.45,25757129.50,18897009.17,13202103.69,6652326.45,30928857.90,21962549.78,13575537.70,10270790.57,28623671.11,13678836.63,8520197.10,3932140.09,12571262.79,8231536.41,5412574.92,2003049.16,9942409.41,6104992.00,3812787.44,1458133.80,9789358.76,8531196.20,6766663.87,2574524.53,7443289.51,5089444.07,5757135.33,2300668.63,0.0
