,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7177859451.77,4696816646.28,2064037742.17,8739834605.92,6332402379.81,4187948243.45,1735786509.40,7408734019.51,5183162945.68,3203419188.30,1229358023.83,6379646046.28,4401150496.86,2734182280.15,1179828995.68,6847147641.48,4230138005.60,2448439774.10,983259127.54,5846950238.25,3634127932.29,2214801503.12,851852880.71,4855629558.61,3341141394.75,1986262828.40,727275725.55,3850942716.12,1955054658.15,1145914294.24,466360211.13,2601634442.67,1848386093.74,1147022437.95,482791041.31,2144422573.94,1519634714.55,924865453.90,298872017.93,1483422584.28,1019337705.84,584850070.65,201833770.79,1616339959.34,1157884115.75,676894574.57,1132361742.01,843623490.66,0.0
2,营业收入,7177859451.77,4696816646.28,2064037742.17,8739834605.92,6332402379.81,4187948243.45,1735786509.40,7408734019.51,5183162945.68,3203419188.30,1229358023.83,6379646046.28,4401150496.86,2734182280.15,1179828995.68,6847147641.48,4230138005.60,2448439774.10,983259127.54,5846950238.25,3634127932.29,2214801503.12,851852880.71,4855629558.61,3341141394.75,1986262828.40,727275725.55,3850942716.12,1955054658.15,1145914294.24,466360211.13,2601634442.67,1848386093.74,1147022437.95,482791041.31,2144422573.94,1519634714.55,924865453.90,298872017.93,1483422584.28,1019337705.84,584850070.65,201833770.79,1616339959.34,1157884115.75,676894574.57,1132361742.01,843623490.66,0.0
3,二、营业总成本,6966829245.99,4591310986.07,2085163730.64,8701971062.26,6305837519.87,4181042087.72,1770629653.24,7391600409.90,5168497483.35,3192977102.61,1290955103.70,6218763728.68,4294656197.55,2638408175.72,1157622506.41,6575206918.06,4072072875.97,2343257634.90,963115172.79,5623449628.79,3491963157.61,2119199383.00,829170102.47,4650224238.70,3218695628.73,1899868464.70,707189525.69,3698995811.87,1861748170.21,1091469187.70,458370377.73,2506090872.05,1777372676.52,1098736512.78,468884589.31,2056720370.75,1440766136.02,879246404.06,294450421.99,1413094430.04,948083636.85,542683932.63,202943841.43,1545822978.07,1097347421.34,641047009.08,1076377827.10,807143883.05,0.0
4,营业成本,5993887179.72,3946453557.62,1758464595.40,7445148860.19,5408964813.12,3590721010.66,1476060125.75,6390098494.31,4463983438.37,2743181626.78,1080119708.34,5374520500.07,3640090981.18,2214786177.91,956710195.53,5829514117.70,3536095367.57,2023826708.05,816258124.56,4988653779.38,3045851902.18,1875156989.86,734099880.36,4118562353.84,2855783953.30,1689915723.86,626012461.34,3244621098.40,1667212170.47,969389246.49,406083843.71,2229950919.86,1598546213.50,984434027.13,409469882.21,1833291999.96,1290341549.64,791952687.80,259184286.07,1241185552.98,839067267.26,481321372.08,179682217.70,1403956104.46,999958272.79,582350352.07,978536132.11,702163380.52,0.0
5,营业税金及附加,25943328.38,17825801.85,10000548.01,28187785.96,23630545.96,16829207.95,8300703.41,27790585.78,20629714.70,13847711.37,6979384.81,31471768.84,16550486.09,11968693.30,5618610.13,25563420.58,16895727.34,10312532.82,3963111.41,20816037.07,13827255.81,8169928.21,3025106.39,20548679.00,12995469.14,8109706.39,2773786.67,14904284.82,6430619.24,3573297.72,1440652.76,9684873.20,5817587.94,3573874.58,1595068.17,7463978.21,4814706.00,3111101.65,1116609.13,6412730.34,5024322.06,3323971.72,1106089.40,6478972.17,4560686.93,2426283.41,3639571.41,4855221.53,0.0
6,销售费用,470298893.67,327467373.30,182350018.82,528920564.78,379563425.87,258971370.24,165726316.29,441499509.24,299377989.54,206464235.47,116335095.73,390017364.40,290939334.56,198450495.03,108240208.64,337416760.76,224977287.19,139839667.25,72395334.65,235626203.58,170409708.64,100295577.95,46857340.37,221674863.59,140582917.55,81901759.23,36861274.51,223206209.61,109919871.02,70210199.96,33806209.71,171584315.67,104831506.93,73185480.93,43835827.28,149124584.06,105345155.99,56994863.47,25122652.80,115342917.89,72270311.59,36569211.59,12071283.47,85406597.18,59455513.86,37143134.98,61998319.69,67321380.78,0.0
7,管理费用,166637336.01,103036928.18,53214876.76,206101586.22,158624751.51,232399446.54,97880799.99,445020069.78,324018077.12,197522422.26,86207223.79,363342214.45,288366358.42,183210827.77,79363662.88,330298333.10,247472837.29,144367512.49,63469513.38,305004964.88,210762779.93,107052490.45,39976419.14,219856975.74,149637590.83,85255894.44,32837285.07,135544044.28,44472630.53,28000473.71,10169090.24,51932565.17,34273381.49,20557043.86,9583356.07,32744077.44,18741549.67,12862602.58,7431845.06,24744173.04,15719855.30,9823171.50,4710736.77,20493899.02,14141925.73,9206093.73,14919558.68,17476004.40,0.0
8,财务费用,60370224.11,46375160.84,21587589.16,97653271.45,74264859.27,49899274.43,23430520.21,62942437.37,40499147.02,23418221.36,9031625.67,33666610.26,30229402.11,20060720.53,10021691.34,38209167.15,27861727.91,21001858.94,11608696.31,51210126.17,37162739.89,20075638.34,9504195.85,50952229.57,38861225.03,26424962.23,11646311.48,55022280.25,22173477.53,14196577.75,5422523.24,31005713.38,22963301.96,12990246.78,4590376.69,20942255.82,15877742.66,9417022.46,2256457.44,16500206.57,15038463.78,10509903.74,5849081.45,27381689.16,18721826.88,10721423.97,13112823.34,14548718.06,0.0
