,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,71235111.94,47632436.67,23339844.71,111773947.67,74120755.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,2153080.07,316062091.78,7455102.81,3224403.24,916969.34,1649500.61,1021868.96,372729.74,1872239.67,13496353.95,11294794.68,7182944.02,2225125.23,4038400.68,3415623.50,2865077.79,2697796.04,9083537.00,7867260.82,3191416.57,3685966.82,2910649.44,5936297.79,1899155.46,2734514.66,8340687.54,10050769.12,7220254.72,815796.54,7676511.33,7716678.50,1659029.10,1038532.42,3183224.17,5136840.80,236615.29,-374937.15,-6883.75,3625734.53,-920083.59,-2302849.82,6279922.25,4724370.90,-432688.49,-1121156.08,1749646.27,-1588263.73,-2955176.69,0,951371.57,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,183500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-735700.00,372300.00,0.00,0,0,0,0,0,0,0,-433920.00,-433920.00,-613920.00,-335320.00,433920.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,219235339.47,11404365.29,1672656.29,-69785662.19,149923775.40,153702427.90,2211196.84,-9110904.50,-7587145.05,-5583798.90,-464154.73,14872174.71,16039583.40,15762952.40,23628565.81,51828230.35,12994020.11,13533770.97,15369900.15,-555088.71,-68229.39,-2358.50,7314.30,-402864.62,-379990.00,710860.00,446274.29,456000.00,456000.00,456000.00,456000.00,-468631.06,-30043.85,-30043.85,-30043.85,-287137.53,-119476.29,-518160.84,-2914.74,34605959.54,34109051.72,-249930.08,-207915.52,-183450.91,-296911.44,-69847.78,0,1241146.77,1484657.83,1484657.15,1490335.00,-445830.06,-825346.73,-599946.37,0,-445830.06,-4077659.49,-4023817.92,0.0
13,其中:对联营企业和合营企业的投资收益,16468751.60,11404365.29,1672656.29,-207021051.42,12688384.45,0,-1423209.53,-9110904.50,0,0,0,-12735459.29,0,0,0,-11644354.17,0,0,0,-879854.20,0,0,0,-48524.62,0,0,0,0,0,0,0,-156979.00,51398.74,51398.74,-30043.85,-743317.53,-575656.29,-350340.84,-126700.74,-393596.26,-294710.12,-249930.08,-207915.52,-183450.91,-296911.44,-69847.78,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,16310714.16,0,0,0,112290.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,121756138.58,-291964397.78,-271516088.91,-490391579.06,149850659.40,99600929.24,37144195.85,255942680.86,214267630.12,121309463.81,55662392.60,376063269.91,345958494.76,202784833.20,67169653.83,108202760.83,45259988.67,-20658170.15,-30952270.40,-54172484.80,-61634222.76,-89143829.70,-63397708.48,-6709911.49,-10311114.97,-43009137.22,-38366825.31,-41639521.95,-11191889.10,-26245792.11,-19673161.74,41533191.91,26151264.50,-9892331.69,-14990520.35,2043268.96,6888049.29,-14653587.57,-13367077.37,54528823.76,48883740.51,-4874889.08,-5915757.78,-5272619.87,18731690.90,2995910.94,-4657052.22,17224832.58,23732148.11,582181.93,-5896845.69,22478209.40,18193036.06,-2261121.00,-9255555.14,28283497.87,14816949.76,15350859.31,0.0
16,加:营业外收入,7331627.65,4850033.84,2268298.32,3561130.60,1060366.23,486201.19,267646.78,39804889.68,28461099.06,26488279.22,1457045.41,18728382.06,11276753.86,7387783.36,4593607.33,39290801.88,30265371.32,11934074.83,6096616.30,104882136.48,96278652.64,69716559.44,45485719.88,141379039.83,63053650.70,37982594.18,21231135.36,100561395.40,70304429.54,42884891.68,21280813.49,6768395.82,2592201.75,1926104.92,249908.05,49920805.46,47527104.54,46091934.19,17789623.71,6078207.41,3272224.63,1543362.15,1316204.80,118045645.20,114745700.97,111491545.49,193381.08,11903840.61,4409636.51,3412898.56,159.58,35222.88,34022.88,27682.50,43131.90,11072.08,15041766.92,3000.00,0.0
17,减：营业外支出,84855339.37,77886541.52,66007415.83,61683756.69,8043470.26,4737489.28,2170925.99,18674954.27,9564594.26,5334043.71,2401636.40,10986178.90,6518692.32,3550211.43,1075488.79,21704315.32,11761872.10,10523514.34,777828.36,7448720.46,8365430.51,5184459.38,1610545.29,446629.43,399169.47,330963.66,228056.71,3625522.72,2437002.24,907695.60,337142.86,967296.11,495551.50,130490.25,62350.37,10614558.02,11353549.19,1762457.99,21848.64,1105473.80,734883.48,677234.46,546526.07,1104836.60,1063875.27,538436.25,251910.68,591225.40,294561.89,209176.34,207721.88,2424038.96,111927.78,39367.26,7795.87,467688.09,577803.50,623841.70,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,8819657.46,5221528.87,2182831.74,8875112.51,5626525.99,2555715.56,0,11310758.72,0,6326449.80,0,5403210.26,0,0,0,7872.50,0,4279.00,0,2130666.84,0,212320.24,0,0,0,0,0,8820633.36,0,0,0,697508.20,0,0,0,1038578.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,44232426.86,-365000905.46,-335255206.42,-548514205.15,142867555.37,95349641.15,35240916.64,277072616.27,233164134.92,142463699.32,54717801.61,383805473.07,350716556.30,206622405.13,70687772.37,125789247.39,63763487.89,-19247609.66,-25633482.46,43260931.22,26278999.37,-24611729.64,-19522533.89,134222498.91,52343366.26,-5357506.70,-17363746.66,55296350.73,56675538.20,15731403.97,1270508.89,47334291.62,28247914.75,-8096717.02,-14802962.67,41349516.40,43061604.64,29675888.63,4400697.70,59501557.37,51421081.66,-4008761.39,-5146079.05,111668188.73,132413516.60,113949020.18,-4715581.82,28537447.79,27847222.73,3785904.15,-6104407.99,20089393.32,18115131.16,-2272805.76,-9220219.11,27826881.86,29280913.18,14730017.61,0.0
20,减：所得税费用,30604282.94,3177569.45,940895.49,26649610.98,24160841.00,15987446.49,3946682.49,17784820.09,14074515.92,7590333.22,2726295.73,11066540.61,9228861.04,3920754.77,2456476.24,18186280.65,12460896.74,4755111.94,1417592.58,16076442.47,11528213.40,7335443.16,5161188.53,9098816.71,6613734.89,1636400.03,340211.56,4045719.38,6285640.14,2231405.08,542506.77,2722824.33,4464361.89,1024081.78,176703.79,-1539029.22,5685622.86,4427773.50,2944507.83,3470514.72,7024746.78,2152357.13,371351.87,18551167.50,31732195.41,28459352.03,588641.42,1880106.82,552987.27,10432.52,10432.52,286063.19,170427.74,6979.28,6979.28,703247.73,5009010.93,8582004.48,0.0
21,五、净利润,13628143.92,-368178474.91,-336196101.91,-575163816.13,118706714.37,79362194.66,31294234.15,259287796.18,219089619.00,134873366.10,51991505.88,372738932.46,341487695.26,202701650.36,68231296.13,107602966.74,51302591.15,-24002721.60,-27051075.04,27184488.75,14750785.97,-31947172.80,-24683722.42,125123682.20,45729631.37,-6993906.73,-17703958.22,51250631.35,50389898.06,13499998.89,728002.12,44611467.29,23783552.86,-9120798.80,-14979666.46,42888545.62,37375981.78,25248115.13,1456189.87,56031042.65,44396334.88,-6161118.52,-5517430.92,93117021.23,100681321.19,85489668.15,-5304223.24,26657340.97,27294235.46,3775471.63,-6114840.51,19803330.13,17944703.42,-2279785.04,-9227198.39,27123634.13,24271902.25,6148013.13,0.0
22,归属于母公司所有者的净利润,11940662.50,-367337476.18,-335287082.36,-571964274.51,120842195.47,80574836.78,32178832.76,262140967.26,219987344.00,135569962.73,52723203.38,372889328.34,341501690.65,203300372.44,69036368.83,110264908.87,52256365.25,-21200110.71,-25370724.79,32466874.38,18191549.49,-29571615.10,-23504958.95,116809390.38,40760742.76,-10029286.41,-16363982.95,45184275.39,44166603.11,8538216.22,-2805211.77,30016396.90,17391562.10,-11681282.01,-15701104.99,39056194.11,35805580.20,24854955.32,1967532.52,53079841.32,40686593.15,-8899648.24,-6891833.23,89236355.80,95803466.94,80030974.62,-8259710.99,22238268.52,25582288.77,3775471.63,-6096351.47,21295741.43,19645985.06,-638023.68,-7734787.09,24659310.12,24032699.93,6161645.98,0.0
23,少数股东损益,1687481.42,-840998.73,-909019.55,-3199541.62,-2135481.10,-1212642.12,-884598.61,-2853171.08,-897725.00,-696596.63,-731697.50,-150395.88,-13995.39,-598722.08,-805072.70,-2661942.13,-953774.10,-2802610.89,-1680350.25,-5282385.63,-3440763.52,-2375557.70,-1178763.47,8314291.82,4968888.61,3035379.68,-1339975.27,6066355.96,6223294.95,4961782.67,3533213.89,14595070.39,6391990.76,2560483.21,721438.53,3832351.51,1570401.58,393159.81,-511342.65,2951201.33,3709741.73,2738529.72,1374402.31,3880665.43,4877854.25,5458693.53,2955487.75,4419072.45,1711946.69,0,-18489.04,-1492411.30,-1701281.64,-1641761.36,-1492411.30,2464324.01,239202.32,-13632.85,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.010300,-0.316800,-0.290000,-0.490000,0.104200,0.069500,0.040000,0.340000,0.302300,0.192300,0.080000,0.590000,0.536400,0.319300,0.239000,0.510000,0.250700,-0.101700,-0.122000,0.160000,0.088500,-0.140000,-0.110000,0.570000,0.198000,-0.049000,-0.080000,0.220000,0.215000,0.042000,-0.014000,0.150000,0.085000,-0.057000,-0.080000,0.190000,0.174000,0.121000,0.010000,0.390000,0.297000,-0.065000,-0.050000,0.650000,0.699000,0.584000,-0.120000,0.350000,0.405000,0.062000,-0.120000,0.430000,0.393000,-0.013000,-0.150000,0,0,0,0.0
26,稀释每股收益(元/股),0.010300,-0.316800,-0.290000,-0.490000,0.104200,0.069500,0.040000,0.340000,0.302300,0.192300,0.080000,0.590000,0.536400,0.319300,0.239000,0.510000,0.250700,-0.101700,-0.122000,0.160000,0.088500,-0.140000,-0.110000,0.570000,0.198000,-0.049000,-0.080000,0.220000,0.215000,0.042000,-0.014000,0.150000,0.085000,-0.057000,-0.080000,0.190000,0.174000,0.121000,0.010000,0.390000,0.297000,-0.065000,-0.050000,0.650000,0.699000,0.584000,-0.120000,0.350000,0.405000,0.062000,-0.120000,0.430000,0.393000,-0.013000,-0.150000,0,0,0,0.0
27,七、其他综合收益,1223217.21,-213046.65,-933510.14,251023.71,985163.87,-260900.76,-2117259.46,-5245915.18,15522453.89,13375563.41,2160776.62,2568726.04,329690.06,2487069.36,1878604.57,-21217.17,-1520543.31,-729065.68,-1506007.71,-530930.47,381168.66,668370.97,1065279.84,-2887955.55,-2507448.00,-1631102.11,-632488.16,315870.88,699164.00,683495.59,502933.90,-6082872.74,-4530721.53,-3655743.15,-3318581.20,-2796856.94,-2353770.24,-1031415.53,-1379974.16,-1587406.93,-80341.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,14851361.13,-368391521.56,-337129612.05,-574912792.42,119691878.24,79101293.90,29176974.69,254041881.00,234612072.89,148248929.51,54152282.50,375307658.50,341817385.32,205188719.72,70109900.70,107581749.57,49782047.84,-24731787.28,-28557082.75,26653558.28,15131954.63,-31278801.83,-23618442.58,122235726.65,43222183.37,-8625008.84,-18336446.38,51566502.23,51089062.06,14183494.48,1230936.02,38528594.55,19252831.33,-12776541.95,-18298247.66,40091688.68,35022211.54,24216699.60,76215.71,54443635.72,44315993.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,12645211.40,-367466483.42,-335944487.85,-572033477.22,121558060.71,80353139.66,30739051.76,257916864.27,236200255.27,147837055.33,55030661.94,374582714.03,341310429.76,205344181.71,70873532.80,110270328.52,51111222.08,-21639794.17,-26773114.49,31791235.44,18438752.48,-29142488.93,-22817818.91,114932237.11,39130901.56,-11089502.78,-16775100.25,45389591.46,44621059.71,8982488.35,-2478304.74,26076153.18,14439257.34,-14064850.82,-17858182.77,37238237.10,34275629.54,24184535.23,1070549.32,52055362.58,40634371.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,2206149.73,-925038.14,-1185124.20,-2879315.20,-1866182.47,-1251845.76,-1562077.07,-3874983.27,-1588182.38,411874.18,-878379.44,724944.47,506955.56,-155461.99,-763632.10,-2688578.95,-1329174.24,-3091993.11,-1783968.26,-5137677.16,-3306797.85,-2136312.90,-800623.67,7303489.54,4091281.81,2464493.94,-1561346.13,6176910.77,6468002.35,5201006.13,3709240.76,12452441.37,4813573.99,1288308.87,-440064.89,2853451.58,746582.00,32164.37,-994333.61,2388273.14,3681622.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
