,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
12,投资收益,10572420.90,4143823.09,-1659114.04,11541673.26,26070025.06,28742289.94,16888959.33,7793424.98,30570154.43,9477511.79,-2172255.83,-6832429.53,6280034.11,6426520.21,3022194.96,1046922.69,28022838.73,18662895.30,12771173.67,4241504.60,22253768.14,33990230.23,15467061.12,12247406.40,14731010.77,1522500.10,797138.63,163498.29,-8914160.03,-8967565.37,-2769.36,0,13170996.87,5435514.42,4258325.62,4482320.43,0.0
13,其中:对联营企业和合营企业的投资收益,4175257.32,3179982.47,2077197.06,1016326.12,4228277.13,3160767.40,2135020.59,1156365.35,4312688.06,3827469.76,2852795.40,707414.95,2655948.29,2483581.68,1734820.06,821172.39,3942680.80,2427396.76,1574143.16,884997.85,2601926.11,1231823.35,889451.30,0,1549774.69,735022.55,459686.06,0,26916.27,0,-2769.36,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1586958861.89,1291197502.36,678290295.15,316800237.67,1692901418.49,1869974043.64,1037115995.44,329449681.72,1918200032.31,1192591175.76,675288075.05,286925326.47,879254007.21,394058181.14,162557599.99,96482499.35,237302877.64,291949378.76,274358875.27,145347802.52,364168441.76,144334363.81,97891976.77,26765458.23,3845470.83,70122142.01,35698925.15,-1906135.17,219641504.77,204442408.81,102607913.04,99572289.02,779324714.74,692411257.76,557705149.34,187865988.05,0.0
16,加:营业外收入,37425200.59,30455722.97,15589495.75,7675811.34,29343857.79,17024951.21,13174519.84,7398319.77,19235284.75,24098857.51,11683648.01,9003692.44,63188783.20,32001980.03,15792516.36,6920374.58,162933989.77,140260778.68,114814033.59,109280816.30,39830564.48,31714681.03,13437439.34,3553584.21,34879637.35,22370867.47,8974685.49,6198928.87,25288137.31,17229904.56,6944315.86,3472793.18,32826053.72,27105756.33,21315865.14,12471345.11,0.0
17,减：营业外支出,31120678.96,12654115.73,10608202.74,6316873.79,6380309.22,2085333.26,69668.74,15734.11,2959566.39,6815818.07,69133.31,19550.31,13024812.21,10896876.08,7202393.15,3854633.31,17645474.93,11994982.74,7307764.33,3154302.94,13658480.36,13570383.50,8636385.28,3808601.53,15422248.93,11617010.36,6648945.27,2596127.07,11116027.86,8395124.13,5454398.97,2810397.83,16571327.95,11711708.91,6880793.67,6346633.89,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,4440789.70,39901.10,11103.24,751732.71,277551.96,277551.96,0,482212.31,420279.65,18159.58,18159.58,592700.68,0,0,0,471327.03,0,0,0,0,0,0,0,1701199.09,0,59960.16,1510187.11,0.0
19,四、利润总额,1593263383.52,1308999109.60,683271588.16,318159175.22,1715864967.06,1884913661.59,1050220846.54,336832267.38,1934475750.67,1209874215.20,686902589.75,295909468.60,929417978.20,415163285.09,171147723.20,99548240.62,382591392.48,420215174.70,381865144.53,251474315.88,390340525.88,162478661.34,102693030.83,26510440.91,23302859.25,80875999.12,38024665.37,1696666.63,233813614.22,213277189.24,104097829.93,100234684.37,795579440.51,707805305.18,572140220.81,193990699.27,0.0
20,减：所得税费用,238570774.19,203468049.54,95359090.86,51485089.33,292810824.71,429050184.68,238626614.17,74737339.57,422115942.61,262441775.97,150091399.58,65494454.17,183418807.28,72917654.21,32012591.91,18709569.84,61845606.47,74886018.43,75472295.39,53778902.51,73702183.19,6915365.08,3761052.76,195829.28,-17499650.94,-3398983.38,-4288869.32,-94987.67,27316044.14,31816346.06,14105133.71,12594215.51,130138338.38,118458173.94,41793061.54,8850565.73,0.0
21,五、净利润,1354692609.33,1105531060.06,587912497.30,266674085.89,1423054142.35,1455863476.91,811594232.37,262094927.81,1512359808.06,947432439.23,536811190.17,230415014.43,745999170.92,342245630.88,139135131.29,80838670.78,320745786.01,345329156.27,306392849.14,197695413.37,316638342.69,155563296.26,98931978.07,26314611.63,40802510.19,84274982.50,42313534.69,1791654.30,206497570.08,181460843.18,89992696.22,87640468.86,665441102.13,589347131.24,530347159.27,185140133.54,0.0
22,归属于母公司所有者的净利润,1354692609.33,1105531060.06,587912497.30,266674085.89,1423054142.35,1455863476.91,811594232.37,262094927.81,1496594942.18,931667573.35,526331595.42,226198578.52,731564272.12,333800153.52,133723829.75,78275965.23,304483916.01,329479062.39,292951428.81,189413848.51,291391101.25,146135667.25,94291598.72,25835040.40,36445820.53,78572240.42,37860347.89,438126.72,175402264.43,158815048.34,78628605.40,75811899.04,561609967.60,504497060.77,410497692.78,143907472.66,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,15764865.88,15764865.88,10479594.75,4216435.91,14434898.80,8445477.36,5411301.54,2562705.55,16261870.00,15850093.88,13441420.33,8281564.86,25247241.44,9427629.01,4640379.35,479571.23,4356689.66,5702742.08,4453186.80,1353527.58,31095305.65,22645794.84,11364090.82,11828569.82,103831134.53,84850070.47,119849466.49,41232660.88,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.130000,0.930000,0.490000,0.220000,1.690000,1.730000,0.960000,0.310000,2.600000,1.640000,0.960000,0.430000,1.390000,0.640000,0.250000,0.150000,0.580000,0.630000,0.560000,0.360000,0.560000,0.610000,0.400000,0,0.070000,0.330000,0.160000,0,0.330000,0,0.330000,0,2.920000,0,2.760000,0.970000,0.0
26,稀释每股收益(元/股),1.090000,0.910000,0.490000,0.220000,1.650000,1.680000,0.950000,0.310000,2.600000,1.640000,0.960000,0.430000,1.390000,0.640000,0.250000,0.150000,0.580000,0.630000,0.560000,0.360000,0.560000,0.610000,0.400000,0,0.070000,0.330000,0.160000,0,0.330000,0,0.330000,0,2.920000,0,2.760000,0.970000,0.0
27,七、其他综合收益,64524.37,124755.39,13407.61,-65807.77,-1130344.14,-428192.67,-643427.52,-816103.04,-175555.34,-133767.51,-78486.07,-20839.13,10398.75,0,0,0,146394.74,0,0,25932.92,209937.55,0,0,0,265710.58,0,0,0,-49850.29,0,0,0,-50655.18,0,-5402944.29,5402944.29,0.0
28,八、综合收益总额,1354757133.70,1105655815.45,587925904.91,266608278.12,1421923798.21,1455435284.24,810950804.85,261278824.77,1512184252.72,947298671.72,536732704.10,230394175.30,746009569.67,0,0,0,320892180.75,0,0,197721346.29,316848280.24,0,0,0,41068220.77,0,0,0,206447719.79,0,0,0,665390446.95,0,524944214.98,190543077.83,0.0
29,归属于母公司所有者的综合收益总额,1354757133.70,1105655815.45,587925904.91,266608278.12,1421923798.21,1455435284.24,810950804.85,261278824.77,1496419386.84,931533805.84,526253109.35,226177739.39,731574670.87,0,0,0,304630310.75,0,0,189439781.43,291601038.80,0,0,0,36711531.11,0,0,0,175352414.14,0,0,0,561559312.42,0,406445484.57,147959680.87,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,15764865.88,15764865.88,10479594.75,4216435.91,14434898.80,0,0,0,16261870.00,0,0,8281564.86,25247241.44,0,0,0,4356689.66,0,0,0,31095305.65,0,0,0,103831134.53,0,118498730.41,42583396.96,0.0
