,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1973191215.14,1225045597.02,358486069.77,2457586436.59,1597010115.40,1108708473.54,261921511.12,2386729781.22,1339159634.85,857777035.49,291299299.85,3395743970.34,1772995928.95,979248367.54,151015852.08,2015439742.15,965238038.40,638296781.60,282914144.91,1473146585.57,907896023.61,510730295.50,219922358.55,1208216304.58,792154450.18,499320625.75,242034677.72,995916313.45,740190956.49,473352720.60,284865148.44,809412912.18,519964625.74,283223053.76,131538697.88,667335729.29,436071025.15,304924935.85,104891338.10,523805745.46,383811018.91,234919572.02,100720390.60,831519946.55,643830706.99,414516077.20,150503761.24,483668663.48,368377584.89,266474784.38,141190332.43,451000742.16,373695349.83,254373031.14,138138132.46,788846704.30,587255612.85,404131288.38,170851463.79,799055512.66,625712888.42,405197035.63,165057029.63,799308466.15,526180133.25,282947389.34,118193829.25,885365216.82,665115396.56,405758618.74,192850974.85,1023309151.10,454445016.65,920250330.11,352400285.55,1044412671.06,474386760.61,897096783.78,696696532.62,595735897.93,0.0
2,营业收入,1973191215.14,1225045597.02,358486069.77,2457586436.59,1597010115.40,1108708473.54,261921511.12,2386729781.22,1339159634.85,857777035.49,291299299.85,3395743970.34,1772995928.95,979248367.54,151015852.08,2015439742.15,965238038.40,638296781.60,282914144.91,1473146585.57,907896023.61,510730295.50,219922358.55,1208216304.58,792154450.18,499320625.75,242034677.72,995916313.45,740190956.49,473352720.60,284865148.44,809412912.18,519964625.74,283223053.76,131538697.88,667335729.29,436071025.15,304924935.85,104891338.10,523805745.46,383811018.91,234919572.02,100720390.60,831519946.55,643830706.99,414516077.20,150503761.24,483668663.48,368377584.89,266474784.38,141190332.43,458341422.47,371800255.69,253050845.53,137189758.30,787804112.83,587041458.36,403709764.15,170714350.04,795288770.95,621849660.39,402402020.98,163023364.34,798720285.01,525547909.71,282249759.12,117661926.98,876543604.73,663244289.73,403703849.24,191904407.09,1019842172.56,452609418.06,916039198.50,351916328.75,1040589832.58,473902877.52,896095215.51,696192120.28,594755091.49,0.0
3,二、营业总成本,1916922847.91,1194460202.74,357881802.37,2454444619.44,1574193733.94,1087445066.58,255613270.49,2325156841.85,1309581078.47,842955923.85,286363090.45,3272950091.75,1722989053.51,963636630.99,167182629.86,2001015074.19,1048032703.37,682902425.11,295148397.43,1633677411.97,999402558.84,580808450.09,250562068.18,1253750353.99,833117079.93,526034494.27,247942373.20,1015692961.72,756057115.46,492431121.09,294137446.85,881737173.30,534171065.32,297089821.37,131371317.04,677412170.08,447693643.31,310294841.22,112528319.97,641266057.13,429841824.35,260914885.56,110652328.81,845179384.79,651619250.88,422061076.92,148467097.70,500271398.92,371506382.57,264109808.25,139116253.46,504691724.91,424702831.78,290798271.49,147285568.94,975770761.36,585033882.76,399040997.16,168827247.09,844396555.24,619740263.26,398297425.79,163900819.07,930491504.51,543048173.38,304655398.14,117602613.22,861340213.48,649386872.74,396404908.99,188821315.63,964697917.53,432883442.72,859443070.88,336739859.89,965122914.44,444041570.33,835206630.82,647844984.51,558787389.14,0.0
4,营业成本,1676220220.86,1032382761.77,293904126.14,1992639004.47,1303002917.01,915299999.75,212025478.20,1955469485.27,1113708006.45,722428805.80,237281266.69,2747908072.71,1546921890.73,863030682.06,132038109.79,1707201552.95,912157499.24,594434547.69,255201947.29,1358849603.97,851909144.30,491674192.89,210181434.81,1075974600.74,703379528.37,444755568.29,218494601.47,889299492.18,661494294.80,428979453.67,261452893.75,741897651.02,471022596.75,259588664.98,114793671.87,599923237.04,395331980.32,277155913.18,97361963.75,495275224.53,358119893.26,218157866.42,93215755.99,758772144.50,593127079.23,382634034.61,138348837.99,434914344.37,330624155.78,239260531.09,127945320.91,411833747.97,334782860.15,229948426.91,125446974.55,751252118.72,498303736.42,350217497.81,148952906.25,718335958.35,549967013.13,353097073.24,148188575.66,767489214.05,482854157.83,261068679.20,98130679.27,775914765.78,581984350.90,349561612.30,166428150.48,873602679.10,386886480.47,794492284.59,307581252.07,897932080.05,414380058.33,769033349.17,598029304.65,514364624.47,0.0
5,营业税金及附加,1300803.80,864286.18,383932.89,1838042.12,1318842.20,870762.50,402052.45,2063461.30,1434041.00,995249.13,539405.35,1624436.80,13501.38,13501.38,0,3977720.04,961155.74,939675.75,67585.47,2811599.15,358608.85,212036.20,202689.52,2488133.29,1142589.36,777770.00,266789.75,2810334.22,1808120.33,1160490.54,774113.43,3520384.47,1910246.45,581797.93,116079.34,1853018.29,1571647.62,1267384.80,565158.20,1166380.51,661519.59,503372.10,127132.40,2439299.89,2251358.86,2149020.99,363885.21,2183502.31,1826074.46,1504618.77,695677.53,2002139.40,1524098.93,1226711.67,652876.94,2300264.45,1449375.45,591035.99,306800.45,3150574.89,2276979.76,1311475.49,881293.34,2442893.01,1290960.83,454092.83,454092.83,2776168.56,2645200.82,1981843.14,1372333.62,4081097.99,1688044.21,2051561.08,1368263.93,5024348.30,1816159.51,2259415.06,3990182.11,4826699.24,0.0
6,销售费用,89919020.99,54596039.17,12224078.23,137388490.10,94136568.00,57690682.38,11392426.13,163202752.49,67295473.15,40802529.84,15583295.89,192421627.91,57890630.56,31632812.09,9213379.20,88195156.06,51516318.41,32548064.76,11884009.51,100712910.34,61757437.63,35500456.14,13283777.03,74199700.79,52789918.21,32473503.75,10967725.97,64555475.53,45410030.47,31343450.92,14167248.08,54067829.68,31100872.57,18737036.83,7253661.21,41962553.90,28418874.60,16966667.25,6860938.29,45992347.26,30542107.42,17538797.25,7483803.42,39751084.94,28660263.58,16946094.03,3824477.48,23609111.48,13771917.14,7446998.16,1990795.37,31823772.10,23543948.37,13466495.46,5846780.67,68052023.25,34577166.02,15219373.07,6110810.34,42573067.80,24673357.14,13946501.05,4388050.48,52600156.81,21464106.99,15223941.47,6619791.15,35504770.67,24222022.12,14700731.81,5897547.12,27548164.86,14113710.24,22635802.84,6492908.62,15922872.69,6563909.86,16903605.83,12919329.77,11985990.85,0.0
7,管理费用,34729776.39,21653302.53,11429600.43,51923654.15,32347169.29,42558960.46,16988305.33,111345476.24,54987306.33,33017301.72,13536118.34,123062484.75,55064581.78,31931354.81,15769129.70,93573416.69,54077199.92,34192767.65,16226839.03,92475590.79,58174168.46,36764668.12,20392806.43,63834167.01,53042576.03,32318579.05,11168471.82,47651563.40,34651313.57,23088272.28,11033769.38,65085198.51,31819669.53,20712822.00,8485412.68,32450415.03,26055923.39,16050869.06,8303906.38,39261158.39,27478743.11,17469826.83,8410833.99,29289760.63,20336745.34,13810673.52,4712039.54,29150577.20,17848445.49,10895028.22,5205995.35,41738884.64,51995298.60,37802070.46,11731609.05,140719653.37,41259072.59,27448564.96,11014660.06,68696568.45,36077137.13,25824372.40,8913287.40,102175410.60,34613414.24,26889472.68,11832113.26,43730323.05,37435106.66,28332429.06,14108723.34,56108233.99,28691685.22,43433436.23,20530419.71,38628019.05,17698930.73,38322012.90,27169242.29,20680890.85,0.0
8,财务费用,81072810.06,62771282.56,32395626.48,92933146.79,78666990.14,55366759.19,22639980.04,70471263.29,63413318.31,44825922.56,20582025.95,50255742.00,38861356.55,24334743.05,10894087.31,42594201.38,22845953.90,14479328.13,7713877.50,23271208.03,16848942.74,8894328.06,4918670.67,18283337.55,13936249.85,9162931.51,4176184.19,4011562.39,2412239.88,731585.48,-112918.49,1791887.96,2254166.59,1405986.20,722491.94,3910199.81,1800457.46,3339247.01,974378.35,5351201.44,3322145.11,2027607.10,1414803.01,3817912.13,4009823.47,3287273.37,1217857.48,9129738.57,7786138.13,5733237.16,3278464.30,17293180.80,12856625.73,8354566.99,3607327.73,13446701.57,9444532.28,5564525.33,2442069.99,11640385.75,6745776.10,4118003.61,1529612.19,5783830.04,2825533.49,1019211.96,565936.71,3414185.42,3100192.24,1828292.68,1014561.07,3357741.59,1503522.58,-7402570.05,767015.56,4465085.88,3582511.90,8688247.86,5736925.69,6929183.73,0.0
