,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1295423566.66,831901802.48,549559432.78,1027334487.80,679014915.40,509054626.91,270795968.92,1150598361.43,835406715.37,519241913.85,242102081.84,1013572110.40,752806706.90,560999432.73,347245288.18,1150972386.44,919832361.15,719337127.09,169793415.28,835478992.49,630724349.11,427250373.41,174859103.34,832775089.53,606215421.57,358514369.27,170049479.19,576308789.42,368767474.90,205452715.84,81739527.74,304422023.04,219422114.35,157978722.06,103695335.49,220169096.67,129555474.51,89875020.57,33990241.03,237908965.85,316848089.27,195348833.27,82514720.80,222197938.42,158403058.97,121160213.65,72461123.47,282722421.24,98670287.92,156595273.01,17512285.24,160293725.50,62936335.31,21273156.89,8225535.41,55304878.27,38905688.16,29436398.86,7598076.69,153740423.03,85015462.16,72850767.41,7381367.00,83763213.17,56837647.96,36764711.79,20902121.11,166203801.79,119812829.49,96121303.76,48165218.72,248872834.28,143399700.06,48165218.72,299398004.71,152624815.50,361155837.72,169740864.35,386125283.24,202012733.92,114471766.70,192528290.18,468748991.77,105483784.06,430611227.06,158213201.56,426489565.40,88824246.80,86711500.00,49876329.61,40147929.33,22247761.39,26771460.57,0.0
2,营业收入,1295423566.66,831901802.48,549559432.78,1027334487.80,679014915.40,509054626.91,270795968.92,1150598361.43,835406715.37,519241913.85,242102081.84,1013572110.40,752806706.90,560999432.73,347245288.18,1150972386.44,919832361.15,719337127.09,169793415.28,835478992.49,630724349.11,427250373.41,174859103.34,832775089.53,606215421.57,358514369.27,170049479.19,576308789.42,368767474.90,205452715.84,81739527.74,304422023.04,219422114.35,157978722.06,103695335.49,220169096.67,129555474.51,89875020.57,33990241.03,237908965.85,316848089.27,195348833.27,82514720.80,222197938.42,158403058.97,121160213.65,0,282722421.24,2157856.63,1464110.50,627198.52,160293725.50,62936335.31,21273156.89,8225535.41,55304878.27,38905688.16,29436398.86,7598076.69,153740423.03,85015462.16,72850767.41,7381367.00,83763213.17,56837647.96,36764711.79,20902121.11,166203801.79,119812829.49,96121303.76,48165218.72,248872834.28,143399700.06,48165218.72,299398004.71,152624815.50,361155837.72,169740864.35,386125283.24,202012733.92,114471766.70,192528290.18,302051134.78,105483784.06,262080795.80,158213201.56,260715036.59,88824246.80,86711500.00,27606163.14,24601363.21,12524819.29,16228086.80,0.0
3,二、营业总成本,695194249.11,370853942.32,204279293.21,602016542.06,363200406.58,236510078.79,107474426.77,691003256.38,286103374.16,162044688.85,84295043.11,329015899.06,285976286.11,185635463.45,154016771.10,543268016.85,462346693.33,333659864.48,69056949.20,368247856.72,304715374.15,133986150.27,75097209.50,426263286.40,309026345.61,117582788.49,71497412.06,229238072.10,111630149.30,66925756.80,36925177.16,109425108.25,75788841.49,49385761.55,27590452.20,113945610.95,64782506.79,52525596.47,19021960.98,184221288.24,266518259.72,174761246.65,66660584.55,193688761.74,122907300.88,92800366.84,63923061.92,127816900.35,72239030.00,55382693.27,19033364.68,150685378.18,67843630.62,26675300.76,9596400.14,35234707.30,41242563.73,30640292.78,10619366.04,168206981.20,107723881.26,89020332.68,15930529.08,135654201.60,76992963.63,44954504.63,27320058.20,147432242.70,109448195.67,80744894.21,37035745.89,235050957.44,33510441.35,37035745.89,277870297.87,141356356.15,329460674.30,144334661.23,329740616.56,158958892.69,82872026.30,0,452860188.80,0,406769753.70,0,337396976.01,0,0,20728511.80,12107525.16,24677891.81,31564214.32,0.0
4,营业成本,695194249.11,370853942.32,204279293.21,602016542.06,363200406.58,236510078.79,107474426.77,691003256.38,286103374.16,162044688.85,84295043.11,329015899.06,285976286.11,185635463.45,154016771.10,543268016.85,462346693.33,333659864.48,69056949.20,368247856.72,304715374.15,133986150.27,75097209.50,426263286.40,309026345.61,117582788.49,71497412.06,229238072.10,111630149.30,66925756.80,36925177.16,109425108.25,75788841.49,49385761.55,27590452.20,113945610.95,64782506.79,52525596.47,19021960.98,184221288.24,266518259.72,174761246.65,66660584.55,193688761.74,122907300.88,92800366.84,0,127816900.35,1412635.69,904013.07,394878.23,150685378.18,37721213.93,8371563.46,1329140.65,35234707.30,12529642.97,10129494.15,2171357.16,98762868.46,77374797.17,67542345.16,6958909.28,92446206.69,49161485.90,26309662.90,16962304.33,66850336.68,47388566.01,28253482.04,12552670.79,122506681.19,33510441.35,12552670.79,183183359.44,94911989.94,230005188.44,107831901.35,235801038.18,122894634.32,82872026.30,0,269876802.91,0,240176059.66,0,194511405.12,0,0,10364255.90,6343934.18,12375530.77,15678820.29,0.0
5,营业税金及附加,9281289.31,6040677.89,3090758.21,12232504.15,6946157.40,5480457.47,2892081.92,11078860.29,8134495.23,5014547.90,1554276.68,29737229.15,25516821.93,24042401.21,19670162.69,69366011.80,54796592.04,42317115.81,9512781.93,47295026.26,35315178.18,24466280.98,10099809.31,45565336.04,33482546.02,19800427.83,9454254.59,28993684.92,18382609.31,10295689.07,4285662.47,14125631.92,8480556.54,5725373.14,1856090.17,11965332.28,4477682.25,6099337.13,1852089.84,24409550.17,21148110.59,11024926.91,2783158.75,11833072.49,8034190.85,5895354.15,4458558.23,10705657.40,7053642.55,4509646.20,1157956.41,8152772.27,3692603.93,1075293.02,421422.06,2787652.25,1942345.27,1636236.01,214980.23,7825788.94,8032316.73,3894082.91,386128.35,5638426.65,3747875.74,1988759.52,969076.55,9336155.97,6053996.63,4974967.91,2309181.16,11672407.91,0,2309181.16,14148712.35,8062433.88,15197133.73,6521940.95,15303719.12,7088963.28,12800784.47,0,5988846.44,0,7154741.62,0,4591688.75,0,0,0,304326.80,190538.60,334377.11,0.0
6,销售费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26016002.95,18065263.26,0,0,24776874.77,16016473.55,7002114.82,0,23103844.93,16784634.10,8005007.15,58218916.61,21363622.42,16975420.17,8278147.35,34977818.29,22864891.60,15845733.85,8928883.52,60354706.51,54626064.69,46773511.21,22166920.87,95564094.67,0,22166920.87,79148457.50,33292624.46,80002604.12,28123858.15,68154745.42,28975295.09,0,0,50577523.68,0,35844889.65,0,35749784.15,0,0,2620912.16,1934639.58,1027378.51,947838.01,0.0
7,管理费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14359628.21,0,0,0,11481571.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,财务费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53806.31,0,33850.28,240900.33,-14772.04,0,1652937.99,1211970.73,843722.61,0,3666730.56,2089928.52,228021.50,3399407.19,953144.94,608484.44,307344.10,2591749.97,1218710.39,810348.36,459793.80,10891043.54,1379568.34,742933.05,6973.07,5239933.40,0,6973.07,771801.00,491520.66,3510141.24,1856960.78,10481113.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
