,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20070630,20061231,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6407613516.51,4679105040.42,3081298514.81,1495258344.95,5969017548.53,4322985766.47,2829786614.78,1481480256.39,7984364200.86,5784441496.05,3421570389.65,1540463533.87,8265885697.39,5022306439.34,3293161598.54,1644335353.36,9607700862.20,4817853499.16,2996474514.23,1456435450.49,8300355828.80,5830190852.59,4096139696.65,1531793446.07,7134862412.67,4702268578.85,2702630484.00,909823720.69,4209951844.91,2863639929.20,1846097397.56,844429727.39,3807026146.99,2302605729.31,1535925023.32,596418095.00,2729145130.21,1928271478.38,1252199717.73,547772820.77,2136105254.22,1511733926.69,988411616.54,448621176.07,1587781154.44,1276213722.77,704012000.00,1523128402.06,610394333.86,1117312667.25,1009671801.87,952205669.89,1013354261.29,0.0
2,营业收入,6407613516.51,4679105040.42,3081298514.81,1495258344.95,5969017548.53,4322985766.47,2829786614.78,1481480256.39,7984364200.86,5784441496.05,3421570389.65,1540463533.87,8265885697.39,5022306439.34,3293161598.54,1644335353.36,9607700862.20,4817853499.16,2996474514.23,1456435450.49,8300355828.80,5830190852.59,4096139696.65,1531793446.07,7134862412.67,4702268578.85,2702630484.00,909823720.69,4209951844.91,2863639929.20,1846097397.56,844429727.39,3807026146.99,2302605729.31,1535925023.32,596418095.00,2729145130.21,1928271478.38,1252199717.73,547772820.77,2136105254.22,1511733926.69,988411616.54,448621176.07,1587781154.44,1276213722.77,660133000.00,1523128402.06,605014562.51,1117312667.25,1007885707.67,947976066.20,1014547876.35,0.0
3,二、营业总成本,4958785719.94,3274326700.63,2037438062.69,969557418.08,4878445875.40,3175964837.60,2000749348.44,998188582.57,6931376535.57,4604637384.77,2687196678.02,1182786963.15,6926307162.81,3750834899.09,2434249696.13,1221836645.82,8293049133.35,3821003594.27,2319252852.84,1113205629.57,7051234079.53,4750475920.97,3394204940.29,1200099587.48,5870152152.58,3734851156.09,2119595773.89,607876781.87,2813681263.57,1743380631.10,1080713676.61,459396379.40,2250402542.40,1197814052.91,774306085.78,234028306.18,1375403525.62,839265089.14,518631590.26,202770479.89,1171344543.20,741889008.85,497582511.20,239553304.04,946192381.19,689297831.07,355160000.00,888130687.34,331618559.29,793353918.48,721435906.33,710404695.60,815419090.17,0.0
4,营业成本,3912645499.76,2526832133.47,1535767327.22,718176697.70,3721075977.91,2408810510.61,1496058380.58,744124232.58,5806183287.97,3802365000.98,2166281904.56,919074942.28,6042107910.26,3214749063.92,2077445728.93,1014499103.09,7339968184.20,3169640243.43,1892068143.09,901162815.14,6169304769.12,4131860135.23,2986911900.03,1004026455.11,5077570179.22,3185752555.68,1764377879.63,434973245.44,2305108216.88,1439328333.57,890264163.03,369189951.35,1876422364.12,951764732.92,616861547.55,154535925.16,1122285228.30,657377579.87,401835587.41,140215823.54,880317187.68,528379367.91,350157042.33,154115814.04,729778914.23,452265140.96,355160000.00,693643963.70,232147491.31,548370967.52,435640360.93,461567897.28,567344310.57,0.0
5,营业税金及附加,22478466.63,16636568.21,11178376.77,4814692.73,22883708.51,16653341.86,11409068.15,5171724.45,31627708.97,25428285.05,17794624.60,10615316.23,78799038.96,41282451.97,36278313.44,44618938.64,239067692.33,140040850.84,86331482.01,42383278.73,213697303.78,141846875.86,92747879.62,37347803.72,175967773.12,104531435.40,60864913.76,23387862.66,120333555.90,79190514.45,50688153.79,21725128.41,133901416.28,80167447.83,53846014.09,20613211.49,93126457.41,62725703.99,40654387.22,17190295.63,72144056.75,48285837.85,31510262.33,14247300.48,49290640.35,41162904.92,0,51156998.38,20486380.15,41753728.33,44673556.04,55606611.58,49616962.96,0.0
6,销售费用,93527869.89,64590442.85,44055610.11,21847455.77,84398434.45,56046872.01,38603641.23,20321718.99,81714616.35,51670580.14,34678345.52,16765302.81,76990457.46,44098007.24,29157151.10,13503799.39,49638920.35,35752175.08,26111439.56,16458265.80,41611603.37,26537978.07,21207010.50,11386508.44,27290706.45,14483724.55,10164914.28,5430259.39,19320573.01,11946432.27,8395165.74,5292012.98,2246886.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402706.02,0,380688.11,599372.02,3094433.62,5231737.71,0.0
7,管理费用,271155079.84,169684898.06,105597699.89,49679103.77,246161256.00,147679456.56,86585054.38,40270780.92,249756151.70,155281234.59,97006307.96,47404034.96,228386373.91,137473372.17,87821946.11,42470123.25,200188479.14,128348057.00,83290137.48,41636917.23,186648342.88,121446259.01,81382492.85,37337200.65,177261545.48,115168938.56,76888002.47,33963650.22,157536259.96,108774927.72,71422903.97,35239389.95,138786138.94,92734856.20,58348292.09,28781504.63,110907031.30,70993822.79,46910146.26,24443966.46,99790654.24,69124832.12,46513221.27,23287459.41,77342416.29,63790928.98,0,73606153.10,33199660.53,84938524.62,127219334.32,84621674.83,96640299.97,0.0
8,财务费用,658978803.82,496582658.04,340839048.70,175039468.11,744903286.22,557905610.35,368093204.10,188300125.63,764977857.80,572775371.23,372703582.60,188927366.87,498623382.22,313232003.79,203546556.55,106744681.45,466633133.46,349669544.05,232535599.01,111564352.67,442306105.53,330139608.18,211955657.29,110001619.56,412041764.39,314914501.90,207300063.75,110121764.16,211852210.32,104140423.09,59943290.08,27949896.71,99625756.50,73727035.96,45250232.05,30097664.90,64893592.73,48748002.49,29231469.37,20920394.26,119601929.97,96358859.61,69661873.91,47902730.11,97376906.20,139735791.80,0,69368230.37,41171551.56,111341400.29,113303283.02,105514078.29,96585778.96,0.0
