,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4266048558.84,2578991374.85,1050215962.96,6300337431.99,4281953160.90,2736548519.72,980088504.01,5133108988.63,3101287703.88,1814219357.48,683223442.83,2870713312.62,1870956697.69,1198373547.75,402682400.73,2281490505.63,1548065970.40,925693002.43,361889775.66,2258893261.25,1543948966.31,916393251.34,360016412.14,1832623314.67,1226794040.75,721706374.68,361830893.83,1765195523.36,1253108470.15,676037181.48,302798937.28,2087177702.74,1431747701.35,844414510.73,309091074.83,1856637971.95,1249095433.46,771941976.16,258207897.80,1262525992.50,826364272.08,446303209.98,198689194.93,1376516012.03,995149475.17,601556323.30,228919746.94,1161803209.58,758460739.75,495217779.07,210434411.57,1063004413.37,755760983.76,495626739.21,0.0
2,营业收入,4266048558.84,2578991374.85,1050215962.96,6300337431.99,4281953160.90,2736548519.72,980088504.01,5133108988.63,3101287703.88,1814219357.48,683223442.83,2870713312.62,1870956697.69,1198373547.75,402682400.73,2281490505.63,1548065970.40,925693002.43,361889775.66,2258893261.25,1543948966.31,916393251.34,360016412.14,1832623314.67,1226794040.75,721706374.68,361830893.83,1765195523.36,1253108470.15,676037181.48,302798937.28,2087177702.74,1431747701.35,844414510.73,309091074.83,1856637971.95,1249095433.46,771941976.16,258207897.80,1262525992.50,826364272.08,446303209.98,198689194.93,1376516012.03,995149475.17,601556323.30,228919746.94,1161803209.58,758460739.75,495217779.07,210434411.57,1063004413.37,755760983.76,495626739.21,0.0
3,二、营业总成本,4483288748.14,2736793787.52,1156158489.29,5860498255.53,4311200178.99,2780340354.30,1044722313.71,4802608352.84,3154416555.00,1867551575.73,731207823.70,2853374365.59,1845340580.69,1180107707.29,404546046.16,2265601269.67,1520115510.44,915425401.33,369030358.55,2253129325.22,1540875356.49,918606531.58,365093090.91,1791534610.98,1185182114.40,692817872.05,337895444.05,1633331765.44,1142363455.44,608461979.84,275649025.37,1881092698.02,1272167900.45,748120949.22,282572056.26,1650007523.53,1097366184.21,678949343.24,239623959.68,1076740537.80,711056157.14,368707061.16,160018062.85,1205521487.29,893818258.43,534844854.77,203327571.96,1039101864.72,669292028.51,439128993.68,186977912.80,946659160.75,662806444.15,462692547.62,0.0
4,营业成本,3430628465.92,2066271870.87,875248052.23,4743981399.27,3559861836.20,2328752415.43,859316861.38,3862153199.04,2553208296.42,1490924593.35,566522609.07,2509043603.01,1623287864.47,1036803328.78,351810172.69,1940393425.65,1328116769.22,799004166.89,317765798.06,1981153941.42,1353135813.61,806236691.40,313688473.05,1597906972.18,1079139647.64,627727432.60,309788783.64,1514911031.78,1074670098.32,569382385.67,258973450.87,1792114366.73,1209244642.15,709693053.07,266291426.35,1571335335.87,1039550124.15,638958025.80,223913840.71,1043988683.75,688020863.90,360161438.65,160402840.94,1158902613.58,860152576.19,513917200.09,193560513.29,999904393.26,650687177.40,429072565.88,183963584.56,905861951.78,639215298.92,448211580.42,0.0
5,营业税金及附加,14161767.78,9723377.71,4073284.64,38752673.11,16070903.04,11316119.43,3701678.83,33427309.57,18359349.75,12712753.27,4276333.99,14411847.69,3092505.11,2278066.53,1086942.30,6329056.93,3523541.05,1705316.08,2073355.94,5254009.67,6471350.15,4444290.96,2022193.51,5999354.57,2978099.31,1529395.48,884961.39,4097827.27,2132355.07,1145837.36,414934.40,5994377.95,2840686.49,1698641.36,305068.08,1723250.32,966124.10,592238.01,193050.79,1706535.26,1125623.08,763495.47,93854.54,1418587.86,768206.57,371402.04,146875.23,1023231.80,726923.18,285709.69,175638.98,1004283.29,732107.98,460932.80,0.0
6,销售费用,404495699.37,256828673.33,118003226.76,453032919.44,278622958.21,173069378.18,79296501.05,334894122.56,222442535.40,145395016.99,67379836.70,93551091.32,63406321.33,41535077.12,17746993.70,79680941.26,52324268.59,30734002.87,13788220.15,88012584.47,61529908.58,39379165.99,17649845.84,62448864.93,38565962.51,24495237.24,9767392.76,51189250.41,31193660.52,18751082.83,7390416.72,38543541.14,26504017.34,16856358.69,8285198.84,30255146.86,20577061.03,13984076.04,7592785.55,18780498.39,14094942.70,7781643.55,3839532.25,21131954.52,11623343.72,7584898.07,3688633.27,12546511.36,8613467.94,5141376.17,2119428.75,12431525.33,5404619.45,3847580.38,0.0
7,管理费用,262415614.40,167553390.72,56714775.07,166535418.59,132331375.84,227481678.35,93866250.54,503236430.10,338776034.12,207461909.92,92578284.84,129449246.68,100917673.68,60381978.11,21553940.48,113145191.87,84891740.20,50819265.52,19059078.96,95900477.00,74232061.29,38106385.26,17378823.89,86315094.37,45047372.56,27140186.90,12184354.55,46606841.76,32677731.86,20703577.57,8946821.11,41571526.05,30360556.11,18074960.98,7285841.61,32601342.47,23370143.65,15014346.50,6874694.38,19967688.33,17815719.51,10432348.21,4316276.14,20968061.82,14735023.04,8863171.17,4850907.35,12952087.22,8696057.73,5564536.37,1794165.66,11499771.87,9437369.44,4892188.05,0.0
8,财务费用,22446061.50,14220400.47,8986705.50,66444661.11,39756758.17,35936406.02,19408336.80,38423075.66,24384109.39,13349263.70,2438277.19,57634189.11,40650066.56,27080481.14,11968944.88,63474896.97,50897752.56,32997974.04,16015150.87,66916904.56,45616717.42,29451678.10,15025199.96,32034425.08,19105496.49,10942335.01,4441863.39,6682134.77,1647191.95,-1563321.31,-76597.73,2068521.06,2707270.61,1280028.73,397103.73,9117091.13,7204223.69,4691882.34,1947323.31,-9012074.66,-10005306.06,-9756188.90,-8634441.02,657688.44,1869772.67,1705161.64,1080642.82,8464706.61,5387935.43,3422089.64,1064989.30,8954001.29,7445002.88,4469792.97,0.0
9,研发费用,349141139.17,222196074.42,92534302.86,351484245.63,263743178.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,598142.23,40266938.38,20813169.35,3784356.89,-10867314.89,30474215.91,-2753770.08,-2291961.50,-1987518.09,49284387.78,13986149.54,12028775.61,379052.11,62577756.99,361438.82,164675.93,328754.57,15891408.10,-110494.56,988319.87,-671445.34,6829899.85,345535.89,983284.82,828088.32,9844679.45,42417.72,42417.72,0,800365.09,510727.75,517906.39,7417.65,4975356.88,5698507.59,5708774.55,-897735.06,1309206.73,4314.01,-675675.82,0,2442581.07,4669336.24,2403021.76,0,4210934.47,-4819533.17,-4357284.07,-2139894.45,6907627.19,572045.48,810473.00,0.0
11,公允价值变动收益,903240.00,290680.00,0,10426691.20,0,0,0,0,0,0,0,0,11329150.00,13421900.00,12826350.00,-4683700.00,-7736400.00,1658050.00,11139450.00,-2686000.00,-904280.00,54250.00,-3181000.00,1493200.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-861.20,0.0
