,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4127896311.39,2754751465.56,1355600156.88,5801156299.30,4190259718.20,2868917063.84,1377776096.43,5801992974.86,4079547247.07,2743011416.43,1383495272.99,5481516424.40,1189994349.07,804506583.47,338889632.17,1810032938.18,1200857692.12,814248267.14,311424420.95,1516681764.48,962307467.25,664678400.85,286670188.17,1326163863.33,859806437.39,545121433.63,203256025.96,1307881105.96,665737594.39,422350450.16,175456432.59,1247718314.15,755494017.11,472960042.06,162209891.35,1008303339.23,643978755.21,427225885.38,60929332.13,260559748.30,134821405.78,80105451.12,18532859.94,168958131.42,107483281.95,69679183.99,31760200.00,209867124.50,107640080.65,69804710.50,30924172.37,193296215.06,107887684.71,65871493.80,26829140.41,196163896.48,99012694.64,72681746.20,19045156.23,172659063.08,98862250.67,70198200.42,23708427.67,203042870.84,120723612.19,64538961.50,21978100.97,209014752.58,140795205.00,87586548.97,29794086.83,184557546.57,63752668.17,108936034.11,44526675.51,99240326.26,43359531.43,117849878.30,79949934.26,24105511.87,12631211.37,0.0
2,营业收入,4127896311.39,2754751465.56,1355600156.88,5801156299.30,4190259718.20,2868917063.84,1377776096.43,5801992974.86,4079547247.07,2743011416.43,1383495272.99,5481516424.40,1189994349.07,804506583.47,338889632.17,1810032938.18,1200857692.12,814248267.14,311424420.95,1516681764.48,962307467.25,664678400.85,286670188.17,1326163863.33,859806437.39,545121433.63,203256025.96,1307881105.96,665737594.39,422350450.16,175456432.59,1247718314.15,755494017.11,472960042.06,162209891.35,1008303339.23,643978755.21,427225885.38,60929332.13,260559748.30,134821405.78,80105451.12,18532859.94,168958131.42,107483281.95,69679183.99,31760200.00,209867124.50,107640080.65,69804710.50,30924172.37,192820597.29,107621187.31,65721000.36,26754572.72,195765358.80,96740771.26,69671037.54,15393132.53,172274532.67,97192296.76,68597079.15,23575439.97,199714663.87,118369489.42,63547558.89,21313181.00,203484608.53,136522444.00,85444965.58,29819402.03,179667438.04,60169878.09,107604932.97,43162349.88,99182540.01,42625266.69,116813547.77,79949934.26,24105511.87,12631211.37,0.0
3,二、营业总成本,4093915233.72,2728493357.88,1363826564.33,5607381530.93,4098601403.76,2799816574.54,1376138792.29,5596196476.75,3973955150.34,2662201427.60,1356978890.14,5332524750.81,1178408005.74,802840217.88,344424351.13,1769736706.20,1185579875.54,812379306.15,314905031.36,1496599742.05,960040081.37,661234368.53,288691811.71,1301232901.37,850437484.19,537572716.43,206920153.22,1278938019.49,659213488.01,414592749.27,175367351.36,1196338752.29,719482631.82,455900042.28,165843289.36,940038301.90,602170985.63,391617653.56,58341392.13,270637082.61,139448880.90,84513237.31,24905205.56,228556152.22,115519002.36,75021053.50,34693690.75,222955262.67,127637705.30,93264947.93,37767217.93,203406793.38,127705827.98,78171876.05,30692082.70,189997593.72,102729141.04,71563686.98,19040523.46,157685917.54,92136193.84,66851418.60,23167398.12,186668413.26,110732063.47,59939512.15,22390405.95,180457183.88,123167130.00,82780104.17,29571398.64,153032051.18,60039685.17,92927713.32,39250271.31,83425823.15,34051247.86,84154335.10,64287970.36,19164086.66,10192281.67,0.0
4,营业成本,3360994920.11,2247076715.62,1119423768.94,4596177111.08,3377397623.82,2316297157.66,1114168945.36,4579102688.59,3246049347.26,2166200165.75,1098285808.34,4339030637.30,910164824.18,630202172.23,266386785.79,1438436667.43,973789200.91,671180677.07,249928707.88,1222155647.78,790118641.77,549673679.00,237099287.64,1088066177.05,706872739.19,444777207.69,164217433.96,1087082099.80,539066144.79,337170198.56,138288152.00,1014437614.51,595223935.64,374853634.76,124188673.93,762453456.78,484486762.38,314829894.80,40759702.28,202697910.27,99622619.69,60370090.03,13666335.40,142547184.93,81994047.56,54880965.34,34693690.75,152557585.91,78570455.99,53139127.43,21734874.51,133351308.90,79639122.10,45005783.70,18102716.23,137030379.43,69375671.30,47240910.91,8874644.88,99615937.19,58965515.96,43976120.16,13039873.55,135192361.17,77918878.79,39142326.75,12871988.23,127115763.26,83739413.00,56187872.97,19887948.59,108755746.83,38494079.88,71819190.63,30103726.63,65782727.51,27554993.53,70281457.31,49977085.62,12410433.81,7410964.74,0.0
5,营业税金及附加,13237417.65,8910295.91,3726163.99,16212241.35,11920428.97,6684647.36,3956482.16,17127048.01,8037322.05,4962704.85,3550890.03,11151955.84,2808570.42,2063894.35,700719.75,3625398.05,2081160.68,1284974.64,532319.64,4765882.75,2146593.11,1257186.02,397678.78,3371490.98,1773160.40,890439.52,415009.77,3355323.28,1945886.92,2019364.09,829556.94,3490381.90,1783413.01,1142088.58,633172.06,5374320.94,3662134.74,2245017.84,296855.55,1296103.22,575818.69,446601.12,37450.97,957150.96,330847.09,217539.64,91718.37,1198921.63,324656.58,174316.56,164247.54,520901.34,181383.92,85098.00,5612.86,-2339855.49,-2523308.14,109602.37,18452.91,1450624.44,846194.90,604536.87,233666.28,3532730.16,2172665.33,444812.88,199932.31,1522767.89,880940.00,574084.38,206269.57,1051653.08,317582.01,754345.57,219267.90,994801.12,203712.70,1127562.83,448352.96,51007.00,238424.23,0.0
6,销售费用,112554351.89,77198074.16,39796754.43,165056136.41,114547779.96,84632241.72,43195421.11,174832633.60,122208772.13,83787857.26,45457602.07,166701672.56,83324333.28,55479496.95,26928270.27,115413576.75,77265864.09,51016911.21,26126796.45,86205933.52,54708333.54,33975047.96,16358302.08,62014319.44,42157927.67,26227988.90,12112877.32,53461312.59,33037779.43,20460459.06,10779528.99,52545956.30,35007298.27,21490542.30,9760243.88,41013337.02,27215499.85,17381288.74,4308939.92,21114265.53,10507140.85,7232183.55,3500066.07,16691362.55,8834635.63,4750363.59,2562586.43,16510469.79,13159017.46,10019699.97,3505780.27,11767533.33,9854565.84,6897959.54,1472442.17,7875534.98,3537323.60,2427160.67,852717.52,4282029.48,2830676.76,2044984.56,815859.96,3916037.82,2810310.59,1790790.94,1403444.74,9534413.11,8319194.00,5729644.10,1847129.29,7850651.58,2775279.31,4899115.05,2270477.13,5452878.66,2154328.31,5364670.68,5486918.68,707913.18,541830.67,0.0
7,管理费用,385697833.38,249233479.04,140827829.70,499876356.52,396294251.31,386941951.30,202077053.77,738751292.79,560061981.45,376328061.14,198940083.47,760404677.27,176349997.90,111697568.29,49014286.92,194589431.48,129750877.55,86676621.20,36937207.97,155663913.02,99784333.09,67747874.47,30665648.74,132088000.20,92633695.41,61002786.42,28261045.23,126192543.01,82861015.10,53005233.82,24751901.57,124303154.00,87967061.17,58265430.64,30788341.93,129474657.65,85471503.75,54828317.11,12460963.43,39681730.28,26600945.42,15861783.17,7317371.04,42394937.61,23928778.41,14741358.14,8286351.32,36340341.06,29177669.35,25919090.08,10503716.54,46676383.03,29703576.43,20763677.16,9493374.59,37192884.53,26422045.81,17889462.22,7698294.38,43267734.51,25533992.21,17297153.62,8067467.10,40036776.19,25947713.72,17986364.99,7634795.42,38267905.10,27243522.00,18476818.66,6664818.49,31420381.38,16397508.56,15714523.03,7024563.42,11575690.56,4494426.19,5192596.40,5333147.80,4046856.29,1817981.80,0.0
8,财务费用,5387805.88,7047140.11,-2206184.37,9586395.84,-2397845.56,2536453.54,9145435.75,45746645.01,36848950.92,29211205.91,11264652.23,18855267.55,4678050.14,2314346.24,1394288.40,2823191.24,1705519.41,2220122.03,1379999.42,16588968.48,13598979.86,8897381.08,4170894.47,9057999.34,6628234.82,4302567.20,1913786.94,2017273.35,2302661.77,1937493.74,718211.86,172624.01,809780.01,116660.76,472857.56,-1554336.36,-772187.87,128746.33,514930.95,1392305.89,928551.41,602579.44,383982.08,2290412.88,1541590.95,1488491.63,351484.03,8575309.60,6405905.92,4012713.89,1858599.07,11090666.78,8327179.69,5419357.65,1617936.85,10238650.27,5917408.47,3896550.81,1596413.77,9069591.92,3959814.01,2928623.39,1010531.23,3990507.92,1882495.04,575216.59,280245.25,4016334.52,2984061.00,1811684.06,965232.70,3953618.31,2055235.41,-214517.44,-367763.77,-553882.20,-356212.87,2188047.88,3042465.30,1947876.38,183080.23,0.0
