,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19920630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,148703613.38,108087980.91,74672035.54,31718955.89,143083488.62,59620211.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,-2491317.65,-1243293.61,-667246.20,0,71461617.00,0,0,0,348437294.06,0,0,0,106537321.38,0,0,0,320560676.78,0,0,0,116423625.78,356778.93,0,0,23403016.12,-1000.00,0,0,42310173.24,-6930439.43,475293.39,0,264243142.09,85747644.66,0,0,62841803.57,0,0,0,32411936.57,0,0,0,904515.06,-19615096.53,-10087173.31,-10087173.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11628226.54,0,1032339.14,0,5025029.78,621804.33,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444400.00,0,0,0,0,165904.00,165904.00,165904.00,0,-165904.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,230118625.12,135944192.19,94740421.38,43364153.52,373849121.07,203883732.09,102870229.64,56561330.28,328091950.55,180210430.53,70318050.87,10687063.70,131189596.30,44784406.14,41307836.88,8058117.48,147125155.93,52726682.85,44168317.27,19081163.03,62632834.28,52226506.26,27942000.31,12087091.96,144125008.27,61350146.43,38024926.29,16459030.09,108360721.34,59284364.33,25245922.19,6216645.52,12502205.94,18092346.47,12365116.41,8554540.49,61179161.08,42881944.32,32759156.05,2431556.27,54519916.97,62186543.80,58996977.24,-5048078.28,160766144.60,81997004.36,78267419.83,49557062.91,61903478.70,25087850.58,8697799.85,5038372.34,11359521.43,16662435.83,3782458.82,812732.50,5317449.60,-2104781.77,-2333494.71,-964059.36,-28086358.87,2345952.67,2593192.34,1096394.76,-12156097.44,6146311.27,3160358.03,128066.83,-11128553.79,3336012.82,2860492.10,-26350.80,80873878.92,11675618.27,-197031.80,573444.69,6853851.12,568949.32,-93258.25,429384.88,36723075.30,29200496.47,42980485.52,6888675.92,2730188.57,16774800.00,0,0,15588984.95,5917794.15,0,0.0
13,其中:对联营企业和合营企业的投资收益,200712261.30,121559703.37,81558092.05,43332153.52,359324640.49,201713926.46,100835424.01,56561330.28,318074367.87,174959055.86,65187756.20,10687063.70,97360187.93,24960391.14,21792821.88,8058117.48,44597649.84,32936176.57,24629643.47,19069338.03,46522824.01,36380169.46,27342000.31,12087091.96,60933984.15,49322778.02,37076163.44,15569654.04,84147446.18,52435739.42,24251816.54,5685238.68,6367457.35,12213041.87,11885811.81,8185275.89,29158046.36,14962006.11,13086404.09,2134882.37,-16259963.50,-26653690.61,-29280632.17,-17014571.92,5565467.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,854451499.20,667106559.52,472883238.23,259023420.46,1137790182.92,758798515.16,458647273.01,208604318.04,1003842026.21,602467315.98,252212338.55,58916990.64,-359822799.48,-48793469.14,10509051.30,9526900.12,-109714620.23,-47368072.35,-44248428.66,5518298.14,-596384778.31,-85608078.47,-47506499.79,8973560.03,-88579797.32,-65174908.12,9807263.57,3670943.03,94619406.41,91220620.20,79203194.73,41515537.69,82643750.84,225236262.38,163829637.50,100821364.96,10760934.02,21595185.25,54678323.93,8944395.11,-386920330.90,-151699275.75,-1541678.58,4046037.71,-21061780.70,63556267.41,58859958.92,30461626.85,23825147.72,12527706.53,9603722.95,2278760.00,-170153882.00,-89383947.83,-38551427.85,-66576339.99,9131113.44,-33167821.73,-46083053.28,-11608337.22,81708029.35,117575904.40,89083123.55,40043506.75,48599350.14,37936422.34,25313240.68,13719203.99,4212755.81,-32788942.96,-153424.59,-36543048.50,37644291.86,62712454.88,43873596.86,42853295.38,47181124.51,-2515477.16,-8815072.30,-71680953.11,203626054.64,131447698.31,282903753.89,142671875.98,282564763.87,136829400.00,237930000.00,94452918.41,209732247.26,105850987.69,79388019.58,0.0
16,加:营业外收入,0,0,0,0,1185450.96,1070974.53,1068450.96,1.00,1260981.65,2065784.54,64557.56,3659.50,26386162.15,2720423.13,2379880.13,0,220140784.81,10843883.02,683311.23,133625.28,13543603.10,2606058.08,2271433.18,2247650.00,122523307.47,36884106.81,364320.06,100850.01,22748607.99,8624629.34,6859987.54,500933.00,157473062.33,919499.88,914958.00,388494.40,100240621.96,53669101.39,2051952.00,2036019.65,25324083.91,24467332.68,5338534.95,3255.00,44349489.43,5419308.50,122861.50,500.00,42617684.88,23598151.28,20687632.09,4958325.23,9758822.74,4270042.96,4270042.96,31200.00,3689848.84,18425.37,4110.04,1404.62,805749.62,1439089.76,1271676.59,1257196.06,2483572.63,2092984.75,2040500.42,76685.69,7638764.81,157194.19,134991.00,2575.44,1527237.21,174217.20,20858483.29,493629.28,11511049.59,4022955.28,20421851.50,112794.54,18213329.61,0,2339877.02,0,4602118.64,0,0,0,2943.11,0,0.27,0.0
17,减：营业外支出,207745.71,200000.00,200000.00,200000.00,379957.14,379957.14,310000.00,310000.00,608445.07,584658.40,576987.00,0,1377001.45,840465.11,838283.44,5126.91,864280.61,163387.70,53117.69,1362.44,126817.45,99339.65,93897.00,80000.00,2629788.44,120460.60,114115.06,2.75,2418258.02,14183.44,-1278.95,0,12981471.33,2000.00,0,0,6348823.15,4036206.61,14621.51,502.38,23237670.40,3064703.70,25791.35,25329.06,5175772.78,353825.16,313283.74,23240.00,6940034.20,57731.93,3548.15,2888.15,31171002.84,4847.28,2442.78,2011.17,3028890.12,36095.16,11421.93,1843.28,30266031.57,5429995.47,4248276.89,1288950.60,16406355.86,5879965.77,-633189.07,107604.34,2420676.65,255376.95,35247.61,28610.07,10768542.07,10356259.44,15047316.43,8034619.88,14137878.59,1451.46,3457105.80,429615.14,15069075.03,0,9437507.05,0,13683888.49,0,0,0,15327320.56,5310606.64,3666872.77,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,525479.38,10858.74,10858.74,0,520754.37,7737.90,7737.90,0,40812.45,0,13897.00,0,239846.23,0,0,0,1649789.84,0,-1278.95,0,8329480.62,0,0,0,6148423.95,0,0,0,23215175.38,0,0,0,4926906.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
