,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1688644980.36,4231678035.56,3096764842.00,1997742039.86,926759053.27,3123446007.42,2378702082.05,1634753572.05,822919465.40,2546785181.27,1765171676.35,1093917464.35,535921524.71,2351818010.17,1747531658.15,1165821481.62,601246725.26,2925879408.31,2294607942.75,1569961925.43,383422506.21,612007004.55,331555378.25,200151647.71,109162147.57,248474867.84,141691151.38,77161090.63,32867669.22,222701535.89,171231662.28,128221202.93,67819977.95,280308218.79,198275042.38,131766959.01,57680052.20,184961424.89,133565793.18,92453547.71,45894723.17,165125768.05,116883386.19,73878819.41,35949609.02,118243870.11,67348571.20,4117513.67,0.0
2,营业收入,649422839.21,1478041023.06,1059071032.18,676959251.47,321000342.91,1309580716.93,1025446100.22,711830278.55,367212861.07,1112337140.94,766791944.10,478902277.71,238264282.52,1203051297.42,935033012.12,656964515.17,349766421.76,2812712721.18,2294607942.75,1569961925.43,383422506.21,612007004.55,331555378.25,200151647.71,109162147.57,248474867.84,141691151.38,77161090.63,32867669.22,222701535.89,171231662.28,128221202.93,67819977.95,280308218.79,198275042.38,131766959.01,57680052.20,184961424.89,133565793.18,92453547.71,45894723.17,165125768.05,116883386.19,73878819.41,35949609.02,118243870.11,67348571.20,4117513.67,0.0
3,二、营业总成本,669469905.74,2378564063.27,1652886806.78,1119761043.29,562013399.13,2272442976.05,1635463515.07,1108630415.39,535562581.42,2072164883.60,1394798663.00,892348848.29,453486350.66,1705238016.58,1181288011.20,775693276.11,402635790.10,876413284.56,573364271.46,352896412.08,147946086.43,418120619.89,256396290.14,162385781.92,86807630.70,251861240.19,171645196.84,99821056.48,47766003.66,187376262.39,128870471.19,85987131.69,46158073.31,170605529.44,115710250.20,76563904.88,41068261.73,114636705.15,74840290.26,53050550.70,26482486.73,88544229.50,63060317.88,40609835.22,20372564.12,69673383.45,37563283.41,3128410.49,0.0
4,营业成本,161383216.94,390944096.83,289180011.21,185992649.01,95647184.99,371335725.53,296120875.34,202371387.86,99034364.07,396996151.69,326938928.06,200789542.97,101361110.80,323052803.19,237112989.33,145959539.58,69683351.17,324054378.17,266879149.50,191497436.65,79636042.21,148569133.68,96722147.98,55727077.07,28642417.23,89735083.82,57857527.86,31929796.61,14373908.48,64732333.89,49652925.18,34617238.58,17484292.83,60150212.35,44915886.88,30353152.63,17378178.61,32115081.13,21785582.02,14795204.92,6667710.39,21580393.49,14653490.09,10531050.93,5235047.67,25243779.71,13797399.04,640625.80,0.0
5,营业税金及附加,10761952.48,41048014.49,31118310.78,21624423.91,9126762.03,31033977.04,23242136.34,15785386.16,7628407.29,26891327.78,19076990.78,12736441.24,2550835.28,51827485.54,34068101.25,31922269.87,22948694.88,45589811.25,29532374.35,18734151.40,4328515.19,23815725.77,11310408.42,6541299.95,3643377.63,6273698.37,3138759.41,1454402.17,585086.67,7849706.22,6119592.44,4562315.03,2373298.23,10815354.95,7968546.96,5525493.29,2936267.43,13719296.89,9959845.33,6838837.16,3296808.37,10742723.47,7406310.89,4470955.82,2389717.09,7985371.03,5067964.48,257926.55,0.0
6,销售费用,95972535.36,364071248.31,245953275.20,164126918.28,81472749.22,259775169.89,174090972.05,118489428.49,54202200.94,315824916.10,218234719.30,146153383.34,78077538.42,266039531.91,174005412.72,110435996.75,54964657.53,202505335.17,129102032.12,75875908.05,29726260.44,115249744.46,85996053.40,56632450.52,27220700.73,110894625.98,79446252.02,50365036.05,26996948.44,96748393.17,67985399.71,44665424.64,25265269.56,109836587.04,77225099.83,47900979.90,24101050.84,73187024.04,52141271.48,34506341.88,15194287.23,52529930.32,39112773.05,25916008.59,12901332.98,32527405.26,16451381.08,0,0.0
7,管理费用,316891145.82,1289100610.82,845655282.92,582855693.68,269388395.34,1191609602.23,874493395.06,663753758.77,318796519.35,1283307695.92,834237011.28,541015757.92,272263261.76,1113680691.84,777599141.11,524162247.92,267384453.43,394427244.17,219374749.16,109844825.87,52744560.99,183892483.26,101464537.36,67673640.10,34843675.99,84464034.61,61417109.28,38321801.82,17532919.21,65386886.85,41029125.15,25927381.84,11733278.97,30787217.00,14836824.13,10413639.38,5458610.20,23464148.93,9679104.51,7089576.67,2762201.01,8765753.00,6177347.88,3397226.62,1594837.92,4772462.62,1923395.55,1979324.84,0.0
8,财务费用,15010459.51,-12007935.18,9597721.44,30216914.19,32763933.62,156451818.84,115466590.97,82046608.73,45774477.83,-32303606.15,-26487458.21,-21211214.51,-5990635.68,-66536186.80,-46695177.32,-34562872.33,-16165139.56,-108382490.13,-88976735.70,-58381070.33,-21727800.70,-59693215.78,-43112632.43,-26275442.55,-9365483.70,-41863667.30,-32109826.83,-23062945.32,-12021720.90,-48779024.89,-37265388.34,-24478546.09,-11428680.65,-42278797.59,-30111964.02,-18772739.82,-9033935.18,-28319439.31,-19231774.43,-10624862.07,-1441761.83,-5375313.69,-4153838.35,-3319188.35,-1411954.86,-1819715.66,-145712.16,-4062.38,0.0
9,研发费用,69450595.63,305408028.00,231382205.23,134944444.22,64869233.42,250328059.28,130502202.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,0,11908623.24,21547342.69,26183845.38,10126611.94,81448398.26,22798471.79,12864937.33,5224240.08,17173690.90,5197544.11,-2223905.68,3819772.65,18219005.93,17452702.03,15325160.44,3238508.30,6286748.50,4015775.41,2086756.83,1822942.82,2357464.71,1895375.10,812965.15,298861.76,1437967.15,1348817.05,693317.69,730614.37,1294955.69,875856.42,1143379.50,228089.83,470593.47,506261.35,445452.14,3241.56,300742.91,-135765.68,-386218.39,-336416.68,964080.49,468855.42,254595.68,0.0
11,公允价值变动收益,12163027.81,-6846651.68,-27868993.43,3475583.48,9358153.64,49207969.78,2962771.86,-395787.83,-1678605.53,-21793513.15,-9378354.93,-24082018.24,-14682582.76,-24993442.96,-98447495.73,-108212786.48,-89652541.15,22355846.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,39830310.35,270853292.04,232488828.89,157041444.51,87923795.90,211236184.64,207286362.18,129826027.14,70974427.30,200611626.45,132997256.14,97724552.03,46115843.90,45239838.65,92283046.66,44243921.20,33469272.81,38916333.56,8740942.77,1707898.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746592.33,745518.36,300636.16,71177.26,3308038.50,4831980.81,113372.58,0.0
13,其中:对联营企业和合营企业的投资收益,2445868.66,39973057.15,34349233.08,26428958.15,21428847.30,60581162.68,50572930.22,44215627.53,23426899.04,83920169.95,51098054.82,32867385.25,14646495.57,39517617.46,32956788.72,19212694.53,0,16256761.83,6302038.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,-98491.74,-2763791.45,-2434190.25,-1520773.58,-420606.01,407950.63,339952.97,248962.94,-186613.63,-584795.89,-472216.83,-240550.00,-53896.92,535381.42,222103.35,165551.70,-39837.06,117842.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1052063400.82,2142143713.76,1667119940.47,1051011260.15,464240168.24,1130600168.69,967014356.28,667078960.09,367796416.15,676377493.15,496423981.94,277592848.47,113814538.27,667361770.70,560301301.23,326324891.93,142387829.76,2110856145.88,1729984614.06,1218773411.95,235476419.78,193886384.66,75159088.11,37765865.79,22354516.87,-3386372.35,-29954045.46,-22659965.85,-14898334.44,35325273.50,42361191.09,42234071.24,21661904.64,109702689.35,82564792.18,55203054.13,16611790.47,70324719.74,58725502.92,39402997.01,19412236.44,77328130.88,54568586.67,33569620.35,15648222.16,51878525.16,34617268.60,1102475.76,0.0
16,加:营业外收入,17450.00,47038.28,9248.28,9248.28,9248.28,165241.98,53937.49,960647.47,153684.44,6184565.94,10417707.22,6968002.20,4239910.59,140486151.23,107400970.35,71354545.74,7623154.98,62883052.54,8682297.01,8641297.00,0,4880225.76,1906683.00,1906683.00,0,8915082.23,4187275.00,2824200.00,0,9639500.00,11364900.00,6745000.00,6745000.00,14908000.98,12168000.98,11380000.00,7180000.00,3968105.51,3968105.51,3982611.44,3948000.01,5014045.55,4330755.55,4330755.55,2201340.00,3838123.20,264511.91,0,0.0
17,减：营业外支出,6548650.00,14603243.97,8527199.26,7817958.87,5226977.85,9931417.01,4468600.62,2817925.66,455900.00,3478278.62,2953648.64,2274758.73,1729643.08,9672065.84,3673024.49,1833312.68,1269879.15,2812861.82,1432380.02,265248.32,265248.32,1512810.02,430510.02,430510.02,416612.58,551868.61,551443.61,60000.00,0,1600000.00,1500000.00,1000000.00,0,3196963.45,50050.00,50050.00,0,259600.08,209600.08,204000.00,0,28584.84,0,0,0,158667.39,6004.20,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,485743.91,211351.06,85142.26,5985099.28,1763508.06,61842.05,45531.92,131821.38,82380.02,65248.32,65248.32,20510.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600.08,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,1045532200.82,2127587508.07,1658601989.49,1043202549.56,459022438.67,1120833993.66,962599693.15,665221681.90,367494200.59,679083780.47,503888040.52,282286091.94,116324805.78,798175856.09,664029247.09,395846124.99,148741105.59,2170926336.60,1737234531.05,1227149460.63,235211171.46,197253800.40,76635261.09,39242038.77,21937904.29,4976841.27,-26318214.07,-19895765.85,-14898334.44,43364773.50,52226091.09,47979071.24,28406904.64,121413726.88,94682743.16,66533004.13,23791790.47,74033225.17,62484008.35,43181608.45,23360236.45,82313591.59,58899342.22,37900375.90,17849562.16,55557980.97,34875776.31,1102475.76,0.0
20,减：所得税费用,171842960.80,296298656.75,264076762.10,172427869.71,73258987.59,162615256.92,162203160.28,106963789.78,66631684.40,44239500.94,47683914.51,23065657.33,16276669.82,85741779.79,89614971.60,59348004.06,31884787.47,322412515.04,261824756.07,185259382.56,36454703.53,31584938.56,14044373.57,6432458.11,4106695.83,-20889.96,-3180246.19,-3033965.58,5874.31,5762001.75,6007179.51,5407467.73,4292105.43,14876925.31,11447118.51,7695279.17,3106053.50,7271160.53,8013980.62,5545389.64,3056497.46,10163301.18,7508599.69,4984098.18,2318858.47,0,3697.83,0,0.0
21,五、净利润,873689240.02,1831288851.32,1394525227.39,870774679.85,385763451.08,958218736.74,800396532.87,558257892.12,300862516.19,634844279.53,456204126.01,259220434.61,100048135.96,712434076.30,574414275.49,336498120.93,116856318.12,1848513821.56,1475409774.98,1041890078.07,198756467.93,165668861.84,62590887.52,32809580.66,17831208.46,4997731.23,-23137967.88,-16861800.27,-14904208.75,37602771.75,46218911.58,42571603.51,24114799.21,106536801.57,83235624.65,58837724.96,20685736.97,66762064.64,54470027.73,37636218.81,20303738.99,72150290.41,51390742.53,32916277.72,15530703.69,55557980.97,34872078.48,1102475.76,0.0
22,归属于母公司所有者的净利润,873689240.02,1831288851.32,1394525227.39,870774679.85,385763451.08,958695412.88,800873209.01,558611949.16,301046829.12,636901644.02,457586195.53,260101015.71,100524335.72,713768803.87,575032005.58,336799304.21,117045628.74,1848571186.42,1475409774.98,1041890078.07,198756467.93,165723821.57,62645847.25,32864020.24,17877889.34,5001337.41,-22953951.12,-16725793.22,-14850642.02,37581860.98,46254558.95,42600374.56,24150321.42,106528210.93,83200456.46,58838295.30,20710128.83,66740512.88,54519047.12,37659961.47,20311404.15,71866363.00,51558628.04,32983703.50,15547416.24,55575053.82,34872078.48,1102475.76,0.0
23,少数股东损益,0,0,0,0,0,-476676.14,-476676.14,-354057.04,-184312.93,-2057364.49,-1382069.52,-880581.10,-476199.76,-1334727.57,-617730.09,-301183.28,-189310.62,-57364.86,0,0,0,-54959.73,-54959.73,-54439.58,-46680.88,-3606.18,-184016.76,-136007.05,-53566.73,20910.77,-35647.37,-28771.05,-35522.21,8590.64,35168.19,-570.34,-24391.86,21551.76,-49019.39,-23742.66,-7665.16,283927.41,-167885.51,-67425.78,-16712.55,-17072.85,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.130100,0.277600,0.212500,0.134300,0.074100,0.185800,0.155300,0.108500,0.070200,0.148800,0.107000,0.060900,0.023500,0.205900,0.167400,0.099800,0.035100,1.089700,0.870200,0.615300,0.117400,0.137000,0.051800,0.030000,0.030000,0.010000,-0.030000,-0.020000,-0.040000,0.110000,0.140000,0.130000,0.070000,0.510000,0.400000,0.280000,0.150000,0.510000,0.420000,0.310000,0.190000,0.700000,0.510000,0.330000,0.160000,0.560000,0.380000,0.010000,0.0
26,稀释每股收益(元/股),0.130100,0.277600,0.212500,0.134300,0.074100,0.185800,0.155300,0.108500,0.070200,0.148800,0.107000,0.060900,0.023500,0.205900,0.167400,0.099800,0.035100,1.089700,0.870200,0.615300,0.117400,0.137000,0.051800,0.030000,0.030000,0.010000,-0.030000,-0.020000,-0.040000,0.110000,0.140000,0.130000,0.070000,0.510000,0.400000,0.280000,0.150000,0.510000,0.420000,0.310000,0.190000,0.700000,0.510000,0.330000,0.160000,0.560000,0.380000,0.010000,0.0
27,七、其他综合收益,6605012.56,12594357.09,14886187.38,6603375.14,-2846547.36,5212999.80,6435598.18,787282.54,-5543612.59,-8561090.84,-7678520.27,-4653970.09,-1157359.16,-464290.52,-1157628.38,-1229022.38,-687718.06,137606.49,6200862.38,122381.35,247840.32,2528.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
