,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,353247344.99,242020845.05,165400771.97,68335026.02,310772306.19,17311368.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,12984379.20,-829429.20,-2504422.15,282760.62,35092.18,8629982.85,1515629.51,2442087.28,-944901.36,6587187.09,4301963.93,2654452.73,731858.43,6962923.29,4201596.35,3823985.95,1669974.03,3213513.64,3583447.27,4333691.58,2103640.77,5915755.55,4825970.79,3868265.81,1768729.34,4622374.50,4542590.99,2980426.74,2925324.40,1606851.32,2875116.72,3209555.47,-70210.46,1033746.75,4232758.71,3022221.82,1013123.56,1057457.63,501903.87,2632311.12,1303451.69,1041578.48,3694828.50,3388916.03,0,17385293.55,2230533.63,517373.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311438.27,0,0,0,0,0.0
11,公允价值变动收益,3832287.96,1708027.94,2267291.74,2260681.92,-942848.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-8810731.09,-3552428.31,-476824.07,697690.11,21376298.08,2296817.61,2086133.37,0,3332844.05,1383465.44,1383465.44,0,-1278967.94,0,0,0,532148.08,-752549.35,-250274.81,-105775.49,-246974.64,-206730.90,-156421.14,-122941.03,-176260.87,-103560.34,-82663.33,-73822.73,-250721.87,-253541.81,-207169.24,-120275.89,-313920.59,-284762.12,-180037.95,-93469.82,-7613868.38,-6475648.76,-4677982.46,-2274675.30,-10421782.40,-7502172.13,-5180025.99,-2239453.77,-2898960.77,285985.29,1103365.23,27112.78,4559538.45,2863380.50,1843899.28,995465.54,-3787549.62,-4133826.66,-3153069.75,-384297.62,366129.99,414830.48,-410291.21,-576077.77,-1130829.26,-291234.12,354640.00,-27625.30,5479100.61,4447702.50,4055330.00,-1099477.23,707492.02,-92507.98,0,1822963.99,300000.00,-63650.59,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-11021209.36,-5684684.17,-2479930.20,697690.11,16701902.63,0,0,0,0,0,0,0,0,0,0,0,-753539.17,-752549.35,-250274.81,-105775.49,-266774.64,-226530.90,-156421.14,-122941.03,-206832.30,-134131.77,-82663.33,-73822.73,-311639.60,-319541.81,-207169.24,-120275.89,-313920.59,-284762.12,-180037.95,-93469.82,-7613868.38,-6475648.76,-4677982.46,-2274675.30,-10421782.40,-7502172.13,-5180025.99,-2239453.77,-4075574.73,285985.29,1103365.23,27112.78,4559538.45,2863380.50,1843899.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,511809459.93,326186913.05,256048805.63,90129913.83,503147534.23,42196413.68,27642686.31,5914270.75,64203902.28,23758852.14,18804786.37,4860785.77,27904698.12,12325008.35,11782345.79,428895.34,39434760.58,34351295.36,32034252.38,15836729.99,92885943.53,59890198.21,44030759.56,17336797.78,86670000.32,55196361.86,38519829.39,17105740.96,78085979.56,53726654.73,39598948.44,12238568.30,64033956.52,41433795.29,23726165.75,6113155.67,48822131.47,27335643.25,10869053.71,3184475.36,48345601.34,26845125.51,14697414.42,5166576.37,66778519.20,50816777.02,29974703.28,7161102.14,47178584.18,29514069.54,14877672.22,6006628.10,7049167.88,9947950.53,1424256.11,4166578.90,11104338.87,11466677.30,6803497.92,4875204.30,-29679678.00,8250699.48,9914857.34,4045140.36,35943979.49,23311285.20,14264769.45,13181481.09,15684615.68,12577202.90,3577712.70,23807391.71,15561496.02,20168813.64,8015738.39,20586674.58,18642933.72,13975663.41,0.0
16,加:营业外收入,307793596.07,191868369.67,128702892.03,59287577.98,262106071.39,698207.67,606170.81,278781.48,892327.98,4915964.89,4668487.74,250.00,4986786.54,2670363.38,1214100.18,638547.00,3359261.93,523665.00,215650.00,5000.00,1012394.17,175582.67,113167.67,59801.67,1275646.52,254106.52,116966.52,7020.00,5153122.65,3303391.88,3303391.88,3500.00,13413232.52,23380.00,14718.81,3900.00,7831104.98,4326843.77,4094304.98,144499.99,1401188.22,766255.92,463664.18,78849.49,6801709.59,1932513.97,432457.94,430605.13,6950168.47,5375846.28,3660260.19,11348.71,551940.62,296871.41,23216.15,512.82,289795.95,259312.57,38549.22,10959.48,317789.22,211172.32,170128.46,90475.59,54610.00,102091.21,87579.23,176329.12,93134.85,49629.82,0,14510.92,3434.00,3122942.77,0,0,0,0,0.0
17,减：营业外支出,212462385.17,128627050.43,87145972.37,41375102.55,175784944.54,99512.50,99512.50,99512.50,397136.28,266159.72,257510.57,30338.24,619371.19,204105.12,99398.51,30452.67,337935.10,337935.10,0,0,1901435.46,16282.38,11282.38,5000.00,248558.69,54.08,0,0,477703.56,15992.46,10992.46,0,326055.73,67454.36,61479.29,0,2522890.18,562393.85,266990.61,153459.50,610946.50,444100.34,277614.40,165681.54,2341515.71,899669.35,625157.65,99430.50,11471605.41,3026372.37,2113172.98,938566.31,31429991.63,3308017.07,1734836.54,729781.53,6224857.90,2388477.03,1558977.28,740086.27,4275177.32,3227343.44,1716636.52,861530.06,2947647.76,1624468.71,12331.28,133469.93,54694.80,14154.80,6000.00,189179.95,183379.95,1349978.16,5235.00,936.38,0,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,246432.42,30338.24,93594.59,89402.64,89298.51,20352.67,201678.78,24337.61,0,0,506698.22,6271.08,0,0,188699.14,0,0,0,472670.25,0,0,0,264718.58,0,0,0,2049477.59,0,0,0,99572.32,0,0,0,759191.62,0,0,0,11004612.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
