,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960331,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,324255455.01,169988689.83,54266913.74,468393862.58,365931950.51,190475424.05,56564818.73,549649581.84,426250225.98,229140508.01,69188158.32,592183264.90,456235232.90,242439123.16,90855109.08,674880017.98,505917047.06,242713523.98,67177725.99,484009427.87,349505651.35,170252390.86,44209593.73,500319899.52,365737980.47,205385836.12,73807664.34,682499735.64,476127764.38,236659986.16,55526738.59,557049849.28,388102511.53,178316279.90,7719535.72,95159578.62,70480454.82,40136581.57,10210536.87,90555373.11,71328522.26,32509609.18,7977723.88,87327349.39,67520386.61,36810056.78,9606598.82,163532722.75,123055046.53,68063506.14,19134799.44,167700507.48,126436337.78,65047490.60,16249280.66,142696831.39,107660180.83,59503506.36,15983209.54,125980594.07,85979190.21,42171033.87,14850240.08,82345995.81,65466178.46,38288021.80,19605631.72,76397150.61,61593791.04,35044264.55,15714259.61,49462099.73,57950292.00,16935493.20,33911214.60,9109782.04,51867463.05,18627852.74,88711125.24,21133967.60,74646243.35,52723146.28,100450588.18,14271600.08,65671293.82,29050679.40,4661200.00,0.0
2,营业收入,324255455.01,169988689.83,54266913.74,468393862.58,365931950.51,190475424.05,56564818.73,549649581.84,426250225.98,229140508.01,69188158.32,592183264.90,456235232.90,242439123.16,90855109.08,674880017.98,505917047.06,242713523.98,67177725.99,484009427.87,349505651.35,170252390.86,44209593.73,500319899.52,365737980.47,205385836.12,73807664.34,682499735.64,476127764.38,236659986.16,55526738.59,557049849.28,388102511.53,178316279.90,7719535.72,95159578.62,70480454.82,40136581.57,10210536.87,90555373.11,71328522.26,32509609.18,7977723.88,87327349.39,67520386.61,36810056.78,9606598.82,163532722.75,123055046.53,68063506.14,19134799.44,167700507.48,126436337.78,65047490.60,16249280.66,142645078.61,107473265.63,59451753.58,15980434.34,125905883.16,85933800.16,42150356.82,14850240.08,82250657.38,65427008.47,38261321.17,19605631.72,76401897.11,61593665.04,35041594.55,15712259.61,49462099.73,57950292.00,16935493.20,33895088.60,9110946.04,51881314.46,14546965.52,81745068.64,21139725.10,74637404.09,52723146.28,92087619.90,14065000.00,65226142.91,28092495.63,4661200.00,0.0
3,二、营业总成本,281621788.23,165034988.76,70228668.13,438797531.60,300921862.68,170474494.54,74368509.48,536950106.78,369577333.32,211506520.55,84371839.23,499114507.94,328132157.67,193543205.51,85470797.30,518424595.32,336276749.32,180292328.98,70791253.84,397469696.71,261577921.62,140374433.68,51462067.03,426512281.73,302749989.74,188236361.48,90598708.97,549190837.12,366436964.05,193481830.71,63871448.62,434448372.64,290406422.17,146422046.24,20504018.98,94955466.20,75568832.15,52283489.99,22985157.23,138952879.95,80290390.95,48397335.46,20144794.79,153499109.45,82236157.50,52525341.33,21534554.37,182496839.28,115645688.44,69546454.14,27466461.86,154006411.61,106462768.60,62069227.17,23460886.71,139578550.97,95094058.01,55802036.48,22322479.74,104132260.74,68165951.19,36289463.75,12661860.34,60524710.17,44506585.29,29980993.72,14247133.18,54662429.29,43371203.66,24378291.10,14229834.49,32711424.85,62773596.00,32845472.52,123890416.59,16752103.77,54569717.24,15931012.45,72209574.79,19258046.05,60610513.77,0,78427622.52,9832218.54,37860382.47,17514948.67,3333060.00,0.0
4,营业成本,210466509.57,119546099.21,48785912.99,320764560.43,229204932.28,126634364.40,51792111.12,379109330.94,261659766.22,144073056.93,55034083.28,358368251.69,253291807.50,146603207.43,65031725.17,383016787.95,257584877.28,133349899.77,50902181.30,300563212.12,198128767.18,102527677.39,35730220.13,332952861.58,237619956.67,145241354.57,69321408.60,454750576.98,299731814.30,152089886.65,46763143.44,336918438.08,216343342.05,97358825.45,7061811.75,41769938.35,32114792.92,22100265.10,8449635.58,50232287.54,33373547.40,19014142.12,8180937.51,52160919.49,26500351.57,15607223.22,6009204.41,76697743.53,53198777.12,30183554.38,11074559.53,71523404.46,49372420.23,26233942.68,8073245.78,61591551.41,42197949.61,21972909.51,7441840.79,53420813.28,36253372.40,18715159.63,6166179.70,29003900.11,21283005.81,14345744.86,6565849.46,31958169.16,24614136.44,13626192.50,8739872.71,24916139.31,34155217.00,12931290.81,24086358.15,4443837.79,37966067.48,9954810.73,58603500.90,16357985.23,51578334.09,0,68751988.27,9059193.54,34907285.00,16587834.64,3100000.00,0.0
5,营业税金及附加,5751317.90,3743904.71,1783858.28,8335432.43,5500994.33,3291724.77,1607436.44,8627815.24,6267512.08,3662944.96,1499395.78,13218490.23,6901480.96,6247507.25,3500224.32,27803548.79,21783371.04,10516948.98,2595408.04,17959086.90,13364820.58,6607990.05,1531718.29,14968973.95,11342691.44,6072329.60,1588244.70,18284885.41,13911144.14,7294824.93,1555140.08,17430388.56,13394387.14,6899736.64,493133.68,4867400.02,3474047.74,2119318.82,548315.57,4711169.12,3671199.79,1658891.83,401144.81,4585199.27,3529711.51,2006919.03,357999.02,5162928.45,4120538.83,2221965.09,550390.31,5424155.47,4254065.12,2187375.88,556071.94,4994560.02,3904765.75,2108927.87,657650.01,3930195.18,2772719.78,1310288.12,291285.48,862678.47,577564.46,604408.97,378413.13,1235884.27,1411755.87,791143.76,382034.01,826443.38,3021853.00,855749.25,1184803.52,314965.97,729928.23,358681.15,3599978.63,638892.20,3258789.29,0,4806683.87,773025.00,2953097.47,927114.03,233060.00,0.0
6,销售费用,13482038.94,7499524.24,2841772.11,22668208.85,13544962.11,6820773.67,2492497.91,31732016.62,24255166.24,11858149.86,3544357.64,34217537.88,20327024.89,11359326.03,3825842.11,31372869.76,16996760.82,9766470.13,4651975.03,24398816.46,15353331.26,8169407.27,2703823.12,22896425.28,17000032.27,10706321.49,4526468.80,30429020.68,20299545.10,10547432.69,3184781.07,30782214.39,21122743.41,11506296.06,2081318.08,7572120.07,6458272.13,4565678.44,1543530.93,9601507.73,6505645.39,4280373.87,816783.44,9138816.95,7800462.08,4945193.89,1384616.31,11831528.67,9380233.65,5318424.26,1706767.73,12077031.12,8552201.08,5378771.62,1312323.45,14033883.32,8334218.73,4995191.43,2056798.38,8961549.90,5931458.70,4104204.25,856402.38,4401480.91,2198569.36,1068923.61,797503.11,2265074.88,1635905.11,952428.93,326214.00,167429.00,3143790.00,2437290.09,5939479.38,3700039.45,2128442.25,805359.67,535328.46,65902.30,206262.76,0,532817.90,0,0,0,0,0.0
7,管理费用,48590405.25,31971851.39,15897641.80,80388047.49,50497182.85,33623937.94,17274425.77,98486202.29,60422035.67,40026728.57,19010914.04,76753860.33,37105119.49,24003631.63,11636897.94,64019512.61,33970549.75,22832641.61,11223315.16,47396524.27,30291685.96,20883220.31,10494734.53,45792467.26,31124872.61,22400815.09,13374608.31,36282015.07,25507464.81,18437702.05,10447902.37,38538974.10,30549515.70,24186274.37,7658094.47,25826392.22,19825411.20,14424459.46,7845984.20,26362883.87,23196976.86,14164051.34,6652852.69,27276290.49,29446426.70,19267167.71,9036619.71,48510731.98,33180034.63,21596735.72,9532541.74,44860941.69,30255716.95,19130201.02,8959639.78,41144052.28,28099296.05,18702464.35,8226246.81,25883832.82,15406234.21,7923118.35,3673041.40,18899068.20,14110509.09,9771142.08,4532965.09,12592942.91,9895655.81,6152910.85,2996827.51,4822235.31,13328309.00,9939492.78,80738526.99,4844362.58,9062963.61,3437626.49,6922485.24,1214880.00,4008850.49,0,3302946.45,0,0,0,0,0.0
8,财务费用,3331516.57,2273609.21,1054306.57,4152733.98,3285284.11,1261054.76,881741.44,17559575.16,16616513.97,11539130.36,5283088.49,16248075.53,10393776.25,4916584.59,1473180.68,8233806.44,6457512.09,4342690.15,2274881.42,7437469.50,5294825.25,3041661.56,1043065.16,6744539.05,5491562.56,3644666.54,1787978.56,6943430.35,5858339.49,4033521.57,1920507.25,10283955.54,8377684.78,5829452.91,3209753.86,16052160.07,13648351.03,8831743.07,4589050.23,19712181.41,13449240.99,9186095.78,4093076.34,21464543.45,14854402.79,10594034.63,4746114.92,20771771.87,15233559.29,9736701.46,4602202.55,19187626.21,14320185.75,9430756.50,4559605.76,17814503.94,12557827.87,8022543.32,3939943.75,11935869.56,7802166.10,4236693.40,1674951.38,7357582.48,6336936.57,4190774.20,1972402.39,6610358.07,5813750.43,2855615.06,1784886.26,1979177.85,9124427.00,6681649.59,10731346.23,3448897.98,4680423.83,1374534.41,2548281.56,980386.32,1558277.14,0,1033186.03,0,0,0,0,0.0
