,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,263729931.00,174276136.00,79671948.00,338791891.00,271905509.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,6824404.00,136546150.00,5545468.00,3653609.00,4627411.00,69399755.00,2971645.00,1108695.00,4577299.00,58862764.00,2012347.00,-925372.00,3221752.00,3893714.00,7953154.00,4759309.00,3327706.00,25270581.00,5040597.00,2383377.00,2738017.00,64366228.00,167420.00,2226555.00,-752480.00,306225525.00,2386569.00,3341609.00,4067489.00,41882015.00,6149654.00,4947285.00,4000194.00,86485738.00,3597327.00,1096604.00,2240739.00,16961266.00,1649921.00,121367.00,-493547.00,221242151.00,-8388583.00,-7672943.00,-3975693.00,43302258.00,38644427.00,6779696.00,4192030.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952176.88,0,170905502.77,0,32000000.00,9509889.80,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,228500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0,0,427636.00,427638.00,0,0,-279187752.00,-14264359.00,-14264359.00,11958319.00,288044816.00,141088467.00,42454450.00,16725566.00,328439649.00,324518883.00,320762071.00,6383626.00,927376139.00,432000.00,432000.00,0,71666374.00,62612488.00,62612488.00,62252487.00,6317874.00,5695272.00,6496792.00,0,54101502.00,11323044.00,9055044.00,9055044.00,19080703.00,19054303.00,6939570.00,6939570.00,43557475.00,43557475.00,44434813.00,44434814.00,27934153.00,-1117609.00,0,48390.00,-608205.00,590809.00,407253.00,127662.00,1879467.00,1258655.00,1722993.00,64433.00,1279621.00,448947.00,365425.00,64433.00,1648196.00,210668.00,146235.00,81801.00,-2605931.00,60029.00,64681.00,32340.00,288655.00,-181395.00,-3341040.00,0,-5399317.79,210000.00,-1345805.96,-5901.51,2654982.33,0,9943915.70,0,1065481.16,0,1503142.31,0,355882.71,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,5071685.00,0,-14264359.00,0,-7960731.00,0,-14452010.00,0,10181795.00,0,9407007.00,0,305002.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,675054882.00,465824719.00,164768962.00,532279699.00,568190343.00,418735977.00,186237806.00,980696575.00,799550212.00,465370065.00,183099758.00,864934254.00,759367082.00,493767750.00,217401231.00,616930420.00,340129381.00,150992628.00,72117791.00,896264641.00,791902989.00,622510836.00,145096804.00,1870607636.00,838995578.00,485662350.00,150956891.00,346468365.00,479355432.00,270973574.00,112543527.00,1501575318.00,1426874501.00,1066991954.00,516018257.00,1833110220.00,1316924242.00,801975031.00,378815098.00,1072791061.00,664550807.00,298102608.00,70494741.00,465506129.00,642390541.00,492616293.00,246521833.00,642983465.00,443764847.00,231027407.00,80520828.00,446875841.00,340120381.00,202131372.00,64293315.00,415391285.00,314039850.00,191797297.00,70346061.00,397043692.00,322872726.00,214738379.00,97314300.00,239786783.00,177211152.00,101660311.00,42919189.00,180239041.00,148130757.00,94828621.00,32691677.00,159229633.00,80330162.00,187980234.00,76967282.24,-179179483.72,7455886.43,8763278.97,23036162.34,125793057.96,72771694.76,162795596.02,94605245.97,149387922.17,104157668.22,186074423.86,104416299.11,190738238.93,81516001.11,35662212.59,0.0
16,加:营业外收入,6456825.00,3666315.00,687874.00,13858651.00,8221388.00,2595795.00,2200396.00,20763042.00,64061341.00,16029596.00,25446074.00,99629941.00,82093154.00,50038364.00,15411111.00,117587381.00,99606192.00,76155971.00,18971646.00,113828011.00,81428182.00,57283254.00,25025825.00,216687514.00,96501015.00,48291577.00,30642625.00,115574538.00,96036837.00,79821073.00,59101237.00,140846662.00,65872412.00,41905050.00,27185388.00,59478017.00,36434325.00,30048303.00,16503390.00,31914360.00,33074548.00,15166527.00,3717478.00,45438958.00,26751343.00,10359617.00,3914490.00,13879551.00,4173086.00,1473768.00,804059.00,4690223.00,3138418.00,603800.00,341325.00,733365.00,512774.00,365729.00,176283.00,4892920.00,3349285.00,2367411.00,139497.00,4424104.00,4275172.00,4198644.00,279201.00,19341958.00,8570128.00,6066464.00,2695817.00,13868141.00,5806983.00,25269415.00,13061365.18,43737563.28,16659819.59,47379657.07,26228897.58,34919073.87,0,54683809.30,0,53669533.20,0,39399836.64,0,1093826.59,257294.38,244114.46,0.0
17,减：营业外支出,7455430.00,6293227.00,1424258.00,1541471.00,1492623.00,878551.00,861285.00,5152591.00,1877014.00,732592.00,154309.00,8455576.00,778905.00,661628.00,416555.00,864507.00,264924.00,25532.00,13059.00,26510163.00,5759686.00,1599736.00,1450126.00,152116263.00,8731152.00,8395202.00,7107553.00,3470007.00,1543465.00,857836.00,312160.00,4441751.00,2126759.00,682284.00,298029.00,27241536.00,4826373.00,2744649.00,1423047.00,115640640.00,2205067.00,1302170.00,414254.00,8909629.00,7397714.00,7010945.00,3328190.00,22395934.00,12104271.00,12089710.00,2149587.00,7085232.00,814437.00,475121.00,205969.00,10439882.00,1822740.00,552655.00,355121.00,2491340.00,638118.00,469138.00,4119.00,9339765.00,826858.00,673474.00,125011.00,9379435.00,8125171.00,5539350.00,1532620.00,17356999.00,4274928.00,14552776.00,5703890.05,26483029.41,6721707.63,14508762.08,15202616.68,18842349.76,0,22556170.69,0,26857795.29,0,15296258.75,0,932864.36,392221.13,779405.35,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,138897.00,129490.00,54228.00,3310660.00,72962.00,19984.00,9223.00,434101.00,45649.00,18755.00,7282.00,21917537.00,1831564.00,1446174.00,1421153.00,140789846.00,499831.00,288211.00,104217.00,2088853.00,1007710.00,480793.00,209177.00,-3507078.00,1570423.00,360947.00,228893.00,24459129.00,2275196.00,553809.00,517781.00,110503681.00,695899.00,117061.00,29158.00,4569211.00,3544419.00,-3334216.00,3328190.00,19546234.00,11206268.00,0,2048566.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
