,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,五、净利润,80568709.90,67645092.03,49266822.83,75855045.12,63837822.83,59494977.47,48707737.06,119536741.52,96533725.53,75475842.35,47374133.62,113153443.42,94697039.70,58931021.95,30562483.70,83467558.59,76449993.42,47492578.86,27677616.10,66728158.43,59520366.45,50406312.01,43389728.56,0.0
22,归属于母公司所有者的净利润,81111966.63,67930311.04,49401020.09,75855045.12,63837822.83,59494977.47,48707737.06,119536741.52,96533725.53,75475842.35,47374133.62,113153443.42,94697039.70,58931021.95,30562483.70,83467558.59,76449993.42,47492578.86,27677616.10,66728158.43,59520366.45,50624805.77,43351222.75,0.0
23,少数股东损益,-543256.73,-285219.01,-134197.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-218493.76,38505.81,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.430000,0.340000,0.250000,0.380000,0.320000,0.300000,0.240000,0.600000,0.480000,0.380000,0.470000,1.210000,1.030000,0.670000,0.310000,1.110000,1.020000,0.630000,0.370000,0.890000,0.790000,0.670000,0.580000,0.0
26,稀释每股收益(元/股),0.430000,0.340000,0.250000,0.380000,0.320000,0.300000,0.240000,0.600000,0.480000,0.380000,0.470000,1.210000,1.030000,0.670000,0.310000,1.110000,1.020000,0.630000,0.370000,0.890000,0.790000,0.670000,0.580000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,80568709.90,67645092.03,49401020.09,75855045.12,63837822.83,59494977.47,48707737.06,119536741.52,96533725.53,75475842.35,47374133.62,113153443.42,94697039.70,58931021.95,30562483.70,83467558.59,76449993.42,47492578.86,27677616.10,66728158.43,59520366.45,50406312.01,43389728.56,0.0
29,归属于母公司所有者的综合收益总额,81111966.63,67930311.04,49401020.09,75855045.12,63837822.83,59494977.47,48707737.06,119536741.52,96533725.53,75475842.35,47374133.62,113153443.42,94697039.70,58931021.95,30562483.70,83467558.59,76449993.42,47492578.86,27677616.10,66728158.43,59520366.45,50624805.77,43351222.75,0.0
30,归属于少数股东的综合收益总额,-543256.73,-285219.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-218493.76,38505.81,0.0
