,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,164037110.71,155194834.49,124175495.17,1566152354.77,1332185552.09,1107540827.17,479691733.60,87739385.15,53229921.87,31790092.76,14937014.89,91445740.46,71550112.49,41301184.99,19042293.13,114506773.51,82092004.93,67711615.61,22458960.69,90577099.89,60622562.29,33662095.25,3825542.76,82039110.53,61190608.17,17964899.54,6691415.39,11908402.91,6094590.94,1319207.61,0.00,0.00,0.00,0.00,0.00,4808275.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3177043.02,346854.34,346854.34,346854.34,39289461.83,35410698.09,27877129.72,15566109.93,183768572.56,127440025.03,72429011.03,28754239.50,119225390.94,84881268.95,58019973.28,30650401.16,161275327.47,117057932.85,86623202.45,38317878.20,214911081.46,159385230.28,104802119.63,45677071.61,179082373.17,130201589.78,91275168.42,45797837.53,86377452.66,52599700.00,27869138.18,32007079.68,16161969.75,72809527.72,35936358.53,158631889.60,87248105.03,271272387.35,162333591.83,426165372.27,866821455.67,812680598.58,0.0
2,营业收入,164037110.71,155194834.49,124175495.17,1566152354.77,1332185552.09,1107540827.17,479691733.60,87739385.15,53229921.87,31790092.76,14937014.89,91445740.46,71550112.49,41301184.99,19042293.13,114506773.51,82092004.93,67711615.61,22458960.69,90577099.89,60622562.29,33662095.25,3825542.76,82039110.53,61190608.17,17964899.54,6691415.39,11908402.91,6094590.94,1319207.61,0.00,0.00,0.00,0.00,0.00,4808275.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3177043.02,346854.34,346854.34,346854.34,39289461.83,35410698.09,27877129.72,15566109.93,183336876.50,127166724.40,72136040.31,28420913.47,118950054.00,85261367.44,58558328.90,31014182.91,161301121.17,117096766.41,86573752.56,38173983.31,214880387.93,159260379.34,104778914.93,45643685.06,179310587.39,130279100.71,91274899.82,45862688.08,86057796.89,52605500.00,27491348.01,27714790.24,13969012.51,56004864.86,34594086.21,157854453.16,87031684.82,270659389.93,162079837.88,424916892.59,866357960.93,812223150.52,0.0
3,二、营业总成本,182943465.27,164949824.00,125247516.61,1631969739.51,1317628297.41,1088423567.42,471307633.82,84295606.63,49849142.30,30594782.99,13947293.56,78187390.40,58560500.64,33366806.60,14598698.10,89199307.25,60431461.12,48376888.87,19100016.86,76680794.73,52432269.17,28245896.15,5658896.64,69941975.98,51617016.37,18758178.80,8425188.22,18260829.84,10084203.84,4230496.91,1491638.44,4252139.31,3305672.47,3091362.36,1737530.03,10595657.51,4250928.24,2836092.69,1205601.28,9911559.34,5447602.49,3897648.07,707514.87,8978186.79,7170712.12,4977691.00,2122108.04,56220098.27,45284814.29,35115108.47,18463032.38,205521697.35,144575401.16,88883672.27,39295805.90,157176746.18,115508716.38,79858078.41,34041926.06,159754739.98,124352706.22,91225793.62,37999913.27,189219296.68,136686995.48,98926369.59,41816710.05,154448278.40,112594886.09,81639978.07,41545360.17,80432618.19,48285800.00,26023340.92,76869732.48,55640233.66,268319253.63,81659808.24,486260196.72,181659391.19,473720738.78,0,366535943.85,752661902.66,721271090.13,0.0
4,营业成本,152232001.20,144266290.91,115436237.14,1505057759.06,1286051607.50,1069811275.56,467499693.16,70600271.22,39719533.76,22974649.67,10315383.69,60700924.40,48839079.24,26630705.82,11267106.11,72253225.18,50444869.58,40969774.67,16047877.57,65085198.11,44132913.46,23192848.75,3004551.51,58657126.99,43665211.41,14482386.05,6577425.77,11790829.75,6034248.55,1306146.16,0.00,0.00,0.00,0.00,0.00,4683976.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421785.68,405819.58,405819.58,405819.58,43920563.99,37216679.44,29650485.72,16198875.48,168027452.41,118573235.15,69538210.40,30213431.40,116639007.94,84245665.74,56719481.17,29819279.81,131582433.51,92057707.10,65742834.96,28399774.77,135532868.73,100521909.95,65768083.83,28971962.23,120307768.62,88312156.12,61184087.71,31589150.87,66101496.92,39293500.00,20798792.42,37537288.67,21634919.17,86218377.46,48538253.52,216792909.66,126004901.85,364760528.68,0,275773698.73,589524744.66,524931630.70,0.0
5,营业税金及附加,151103.03,148765.92,145705.59,3322306.21,2757766.74,2640206.79,360709.54,267022.44,215479.46,178567.32,46359.65,1108783.50,430391.11,357580.82,511314.05,3044394.40,2233609.32,1847787.48,636413.41,2248922.58,1903101.75,1089010.50,111851.09,2064378.85,1766483.12,313131.41,9016.82,17937.14,1288.69,324.15,57.70,0,0,0,0,2952.39,0,0,0,0,0,0,0,5896.53,5896.53,5896.53,5896.53,159873.70,97308.92,2680.74,0,307174.82,234800.05,132263.90,82786.91,215430.08,189968.87,189968.87,88598.71,755009.43,557933.70,432901.25,308984.75,1631231.94,1333287.30,961951.86,449063.48,1505539.81,1070626.36,717988.75,343238.86,841346.47,516300.00,270669.95,389697.16,85270.80,162172.18,5907.08,45785.52,41216.18,1974497.93,0,2192656.80,12796584.31,11278446.38,0.0
6,销售费用,6656152.77,4774227.19,2309669.10,14010603.78,10572469.44,5464846.10,637864.97,39827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298194.40,292534.09,234974.76,96449.49,1342136.39,1141245.05,835519.36,551779.92,2337815.45,1777849.60,903547.90,545611.23,3509198.46,2806022.51,1661514.44,1000833.22,7855524.94,5377016.27,11265760.32,4656219.01,1527538.91,260979.87,128892.50,83940.36,408676.96,323700.00,199805.81,2056829.45,2009972.24,6734354.06,3546704.70,10961026.59,6649918.79,16188470.36,0,16888663.93,15547254.51,21789275.91,0.0
7,管理费用,19221330.58,12453221.02,5703478.08,21090631.50,11728227.83,10938365.67,3497034.22,13280761.02,9710603.82,6893489.11,3489678.42,12500061.28,8968174.62,6230925.94,2855044.45,12379197.50,7801569.42,5594733.82,2437398.35,10241112.78,6205465.10,4301967.38,2551697.97,8076340.43,5520584.29,3821186.77,1844473.92,5972467.37,3921104.69,2794437.42,1545100.24,4297492.20,3285059.75,2831657.73,1635503.80,5573354.39,4065423.78,2533684.82,1205208.33,11107942.49,6711704.37,5160690.62,1990615.68,8186830.92,7079005.18,4502837.71,1707228.05,10650714.96,8490248.70,4576030.03,2735992.07,31335991.63,20364303.98,15470672.07,7002918.92,32084060.08,24672579.16,19414138.30,2239489.38,17983229.46,24522831.46,19997944.67,6700115.87,38112438.63,24874905.68,18107474.55,6444086.93,25738724.00,17252997.53,16654143.81,8061736.32,5806458.67,2710400.00,692629.42,31649421.83,20676475.63,89483393.67,21950355.66,107009521.38,23635068.02,29331407.46,0,34890487.68,53789638.08,89530464.78,0.0
8,财务费用,-285002.68,540.75,5588.80,1895538.39,-154486.27,-138391.60,-86684.43,-28666.24,-25724.38,-21252.95,-13199.03,-39252.56,-24458.04,-12110.08,-4375.61,-37462.74,-29501.20,-23157.10,-17522.47,12787.91,-39441.26,-24254.55,-9203.93,-40552.19,-29215.24,-14890.72,-5728.29,-55507.35,-54182.23,-52154.96,-53519.50,-157555.51,-56331.01,182760.90,102026.23,279737.03,173697.57,69602.71,392.95,109243.23,20398.12,21457.45,1399.19,1651823.93,63213.20,63137.18,3163.88,636555.88,83328.80,-148367.66,-567901.56,4508942.10,4261816.93,2907006.54,1444888.75,5900432.63,4622653.01,2630942.17,1348946.93,5924869.12,4408211.45,3390598.30,1590204.66,6087232.44,4579876.28,2823099.03,1295378.40,5368707.06,4486728.21,2954865.30,1467293.76,7274639.17,5441900.00,4061443.32,16141037.62,18315186.39,109563367.59,20111247.33,110777768.71,25328286.35,61465834.35,0,36790436.71,81003681.10,73741272.36,0.0
