,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2051581092.00,1315089587.93,513243816.62,2711568243.99,1990865529.66,1265054675.35,422323701.61,2624372910.75,1855257710.28,1175008150.49,351172260.26,2173905062.60,1574793395.43,974316530.41,307005099.16,1873718981.01,1457085389.20,919872133.92,267582729.66,1848628884.41,1397946684.43,853093252.50,297519925.28,1772064457.14,1344333581.91,850720671.33,258584053.46,1855734854.29,1371944105.45,862812288.40,276164158.65,1933707646.28,1477394380.39,921059293.49,287868864.31,1829323207.00,1323235841.74,783516028.06,225641928.57,1395131534.70,970708923.60,558964628.86,177200198.20,1477643316.45,1102565121.15,623490319.48,210023711.44,1185704769.85,832190832.43,472960675.66,152130133.34,827243085.34,584327180.82,330474238.31,115960183.75,547038018.31,401049946.90,237087773.81,88756902.95,362126928.66,259801499.92,146047182.10,59769023.65,265801998.83,192936403.10,109655785.78,217972082.76,160601825.57,0.0
2,营业收入,2051581092.00,1315089587.93,513243816.62,2711568243.99,1990865529.66,1265054675.35,422323701.61,2624372910.75,1855257710.28,1175008150.49,351172260.26,2173905062.60,1574793395.43,974316530.41,307005099.16,1873718981.01,1457085389.20,919872133.92,267582729.66,1848628884.41,1397946684.43,853093252.50,297519925.28,1772064457.14,1344333581.91,850720671.33,258584053.46,1855734854.29,1371944105.45,862812288.40,276164158.65,1933707646.28,1477394380.39,921059293.49,287868864.31,1829323207.00,1323235841.74,783516028.06,225641928.57,1395131534.70,970708923.60,558964628.86,177200198.20,1477643316.45,1102565121.15,623490319.48,210023711.44,1185704769.85,832190832.43,472960675.66,152130133.34,806694542.69,570615987.90,322899659.37,114027848.19,538589778.22,395430233.24,234037111.35,87906501.35,356848162.75,255353479.57,143758160.65,58875819.47,262422605.95,190834466.53,108302291.52,216579032.33,160162670.85,0.0
3,二、营业总成本,1727178083.97,1115430227.42,489581552.38,2317771414.96,1631584484.25,1050701627.49,404806068.18,2137608415.33,1484022675.40,956016722.67,335891043.19,1758454480.47,1248653932.34,793992120.11,290700542.67,1558350440.10,1197476538.56,769873438.40,256966687.84,1543362717.51,1145510635.58,714231735.51,283766447.61,1483153318.93,1114645862.90,724255474.60,263402104.06,1633500342.72,1171388154.82,751089056.63,280941241.87,1672908928.19,1231769540.79,782504401.27,275227840.51,1498442520.75,1080104503.09,658263154.31,212644786.02,1171560390.81,807614212.47,487972737.98,164323629.44,1264294386.07,953257391.03,563379616.35,196073424.53,1004763111.61,700757914.92,415378419.12,141281957.93,715458764.00,503549510.05,290389662.13,107268034.91,488738527.86,354967468.83,214251040.13,82015418.49,321734578.73,229968593.28,132113159.34,56449599.11,234048342.59,171609834.06,99593083.84,190027567.52,136881494.64,0.0
4,营业成本,1243437311.42,790129602.28,329517141.97,1611483670.18,1172355213.91,746673286.26,263114198.59,1505288108.16,1065348046.90,679979182.61,217639428.26,1243542816.50,894937294.83,564200320.02,192867268.97,1114960116.46,874950329.05,554809242.37,174895337.18,1115382534.78,840231018.15,518457550.15,201543403.11,1082039982.20,828019977.49,528195938.70,180796132.96,1189849355.48,870370377.63,558936754.94,197461140.12,1269471905.91,961108926.76,598327816.40,196087966.13,1152250457.48,842844241.59,501505253.16,154078181.30,886648515.22,621411860.94,368707917.07,116317593.02,981060402.42,756170848.85,439504359.12,146972986.46,782478408.85,554549721.31,321041052.28,106602926.73,561703916.37,395806001.21,223549437.74,80795323.94,381727464.64,283829762.06,169659689.35,62273149.27,253595030.63,181782835.48,102119888.32,43601680.39,183158092.69,135721069.47,77865537.38,151249854.81,109017489.20,0.0
5,营业税金及附加,22209540.54,16950412.28,7199798.57,34353471.87,25012898.79,17584962.72,7499581.96,33647325.86,26927934.88,16472661.96,7288482.63,29615747.28,16332100.42,11332193.16,3070252.78,16226569.32,16314532.40,10695072.73,2920018.86,23897174.15,18922026.80,9114161.80,2877320.35,18858884.05,12658652.30,8487535.05,2186451.18,18411039.62,14311526.04,8635815.24,2425992.82,16436639.09,12418928.98,7813534.95,2856152.44,13485330.31,10456859.92,6509818.41,1823941.25,12879336.37,7355591.17,4351529.19,1743712.26,10654682.70,7924615.98,4592537.81,1528246.68,7522711.94,4816016.06,2609368.96,859022.64,5112230.94,3582508.63,1984699.43,815114.72,3354065.40,2397783.77,1258156.27,520646.70,2251546.85,1739502.42,947553.56,365631.14,1771294.07,1275207.08,696689.16,1529594.79,1210261.05,0.0
6,销售费用,192351561.40,123455939.54,57612899.32,269833650.98,176837232.96,105473955.77,48091473.20,237370500.53,148793145.97,92951423.66,40282678.77,203468146.69,129428247.63,82470544.07,36410671.69,183017580.01,121211416.86,77239589.73,32226833.47,173239352.44,116222813.92,72845144.48,31208598.87,162557327.57,108837352.69,69899692.23,30153976.30,163189137.99,114740854.91,66850755.80,29387319.56,164088252.27,110554004.00,72082266.49,30812723.89,145677581.22,97016580.10,61961614.83,23770427.53,115780760.24,70720541.97,43520081.21,18742165.73,109818087.38,70361829.06,41272776.73,17055480.83,76831024.89,50056907.78,29316741.10,11265985.78,43862226.57,29513138.60,18092472.29,7880912.83,33924191.42,23379508.61,14907894.22,6913359.72,23181016.39,16324256.89,10027426.00,4698313.44,15835408.88,11592501.19,6752217.47,12891382.49,7181758.15,0.0
7,管理费用,177057250.82,122971418.68,60073606.43,250523860.10,168913324.76,166949750.26,76235402.31,340270712.04,223752819.77,150105045.57,67845099.94,276338621.62,199140720.72,127151326.09,58784205.94,245210828.20,180315747.76,117247776.71,50012204.63,224793178.06,161497051.57,104343164.40,47848048.75,207785748.06,147587674.04,99253037.39,45663175.58,228555110.46,156567960.76,100938307.64,46700892.46,204732619.09,138211969.34,92801351.96,42997408.29,174249720.00,115004175.99,74959743.62,31258711.74,140586623.05,97411297.30,64132393.84,25977556.00,133605577.49,96335463.85,62194892.76,25029764.97,121389711.95,79537316.29,50458488.11,19733430.10,95471259.04,67726057.79,43132291.81,16190154.41,63843501.39,41260754.38,26426882.91,11704701.39,39601164.39,27671328.61,17024756.35,6854377.50,30703972.64,20854417.10,12934185.36,21950030.71,17671199.32,0.0
8,财务费用,6584635.13,5809798.06,5998328.45,7129618.20,2518846.30,4050786.70,7953593.65,14581201.68,12418234.79,5661667.83,2487289.38,-8197938.34,-1184558.55,-1419682.89,-886747.15,-5774488.18,-4299541.75,-1277145.83,-2082123.91,2024379.11,3367904.65,925986.24,-1614647.99,14096619.63,12929151.75,10097457.78,5363078.52,19351397.44,11708690.41,7784807.60,4585395.31,13168706.41,6187310.30,3635599.98,1827764.71,9194603.53,7495100.64,3981925.44,1778790.32,10991607.72,8278746.53,5203508.40,2610080.47,18931999.86,15334015.97,9761727.94,4581664.92,14116521.33,9037990.45,5306515.23,1913714.41,9309131.08,6921803.82,3630760.86,1586529.01,5889305.01,4099660.01,1998417.38,603561.41,3105820.47,2450669.88,1993535.11,929596.64,2579574.31,2166639.22,1344454.47,2406704.72,1800786.92,0.0
