,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19901231,19891231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,投资净收益,3802000000.00,9710000000.00,7717000000.00,4938000000.00,2571000000.00,9186000000.00,7099000000.00,1187000000.00,416000000.00,632000000.00,644000000.00,739000000.00,611000000.00,2368000000.00,2466000000.00,1608000000.00,824000000.00,3924000000.00,3081000000.00,2104000000.00,464000000.00,3168000000.00,3305000000.00,2173000000.00,2185000000.00,347000000.00,898000000.00,510000000.00,240000000.00,623193000.00,597346000.00,451878000.00,214556000.00,284753000.00,277211000.00,352460000.00,124516000.00,228525000.00,313574000.00,172377000.00,58549000.00,580286000.00,556669000.00,507544000.00,185933000.00,421556000.00,76848000.00,11493000.00,2312000.00,200984000.00,203493000.00,65849000.00,53628000.00,99623000.00,51541000.00,30287000.00,6877099.00,111475992.00,41299891.00,32110533.00,222311904.00,23643664.00,556963068.00,387037379.00,183932708.00,637216977.00,503088674.00,332630328.00,148559357.00,668743251.00,480159309.00,358290892.00,118418534.00,442490935.00,222376300.00,199054466.00,32742682.00,356704292.00,154762416.00,246197948.00,108852636.00,179326928.92,70725405.38,339348378.80,171747432.61,117212820.19,38677536.18,19297142.58,18792673.16,63115202.60,5791271.61,25120959.95,0,4845018.85,0,3720000.00,0,0,0.0
10,其中:对联营公司的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,-141000000.00,0,25000000.00,0,46000000.00,0,35000000.00,0,28000000.00,0,9000000.00,0,102000000.00,0,17000000.00,0,43000000.00,0,15000000.00,0,45000000.00,0,29000000.00,0,60824000.00,0,40824000.00,0,18336000.00,0,18336000.00,0,22675000.00,0,4754000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动净收益,-949000000.00,49000000.00,-183000000.00,144000000.00,-642000000.00,892000000.00,1047000000.00,545000000.00,373000000.00,-61000000.00,34000000.00,17000000.00,-25000000.00,49000000.00,110000000.00,160000000.00,-14000000.00,107000000.00,97000000.00,85000000.00,-58000000.00,-10000000.00,27000000.00,68000000.00,-848000000.00,711000000.00,17000000.00,-76000000.00,21000000.00,-29215000.00,-33645000.00,-11358000.00,-9241000.00,6005000.00,-15650000.00,-7865000.00,8297000.00,-19071000.00,-22589000.00,-7646000.00,16824000.00,-1332000.00,-44645000.00,-41009000.00,-27290000.00,65800000.00,34265000.00,-2766000.00,8325000.00,57641000.00,39219000.00,5841000.00,3514000.00,113612000.00,91601000.00,35309000.00,-13400113.00,1117092.00,1152902.00,643578.00,0,-9878638.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,其他业务收入,25000000.00,110000000.00,66000000.00,39000000.00,17000000.00,170000000.00,144000000.00,109000000.00,76000000.00,186000000.00,130000000.00,95000000.00,62000000.00,146000000.00,87000000.00,74000000.00,71000000.00,161000000.00,116000000.00,61000000.00,32000000.00,213000000.00,157000000.00,87000000.00,43000000.00,150000000.00,93000000.00,65000000.00,14000000.00,154771000.00,79146000.00,65506000.00,31400000.00,132883000.00,93950000.00,61142000.00,31589000.00,134064000.00,94147000.00,73503000.00,28791000.00,128705000.00,92599000.00,60484000.00,28778000.00,113944000.00,97007000.00,114624000.00,70467000.00,164969000.00,105189000.00,68340000.00,25234000.00,113052000.00,92517000.00,49242000.00,17204798.00,72929461.00,48513819.00,42664908.00,9285671.00,75754849.00,37578772.00,25904532.00,9763167.00,40325666.00,21751597.00,11581154.00,4447658.00,28128799.00,13976175.00,8849038.00,3818417.00,26742683.00,14216727.00,9931247.00,2945589.00,15036156.00,6629948.00,40511130.00,19678698.00,9507910.83,3163783.01,27972400.73,5956159.94,30463027.31,32452290.93,51571146.18,42906600.21,44740716.56,13944278.65,42247299.23,0,0,0,0,0,0,0.0
13,二、营业支出,11000000000.00,42142000000.00,72245000000.00,20588000000.00,22809000000.00,36540000000.00,60050000000.00,39839000000.00,19442000000.00,75563000000.00,54833000000.00,37605000000.00,19484000000.00,77936000000.00,57423000000.00,38613000000.00,19518000000.00,67268000000.00,47847000000.00,31308000000.00,13224000000.00,47161000000.00,33880000000.00,21388000000.00,9388000000.00,32234000000.00,22038000000.00,13532000000.00,6085000000.00,22206987000.00,16171593000.00,10788634000.00,5258866000.00,16510360000.00,10882540000.00,6090059000.00,2755081000.00,10171825000.00,7239578000.00,4691283000.00,2089101000.00,8955313000.00,6587504000.00,4569321000.00,2246970000.00,13709693000.00,6377202000.00,4274257000.00,2176920000.00,7085560000.00,4990767000.00,3208940000.00,1534111000.00,3790617000.00,2693473000.00,1724112000.00,789166181.00,3013733260.00,1794303950.00,1346897602.00,1029844602.00,2869869150.00,3318806303.00,2213220178.00,993168709.00,3381816585.00,2113050011.00,1389591568.00,650028133.00,3097534017.00,2035086853.00,1279907272.00,489611047.00,2731735428.00,1174284389.00,768024073.00,283650227.00,1302838256.00,481423369.00,1070282071.00,420400314.00,953809466.64,416384798.69,1211215665.46,347968767.17,629448833.32,265423716.20,443595439.83,178601293.58,316362101.92,99154582.93,114555540.90,0,0,0,0,0,0,0.0
14,营业税金及附加,402000000.00,1290000000.00,952000000.00,607000000.00,304000000.00,1149000000.00,847000000.00,561000000.00,261000000.00,1022000000.00,745000000.00,503000000.00,246000000.00,3445000000.00,3100000000.00,2839000000.00,1888000000.00,6671000000.00,5046000000.00,3380000000.00,1572000000.00,5482000000.00,4123000000.00,2681000000.00,1259000000.00,4065000000.00,2936000000.00,1824000000.00,855000000.00,3411986000.00,2569731000.00,1735666000.00,859988000.00,2506344000.00,1684612000.00,953092000.00,446055000.00,1324595000.00,946018000.00,606891000.00,284743000.00,1069134000.00,768108000.00,522352000.00,259374000.00,1151665000.00,859239000.00,568166000.00,282631000.00,824307000.00,577561000.00,353215000.00,167115000.00,553472000.00,397336000.00,245953000.00,118966681.00,416921653.00,306037352.00,199418954.00,97755966.00,412572720.00,309414547.00,207646991.00,96582618.00,252385041.00,194059456.00,135003976.00,66862900.00,292477529.00,219610678.00,132603616.00,63739958.00,261842883.00,159899344.00,98563353.00,49850195.00,182792388.00,71936398.00,162570195.00,84020251.00,191582783.15,85807169.34,185677894.62,84795766.74,108844491.08,47331912.77,79213049.83,33940086.81,50962874.13,21637166.77,25863349.08,0,0,0,0,0,0,0.0
15,业务及管理费用,10598000000.00,40852000000.00,30297000000.00,19981000000.00,9620000000.00,35391000000.00,25581000000.00,16980000000.00,8510000000.00,31616000000.00,21268000000.00,13386000000.00,6804000000.00,27973000000.00,22708000000.00,15774000000.00,8080000000.00,30112000000.00,22866000000.00,15005000000.00,6901000000.00,26668000000.00,20056000000.00,13055000000.00,6062000000.00,21279000000.00,14776000000.00,9106000000.00,4184000000.00,15664394000.00,11387140000.00,7482734000.00,3712921000.00,11855442000.00,7957965000.00,4406289000.00,2067870000.00,7359114000.00,5489763000.00,3590483000.00,1684886000.00,6311091000.00,4443917000.00,2942937000.00,1465687000.00,5223866000.00,3740188000.00,2492292000.00,1311014000.00,4207494000.00,2937531000.00,1858239000.00,887959000.00,3237145000.00,2296137000.00,1478159000.00,670199500.00,2596811607.00,1794303950.00,1147478648.00,491780167.00,2457296430.00,1844023986.00,1167311367.00,504838968.00,2062878325.00,1330748166.00,850774576.00,417718009.00,1841899090.00,1354752470.00,781420198.00,317236832.00,1438967817.00,840499822.00,547754680.00,233800032.00,704507913.00,281184771.00,578273979.00,239035943.00,578379822.96,238638022.98,533808593.59,208876397.62,379014000.24,176735527.73,294038127.19,133966275.10,203077460.98,77517416.16,87073684.00,0,0,0,0,0,0,0.0
16,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,资产减值损失,0,0,0,0,0,0,55000000.00,62000000.00,10671000000.00,42925000000.00,32820000000.00,23716000000.00,12434000000.00,46518000000.00,31615000000.00,20000000000.00,9550000000.00,30485000000.00,19935000000.00,12923000000.00,4751000000.00,15011000000.00,9701000000.00,5652000000.00,2067000000.00,6890000000.00,4326000000.00,2602000000.00,1046000000.00,3130607000.00,2214722000.00,1570234000.00,685957000.00,2148574000.00,1239963000.00,730678000.00,241156000.00,1488116000.00,803797000.00,493909000.00,119472000.00,1575088000.00,1375479000.00,1104032000.00,521909000.00,7334162000.00,1777775000.00,1213799000.00,583275000.00,2053759000.00,1475675000.00,997486000.00,479037000.00,1986217000.00,1410073000.00,950947000.00,476770644.00,1802782794.00,1404770049.00,964029778.00,440308469.00,1889852477.00,1165367770.00,838261820.00,391747123.00,1066553219.00,588242389.00,403813016.00,165447224.00,963157398.00,460723705.00,365883458.00,108634257.00,334905264.00,173885223.00,121706040.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,其他业务支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696019464.00,0,0,0,415537955.00,128302200.00,329437897.00,97344120.00,183846860.53,91939606.37,491729177.25,54296602.81,141590342.00,41356275.70,70344262.81,10694931.67,62321766.81,0,1618507.82,0,0,0,0,0,0,0.0
