,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,221468971.38,159711238.26,90673040.94,2258997114.16,2219857681.73,1672851441.08,373578233.71,1570380998.72,529810419.24,169541869.55,83005177.69,412396481.77,220655441.25,81499737.04,28429849.54,250607324.54,207894497.39,134608709.86,60624897.47,289326877.50,207490980.16,140547220.08,62884983.53,300880459.80,217463736.23,117968918.84,50048749.00,303460448.79,237647754.23,158193415.40,74198647.47,379040912.33,301162515.84,246486825.02,132066469.30,454967954.55,337371901.86,204257424.29,93794106.82,445561299.74,310687229.41,193404484.57,101582052.73,711615011.81,560459584.25,346370086.15,168051225.49,670475962.15,536938689.70,347845769.26,159857807.41,672179737.64,482647083.68,266184014.98,96650766.32,701530241.79,657407245.01,472340081.15,292771313.33,928802702.92,702202595.55,428977349.72,182887922.49,698654064.99,567721595.29,379232460.36,462938494.44,525736108.01,608974444.56,0.0
2,营业收入,221468971.38,159711238.26,90673040.94,2258997114.16,2219857681.73,1672851441.08,373578233.71,1570380998.72,529810419.24,169541869.55,83005177.69,412396481.77,220655441.25,81499737.04,28429849.54,250607324.54,207894497.39,134608709.86,60624897.47,289326877.50,207490980.16,140547220.08,62884983.53,300880459.80,217463736.23,117968918.84,50048749.00,303460448.79,237647754.23,158193415.40,74198647.47,379040912.33,301162515.84,246486825.02,132066469.30,454967954.55,337371901.86,204257424.29,93794106.82,445561299.74,310687229.41,193404484.57,101582052.73,711615011.81,560459584.25,346370086.15,168051225.49,670475962.15,536938689.70,347845769.26,159857807.41,681255475.20,486218468.53,271094799.80,100503243.33,706103418.34,657934733.55,472534933.47,293080215.39,927098260.28,701201558.49,428458277.42,182719717.77,696354693.43,566009731.35,377255324.95,460157259.83,525583277.55,606756407.38,0.0
3,二、营业总成本,243955244.10,177126992.34,97683939.21,2497567110.06,2245554212.45,1660474230.57,363152435.83,1555933757.53,521604225.38,165768842.72,81560565.94,399548247.62,212723244.94,80005246.34,30058665.85,291331815.79,245575351.31,157930853.41,65769377.49,305402531.00,221416020.04,154795432.98,72154467.32,401573907.22,273443354.52,148450940.91,62895976.87,438202407.96,270383070.62,180595104.69,91821052.36,970336145.46,376941617.43,268883760.93,140066017.70,503598674.24,374112289.32,229641498.92,110078938.71,725060777.63,484138585.41,323640018.29,178138431.55,932172328.16,620363053.77,408250646.06,198567229.80,896026646.07,693768516.76,452865866.67,209109211.22,913602377.40,580887573.10,356411096.90,155786573.08,856481981.91,687966156.97,471192081.94,287986413.32,905439721.86,671752417.25,416370316.59,178369792.21,684220326.85,544274061.51,361914954.64,442557580.06,494806633.31,562209798.02,0.0
4,营业成本,196923296.05,143511103.30,83916387.78,2208211284.70,2159310809.80,1630111639.07,361605110.85,1462284376.41,484607594.14,149302600.41,75329555.96,375874907.17,198043565.53,69933880.52,25940351.23,228508535.91,193202415.10,126783713.69,55765621.25,254827852.63,186434125.52,129322116.79,60649979.87,332563086.33,229373084.52,114897269.98,50018076.36,294818969.35,219920649.70,147121164.43,75448632.33,368666899.00,281390294.31,201204863.28,100067205.89,431220146.02,316731864.63,198311029.72,107225563.13,630325834.96,420240293.56,273582265.95,150937059.96,728394050.42,555797556.16,352792730.46,170999842.25,767712103.71,595584742.15,391975976.88,167945171.35,711398393.51,503131611.25,310023393.90,135513297.97,656271586.35,580513088.12,400999359.97,250532051.49,766196580.37,569867197.87,356215292.88,150393456.60,580968451.67,473415735.20,315313429.98,396633597.55,445363813.07,509787740.83,0.0
5,营业税金及附加,825560.78,627278.25,440126.73,744289.41,545840.48,443155.76,219358.13,668518.49,204367.45,26960.42,5697.89,477483.31,6971.44,14663.65,57.99,700089.22,330256.17,327439.62,1282.88,854156.89,0,0,0,0,0,0,0,1132669.18,525418.63,305366.57,136552.40,1306371.53,1259180.91,978134.22,434888.60,1505801.12,1128440.37,589727.17,262616.08,1172825.56,599782.97,360851.67,99601.21,1292487.82,1205909.35,944585.64,379758.59,1683816.96,1461899.05,889353.41,607764.80,1770406.14,861736.32,407094.34,48098.91,2777555.09,3053141.01,2049736.20,1637043.79,5232639.42,3995515.27,2299541.03,720729.42,2343905.06,1788620.16,1178106.65,2322388.73,2964000.00,3383746.56,0.0
6,销售费用,11557951.96,8738453.91,3296146.84,9543450.77,8828063.96,6986732.29,7899917.83,15031248.12,7789767.99,1058839.72,577025.56,2591913.70,1807493.90,1033547.04,494919.23,10443822.73,10319666.96,7054894.05,3063414.35,17034550.06,12456036.85,7947027.83,3575780.00,17350453.33,12254239.58,7204288.78,2912139.14,20064042.17,14439478.03,8613052.12,3058078.63,22519746.96,16121628.53,11367515.25,6897617.01,18536537.66,12321144.16,7517916.14,3628813.88,19718339.70,14100037.32,8893087.67,4958829.27,27051202.26,18580488.98,11561263.59,7215710.21,25767612.37,22454331.42,14905191.12,7638171.49,28494868.54,17568885.36,9902760.91,4222829.52,38084337.02,19589290.61,13751164.11,7790085.67,29553591.18,20605898.14,8885892.28,2921318.75,10227447.26,7423055.19,4891316.35,7091062.90,7120681.82,10055997.26,0.0
7,管理费用,32316177.82,22266290.46,9115940.25,50274250.82,44019824.63,39473130.83,20157756.71,53733562.00,29529528.63,11865062.42,4906864.57,23664601.74,15931598.64,9239797.66,3979605.90,45972106.03,35881137.95,20574022.01,7800821.99,31946460.96,25857416.43,18018259.10,8421870.35,48856399.98,31405136.26,20277599.42,9464396.45,92849800.23,37056765.12,26345210.87,12240170.03,90706011.00,67138841.23,48079439.13,26319679.50,68558259.13,45996150.60,34649773.76,14658645.50,53952476.57,33316304.98,24564775.27,14341745.25,45157540.73,32042295.25,29345891.80,11758629.10,54335167.68,22050786.44,5810022.43,10797623.26,95556803.08,4847419.60,-3907336.65,-2919045.43,80091341.91,25878029.72,16373576.53,9554109.27,32390520.73,23584725.09,13431856.39,6348825.36,33409321.47,21425801.91,14881095.95,18851423.64,26512705.71,29492593.77,0.0
8,财务费用,429790.32,82415.94,-309962.19,-4066728.66,19042725.17,-22671038.71,-26729707.69,25374167.30,-624639.94,3296859.76,741421.96,-1794824.52,-1512595.33,-1413024.37,-486010.70,-517026.11,-651611.21,-369773.82,-121957.09,-1357177.93,-1084767.98,-876207.81,-393304.53,-3140263.67,-1471970.47,-453987.18,-130733.19,1033093.43,107408.53,7396.07,9214.87,15655639.32,10954417.55,7176554.15,4346626.70,18306834.26,24510391.09,14348753.66,7203300.12,35816917.49,29444010.51,19200881.66,11301195.86,32900304.27,15959711.43,12829081.97,8271878.69,65658171.57,52216757.70,39285322.83,22120480.32,76381906.13,54477920.57,39985184.40,18921392.11,79257161.54,58932607.51,38018245.13,18473123.10,72066390.16,53699080.88,35537734.01,17985462.08,57271201.39,40220849.05,25651005.71,17659107.24,12845432.71,9489719.60,0.0
9,研发费用,1902467.17,1901450.48,1336993.64,9747648.12,7659029.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
