,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
12,投资收益,23280132.16,20584876.12,3376991.98,66325880.89,47773192.05,29202784.31,12376860.91,42362931.53,29145078.28,20585549.33,2319793.37,10860008.84,3081289.25,2474651.26,458041.11,-1414851.65,2916616.95,3038571.62,17971.62,-15924362.35,0,0,0,1860800.61,0,0,0,-581303.70,0,-1154660.77,0,-3958980.91,-2101193.98,-2101193.98,0,0,6630.23,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,2905223.25,1360662.47,-3187675.05,1262184.23,5616678.40,0,-1874351.04,-2520837.79,-5442881.31,-3687965.60,0,4566102.65,3081289.25,2474651.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1154660.77,0,-3958980.91,-2101193.98,-2101193.98,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,142293.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,633896374.10,388944512.92,201123324.96,912426356.43,670895920.81,431280109.56,223037688.39,1145291896.46,824513746.05,417602194.32,127147222.61,613286547.85,318349900.72,250300532.23,132252222.31,443563764.78,278108390.91,184492183.20,74625005.43,278788487.53,119036050.13,101044107.69,40574932.27,175818625.00,106905145.37,39669666.63,-7851348.85,54346182.03,53802694.31,36948645.68,22432249.86,176827490.16,117695005.68,64322805.93,26734530.34,154641764.43,96227380.43,23945906.69,4133916.87,0.0
16,加:营业外收入,13123414.88,8248354.74,4747063.88,14432081.36,4855332.06,91663.52,1293358.99,20747193.58,27123793.98,13829861.17,14407037.71,57299758.72,46454107.54,34538058.50,20474970.81,56510321.80,27202175.96,13254410.47,6433757.56,47175526.60,26807347.39,10433418.86,6063300.76,33571505.09,26039765.19,22747338.17,13526793.49,31823808.87,17159032.19,15235825.77,1471029.49,24153417.69,12735118.21,9721955.46,439626.86,17756525.23,14614189.74,17184497.99,5125920.14,0.0
17,减：营业外支出,21377057.71,19958938.11,3691138.06,4218425.87,2967532.33,1147739.29,127565.18,4258353.12,2846513.77,1218780.98,468964.69,2450596.66,1138374.38,193486.74,138605.25,7563937.16,197478.07,99939.09,68583.59,305631.54,209327.58,15659.82,1555.00,512951.16,411157.12,125249.70,20931.34,244248.35,116996.35,93289.81,836.00,50250.25,128574.82,28944.01,14812.57,125751.10,91696.10,193175.30,148787.76,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,551359.92,964481.98,12442.54,885096.89,244155.20,58869.74,13073.09,2263928.72,161901.07,64572.09,33291.59,187475.91,94619.95,3862.19,0,121493.97,121493.97,120149.70,17331.34,52126.46,46424.46,28467.92,0,18844.67,20040.49,17654.43,4122.99,14992.64,12900.00,34784.74,2054.05,0.0
19,四、利润总额,625642731.27,377233929.55,202179250.78,922640011.92,672783720.54,430224033.79,224203482.20,1161780736.92,848791026.26,430213274.51,141085295.63,668135709.91,363665633.88,284645103.99,152588587.87,492510149.42,305113088.80,197646654.58,80990179.40,325658382.59,145634069.94,111461866.73,46636678.03,208877178.93,132533753.44,62291755.10,5654513.30,85925742.55,70844730.15,52091181.64,23902443.35,200930657.60,130301549.07,74015817.38,27159344.63,172272538.56,110736974.07,40937229.38,9111049.25,0.0
20,减：所得税费用,52280630.95,37035008.58,26260534.87,105348720.25,59966145.14,48107993.72,21829415.78,147460404.92,103950341.63,65320431.99,14767045.08,122005805.68,69115964.99,59535373.88,29929487.81,66399300.95,44001079.90,31340180.12,12087442.91,42371859.53,21603967.48,15829204.87,5169379.36,27845930.18,19768008.24,8378811.00,422692.08,13124039.78,8940310.84,6987726.82,3569932.13,28382588.29,19361229.42,11485712.70,4223303.87,24239521.39,8298613.54,5722144.58,899954.13,0.0
21,五、净利润,573362100.32,340198920.97,175918715.91,817291291.67,612817575.40,382116040.07,202374066.42,1014320332.00,744840684.63,364892842.52,126318250.55,546129904.23,294549668.89,225109730.11,122659100.06,426110848.47,261112008.90,166306474.46,68902736.49,283286523.06,124030102.46,95632661.86,41467298.67,181031248.75,112765745.20,53912944.10,5231821.22,72801702.77,61904419.31,45103454.82,20332511.22,172548069.31,110940319.65,62530104.68,22936040.76,148033017.17,102438360.53,35215084.80,8211095.12,0.0
22,归属于母公司所有者的净利润,554394279.78,332598755.94,171195690.05,809628201.93,607174042.58,382973352.75,202746899.70,1024196698.41,751052163.62,369137007.04,129122292.49,553613069.28,296935306.28,225092152.86,121143155.92,425402044.47,261157779.58,166306474.46,68902736.49,283286368.62,124029948.02,95632507.42,41467296.32,181031995.32,112765745.20,53912944.10,5231821.22,72801702.77,61904419.31,45103454.82,20332511.22,172548069.31,110940319.65,62530104.68,22936040.76,148033017.17,102438360.53,35215084.80,8211095.12,0.0
23,少数股东损益,18967820.54,7600165.03,4723025.86,7663089.74,5643532.82,-857312.68,-372833.28,-9876366.41,-6211478.99,-4244164.52,-2804041.94,-7483165.05,-2385637.39,17577.25,1515944.14,708804.00,-45770.68,0,0,154.44,154.44,154.44,2.35,-746.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.380000,0.230000,0.120000,0.560000,0.420000,0.260000,0.140000,0.710000,0.530000,0.260000,0.090000,0.410000,0.230000,0.340000,0.180000,0.650000,0.400000,0.250000,0.100000,0.430000,0.190000,0.150000,0.130000,0.560000,0.350000,0.170000,0.020000,0.230000,0.190000,0.140000,0.060000,1.220000,0.830000,0.470000,0.070000,1.220000,0.760000,0.290000,0.070000,0.0
26,稀释每股收益(元/股),0.380000,0.230000,0.120000,0.560000,0.420000,0.260000,0.140000,0.710000,0.530000,0.260000,0.090000,0.410000,0.230000,0.340000,0.180000,0.640000,0.400000,0.250000,0.100000,0.430000,0.190000,0.150000,0.130000,0.560000,0.350000,0.170000,0.020000,0.230000,0.190000,0.140000,0.060000,1.220000,0,0.470000,0.070000,1.220000,0,0.290000,0.070000,0.0
27,七、其他综合收益,27758457.11,-3124915.83,47548.76,-3743820.87,-928058.51,136076.87,2308978.42,1092403.78,804331.44,-115160.88,-2199218.42,-972842.90,-1794765.30,-1584991.18,-1009928.35,1298478.36,528803.97,616772.78,-51904.24,1459441.49,591050.96,-313832.05,201480.83,180215.18,-458468.52,128107.99,0,-218338.42,-141195.77,-108800.34,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,601120557.43,337074005.14,175966264.67,813547470.80,611889516.89,382252116.94,204683044.84,1015412735.78,745645016.07,364777681.64,124119032.13,545157061.33,292754903.59,223524738.93,121649171.71,427409326.83,261640812.87,166923247.24,68850832.25,284745964.55,124621153.42,95318829.81,41668779.50,181211463.93,112307276.68,54041052.09,5231821.22,72583364.35,61763223.54,44994654.48,20332511.22,172548069.31,0,62530104.68,22936040.76,148033017.17,0,35215084.80,8211095.12,0.0
29,归属于母公司所有者的综合收益总额,582152736.89,329473840.11,171243238.81,805884381.06,606245984.07,383109429.62,205055878.12,1025289102.19,751856495.06,369021846.16,126923074.07,552640226.38,295140540.98,223507161.68,120133227.57,426700522.83,261686583.55,166923247.24,68850832.25,284745810.11,124620998.98,95318675.37,41668777.15,181212210.50,112307276.68,54041052.09,5231821.22,72583364.35,61763223.54,44994654.48,20332511.22,172548069.31,0,62530104.68,22936040.76,148033017.17,0,35215084.80,8211095.12,0.0
30,归属于少数股东的综合收益总额,18967820.54,7600165.03,4723025.86,7663089.74,5643532.82,-857312.68,-372833.28,-9876366.41,-6211478.99,-4244164.52,-2804041.94,-7483165.05,-2385637.39,17577.25,1515944.14,708804.00,-45770.68,0,0,154.44,154.44,154.44,2.35,-746.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
