,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2190768799.26,1799832073.30,1302896769.13,3773918388.17,2443017158.47,1317772549.46,439153825.31,3200186897.68,1964768099.00,1066077322.53,420495886.72,1741602023.21,1251300110.50,796467405.28,377113783.63,1469914807.24,1083237504.76,677096277.56,323543891.65,654084309.23,325684661.39,219865639.73,105214075.78,398493766.76,287018446.04,191669839.28,97684607.72,410324918.22,320970646.26,208447269.94,102020291.61,390699391.77,288463001.57,187109856.82,89037005.96,294250120.89,196598184.15,119862192.50,57375484.26,192961837.63,127848686.45,79738442.51,40916035.99,175960944.25,126039387.41,85888319.84,43623754.81,153068727.82,113696389.30,79834995.19,40272894.52,121170039.51,84328999.98,84833831.13,66790250.38,0.0
2,营业收入,2190768799.26,1799832073.30,1302896769.13,3773918388.17,2443017158.47,1317772549.46,439153825.31,3200186897.68,1964768099.00,1066077322.53,420495886.72,1741602023.21,1251300110.50,796467405.28,377113783.63,1469914807.24,1083237504.76,677096277.56,323543891.65,654084309.23,325684661.39,219865639.73,105214075.78,398493766.76,287018446.04,191669839.28,97684607.72,410324918.22,320970646.26,208447269.94,102020291.61,390699391.77,288463001.57,187109856.82,89037005.96,294250120.89,196598184.15,119862192.50,57375484.26,192961837.63,127848686.45,79738442.51,40916035.99,175960944.25,126039387.41,85888319.84,43623754.81,153068727.82,113555141.30,79834995.19,40272894.52,121170039.51,84328999.98,84833831.13,66790250.38,0.0
3,二、营业总成本,1148894324.03,796103145.27,757300825.32,2290830198.05,1336850096.68,696431651.20,227611172.64,2356749976.27,1142916572.53,571525668.56,228438819.94,1258166381.65,923151757.36,568893721.95,284677748.96,1102787844.20,808605724.13,513681513.82,253127437.49,545902596.37,290028212.15,192428804.03,93113751.22,375571978.99,269386945.41,173279140.72,86977004.21,345737223.69,266225420.78,168552491.24,81492109.39,318461094.61,236714771.82,151986934.52,70562509.83,249436571.51,167115490.73,102910326.08,49246687.16,176900614.44,116907852.45,72643531.96,37062949.81,150518298.79,104261031.51,70779877.91,35754078.39,127611460.94,68432628.60,66670446.36,33674698.55,100651111.73,54362120.29,72163504.62,54727185.64,0.0
4,营业成本,183378633.18,148313411.06,87827261.54,398975014.85,283829094.16,168234801.82,53265990.35,338831245.63,179026189.02,94915831.10,42030534.57,477403520.05,409272225.37,263036820.42,114602270.03,453576586.66,372753607.12,237871320.49,124202338.21,318207889.76,204139728.82,143348438.45,71952492.73,256521555.40,186899898.11,123233889.71,60353822.74,244660909.51,197246916.13,125731029.69,58881381.75,226371728.18,171750043.31,109834521.84,49683748.01,175755281.47,118982362.88,72017783.59,34364483.81,125022741.89,81778863.31,49059286.51,24457389.62,104225198.71,74292720.57,49000622.39,25836706.70,89815701.41,68407698.35,46087540.98,26333788.19,67350682.73,54362120.29,43835340.95,34712527.26,0.0
5,营业税金及附加,8185475.44,6730682.80,5209175.69,17693330.27,9701574.72,4772169.80,1769244.86,17478065.23,10262317.73,5348542.41,1395264.22,4473904.80,1152992.04,431892.58,41174.89,2526051.64,1285345.93,669553.42,380545.16,586489.23,163240.11,133435.18,72747.43,170372.65,131833.90,86800.17,22684.98,317492.96,225421.69,209646.78,175645.43,720506.95,392684.13,300979.71,55530.62,413976.57,242539.58,106657.40,40741.71,124050.80,32594.91,12181.27,3063.98,330252.73,234235.04,138264.08,49733.09,248782.70,75734.61,66923.98,31328.57,168549.44,135355.37,112885.35,167200.28,0.0
6,销售费用,584112979.92,383740671.79,283097985.55,805380020.77,476866411.20,242512528.19,102804300.38,560737469.65,373713951.96,230147741.32,116414684.27,501268528.73,343107601.10,214124167.96,107093347.04,388424857.44,278802688.86,178570195.34,91578118.37,83592736.55,12659800.15,8630786.99,6295506.52,17393043.21,12653750.18,8694537.78,6252845.70,16092993.61,14854988.36,8652354.82,4464366.32,17048357.14,14924540.77,10123590.44,4556170.20,13693061.69,9100236.08,5623822.35,3309542.13,11121347.56,7087638.35,4447720.05,2136854.16,12151053.19,8917044.79,6250758.96,3469867.61,10943157.96,6936818.55,4835529.74,2319997.67,9165977.72,3543943.65,8578317.63,6137419.21,0.0
7,管理费用,147738162.76,106425627.74,41849545.74,216597367.93,161348011.17,240741923.71,99575419.64,316655614.50,229651284.20,153304167.09,72635204.26,324724489.29,209073530.11,136705116.05,73329971.82,265922384.44,167880789.22,101813927.26,45798778.39,137108396.43,74689109.06,49475187.51,21667785.72,94577317.64,72077208.87,40317081.49,21401514.22,90399834.68,59811545.92,38229313.51,18624831.00,75818215.05,51315385.71,33415199.83,17240381.65,61519913.66,41108944.17,27734470.80,12230685.66,43204513.67,26079465.57,16228731.24,8276327.42,37543603.94,21346243.58,15241886.80,7290722.71,26154653.81,21233886.91,14913228.64,5669070.18,22075533.07,14250904.24,18094315.82,14137362.54,0.0
8,财务费用,6295195.65,166341.80,8263427.52,-24124271.61,-29219427.49,-33787672.27,-23179845.64,-75264562.57,-59295846.93,-44838053.34,-23793505.58,-81822445.15,-56376474.53,-52126288.14,-19294514.82,-14795258.46,-11624257.00,-4751032.69,-8832342.64,6137531.86,-1623665.99,-9159044.10,-6874781.18,6430056.15,-2375745.65,946831.57,-1053863.43,-5741585.90,-5913451.32,-4269853.56,-654115.11,-1348692.68,-1667882.10,-1687357.30,-973320.65,-1886313.64,-2318591.98,-2572408.06,-698766.15,-3057838.30,1929290.31,2895612.89,2189314.63,-4660357.89,-529212.47,148345.68,-892951.72,642077.04,-233785.17,630524.64,-679486.06,1213067.40,-927914.16,1336588.31,-427323.65,0.0
