,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980331,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,12153040.16,6927045.66,3788349.02,14314254.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,2555533.41,41068998.16,1760096.65,3048527.39,2826679.47,35914570.26,3559148.41,4744107.10,4952749.09,-8909076.51,-1120503.49,-522254.39,-5395427.13,5195316.93,1611849.53,4607675.84,1416199.30,5542960.19,1333339.16,1465901.02,1189496.39,4580823.02,6400736.50,1966354.69,1073662.81,4149373.71,2570173.96,1464166.06,670936.61,-1264611.21,592649.72,-783531.14,-965794.30,1143659.33,2677712.33,-13663.52,-439718.21,-3927639.16,-3966834.75,-4082879.09,35032.40,8220211.96,0,3425145.79,771648.96,1216954.76,2139670.70,494383.70,627358.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,1147875.00,0,0,1147875.00,0,0.00,0.00,94849751.14,1478117.47,1173679.11,1147875.00,186435511.75,0.00,0,0,4293846.26,1744770.00,1744770.00,0,2881859.98,2981859.98,298800.00,0,6551974.64,2584802.11,1535094.94,303231.65,5016472.61,2447722.27,985255.14,189589.04,155026408.51,153187483.03,153183303.03,1512536.00,0,620383.76,620383.76,620383.76,1212535.87,12535.87,12535.87,12535.87,28665009.66,28265009.66,28265009.66,28255949.66,260936.49,260936.49,260936.49,0,-605389.71,-303183.09,-416219.40,-308428.74,67849.12,260520.18,-226207.08,-528813.51,-761384.46,-386867.67,116720.94,-97545.68,-659417.88,-305223.26,-70148.84,-221951.74,2050869.32,2285945.00,2606616.87,-173557.90,2855102.80,-314792.67,1200462.76,1866029.17,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,937484089.84,913221843.97,609900953.90,1062847607.79,732396760.18,652137275.07,498022566.32,637631238.99,387142727.30,346474824.48,247384746.07,548197337.92,381487563.80,339893354.00,242514254.24,557404386.65,434307731.99,370329892.20,270506021.83,538060443.16,424885330.90,356181798.36,248311564.51,303228691.83,238967541.97,203548582.97,140186470.15,205001709.06,181388261.32,167233136.39,113066093.57,378022907.86,344562078.62,318122618.34,121421506.07,340242998.66,315200041.18,215718721.61,134101800.01,244989234.58,188246847.70,118872116.26,65576660.34,304805886.21,238059401.76,158650432.08,108271979.37,216495497.27,149502397.67,92806994.73,49969804.30,128046230.17,103209331.78,57049628.80,35487841.11,112080709.28,86377153.03,57287275.58,34850005.93,107839007.55,73183880.30,47130899.69,23843188.47,96179993.22,68220028.55,46912295.19,21275920.49,77612196.06,53391283.00,36103591.28,16613889.72,74943746.75,37757363.06,83336526.05,51783189.79,92964173.03,28851112.69,136749413.87,40653771.00,102174178.91,121311764.00,30817576.00,0.0
16,加:营业外收入,271860.98,131785.46,0,119124.53,700751.37,149867.86,50000.00,132526.27,585739.96,215424.63,1733.81,1018630.55,328587.43,38167.27,2770.00,11555769.83,128758.65,102623.85,0,211714.86,222214.86,147926.40,10926.40,759774.40,390695.70,277599.66,10240.00,1209898.31,772348.80,543201.39,9454.00,1017689.06,924250.67,557505.67,536161.27,8608702.98,303898.38,290844.34,213023.28,2170395.84,409558.35,153740.13,4841448.70,4354124.94,147236.77,130937.15,13634.67,1122271.18,838538.19,86207.89,5811.18,715273.48,222651.41,195250.09,105091.69,487597.00,171617.67,107322.90,5079.50,1292806.24,850446.74,849506.74,491988.38,760029.94,2678333.90,2016829.62,1133166.37,3337785.54,4272806.00,3542403.89,727392.67,3277767.78,1640851.02,3028690.60,1456647.66,5757303.62,2411593.44,933847.73,2981133.00,856935.35,3385821.00,81250935.00,0.0
17,减：营业外支出,920051.45,640051.45,600001.45,3546661.76,2372000.00,2166359.07,2100000.00,691190.56,2584747.96,1938995.06,1137489.42,4617706.20,3845234.03,3390617.80,3185152.03,8870627.73,3112700.56,3633696.63,3519869.55,3050982.00,1231925.94,798831.25,415776.93,3950136.02,2434563.34,936995.48,279714.24,1149785.55,910147.43,654397.79,89923.62,4370201.57,2716329.43,2455033.30,1112709.53,1534214.88,1111608.83,719880.05,447101.57,2047845.68,1419671.05,872985.09,137738.58,2778374.58,2606420.87,1851709.52,63120.85,2944643.99,2787466.37,4477288.44,1504246.15,9027828.05,3709691.76,1593082.57,1277353.73,2042367.42,2121204.98,1445210.36,1261802.79,999993.29,804898.92,209876.04,86793.13,1746518.45,1140989.49,784786.11,564534.38,1501941.76,1027837.00,510262.02,112197.85,216911.87,289289.86,27353322.36,49285.69,2779916.95,1235565.00,308406.50,8407.00,240645.00,2460033.00,148502.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,1789571.83,1568732.34,1048445.42,3866984.29,3405190.86,3160574.63,3155150.86,7071270.55,1912696.65,2443692.72,649493.72,1772720.41,739760.17,524831.25,353551.52,1556622.38,1420408.26,906072.81,267191.57,430900.11,266632.72,200911.75,83285.80,1140127.05,966992.28,872041.08,805623.62,952694.74,720915.49,571296.79,413296.83,961142.00,589711.47,426314.05,57879.30,413163.81,422095.85,187455.69,10195.03,1470291.83,1517806.61,1332138.95,915337.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,936835899.37,912713577.98,609300952.45,1059420070.56,730725511.55,650120783.86,495972566.32,637072574.70,385143719.30,344751254.05,246248990.46,544598262.27,377970917.20,336540903.47,239331872.21,560089528.75,431323790.08,366798819.42,266986152.28,535221176.02,423875619.82,355530893.51,247906713.98,300038330.21,236923674.33,202889187.15,139916995.91,205061821.82,181250462.69,167121939.99,112985623.95,374670395.35,342769999.86,316225090.71,120844957.81,347317486.76,314392330.73,215289685.90,133867721.72,245111784.74,187236735.00,118152871.30,70280370.46,306381636.57,235600217.66,156929659.71,108222493.19,214673124.46,147553469.49,88415914.18,48471369.33,119733675.60,99722291.43,55651796.32,34315579.07,110525938.86,84427565.72,55949388.12,33593282.64,108131820.50,73229428.12,47770530.39,24248383.72,95193504.71,69757372.96,48144338.70,21844552.48,79448039.84,56636252.00,39135733.15,17229084.54,78004602.66,39108924.22,59011894.29,53190551.76,95941559.70,30027141.13,137374855.10,43626497.00,102790469.26,122237552.00,111920009.00,0.0
20,减：所得税费用,265430297.22,260764904.51,180604713.40,331329477.06,210504018.49,171644325.55,131052486.42,194684419.22,107525131.91,95234892.39,56334962.43,119920436.83,117905142.18,97708903.20,61299158.78,176809278.07,138709848.35,117617022.01,74124648.67,170468604.25,136091791.78,104845670.05,64229364.34,95345896.11,72597442.96,53267216.13,33890193.21,74460806.26,64939556.87,53194005.64,28960932.28,53056254.33,41993797.87,33521146.45,22981551.82,65514394.27,67474098.64,46408145.46,26954616.72,61733626.12,37923987.10,26756623.77,12613826.33,64127070.71,38701880.62,26216567.88,12961162.15,49100033.42,33042489.56,21048890.48,4381974.10,13159113.35,9639591.59,4012885.88,2043464.51,9049048.14,6431912.82,4120976.04,5135576.65,5545707.66,3843523.61,3038546.79,2930817.35,6036453.07,4537696.07,3607138.59,2627953.01,3124020.70,4560236.00,3469070.94,1121128.11,6692934.69,4160476.83,9189161.00,5968359.16,12903331.85,4661650.58,42138860.25,0,33843184.47,41259787.00,36840064.00,0.0
21,五、净利润,671405602.15,651948673.47,428696239.05,728090593.50,520221493.06,478476458.31,364920079.90,442388155.48,277618587.39,249516361.66,189914028.03,424677825.44,260065775.02,238832000.27,178032713.43,383280250.68,292613941.73,249181797.41,192861503.61,364752571.77,287783828.04,250685223.46,183677349.64,204692434.10,164326231.37,149621971.02,106026802.70,130601015.56,116310905.82,113927934.35,84024691.67,321614141.02,300776201.99,282703944.26,97863405.99,281803092.49,246918232.09,168881540.44,106913105.00,183378158.62,149312747.90,91396247.53,57666544.13,242254565.86,196898337.04,130713091.83,95261331.04,165573091.04,114510979.93,67367023.70,44089395.23,106574562.25,90082699.84,51638910.44,32272114.56,101476890.72,77995652.90,51828412.08,28457705.99,102586112.84,69385904.51,44731983.60,21317566.37,89157051.64,65219676.89,44537200.11,19216599.47,76324019.14,52076016.00,35666662.21,16107956.43,71311667.97,34948447.39,49822733.29,47222192.60,83038227.85,25365490.55,95235994.85,29974390.00,68947284.79,80977765.00,75079945.00,0.0
22,归属于母公司所有者的净利润,664692565.64,648028259.03,428579787.54,744255928.90,536328495.86,481321672.81,365787971.50,438369527.50,272204677.21,244597356.11,187956551.78,412568751.05,246785435.83,230660137.22,175306276.09,376270975.84,287953995.19,247392171.46,192027039.83,359434009.94,282427762.15,246200284.40,180812457.83,197654290.26,158947080.98,145142144.19,103513644.89,125821261.98,110611841.54,109364646.28,82388054.77,306838318.97,289430392.20,274146444.46,94724411.80,265347362.55,232135772.22,158396956.02,100911361.38,160612717.43,130983205.69,77986755.60,48476863.63,221051567.27,179829471.76,121857554.82,90264782.91,147239249.06,99953593.77,58820977.54,41201641.57,96166544.87,79746096.17,46888535.72,29108630.73,88893038.17,65880757.88,44296304.70,25500720.96,90748462.83,60135311.59,39644395.05,19786519.35,83074807.61,59984978.99,40914777.56,18533762.44,74161739.73,52548690.00,35877128.02,16032969.08,73399357.39,35352247.65,51255115.30,45581175.28,77198567.99,23615496.82,88391250.60,28131347.00,65763322.39,81252747.00,66622968.00,0.0
23,少数股东损益,6713036.51,3920414.44,116451.51,-16165335.40,-16107002.80,-2845214.50,-867891.60,4018627.98,5413910.18,4919005.55,1957476.25,12109074.39,13280339.19,8171863.05,2726437.34,7009274.84,4659946.54,1789625.95,834463.78,5318561.83,5356065.89,4484939.06,2864891.81,7038143.84,5379150.39,4479826.83,2513157.81,4779753.58,5699064.28,4563288.07,1636636.90,14775822.05,11345809.79,8557499.80,3138994.19,16455729.94,14782459.87,10484584.42,6001743.62,22765441.19,18329542.21,13409491.93,9189680.50,21202998.59,17068865.28,8855537.01,4996548.13,18333841.98,14557386.16,8546046.16,2887753.66,10408017.38,10336603.67,4750374.72,3163483.83,12583852.55,12114895.02,7532107.38,2956985.03,11837650.01,9250592.92,5087588.55,1531047.02,6082244.03,5234697.90,3622422.55,682837.03,2162279.41,-472674.00,-210465.81,74987.35,-2087689.42,-403800.26,-1432382.01,1641017.32,5839659.86,1749993.73,6844744.25,1843043.00,3183962.40,-274982.00,8456977.00,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.896100,0.873600,0.751100,1.304400,0.940000,0.843600,0.641100,0.768300,0.477100,0.428700,0.329400,0.723100,0.432500,0.404200,0.307200,0.659400,0.504700,0.433600,0.336500,0.712400,0.585300,0.561400,0.412300,0.450700,0.362400,0.331000,0.240000,0.286900,0.252200,0.249400,0.190000,0.699700,0.660000,0.625100,0.220000,0.610000,0.530000,0.361200,0.230000,0.370000,0.300000,0.177800,0.110000,0.500000,0.410000,0.277900,0.210000,0.360000,0.250000,0.150000,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.896100,0.873600,0.751100,1.304400,0.940000,0.843600,0.641100,0.768300,0.477100,0.428700,0.329400,0.723100,0.432500,0.404200,0.307200,0.659400,0.504700,0.433600,0.336500,0.712400,0.585300,0.561400,0.412300,0.450700,0.362400,0.331000,0.240000,0.286900,0.252200,0.249400,0.190000,0.699700,0.660000,0.625100,0.220000,0.610000,0.530000,0.361200,0.230000,0.370000,0.300000,0.177800,0.110000,0.500000,0.410000,0.277900,0.210000,0.360000,0.250000,0.150000,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,671405602.15,651948673.47,428696239.05,728090593.50,520221493.06,478476458.31,364920079.90,442388155.48,277618587.39,249516361.66,189914028.03,424677825.44,260065775.02,238832000.27,178032713.43,383280250.68,292613941.73,249181797.41,192861503.61,364752571.77,287783828.04,250685223.46,183677349.64,204692434.10,164326231.37,149621971.02,106026802.70,130601015.56,116310905.82,113927934.35,84024691.67,321614141.02,300776201.99,282703944.26,97863405.99,281803092.49,246918232.09,168881540.44,106913105.00,183378158.62,149312747.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,664692565.64,648028259.03,428579787.54,744255928.90,536328495.86,481321672.81,365787971.50,438369527.50,272204677.21,244597356.11,187956551.78,412568751.05,246785435.83,230660137.22,175306276.09,376270975.84,287953995.19,247392171.46,192027039.83,359434009.94,282427762.15,246200284.40,180812457.83,197654290.26,158947080.98,145142144.19,103513644.89,125821261.98,110611841.54,109364646.28,82388054.77,306838318.97,289430392.20,274146444.46,94724411.80,265347362.55,232135772.22,158396956.02,100911361.38,160612717.43,130983205.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,6713036.51,3920414.44,116451.51,-16165335.40,-16107002.80,-2845214.50,-867891.60,4018627.98,5413910.18,4919005.55,1957476.25,12109074.39,13280339.19,8171863.05,2726437.34,7009274.84,4659946.54,1789625.95,834463.78,5318561.83,5356065.89,4484939.06,2864891.81,7038143.84,5379150.39,4479826.83,2513157.81,4779753.58,5699064.28,4563288.07,1636636.90,14775822.05,11345809.79,8557499.80,3138994.19,16455729.94,14782459.87,10484584.42,6001743.62,22765441.19,18329542.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
