,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,151056682119.72,111617288281.23,72101161372.87,35075095504.42,120829528787.97,82130067908.78,45075204712.15,21923366326.52,90463957861.05,67598753056.00,43468656681.18,20101447987.02,71160180860.47,49874487331.25,30941208382.34,14608801823.13,57489919045.77,44108242107.55,29972120678.43,14834790415.06,64374456245.65,47427073683.43,29940382482.26,14208509685.89,61934136540.26,46083050121.00,30204473447.51,15234414656.20,72056802569.35,53705705687.33,34647188359.46,15690285575.30,68908178866.62,52456742354.17,34227605159.42,16437369167.07,80578433797.13,59743498916.16,38193165764.52,17405379739.92,55734631290.96,38678476998.74,22850685406.46,10757922929.58,114968334902.34,95381572756.87,62163326511.81,28025288955.96,93879963007.80,32888415579.63,20407247838.72,63736922641.85,33872971557.55,29293009204.81,24153852524.52,19035850696.98,0.0
2,营业收入,151056682119.72,111617288281.23,72101161372.87,35075095504.42,120829528787.97,82130067908.78,45075204712.15,21923366326.52,90463957861.05,67598753056.00,43468656681.18,20101447987.02,71160180860.47,49874487331.25,30941208382.34,14608801823.13,57489919045.77,44108242107.55,29972120678.43,14834790415.06,64374456245.65,47427073683.43,29940382482.26,14208509685.89,61934136540.26,46083050121.00,30204473447.51,15234414656.20,72056802569.35,53705705687.33,34647188359.46,15690285575.30,68908178866.62,52456742354.17,34227605159.42,16437369167.07,80578433797.13,59743498916.16,38193165764.52,17405379739.92,55734631290.96,38678476998.74,22850685406.46,10757922929.58,114968334902.34,95381572756.87,62163326511.81,28025288955.96,93879963007.80,32888415579.63,20407247838.72,63736922641.85,33872971557.55,29293009204.81,24106305009.50,19035850696.98,0.0
3,二、营业总成本,150181411098.94,110245810617.54,71349875621.39,34662974418.88,120771544112.70,82498687123.17,45238332244.57,21762148489.28,89745254796.32,66455286732.85,42659922078.84,19950820742.21,78111348806.07,56518466124.39,35544441273.80,16564204421.78,61745504306.46,47340749074.83,31544873299.29,15554378375.59,66490944293.14,48629149641.63,31371026653.41,15201013478.11,67458690141.73,50294810182.80,33649763924.73,17099328322.34,79823347748.84,59371355485.66,38643520228.69,17865610576.50,78078344279.77,56615361821.24,36038498833.74,16573148067.68,72556030116.31,52973544922.94,33775930451.88,15891356709.59,63616073655.72,43814611553.98,27544252293.46,13367178108.51,92797300702.99,70881832625.89,45744562789.86,20490008307.60,75456483120.87,32458444380.01,20405826237.83,56591567574.40,29374235090.47,25393090902.61,22179461921.72,649295545.36,0.0
4,营业成本,134829661271.29,99420679739.02,64232252510.83,31154996366.49,110604882878.24,76121467806.70,42108739997.74,20193238606.30,82604636637.88,61774425508.56,39615486667.47,18555856176.91,71865800353.29,52157342260.26,32671833871.49,14884601213.53,55108227484.34,42686187498.24,28758562528.86,14018492468.73,59852218578.36,43664439223.67,28084693482.88,13475527603.91,61425538057.56,45818572741.98,30591081751.87,15297897816.55,72442035266.06,53994239813.24,35066762098.27,16195637024.48,71888813148.18,52433352439.96,33282955383.59,15156196292.72,66309568259.38,48398201408.44,30964784913.37,14430166099.50,57759939361.98,39922971760.64,25042240988.03,12211642042.92,86546122260.96,65742001009.50,42253503219.48,18692592299.94,68265450093.30,28509331549.03,17967186005.55,51763112086.09,25216548090.20,23056527262.40,20821678907.77,0,0.0
5,营业税金及附加,226305192.56,184372004.02,114086725.36,53500933.18,230751647.82,139349743.49,80977051.09,37221555.29,165596632.54,120793073.47,82721068.25,39251440.31,124844888.57,39019562.64,30582126.16,15487814.33,75997622.79,54903677.96,36093013.62,16982219.82,89450862.07,64364899.24,40162747.01,19568672.55,156068385.91,117390464.55,86560520.90,50001733.50,408937344.28,329892071.16,223639919.17,106643456.67,460276089.07,343379070.95,225474203.26,107737932.94,772906054.38,287711706.87,187007278.68,91505448.75,522892999.03,368261760.30,244375958.52,110004434.90,912653129.86,769420987.73,511421742.46,257475987.61,921652624.44,561382270.04,341340641.93,632612102.45,498080674.49,427389779.88,330193679.85,0,0.0
6,销售费用,67606784.48,46901279.37,27595196.42,13082750.74,61458893.45,34733479.92,21248771.75,9728764.11,53086523.02,38819654.93,25874305.55,12524505.31,65459938.34,49943521.01,34149019.60,20171743.34,131260605.10,88465202.59,58130791.91,26006062.35,151062552.40,102032595.31,67608572.53,32238425.37,138008334.23,88472299.62,56777085.93,26941171.32,135029049.07,94787575.46,60738307.65,30159077.76,161855443.84,111634743.73,69556501.85,32957976.55,140805749.53,100464311.62,65238778.92,31706749.86,133121026.00,61782925.39,39591960.15,19781576.18,85144506.14,67743235.93,41347651.94,27285520.48,106599187.12,34252890.81,20744032.31,124233725.86,35335476.79,13034590.07,3106424.80,0,0.0
7,管理费用,9765897229.38,6860959522.30,4433521276.44,2125507920.27,6833406176.61,4239328334.49,2011979077.92,1031267273.57,5179220485.72,3199109527.15,1979101725.46,966783081.81,4130016724.40,2682668058.08,1748587529.00,989811045.81,4153221938.29,2725389565.14,1770015115.08,913389702.79,4131692576.00,2933009355.59,1913413219.07,914905782.09,4341987678.03,3173522867.08,2216640519.51,1205568157.34,5045265396.12,3601190607.95,2410327505.13,1204485428.45,5357783095.62,3551612010.84,2377447307.68,1205213134.75,4793464668.42,3490675023.00,2205647009.17,1125689198.77,4576548966.85,3119622967.86,2103368120.97,1056352906.68,4303968462.98,3445239001.14,2290836263.52,1105568545.83,4916336648.99,2514296476.65,1524023328.12,2895932283.76,2471135504.88,1479726005.49,801226518.09,0,0.0
8,财务费用,5014525845.47,3728825059.61,2540723268.10,1308316160.63,2967293772.87,1947094141.61,995405396.30,483785606.06,1729943937.16,1309616331.16,949102188.03,371335472.96,1815561605.69,1544674076.58,1086935857.42,650024313.75,2282338090.87,1797383582.26,924868752.89,585780464.48,2197790237.92,1872777894.86,1284037223.30,777213107.30,1364007089.55,1127073577.16,735762960.43,525312930.01,1627583332.45,1346453005.52,866176581.45,316668962.72,102001719.28,177168003.57,78133484.65,76371574.21,554959287.48,712022554.26,366041492.56,257753816.51,664003588.46,507359723.45,300994649.08,130117317.84,655640659.42,859408435.58,656618811.68,399020315.07,1245116141.64,829607734.46,544699756.36,1160050455.63,1164678349.17,416413264.77,223256391.21,649295545.36,0.0
