,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2109850652.89,1517839873.94,986121811.40,414354760.26,1701627607.60,1398239798.67,986348604.33,564115505.25,2960487767.54,2381655052.17,1815801988.08,997701142.08,3989290786.10,2997725278.13,1568361292.79,710544820.52,2928356222.48,2134201894.94,1378986431.86,772329804.24,3066487288.93,2364620286.97,1531206971.02,682293903.37,3875301454.29,3199920436.00,1723929950.75,745980544.62,3722974684.57,2742326755.76,1833365028.37,898970668.74,3875287512.71,2829056317.98,1827690601.91,876215796.52,3384172288.37,2424130269.91,1482989192.26,644965595.42,2308576775.22,1599001357.23,959298925.12,409370750.55,2491786176.69,1971383922.23,1253673992.41,589146928.50,2381892249.13,1753823955.95,1099267744.29,498648096.82,1859698688.55,1306516503.63,762290293.37,380452246.83,1433036461.74,1027771354.32,646127701.96,258128738.37,1177263559.39,854636277.60,538636834.64,252937031.39,1133171045.54,754677840.43,459345013.27,238295603.90,675408035.16,470242744.20,297215432.46,148639679.34,675412865.79,353212676.32,419692634.33,163543314.64,301778319.85,127887464.36,305026956.48,212873435.61,229976430.35,0.0
2,营业收入,2109850652.89,1517839873.94,986121811.40,414354760.26,1701627607.60,1398239798.67,986348604.33,564115505.25,2960487767.54,2381655052.17,1815801988.08,997701142.08,3989290786.10,2997725278.13,1568361292.79,710544820.52,2928356222.48,2134201894.94,1378986431.86,772329804.24,3066487288.93,2364620286.97,1531206971.02,682293903.37,3875301454.29,3199920436.00,1723929950.75,745980544.62,3722974684.57,2742326755.76,1833365028.37,898970668.74,3875287512.71,2829056317.98,1827690601.91,876215796.52,3384172288.37,2424130269.91,1482989192.26,644965595.42,2308576775.22,1599001357.23,959298925.12,409370750.55,2491786176.69,1971383922.23,1253673992.41,589146928.50,2381892249.13,1753823955.95,1099267744.29,498648096.82,1848411671.91,1299994159.59,756254252.80,379547708.01,1431099790.90,1026001390.20,645106894.99,257895237.18,1174248196.91,851735290.42,537262142.22,252381858.84,1127007707.52,750502206.93,455620043.33,235997800.04,666234476.68,461278280.74,291229382.92,147486257.44,668554095.40,349653672.21,414244143.09,160507250.59,301403056.15,127361103.00,304802893.25,212469301.41,229742098.71,0.0
3,二、营业总成本,2169886611.42,1577134294.55,990747795.48,410644345.22,2163155631.01,1374431762.52,945078683.61,540200702.23,2881432125.66,2283075878.21,1757926023.60,973466466.59,3956374078.20,2977408436.23,1558404887.50,716440020.33,2944032403.66,2123901952.87,1375093981.94,757708715.96,2957968069.86,2302392254.00,1480254922.30,675760022.45,3742447274.62,3132453137.73,1703480958.30,755046662.77,3683662321.97,2723576717.46,1823337043.88,897931669.50,3861806690.46,2819003001.91,1821324721.69,877594120.78,3387545963.16,2424537065.54,1490839056.23,650012299.70,2345936983.68,1619588555.67,963476001.93,415708935.39,2542568013.64,1977026658.43,1262538339.88,596548396.40,2450008558.43,1758639409.50,1103830548.68,498140231.40,1865043340.75,1303422778.48,766692493.48,375618531.49,1372568870.82,993473889.86,621244610.18,244156412.73,1084447469.22,784743984.48,495248222.72,239689630.89,1063425432.67,704115422.93,427199729.45,221686604.48,601941165.76,406006664.37,262153583.66,130141629.24,584305476.88,309630270.40,379654263.87,137762386.82,262325740.89,106903977.82,273522679.49,184056492.30,196066952.91,0.0
4,营业成本,1485281441.61,1034886601.81,668687851.19,262998362.77,1098169517.36,912020999.71,644313232.68,369249590.12,2320247772.49,1916845902.96,1544728025.33,871814082.86,3527149103.10,2706262421.17,1398331530.88,628947570.75,2573290302.35,1849866465.14,1188906132.20,655393522.58,2588462059.65,2021120183.64,1295497035.17,592480510.61,3348347360.14,2837905304.50,1525434107.56,669367449.14,3308110052.91,2465310090.36,1646695594.05,807368048.30,3564553424.98,2609909012.18,1678778860.81,801639962.01,3081852609.55,2222082309.85,1358863583.29,589794250.90,2077296142.56,1431964853.32,853464485.42,361833700.76,2270446553.31,1802052006.47,1146664024.44,538311787.78,2178960709.51,1601337953.48,1001419388.06,451825966.26,1658145938.87,1158174920.53,662748417.59,330249622.76,1193689678.79,863948962.71,537858495.60,206815005.92,918830800.36,670165552.64,417370854.50,202821206.11,900576861.73,596794892.89,356393988.45,188605047.28,492962636.91,333547124.24,210122140.68,108341366.22,489274524.71,263721964.83,324641384.85,123892449.81,236360300.45,97959139.72,248764725.22,163578410.06,175763006.87,0.0
5,营业税金及附加,16172492.13,12737958.71,8518920.00,4234743.55,19538364.38,12860694.67,8301202.18,4836832.99,27267594.09,17023715.58,10821341.86,5182505.68,50040952.23,32939476.90,13999020.68,5055522.77,35322971.10,19333914.61,12036406.25,9282271.52,46340967.23,39284738.71,30009991.39,9450468.17,95984420.27,80813151.80,30267225.00,6379975.36,52463940.97,31133532.22,24638001.39,9124276.69,29549150.04,16114960.52,14341160.03,4016714.46,16614216.22,4508045.76,3108335.91,670382.35,8385557.79,5109208.96,4231026.55,661957.64,9232814.50,3497081.60,1773309.96,661550.41,4012595.44,1992786.83,1216688.67,504133.67,3020635.30,2319572.84,1212940.59,448956.61,1975180.13,1565083.01,1099635.14,668108.82,3903060.08,2762526.08,1562668.02,648843.78,3423483.25,2568860.39,1334454.49,669208.39,2902882.64,2339014.40,1530165.93,820743.67,2376923.59,1228263.08,2089551.94,617495.57,1393164.29,495677.34,1350623.13,911342.28,810107.00,0.0
6,销售费用,483291326.25,386566825.31,216731137.16,92824758.68,428462500.67,305775063.10,202576310.57,114873220.11,311091517.57,195600919.89,111536751.33,50097354.03,186236279.87,129050211.17,80229644.49,44227059.56,152754270.65,117193672.66,81021152.13,41791754.52,162736652.03,125747236.01,82753209.26,38309861.23,146436898.21,105891492.82,73697545.23,39658204.02,146725743.40,107320518.44,68579765.03,36497627.54,146790599.76,105694088.45,68920750.49,34722314.01,145063624.01,101691060.60,60211244.47,30083484.22,109999709.31,79392777.24,47643938.49,23972295.46,107866068.09,72567485.50,45923968.34,23600427.76,85520636.14,58473738.18,34678886.69,15672729.55,64693025.20,44857634.14,29877067.76,14528981.47,69448283.58,49476701.32,28767157.32,14163846.07,67328788.95,46819926.21,29561152.83,15079827.12,72411015.06,47237026.50,31462861.78,15062474.17,47045234.76,31103673.21,20281831.47,9585606.32,39951944.81,21623582.85,16458570.40,6536847.58,4945290.92,1507167.50,3941174.44,5259564.60,5278212.68,0.0
7,管理费用,123301399.46,96112336.08,67095600.77,34422811.36,163600636.06,108834442.21,78525044.44,42507380.25,182710874.61,125698745.86,76747981.90,33832866.93,153826544.25,88020203.85,55067725.96,32117110.39,118445929.89,83558264.97,58601845.48,33292115.72,101353815.90,76468392.67,51725185.37,32530115.08,95359224.17,73799442.62,52401913.01,29424098.74,108035046.99,77275749.66,52137656.95,31028944.84,85348281.75,66014154.76,46126565.91,26324522.19,92960957.71,63273726.37,45795008.61,21387740.04,98846390.64,67100689.26,42786846.69,22096884.73,81855601.10,56762981.13,40663699.68,20727579.94,83397438.50,57128912.90,40146070.65,18801101.39,88525204.23,63182461.93,49079048.40,17778434.90,69249078.42,51447732.56,39024960.45,15711483.38,66878308.07,44670007.52,33458237.08,14430621.81,60723219.70,39406329.36,26655193.56,13379551.81,48103662.38,33554180.66,25639615.72,9955449.17,42202605.49,16137379.09,30529169.41,7617615.58,26701621.49,8371557.59,15009257.21,12246548.58,11362124.46,0.0
8,财务费用,48239915.12,36104831.67,20561225.16,11200351.63,32373901.91,23404726.27,12909623.53,5932336.78,33170915.93,27956749.03,19758548.83,10925826.32,41732781.22,32565332.38,21218122.95,12735130.49,57787157.56,50685408.08,31886662.20,14246284.81,71505179.55,51315021.78,33256781.10,17430716.82,47518779.60,36029252.03,24108351.64,11971281.60,48096652.47,40399260.91,29585525.47,17565272.06,33563508.06,26464363.13,18545877.06,11081657.95,33070891.51,25432619.68,15336274.82,6832998.91,32321400.67,26277180.88,17930635.26,9916100.32,50978804.90,40721977.63,25862373.89,13402505.37,56871582.44,37129648.34,24421383.78,11477746.28,50658537.15,34888189.04,23775019.14,12612535.75,38206649.90,27035410.26,14494361.67,6797968.54,27506511.76,20325972.03,13295310.29,6709132.07,26290852.93,18108313.79,11353231.17,3970322.83,10926749.07,5462671.86,4579829.86,1438463.86,10499478.28,6919080.55,5716393.07,-1097974.41,-6752923.71,-1429564.33,4456899.49,2060626.78,2853501.90,0.0
