,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5598318673.91,4370588776.60,2987202852.22,1749598394.59,5067759592.47,3871406138.96,2701990918.35,1558748409.00,4700135370.60,3403574823.79,2463102465.61,1369543546.15,4534680368.76,3418349710.72,2530575626.97,1371759255.42,4571362217.90,3506900423.75,2579341104.01,1316466686.97,4153330925.60,3084715206.40,2193869323.67,1223239206.28,3874092862.55,2906652005.08,2072533691.34,1131233118.64,3666048738.43,2781025537.23,1916050987.62,1076351264.79,3622567237.42,2717084294.77,1962871943.22,1113211750.51,3540081160.95,2629531208.93,1872065435.99,1014641343.16,3415501664.38,2584034330.64,1711996795.65,1009766734.47,3031305676.44,2256081743.79,1637784081.86,846842020.99,2590209959.54,1938490125.19,1353350828.17,730683554.88,2396654395.75,1816753692.06,1282677406.69,657230036.14,2134235029.53,1569753642.92,1111188413.23,553103620.12,1909936579.29,1392408970.20,929465113.35,490928254.96,1491884990.78,1064525311.20,761898658.22,371168516.62,1307761790.05,1059217375.51,760963159.99,304846872.36,429398794.93,107287385.21,233018643.26,130585165.58,336210499.04,220793304.24,338629507.34,142662795.93,197526971.06,64285964.19,128089879.30,63138410.50,89794009.39,38261900.00,56373760.00,23698194.46,36340248.94,7885632.16,8602007.30,0.0
2,营业收入,5459799899.40,4265646289.19,2911756621.18,1707733660.04,4941709870.41,3778850530.38,2643205986.65,1529928166.53,4602108248.71,3326893970.44,2414839989.58,1343862457.53,4443469617.85,3352431002.48,2488130748.63,1352117398.25,4520835519.88,3484575665.66,2566496670.23,1310752234.97,4131042597.30,3069375232.14,2186015408.65,1223239206.28,3874092862.55,2906652005.08,2072533691.34,1131233118.64,3666048738.43,2781025537.23,1916050987.62,1076351264.79,3622567237.42,2717084294.77,1962871943.22,1113211750.51,3540081160.95,2629531208.93,1872065435.99,1014641343.16,3415501664.38,2584034330.64,1711996795.65,1009766734.47,3031305676.44,2256081743.79,1637784081.86,846842020.99,2590209959.54,1938490125.19,1353350828.17,730683554.88,2362529735.35,1785834857.90,1258742646.74,647323852.91,2110301176.62,1538274265.44,1091661986.90,544564751.84,1872169376.15,1360656100.70,908173058.14,478392229.67,1471882824.98,1034301538.92,740592530.62,360959759.19,1286828466.06,1027190168.83,742481247.42,299385410.76,425339021.02,107285505.36,231174641.29,128420973.15,334782509.30,219596584.28,338142140.27,142662795.93,194856964.77,63284776.14,124741790.11,61178975.68,82694961.83,37165100.00,50649250.00,22491413.04,34527470.67,7885603.78,8602007.30,0.0
3,二、营业总成本,5655183869.98,4267926596.97,2945343587.04,1793488409.94,5417126117.44,3861714305.62,2710018961.24,1628652416.85,4933348961.66,3457514499.66,2393117951.28,1347951388.05,4558684719.24,3402938705.28,2451974526.15,1377284851.40,4568074884.97,3480215759.86,2542057485.09,1326180022.59,4284778358.72,3228721187.33,2277589668.63,1257599791.74,4085314159.31,3057212186.91,2204992086.39,1159882986.36,3852340496.75,2864009120.18,1993261363.03,1105960477.09,3785626290.00,2810158476.69,2035585468.40,1123206969.41,3637115116.10,2654537321.89,1863381348.11,1001007407.23,3451663650.74,2569345525.23,1709108399.91,1004279630.47,3117686089.92,2306701680.30,1672058616.79,857494053.30,2727870430.31,1957649168.34,1353433890.15,727038950.42,2401261373.78,1780531864.90,1260135843.41,641594538.59,2055108797.02,1513598421.89,1067286872.96,517233193.86,1852299022.71,1325561673.81,877662683.28,468424139.65,1428852554.41,1011979161.17,708587300.75,340443298.73,1249129528.96,1005107328.57,718580108.14,288435602.64,402667851.26,77443276.84,174542425.35,100361897.06,269470990.63,168919748.68,227120379.36,86593604.30,120958371.24,0,91685223.04,0,49410869.57,0,0,0,24408558.61,4588796.10,4949012.00,0.0
4,营业成本,4686535868.14,3604853497.57,2470168692.85,1526477413.00,4500086587.24,3287343144.41,2302242119.71,1371277050.12,3929672525.98,2838649872.05,2028249524.87,1202685775.77,3820430956.82,2940659900.93,2146584419.98,1224472107.88,3890287109.46,3045047805.46,2252997790.06,1199297785.51,3686017659.98,2830792996.82,2024760782.25,1130842793.44,3468153380.69,2653066526.10,1925980037.00,1039355531.09,3302714015.17,2497787637.01,1741814788.23,983433761.61,3302032243.76,2473667098.38,1809682273.03,1007937419.56,3200333342.63,2350187351.96,1663702360.19,896152481.38,3033235982.31,2205503139.95,1483506609.01,880015731.26,2695127365.64,1961104556.67,1437468929.80,755450345.77,2297848494.03,1711926723.35,1198396874.16,649635898.35,2064541078.82,1595112383.29,1140337656.92,582304672.73,1825447575.74,1374919118.96,973601981.71,474508782.56,1666300378.04,1201195910.22,798624880.52,432471178.05,1269207157.81,916557643.78,641805015.80,313410225.31,1127702962.38,910306563.02,650944487.64,264545255.18,327545406.77,53286442.81,115797732.73,59833265.65,195646207.13,88321125.45,166249857.53,16391069.65,94886173.30,0,86914163.81,0,43206030.32,0,0,0,22463806.69,3922419.10,4417396.31,0.0
5,营业税金及附加,32120901.58,23373436.42,16955962.13,4530425.84,32727996.53,25125242.14,16827763.41,8987771.63,41443289.04,23257100.97,18101609.31,9913446.71,32014517.34,22185604.20,15798072.07,12004260.75,21573844.66,13482603.80,5374730.68,3627430.45,22711348.33,12995612.67,7657364.34,4351612.90,16999305.84,12013297.29,7575082.84,2815540.37,16268680.14,9969445.44,6540212.37,2695446.73,13263587.77,8297760.87,5755538.53,4431226.79,17904947.59,9667387.34,7157184.69,3765612.65,26795351.63,19298192.03,13515212.68,4930295.43,22154526.94,15010064.44,10746215.26,3987957.50,16865329.93,8911735.14,5773588.72,8037399.91,21459868.47,19098445.93,8483817.29,9104716.76,14978791.72,10587132.78,7444944.95,3216712.43,14268166.71,9585084.73,6044909.61,3579975.68,12590058.59,7493992.34,3910790.19,410811.75,9320040.54,11813236.44,8216626.07,1416260.18,7379138.55,4181709.88,8474533.41,5561923.10,8261250.06,5058549.12,8671402.26,3862587.70,6534859.45,0,3668502.97,0,2564097.97,0,0,0,786267.93,252963.49,276382.77,0.0
6,销售费用,207510168.20,140104904.21,93220481.89,44082143.06,199130441.86,131678655.46,87935621.50,32255210.76,186555331.73,125575971.98,79996983.89,42709482.91,167747468.14,119582139.37,74149358.14,35466919.60,143171745.40,105996019.49,69335082.88,35533735.97,108858477.66,84490003.65,48757231.39,27383499.00,97564025.63,91520552.55,65987511.47,24539039.87,98850321.65,88225169.23,65334277.14,27451179.96,93349685.16,72278575.71,61299833.61,33029535.25,90589276.56,72768587.28,44689119.72,25348127.94,97314016.64,111177130.10,71452874.29,41520539.28,86437028.53,108777142.26,74676125.64,29766779.91,75435825.63,58662394.86,39044817.49,19481413.65,61991621.70,43164479.42,30902472.21,13690259.74,59827828.88,41524515.69,29456948.51,12274692.94,52014602.05,36517657.26,23343761.04,10659006.64,50219058.05,34409593.32,23383442.59,9637344.14,36515716.31,26403000.21,19997344.54,7917077.65,10650817.51,1125236.64,2468684.50,1144388.38,13590465.95,49449565.40,4863682.54,46274338.55,697164.94,0,218522.29,0,194925.45,0,0,0,210021.15,98358.30,48481.07,0.0
7,管理费用,425476586.52,301646925.16,202075899.75,95650777.20,397272642.78,236381310.81,160233647.54,85608385.12,383733374.14,239592932.42,144361050.52,60751114.08,384425159.03,205575000.96,144869193.28,63798733.87,296384487.76,195525153.78,133736834.54,47843223.47,294270745.82,149689513.90,97607597.75,47750746.78,301643783.62,150895691.35,101843124.95,45080266.21,243597625.33,127616026.89,86321130.47,43637007.99,238339277.18,142504630.53,80650213.19,40679163.81,204649693.77,128715886.37,80248281.91,41815886.03,190353210.07,132144034.90,76808851.11,41569958.46,151796205.15,114187896.78,74281742.71,31354734.18,184666392.69,96123002.04,63070557.02,25186347.99,176815154.70,87170226.77,56471049.84,26896001.26,131143038.47,70621343.25,46382790.01,21852304.00,100151196.55,63048465.55,40231121.76,17508977.38,92930766.79,50705557.06,38218146.87,15202822.44,58823083.13,46918562.33,32546310.02,10585938.35,39155441.48,15908156.14,30530755.94,18162314.79,41976942.14,22928785.84,34118015.76,14035391.59,19396362.84,0,14064856.58,0,5225956.37,0,0,0,1052310.33,346410.54,264591.34,0.0
8,财务费用,302572036.33,197523305.31,162498022.12,120859438.32,255703473.11,155318338.77,126488059.92,127265314.55,354091460.08,230395608.10,122208916.05,32257037.94,154709033.96,113727531.86,69749358.40,40142346.95,156856933.61,116493670.19,78295783.46,39525357.19,159868568.82,148865057.88,96886460.70,46676139.62,157241460.83,149587970.59,103080740.00,48092918.82,186556300.17,140259768.96,92986600.79,48743080.80,139758911.89,113286343.81,77728599.32,37129624.00,120407670.56,93162982.64,68364603.40,33925299.23,118719148.02,101164143.25,66230785.24,36243106.04,155496659.63,106486378.00,74223412.87,36934235.94,135496541.41,87058825.62,51992534.56,24697890.52,76453650.09,35986329.49,23940847.15,9598888.10,23711562.21,15946311.21,10400207.78,5380701.93,19564679.36,15214556.05,9418010.35,4205001.90,3905513.17,2812374.67,1269905.30,1782095.09,16767726.60,9665966.57,6875339.87,3971071.28,17937046.95,2941731.37,17560224.00,15660005.14,9706620.12,3161722.87,13217421.27,6030216.81,-556189.29,0,-13180822.61,0,-1780140.54,0,0,0,-103847.49,-31355.33,-57839.49,0.0
