,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,8833626.02,11446612.03,5626585.30,3693861.04,16512521.77,18015176.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,4622562.59,10497490.63,5476081.76,4646423.38,2583952.78,11442263.42,9999788.68,12201533.57,9402269.50,27510677.89,27398667.69,25602537.44,20466399.38,12397474.57,19256100.06,10899329.55,12362162.88,16677402.36,18937980.06,14238748.63,12919617.37,17400624.55,17059139.55,12946391.33,7546422.40,15462972.88,16558938.85,11354092.45,7483317.03,13650482.78,16367213.29,9914038.64,8647312.69,15204020.20,26721674.70,25164937.22,10898303.45,20974946.81,17783377.51,20647983.40,14241847.52,41186411.02,35032321.83,42275192.41,-1152593.43,170997800.35,-64556230.22,-10000171.96,-31330267.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13430389.79,628408.98,1071245.15,1387112.49,0,0.0
11,公允价值变动收益,1882719.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-860000.00,-102849.32,-460986.30,-482465.75,860000.00,0,0,0,244713.68,244713.68,244713.68,244713.68,711191.08,383042.38,618717.25,659783.00,-671024.39,-212584.42,-15505.36,149266.86,-284880.37,0,0,0,0,0,0,0,-2073550.00,0,0,2096150.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,19721609.44,6710484.40,2694789.34,755198.60,14682998.50,4238929.11,1757595.76,581448.84,13955499.26,960694.61,92165.89,43580.34,12849080.20,10957955.58,9152839.77,3999969.86,20420134.35,18317008.67,10007542.61,4957783.10,29252504.88,22985658.23,17480241.95,8852210.76,32898364.55,24441224.53,15988838.02,6647556.07,23984223.68,17557771.44,11946345.18,5316796.58,34552029.69,26147285.94,23386711.15,12160553.15,20426971.64,3016105.58,-9756.07,-305979.83,9882778.95,2070299.14,1529818.28,-161800.97,69109108.00,47172509.41,43896310.18,473135.08,25260088.31,10578122.72,8667547.86,3581114.24,36893711.11,24643984.01,24391266.19,-2106381.31,11755820.45,8919850.17,2891804.98,2156132.20,2508061.34,2785961.27,3032586.15,6474857.92,6806826.36,1437274.63,4761650.28,-2384759.53,-7732040.90,-2181415.37,769843.69,-1560659.52,-2194615.96,0,8147901.60,-86996.23,-173992.46,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-274075.54,119211.41,-603806.35,-205241.94,-870843.20,-607653.25,-664012.66,-480811.43,279941.08,0,0,0,-1386630.46,0,0,0,0,0,0,0,0,0,0,0,-123128.86,0,0,0,60765.96,0,0,0,752684.39,117197.72,0,0,-327169.24,-462094.54,-300235.83,-300235.83,-63005.35,570299.14,29818.28,-161800.97,-748674.83,1571838.49,1571838.49,473135.08,7103178.25,5119446.08,3053074.18,1485695.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,28577925.30,11540301.35,4436768.36,-3692850.82,31461954.77,34463616.34,31259953.49,6812158.57,-153896257.74,-79862777.56,-31553772.09,-11766695.56,18157524.19,8690849.57,9031598.36,7568694.80,39575037.99,20921554.43,13051238.64,4914947.41,62023042.25,36412767.37,25550078.70,13215365.05,45587054.56,25224927.62,15953265.59,7085854.33,58924441.95,51338133.93,34663233.41,11818715.45,52319147.19,42936129.88,30990965.22,17015977.03,24592017.10,21595680.76,4868909.51,2710056.58,-43533269.80,-46050862.48,-41090205.77,-17611237.00,-186176990.86,-54508286.30,-27422434.05,-35313572.94,-604360369.22,-518123603.76,-245548046.65,-19227700.50,37318201.52,22507463.42,27625560.83,21926000.30,-462007467.19,-277022816.54,-105623224.68,26840004.61,257032100.74,248143656.07,179699020.87,58127994.17,357979405.46,258204617.43,187400545.02,50170762.90,277882605.71,158060366.88,67724444.52,33756228.65,143540342.21,41208399.15,46478501.05,35716021.93,58671644.19,46250450.08,42434718.46,0.0
16,加:营业外收入,3850882.58,3470383.24,453550.35,285116.50,1911953.25,553266.98,181687.55,3096.64,2595876.41,7417375.26,2623135.10,3220946.82,20715950.15,16660940.88,9099024.89,3789770.76,24321172.71,12534867.27,8285763.05,4581816.13,18384586.20,11495905.37,7357102.34,2877503.91,24543152.80,14524379.74,10467303.80,3846359.43,18053748.18,8321104.97,6055956.54,2924843.45,10607931.21,5999703.84,4492359.28,2112500.08,20150482.34,6008674.65,5285684.21,2125176.10,62624386.10,8598675.91,4862830.51,1097625.34,27806069.47,10566445.95,8671869.57,1158037.01,38103187.70,15416385.55,11644827.95,1331914.87,6224517.84,4751943.97,2932247.36,1329878.21,6863518.65,5343686.74,3572981.00,1644598.06,12882111.95,7372396.54,5405291.56,1035823.50,4600929.64,5471776.30,3579893.25,820136.32,2030404.67,1782664.65,888456.30,353603.62,1302299.42,247719.48,1824383.07,140075.76,239458.68,105796.98,1428.30,0.0
17,减：营业外支出,165152.74,105020.53,86948.61,86149.98,222543.81,6640.39,6015.25,0,1571873.93,194778.28,104730.52,76932.63,2311563.98,1354499.20,795075.49,356176.56,708953.01,436090.70,177904.99,122687.43,2195288.80,2091706.73,1257163.67,1128470.06,670076.64,325436.26,80867.56,35590.21,400940.70,85427.63,69036.31,20720.52,1205158.09,175962.59,36417.63,15286.69,2466095.01,1831209.67,457191.84,193569.80,3374653.39,2800077.34,2308815.77,249148.05,13902802.34,6428383.46,6011118.12,867412.94,25324693.57,9605482.40,6261220.84,1817542.02,15247869.05,11202798.57,5740798.77,1292226.88,17959124.71,11648850.24,9533015.50,582841.89,11545769.84,7052645.91,4379548.01,642911.90,12835785.53,6666853.68,1004596.41,-62593.40,8090220.96,3184236.55,650986.46,610072.01,18188626.81,1704173.32,2497019.59,769880.25,741228.22,356746.73,238261.78,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,1030.84,0,0,52112.84,51392.19,43050.25,1160854.77,265411.06,262753.73,19552.91,319959.95,210277.70,35377.73,20245.31,836589.90,825592.94,112577.72,17294.01,141663.01,37023.30,18636.96,2817.03,37959.75,33896.36,29501.30,14091.17,15348.80,4108.28,3307.73,2657.27,34085.89,12307.86,10264.98,8732.90,334153.75,425135.92,256288.50,54975.20,7515565.31,543108.48,334483.67,154316.78,9405300.96,3408037.94,1245996.40,470102.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
