,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1158845513.23,714019953.51,297960428.17,1225689926.53,768620995.66,464191899.80,189159389.96,981998082.71,698620603.77,432499442.89,198923925.98,511569156.44,295117323.98,164135083.05,89203226.41,360860891.74,286907478.71,213048305.53,104365408.34,811261101.48,715200943.68,532278633.13,347117164.30,1001612103.07,723482525.97,457197221.95,249613270.59,1336711589.29,1086180963.88,239363125.95,119092600.45,692984126.76,584748033.63,450853728.00,214304801.92,788130898.15,632402553.66,436316911.05,206212753.27,753257118.13,596094382.84,430481158.35,215684505.70,883751587.18,792519688.31,581300285.30,268058639.17,872856389.72,688451454.34,479498610.35,169469942.22,717667748.76,607066903.11,426175736.70,154306524.87,622783140.80,542071102.36,380277715.81,179006776.84,628626394.20,523269546.73,380887489.54,172510916.09,467190163.73,408678555.54,287150947.40,103603742.63,446783278.93,416299404.90,309876546.54,114713486.18,418752575.64,274023738.92,389313483.14,214272673.66,385432886.13,204116304.15,342116700.77,171791621.32,314164314.81,192582529.29,334686532.97,207108439.54,295738699.61,242202197.25,0.0
2,营业收入,1158845513.23,714019953.51,297960428.17,1225689926.53,768620995.66,464191899.80,189159389.96,981998082.71,698620603.77,432499442.89,198923925.98,511569156.44,295117323.98,164135083.05,89203226.41,360860891.74,286907478.71,213048305.53,104365408.34,811261101.48,715200943.68,532278633.13,347117164.30,1001612103.07,723482525.97,457197221.95,249613270.59,1336711589.29,1086180963.88,239363125.95,119092600.45,692984126.76,584748033.63,450853728.00,214304801.92,788130898.15,632402553.66,436316911.05,206212753.27,753257118.13,596094382.84,430481158.35,215684505.70,883751587.18,792519688.31,581300285.30,268058639.17,872856389.72,688451454.34,479498610.35,169469942.22,717667748.76,607066903.11,426175736.70,154306524.87,621460725.25,542487548.85,381123782.24,179682404.58,630055488.62,524159567.01,380193264.86,172175198.73,464787214.81,406986519.66,286719646.82,103304355.12,446487521.37,416289491.55,309992887.37,114814162.82,419082731.79,273819616.77,390147731.34,214794845.04,385757377.14,205455560.17,342138340.10,171754230.27,314300415.91,191420152.97,334555605.47,206995363.87,295585192.56,242979644.35,0.0
3,二、营业总成本,1166069990.61,720194842.18,304389892.00,1284242385.16,838800822.20,515945237.10,221804145.25,1006451038.68,721832325.40,456973265.81,200628435.87,562124571.67,365713263.79,210414601.71,119418417.93,694619801.07,346036808.27,238264882.82,108632227.07,642648128.47,525634625.52,357892938.93,237311208.58,704990183.16,484197247.29,289530929.06,153741221.67,1039769185.64,852212297.14,337500705.06,164280600.93,1061534114.96,880209272.65,720150416.48,242069346.16,869550872.69,671910662.60,441625836.70,214335038.51,796955168.46,602070024.14,428763864.34,213232343.13,1005951618.31,789350420.40,569373954.40,267107035.92,865193678.54,675694072.45,464928104.63,164954578.57,704202490.45,597028674.77,418709723.00,151487928.10,598830829.66,530219258.58,371329382.79,175089193.14,621341854.46,512218693.44,368322415.82,168554361.65,461027566.60,398552960.92,277932632.69,101508349.44,444500560.90,406927692.18,297305943.26,112581715.37,424105133.62,264325916.19,387562911.31,203141083.15,354724284.60,186240028.37,308124396.34,151331090.25,284036977.25,0,304148114.24,0,266769876.38,221152475.13,0.0
4,营业成本,821107041.65,513117314.22,221197155.63,895285459.50,570592201.94,344462054.79,145397762.99,757371850.66,544581382.70,342067698.53,152762818.12,374744136.73,236357961.18,146729621.64,93289902.91,359535408.47,287138557.11,198674274.78,89434836.56,525974129.87,447463258.06,303024394.35,206865748.50,588569056.66,400673595.01,236994823.65,126976146.28,888071280.58,736885072.64,255291716.89,125318794.38,693003363.61,575312546.67,446133249.99,203026239.41,735594996.09,575794380.44,377118855.34,179838110.35,648755719.26,515489029.64,372042670.54,183272876.08,829340473.40,675941873.06,492165182.46,223780212.95,734347294.89,579050798.34,403622639.37,132021689.36,615429202.19,513629921.87,365737173.30,122061621.01,525410682.38,471260639.23,334420078.92,159472734.77,532973857.22,457091572.56,330979678.14,150673130.47,403411272.71,352578940.54,243355419.53,84493011.92,379098083.13,353604463.34,260837005.20,98741865.73,338830721.94,227996872.62,316425018.61,178864620.91,312031018.98,164825150.73,265786451.00,124844927.94,240015983.07,0,249746766.06,0,231259574.32,199013026.57,0.0
5,营业税金及附加,7132091.28,4390376.64,2024324.64,9443056.36,6401691.21,3774660.73,1738752.15,6802833.76,4795605.03,3330459.76,1710314.81,7045330.09,2408259.88,1488578.23,795241.55,3101681.77,2380271.77,1973453.84,873421.10,7160936.92,6308645.60,5454372.17,3942134.06,10331555.42,8322784.73,5643291.40,3224154.57,12435515.22,9559555.36,330163.90,278576.93,1146444.63,1007309.47,795111.08,238027.22,1287292.19,1184765.62,1071995.46,304624.24,1343900.17,981725.97,703048.34,428609.90,3192450.95,2657056.83,1442901.55,647219.49,2181481.08,1536169.56,948452.46,341639.70,1246037.87,608802.00,325251.17,31916.12,405719.08,318794.78,151470.64,21118.98,766034.10,357470.38,191122.10,39948.34,160268.24,-261937.32,-100523.20,-262622.18,314970.39,437786.44,436826.08,131502.54,117911.07,318820.26,106602.15,193722.76,541164.43,712460.71,420080.71,326831.90,177635.67,0,433711.08,0,697345.33,1214898.22,0.0
6,销售费用,201599725.33,115611871.79,41992346.78,205167238.56,143501105.73,88892032.38,34944304.01,122499086.16,84008627.81,48231739.24,19284683.31,36386142.15,21750416.66,4767922.08,1697908.55,2525762.25,1389037.65,882088.26,360017.29,1594230.92,1217513.11,763453.88,435019.62,1733213.85,1048407.29,711193.85,363599.89,4145886.92,3574483.72,6337277.86,2396934.69,22891793.50,19488986.80,13352627.68,6079267.13,15946025.94,11892773.87,8324973.97,2973865.48,16345435.11,11418808.07,6846544.95,2177203.29,24363638.71,18303301.47,12464431.99,5373408.44,21420291.61,16092009.65,9105486.20,3714807.87,15991720.01,10808675.91,5354528.10,2317520.67,13265958.09,8598378.77,5142026.26,2080773.27,13201034.53,9569897.48,6943498.97,1541960.03,10992307.43,9561616.37,5800946.79,1669960.52,17195790.94,12988063.23,6932919.06,1798889.15,17485486.13,7623227.08,15000524.35,6778966.22,10437136.49,5026710.53,6962578.25,2814706.34,4207667.22,0,3477441.58,0,3064538.01,3166786.99,0.0
7,管理费用,73984135.44,47278570.69,22068818.49,97244160.88,67985370.79,50459963.07,25323943.83,83841415.71,64038050.25,39025618.32,17594648.38,109127961.03,73070882.94,57439094.20,22244444.03,63682002.40,51041226.17,34868620.56,15271539.07,85838375.73,65232815.40,43849859.37,21288288.59,91947971.76,63662290.13,41868740.02,21079235.16,96489552.57,67670340.29,37010576.60,15542541.30,70267644.38,46374020.64,38145466.34,16788419.96,71570987.93,43954070.12,28652024.38,17920388.96,73361330.10,38525806.75,26399890.36,15955629.44,78211224.17,50637064.68,36304013.16,21129171.31,68636281.24,51254755.34,32867899.50,16869404.20,67990826.12,52871027.12,36067943.58,18530311.64,44557166.58,36294854.09,22268986.41,9151844.01,62863726.68,36299634.39,22914803.36,12312239.00,35453587.17,28490094.92,22914388.35,11347026.79,33384228.66,28818293.07,20996220.58,8656364.10,54409846.47,22170066.72,43512663.39,12066690.64,25873654.84,9538124.44,22422055.24,17256166.10,29917855.71,0,40686708.01,0,27771913.11,16377694.70,0.0
8,财务费用,46023227.21,33779844.82,16568594.91,56797866.76,41546904.94,27523886.09,13852373.64,34830618.93,23701507.73,24081055.95,9581350.56,21125540.98,19982869.83,6265976.50,1968950.06,3667925.92,1312928.94,1038568.93,534305.05,3940582.94,4105423.68,2825058.76,969989.01,8659748.13,6701520.83,5089293.49,3313058.60,38104400.73,32818595.39,38530969.81,20743753.63,80034161.29,52255734.69,35246398.17,13497897.23,51925507.99,38299191.09,25672506.09,13298049.48,45913113.61,34330750.48,21447806.92,11398024.42,60200905.77,41811124.36,26997425.24,15212023.73,40071138.81,27760339.56,18383627.10,12007037.44,922998.87,19110247.87,11224826.85,8546558.66,15191303.53,13746591.71,9346820.56,4362722.11,11537201.93,8900118.63,7293313.25,3987083.81,11010131.05,8184246.41,5962401.22,4260972.39,14507487.78,11079086.10,8102972.34,3253093.85,13261168.01,6216929.51,13514098.95,6517119.79,6914899.99,6137581.96,12533231.14,6088457.97,9717835.58,0,9803487.51,0,3976505.61,1380068.65,0.0
9,研发费用,11823049.72,5742928.62,2164897.08,13976667.36,7591429.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,3369966.17,6327935.74,1182117.70,832640.04,547008.63,1105233.46,707151.88,236694.01,-305379.31,13695460.69,12142873.30,-6276590.94,-578029.17,262107020.26,2774786.63,827876.45,2158108.00,18139872.09,1306969.67,1975800.40,3810028.80,3748637.34,3788649.30,-776413.35,-1214972.83,522549.62,1704249.74,0,0,194190707.55,185770674.38,186477563.22,2439495.21,-6773937.45,785481.46,785481.46,0,11235670.21,1323903.23,1323903.23,0,10642925.31,0,0,965000.00,-1462809.09,0,0,0,2621705.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-995996.14,-1280037.17,-1073590.13,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15038.16,1912.83,0,-18729.20,223729.03,175400.00,96000.00,18729.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,30337500.00,30337500.00,16650000.00,0,1375130.57,-105289.15,-105289.15,-105289.15,56170210.27,97741144.83,3981379.19,182405.73,2474721.92,2474721.93,2447250.71,429041.49,1291934.77,1182718.33,1410384.35,118093.07,4181509.31,3765392.44,3254933.25,573228.53,4429880.62,3817068.80,394073.32,48638.80,456874.56,429643.55,84440.99,47005.82,419450.53,384459.92,335558.89,46250.50,4091129.88,526686.64,420268.56,59032.71,2858137.32,5525095.00,586240.05,260196.34,10799219.32,4381857.66,695549.63,20649.76,3756075.72,1473719.76,385732.22,158701.30,-11609800.16,598465.34,-1272946.25,-949681.93,-5569017.41,1256983.23,734808.02,603217.40,-801076.78,887543.36,950760.06,823935.77,3165781.71,434770.13,164026.48,-20299.65,1946222.22,2443600.00,7686045.45,1412238.01,4495018.17,81481.11,491841.37,288718.50,1560175.92,1132095.84,428344.84,0,1770878.38,301784.00,0.0
