,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
13,其中:对联营企业和合营企业的投资收益,-1010308.84,-189831.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,6464504.57,5467927.13,22787197.19,-799627197.94,-37872625.78,6776535.23,-18780300.89,109664669.92,129175346.35,102235191.01,-39938596.27,155516032.88,77933951.75,55736094.67,5309125.46,173519053.80,72504920.59,85832914.62,3166288.47,188806960.45,85161076.08,54684561.94,-26233857.70,175295884.47,122315764.11,88797098.49,3674898.79,194887455.66,98473107.06,61359518.30,-13513636.33,132035066.23,51337329.89,43213496.12,9085508.97,108260493.15,71568702.28,18002338.52,0.0
16,加:营业外收入,10761290.08,9970569.06,8002320.00,23379014.96,20849104.56,19285042.51,335494.40,8154084.25,8803214.54,8499191.26,1222776.55,45669226.89,45742403.11,45544997.21,7371092.75,28353972.07,26524150.52,26356103.20,4850603.20,60293068.01,39420032.76,39270032.76,19757271.39,13976209.95,11966899.95,10024482.90,18385.00,13589948.71,13130450.14,11530450.14,11500000.00,2005986.69,5986.69,5986.69,0,886822.32,57908.48,0,0.0
17,减：营业外支出,411414.45,159034.45,120695.43,2489489.05,684814.38,8799.34,1800.66,63091.19,62528.51,50717.57,297.27,16380035.26,55270.74,43093.09,29081.46,287004.20,242242.06,28015.76,21136.11,223338.15,222639.35,21839.35,21638.59,2260640.02,2032806.55,2028006.55,2008006.55,1100878.88,1100300.00,1100100.00,1100100.00,545374.27,142674.27,127724.27,1700.00,1435910.85,2040000.00,500207.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,14266.52,0,0,0,43417.80,0,0,0,0,0,0,0,7605.96,0,0,0,0,0,0,0,115004.27,115004.27,115004.27,0,58445.88,0,0,0.0
19,四、利润总额,16814380.20,15279461.74,30668821.76,-778737672.03,-17708335.60,26052778.40,-18446607.15,117755662.98,137916032.38,110683664.70,-38716116.99,184805224.51,123621084.12,101237998.79,12651136.75,201586021.67,98786829.05,112161002.06,7995755.56,248876690.31,124358469.49,93932755.35,-6498224.90,187011454.40,132249857.51,96793574.84,1685277.24,207376525.49,110503257.20,71789868.44,-3113736.33,133495678.65,51200642.31,43091758.54,9083808.97,107711404.62,69586610.76,17502131.52,0.0
20,减：所得税费用,4526809.43,6194573.36,6018436.62,-30348470.82,3244159.00,6717254.28,1954844.14,24455579.96,24552096.09,19263744.90,-1038534.61,36263372.63,23571567.19,18438170.93,2939114.54,39174714.68,20227488.26,19930685.19,1958684.74,38734377.00,20606531.52,10314338.27,513768.13,29745018.41,20968779.43,15404732.02,795474.11,31705091.55,16894762.05,10976848.06,600268.12,23245039.45,10790131.82,9469209.87,1550499.20,16389984.34,10542386.83,2655486.31,0.0
21,五、净利润,12287570.77,9084888.38,24650385.14,-748389201.21,-20952494.60,19335524.12,-20401451.29,93300083.02,113363936.29,91419919.80,-37677582.38,148541851.88,100049516.93,82799827.86,9712022.21,162411306.99,78559340.79,92230316.87,6037070.82,210142313.31,103751937.97,83618417.08,-7011993.03,157266435.99,111281078.08,81388842.82,889803.13,175671433.94,93608495.15,60813020.38,-3714004.45,110250639.20,40410510.49,33622548.67,7533309.77,91321420.28,59044223.93,14846645.21,0.0
22,归属于母公司所有者的净利润,15604213.45,11736378.21,25980985.03,-639969687.63,-16342062.67,21193832.31,-17577039.61,93894583.88,111454212.32,92974319.72,-36473481.29,155035905.38,105857185.99,87266071.83,11621343.11,169286519.91,83739039.96,95425309.73,7630846.63,212752534.52,106494809.93,85282971.54,-6057330.84,159549139.50,112945275.59,82375096.56,1349360.70,176202712.10,93608495.15,60813020.38,-3714004.45,110250639.20,40410510.49,33622548.67,7533309.77,91321420.28,59044223.93,14846645.21,0.0
23,少数股东损益,-3316642.68,-2651489.83,-1330599.89,-108419513.58,-4610431.93,-1858308.19,-2824411.68,-594500.86,1909723.97,-1554399.92,-1204101.09,-6494053.50,-5807669.06,-4466243.97,-1909320.90,-6875212.92,-5179699.17,-3194992.86,-1593775.81,-2610221.21,-2742871.96,-1664554.46,-954662.19,-2282703.51,-1664197.51,-986253.74,-459557.57,-531278.16,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.006100,0.004600,0.010200,-0.252100,-0.006400,0.008300,-0.006900,0.043500,0.056500,0.050000,-0.020000,0.080000,0.050000,0.040000,0.020000,0.240000,0.120000,0.140000,0.030000,0.800000,0.400000,0.320000,-0.020000,0.600000,0.420000,0.310000,0.010000,1.410000,0.770000,0.520000,-0.040000,1.100000,0.400000,0.340000,0.080000,1.090000,0.800000,0.200000,0.0
26,稀释每股收益(元/股),0.006100,0.004600,0.010200,-0.252100,-0.006400,0.008300,-0.006900,0.043500,0.056500,0.050000,-0.020000,0.080000,0.050000,0.040000,0.020000,0.240000,0.120000,0.140000,0.030000,0.800000,0.400000,0.320000,-0.020000,0.600000,0.420000,0.310000,0.010000,1.410000,0.770000,0.520000,-0.040000,1.100000,0.400000,0.340000,0.080000,1.090000,0.800000,0.200000,0.0
27,七、其他综合收益,-3604.11,-17415.97,-323213.17,114763.43,844826.58,-135505.47,-112306.01,-450161.60,206847.54,84223.71,532207.59,225441.39,383166.90,271138.47,-27087.07,361637.13,86254.61,-893.40,24515.16,189266.13,52290.62,0,53009.20,-52721.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,12283966.66,9067472.41,24327171.97,-748274437.78,-20107668.02,19200018.65,-20513757.30,92849921.42,113570783.83,91504143.51,-37145374.79,148767293.27,100432683.83,83070966.33,9684935.14,162772944.12,78645595.40,92229423.47,6061585.98,210331579.44,103804228.59,83618417.08,-6958983.83,157213714.87,111281078.08,81388842.82,889803.13,175671433.94,93608495.15,60813020.38,-3714004.45,110250639.20,40410510.49,33622548.67,7533309.77,91321420.28,59044223.93,14846645.21,0.0
29,归属于母公司所有者的综合收益总额,15600609.35,11718962.24,25657771.86,-639854924.20,-15497236.09,20683718.63,-17689345.62,93444422.28,111661059.86,93058543.43,-35941273.70,155261346.77,106240352.89,87537210.30,11594256.04,169648157.04,83825294.57,95424416.33,7655361.79,212941800.65,106547100.55,85282971.54,-6004321.64,159496418.38,112945275.59,82375096.56,1349360.70,176202712.10,93608495.15,0,-3714004.45,0,0,0,7533309.77,0,0,0,0.0
30,归属于少数股东的综合收益总额,-3316642.69,-2651489.83,-1330599.89,-108419513.58,-4610431.93,-1483699.98,-2824411.68,-594500.86,1909723.97,-1554399.92,-1204101.09,-6494053.50,-5807669.06,-4466243.97,-1909320.90,-6875212.92,-5179699.17,-3194992.86,-1593775.81,-2610221.21,-2742871.96,-1664554.46,-954662.19,-2282703.51,-1664197.51,-986253.74,-459557.57,-531278.16,0,0,0,0,0,0,0,0,0,0,0.0
