,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,799911229.37,572370240.14,366211217.95,184922608.11,760941838.32,510639754.47,342846140.10,167530561.62,659644140.31,433357075.69,269647679.38,144637813.14,463125906.43,260361591.07,146513642.74,73811005.93,18280895.06,7061551.80,4910502.89,1815404.29,8386045.53,4694925.25,3588000.23,1207689.47,10694395.25,5500398.97,1796079.28,1081580.31,3764942.97,197940.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4103780.45,4097404.38,4078471.07,1151506.51,31904344.30,20293933.72,13108437.02,4970224.11,30971627.44,14936617.43,13239580.89,8137483.12,18878270.60,10782127.95,8088979.96,4388289.12,40889967.44,24155367.87,14086063.94,6199874.90,16016000.15,13818345.50,11576328.10,7873626.30,9718578.91,7705851.21,5330640.46,4493628.50,33063771.38,25972507.19,22785446.47,25446505.70,27113059.22,3858383.44,154866849.48,505081227.66,526809176.09,183710639.02,610425989.75,449072185.53,324592588.60,239019581.48,430826408.18,129419190.29,227943476.23,89273201.60,119210374.49,54825394.98,41232611.91,0.0
2,营业收入,799911229.37,572370240.14,366211217.95,184922608.11,760941838.32,510639754.47,342846140.10,167530561.62,659644140.31,433357075.69,269647679.38,144637813.14,463125906.43,260361591.07,146513642.74,73811005.93,18280895.06,7061551.80,4910502.89,1815404.29,8386045.53,4694925.25,3588000.23,1207689.47,10694395.25,5500398.97,1796079.28,1081580.31,3764942.97,197940.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4103780.45,4097404.38,4078471.07,1151506.51,31904344.30,20293933.72,13108437.02,4970224.11,30971627.44,14936617.43,13239580.89,8137483.12,18878270.60,10782127.95,8088979.96,4388289.12,42978261.11,25287692.11,15214845.12,6312665.03,15720937.26,13558123.88,11316188.28,7849042.70,11406332.17,10357388.39,8115122.18,4474086.56,33402206.30,25705991.27,22604036.24,25405768.99,27048735.01,3886107.26,154988746.19,502379619.33,526038068.55,183420014.74,609380866.98,447801196.89,324317160.12,238934617.04,429513676.79,128794600.52,225562621.62,87510254.64,106346014.99,54825394.98,41232611.91,0.0
3,二、营业总成本,610300442.32,433925144.66,286566187.78,149646085.64,591303773.29,421570108.48,277665481.34,139940670.13,558899572.05,383453562.72,236397762.19,128240847.60,501258213.04,323557405.68,206120440.27,99459065.18,40094310.41,10240805.82,6471805.13,1879115.62,7984315.23,2364139.89,2762800.76,306873.24,6466446.37,5220634.26,2496295.12,1003763.15,-132702974.78,-131325052.81,-28736307.69,1655001.34,40934868.79,6205579.37,5839182.47,605796.61,91874356.20,21026418.24,16331822.37,3943655.52,203076826.89,28677517.32,23185359.99,5615654.39,76074759.81,49019640.55,39929577.88,16047902.77,41781455.00,9857325.43,23167370.23,8448211.37,87031672.01,53078561.00,39344020.28,17730319.50,76673874.57,67280568.94,44981760.85,16062846.86,97470097.66,63671085.83,49714056.08,21280335.02,60585339.44,19995614.02,9750989.83,15041538.50,110632174.66,76967281.93,64630338.50,48834001.49,228361635.27,154319429.04,277053630.04,346421891.20,409912330.99,116561511.56,424240898.31,309743395.48,273453590.62,0,382968021.08,0,206324393.60,0,96841428.60,0,31126409.64,0.0
4,营业成本,549283605.26,389743793.97,256880697.40,130150240.81,497058018.39,327977887.53,216208530.09,108634245.69,387592955.60,281780378.91,169706649.73,96586057.76,332307414.65,231397763.82,145208869.58,68297822.89,10378625.46,3782605.17,2362425.39,1159728.99,3214402.41,1640427.81,1444056.62,415594.12,3129504.06,2562109.80,840858.03,546788.58,2028338.53,0.00,0.00,546788.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3943655.52,3060932.04,3036155.01,3028948.49,858658.81,20541962.29,15994364.24,10300899.15,5350741.91,22979085.28,11142000.95,10228820.96,7424904.91,23742029.68,9426274.05,6881675.46,3104297.36,35161554.80,21583903.89,12840910.06,4529393.48,21387173.57,16616368.88,14185003.40,8802068.66,8336376.99,8063246.27,6386668.50,3039767.69,30109661.83,22014150.73,19983638.76,19876982.34,26462833.79,4878680.89,124521861.80,274933037.62,303359481.54,75771981.31,341295823.69,265846234.10,191646143.00,0,291831163.06,0,154115074.36,0,76708234.41,0,32834211.52,0.0
5,营业税金及附加,7453808.29,6191888.13,4296660.59,2238118.88,9000005.32,7011048.53,4818625.25,2473118.54,8811430.58,5812323.69,4018107.34,1447838.42,7761578.61,3445919.61,2409815.42,1469840.09,1002173.18,507117.32,337455.84,36352.56,658131.55,300209.28,258848.34,95058.88,626287.08,109259.63,43222.23,0,65222.44,1893.68,0.00,0,0,0.00,0,0,0,0,0,0,24794.48,24686.10,24686.10,964.74,2224766.54,1382617.82,1113928.17,532123.34,2538334.19,713478.01,219002.63,210171.48,1911123.58,130063.21,106935.93,69164.79,1594432.81,222863.68,106276.48,91187.76,1570654.29,1355337.06,1120162.26,117820.66,332241.00,674758.46,666726.71,175597.05,1495824.34,1205018.64,1041143.26,329629.58,840953.94,3827.39,5081091.94,3830493.28,14071122.03,3504966.93,23301141.37,15495815.65,14615446.10,0,20574925.49,0,9841634.29,0,6280681.08,0,1230.58,0.0
6,销售费用,2253099.15,1294375.80,914014.24,484902.14,2371732.44,1312593.28,920901.61,474147.24,2129541.03,1257581.53,754529.59,387897.29,1858489.08,920539.18,597337.74,248829.19,1398945.14,715899.58,555965.17,261159.77,1020024.03,554576.40,352221.65,136188.86,952176.81,164725.90,68599.69,0,53438.57,8169.38,0.00,0,0,0.00,0,0,0,0,0,0,618080.53,618080.53,589614.63,421503.25,1289080.36,415960.09,309064.08,83192.25,1224924.49,786671.59,677467.76,454781.90,2749969.72,2038295.98,1465237.31,849057.06,2435349.05,1585578.82,832125.68,278978.50,1314853.41,565799.38,466221.46,220871.54,2547724.46,1514079.11,888822.02,507951.25,1785375.35,981237.69,697091.33,1377450.60,1607031.91,342006.69,6223139.34,15291021.09,23728125.74,5492151.82,21359922.70,7427707.87,18341322.57,0,22110069.22,0,13762895.04,0,3546922.15,0,265225.39,0.0
7,管理费用,63237138.99,43376132.47,29245898.07,18339067.90,73273430.91,87640634.34,57193136.70,27513762.63,132288721.36,89693986.05,58314024.00,27575163.65,119530854.35,77700123.90,50281139.11,25066263.00,28802533.80,6736705.60,4609161.35,1471361.69,6653719.88,4026389.51,3176432.61,736255.29,6189220.06,3765498.71,2661592.76,1347218.06,8946003.19,6895265.87,4057304.31,1591439.95,18841776.54,6014063.22,5711505.00,542198.41,4160960.75,3783681.32,2311006.80,929113.72,9562331.64,5771916.52,3638902.50,1232204.33,14675250.81,10578312.49,5959103.07,2273468.38,6221969.28,4003135.21,1983151.23,-5078787.10,9312254.79,10641960.69,9674210.98,2775917.91,19852257.96,12325902.20,9471433.00,2998154.73,29905041.28,19392648.28,16637393.70,3615966.84,8194940.61,-16005690.19,-15929281.28,2992666.05,36829411.25,22802844.12,21220601.88,9348784.16,155580183.86,131276944.99,74175402.36,29451061.79,45177646.79,16048341.97,28598121.93,13040720.29,28409049.15,0,25749655.94,0,19830669.72,0,6727561.21,0,1017663.25,0.0
8,财务费用,-11927209.37,-6681045.71,-4771082.52,-1508196.47,-5152483.79,-2000975.74,-1036255.65,845396.03,5368511.57,5676198.57,4336656.68,2243890.48,12712557.96,10791811.26,8322030.51,4376948.09,-1764114.54,-1501513.87,-1402346.94,-1049487.39,-5837732.32,-4277865.61,-2589160.96,-1076223.91,-4619917.60,-1380959.78,-1117977.59,-890330.67,-983616.30,-754266.46,-536117.31,63561.39,249738.62,191516.15,127677.47,63598.20,8977354.89,9427811.55,6205890.20,3014541.80,12372499.29,9325076.63,6001605.74,3102323.26,23067659.27,18661112.95,17678933.82,7808376.89,25736686.50,20149339.37,10233786.21,5437140.18,40105500.43,30841967.07,21215960.60,10931882.38,17630279.95,31562320.35,21731015.63,8165132.39,43292375.11,25740932.23,17305275.26,8523607.32,41174056.38,25749220.37,17738053.88,8325556.46,40411901.89,29964030.75,21687863.27,17901154.81,43870631.77,17817969.08,59957774.82,22916277.42,23575954.89,15744069.53,9685888.62,7932917.57,20441629.80,0,22702207.37,0,8774120.19,0,3578029.75,0,-2991921.10,0.0
