,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1849512179.25,1639508108.19,1125114024.55,504738606.44,1484846983.24,972405969.77,619775693.73,302917328.63,1201491857.09,934125483.44,659789185.08,334544380.96,1000825200.30,714071910.20,477269760.26,212500932.05,874853676.55,637224146.74,480890574.00,231471984.51,1047887996.03,791480291.27,537703886.05,259490439.97,1079789510.07,1052057357.61,525715635.30,958946118.29,737553291.32,592429857.61,0.0
17,减：营业外支出,580758.57,543779.87,428136.00,164800.00,899385.29,456421.06,307800.00,303000.00,765685.79,4053658.04,3714161.86,568363.78,6213181.74,2022944.77,1973614.20,2035182.32,11338506.43,12006016.58,330755.75,121877.00,1904133.91,1887554.39,1887554.39,1649072.44,4269324.80,3243395.07,156917.41,9253368.87,4971449.97,2651225.96,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,3393222.25,3462951.87,0,5998536.53,1824773.16,1833028.72,0,0,0,0,0,0,0,1051543.01,0,0,0,0,0,0,0,0.0
19,四、利润总额,-19704214.18,-13431290.47,6256147.40,4006706.68,66589101.74,39219738.19,29840620.43,14189475.83,177503910.61,161672588.66,140389415.26,77264918.70,123957830.44,83310304.42,42783321.81,17396210.31,43691665.88,26715345.22,26433372.69,21686826.55,96776644.46,81927186.24,68390845.51,32783024.57,113507293.04,95535106.48,49661190.51,105696797.83,67463452.39,35754863.14,0.0
20,减：所得税费用,-1224088.98,-1280216.05,1378662.60,761927.57,9681318.28,5670920.67,3888637.98,2192978.75,26944068.43,24970335.43,21721661.83,12101888.04,19279504.19,12540854.50,6529931.90,2609431.54,6769415.95,4090764.40,4290699.20,3253023.99,14704675.43,12570408.63,10580561.79,4920227.68,17105094.42,14713358.75,7380526.14,15960904.91,9815814.08,4138150.04,0.0
21,五、净利润,-18480125.20,-12151074.42,4877484.80,3244779.11,56907783.46,33548817.52,25951982.45,11996497.08,150559842.18,136702253.23,118667753.43,65163030.66,104678326.25,70769449.92,36253389.91,14786778.77,36922249.93,22624580.82,22142673.49,18433802.56,82071969.03,69356777.61,57810283.72,27862796.89,96402198.62,80821747.73,42280664.37,89735892.92,57647638.31,31616713.10,0.0
22,归属于母公司所有者的净利润,-18240404.85,-11964813.49,4953905.15,3244779.11,56907783.46,33548817.52,25951982.45,11996497.08,150559842.18,136702253.23,118667753.43,65163030.66,104678326.25,70769449.92,36253389.91,14786778.77,36922249.93,22624580.82,22142673.49,18433802.56,82071969.03,69356777.61,57810283.72,27862796.89,96402198.62,80821747.73,42280664.37,89735892.92,57647638.31,31616713.10,0.0
23,少数股东损益,-239720.35,-186260.93,-76420.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.076000,-0.050600,0.020600,0.010000,0.237100,0.139800,0.108100,0.050000,0.627300,0.569600,0.494400,0.271500,0.436200,0.294900,0.151100,0.123200,0.328200,0.210000,0.210000,0.200000,0.911900,0.770000,0.640000,0.310000,1.071100,0.898000,0.469800,0.997100,0.640500,0.351300,0.0
26,稀释每股收益(元/股),-0.076000,-0.050600,0.020600,0.010000,0.237100,0.139800,0.108100,0.050000,0.627300,0.569600,0.494400,0.271500,0.436200,0.294900,0.151100,0.123200,0.328200,0.210000,0.210000,0.200000,0.911900,0.770000,0.640000,0.310000,1.071100,0.898000,0.469800,0.997100,0.640500,0.351300,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0.0
28,八、综合收益总额,-18480125.20,-12151074.42,4877484.80,3244779.11,56907783.46,33548817.52,25951982.45,11996497.08,150559842.18,136702253.23,118667753.43,65163030.66,104678326.25,70769449.92,36253389.91,14786778.77,36922249.93,22624580.82,22142673.49,18433802.56,82071969.03,69356777.61,57810283.72,27862796.89,96402198.62,80821747.73,42280664.37,89735892.92,57647638.31,31616713.10,0.0
29,归属于母公司所有者的综合收益总额,-18240404.85,-11964813.49,4953905.15,3244779.11,56907783.46,33548817.52,25951982.45,11996497.08,150559842.18,136702253.23,118667753.43,65163030.66,104678326.25,70769449.92,36253389.91,14786778.77,36922249.93,22624580.82,22142673.49,18433802.56,82071969.03,69356777.61,57810283.72,27862796.89,96402198.62,80821747.73,42280664.37,89735892.92,57647638.31,31616713.10,0.0
30,归属于少数股东的综合收益总额,-239720.35,-186260.93,-76420.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
