,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,30566841834.00,22308622312.00,15011168411.00,7878876045.00,28712496304.00,20344587698.00,14369429371.00,6716603484.00,27377292896.00,22160561720.00,15155609862.00,6357233700.00,27776047120.00,24766088194.00,15301140322.00,6384328901.00,26767019600.00,18395801109.00,8940798147.00,4042957610.00,24247085352.00,14939747823.00,9358930642.00,4122323181.00,25271519802.00,17476430032.00,10632446347.00,2801083067.00,19829215410.00,17121947296.00,10723114600.00,4247877884.00,21273153001.00,15050917104.00,9936672756.00,3720982446.00,18511447284.00,12404281386.00,7821983947.00,2668238759.00,16886505391.00,7523094640.00,4386971535.00,1701939581.00,12619226032.00,10370684968.00,6244680170.00,2006361159.00,8709307156.00,5444734040.00,3459816186.00,1410947950.48,8221883320.00,5043902510.44,2828980412.00,1183167058.22,4616137823.00,2479746977.28,1499158719.36,1844785286.00,956511141.63,717226980.17,0.0
2,营业收入,30566841834.00,22308622312.00,15011168411.00,7878876045.00,28712496304.00,20344587698.00,14369429371.00,6716603484.00,27377292896.00,22160561720.00,15155609862.00,6357233700.00,27776047120.00,24766088194.00,15301140322.00,6384328901.00,26767019600.00,18395801109.00,8940798147.00,4042957610.00,24247085352.00,14939747823.00,9358930642.00,4122323181.00,25271519802.00,17476430032.00,10632446347.00,2801083067.00,19829215410.00,17121947296.00,10723114600.00,4247877884.00,21273153001.00,15050917104.00,9936672756.00,3720982446.00,18511447284.00,12404281386.00,7821983947.00,2668238759.00,16886505391.00,7523094640.00,4386971535.00,1701939581.00,12619226032.00,10370684968.00,6244680170.00,2006361159.00,8709307156.00,5444734040.00,3459816186.00,1410947950.48,8221883320.00,5042805105.03,2828980412.00,1183167058.22,4616137823.00,2467382143.25,1495360990.29,1844785286.00,955431815.62,716316396.34,0.0
3,二、营业总成本,29048105076.00,20941660719.00,14068599868.00,7435961965.00,29879692734.00,19068782462.00,13370255493.00,6246264972.00,26705195537.00,21413411321.00,14615645393.00,6166426762.00,27528391916.00,24398393591.00,15094142783.00,6429034762.00,26389686781.00,18250235211.00,8834490625.00,4076933833.00,23990273471.00,14567421601.00,9154109063.00,4059892529.00,25175325127.00,17321092532.00,10615355309.00,2802116533.00,20474788134.00,17071667450.00,10657226351.00,4252624335.00,20483736673.00,14302013245.00,9261817044.00,3534020139.00,17566712905.00,11592063025.00,7308346339.00,2443069913.00,15979607484.00,7200257979.00,4226445160.00,1669111610.00,12485976505.00,9100967273.00,5347696772.00,1746767835.00,6513719828.00,3753156524.00,2419522091.00,958479788.04,6152253982.00,3755357815.11,2168911202.00,911396998.02,3993239234.00,2042102255.82,1196149416.97,1487996051.00,772876258.32,627437938.91,0.0
4,营业成本,26842854896.00,19426973949.00,13090005263.00,6954123745.00,25282811044.00,17661706071.00,12562941954.00,5883364542.00,24656923370.00,20110093635.00,13815117053.00,5723310757.00,26091316546.00,23712760064.00,14705633337.00,6229009686.00,25422490243.00,17561620162.00,8454755530.00,3898060673.00,22761559175.00,13787737856.00,8707557019.00,3807619893.00,23955191352.00,16516466001.00,10002004646.00,2539431174.00,18564175209.00,16156849450.00,10070537746.00,4012207353.00,18983446009.00,13094748426.00,8645795089.00,3261972705.00,16281190704.00,10787652021.00,6775984194.00,2202643073.00,15106782975.00,6818394634.00,4061170511.00,1606128664.00,11097629221.00,8385285838.00,4936513084.00,1544077914.00,5551872643.00,3094906499.00,1896071751.00,770843723.42,5304070149.00,3241879757.30,1790942001.00,755540663.08,3422087371.00,1661391273.20,983544656.51,1207914510.00,633084703.91,508884467.81,0.0
5,营业税金及附加,370751642.00,277665607.00,185317519.00,89561856.00,358298236.00,280821557.00,198634596.00,94576429.00,285624861.00,220476761.00,142574868.00,71321100.00,153754106.00,27299858.00,19956200.00,7916425.00,36947463.00,23535105.00,15376099.00,4902663.00,57837600.00,37453420.00,17119815.00,7577999.00,54845881.00,31754697.00,19508688.00,8273507.00,45825580.00,49770738.00,32574601.00,14756578.00,79874401.00,51643803.00,34925565.00,13401029.00,63148429.00,44973022.00,26218080.00,9495346.00,57597449.00,38589780.00,26013838.00,9882320.00,60631965.00,51235036.00,36403117.00,11643829.00,61003641.00,40371560.00,25405317.00,9414601.06,32672025.00,24966505.54,17447331.00,6053148.80,17249557.00,12745961.94,9039901.99,7598584.00,4476728.37,3200129.94,0.0
6,销售费用,181189653.00,98829793.00,63131162.00,30021100.00,135808093.00,69761332.00,48044050.00,24067996.00,72619997.00,52678892.00,36089945.00,20393787.00,81518532.00,61782377.00,35978773.00,16033766.00,96458353.00,63273050.00,28044241.00,10451409.00,140889175.00,108197235.00,50601124.00,21193490.00,148183252.00,95927127.00,62088260.00,27167466.00,159427616.00,109010688.00,63732117.00,31749366.00,168253228.00,122491471.00,73881421.00,25815613.00,136462473.00,94595613.00,59812967.00,24527776.00,138582927.00,91224416.00,61684509.00,28558336.00,147246993.00,102080034.00,63381125.00,27119747.00,122086780.00,78551687.00,47195283.00,19820858.76,131645541.00,74280121.96,47502744.00,24859225.00,90683190.00,64294701.45,39395598.92,43564297.00,30004486.33,46022539.11,0.0
7,管理费用,600801423.00,422456458.00,271162750.00,122402208.00,641042327.00,421452180.00,272041562.00,125937936.00,566657727.00,392365851.00,240075639.00,98574647.00,529882660.00,410802940.00,254806196.00,140285363.00,507345677.00,399883575.00,239014427.00,120172375.00,623322245.00,431345139.00,262847739.00,119725652.00,692920145.00,482470569.00,335411059.00,159027130.00,785047115.00,553845219.00,352743493.00,160483971.00,823853706.00,498901652.00,326965487.00,135507976.00,815090295.00,471362186.00,283062265.00,119630421.00,522902302.00,421351618.00,253703589.00,117539369.00,621944783.00,386190559.00,223191001.00,125875605.00,589528704.00,449437774.00,352921859.00,99352015.51,434703119.00,250726208.44,176953585.00,67627276.15,321461045.00,179302164.14,95403027.10,151589702.00,87877025.26,51438523.21,0.0
8,财务费用,929216843.00,657974570.00,438992987.00,223752165.00,662329933.00,383655711.00,237655720.00,112827887.00,383331162.00,260335997.00,168560157.00,77803915.00,272240700.00,168242653.00,110403967.00,52481195.00,282108559.00,204211225.00,108165677.00,60122583.00,277133345.00,207626257.00,133006320.00,105011598.00,202526810.00,215289312.00,136155847.00,64174816.00,305775108.00,289496121.00,202418403.00,101572654.00,303478789.00,264909988.00,186089700.00,97322816.00,243119097.00,170062888.00,118797917.00,87052688.00,191316789.00,158768539.00,139344206.00,56549204.00,154741543.00,105946497.00,93305494.00,38669946.00,166605771.00,139205589.00,79378029.00,59048589.29,175999276.00,163505221.87,129631980.00,57316684.99,138492520.00,124368155.09,68766232.45,66516532.00,17433314.45,17892278.84,0.0
