,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1874478945.12,8353884452.41,6177849766.76,3937272666.32,1965282033.07,7055220884.53,5346024697.83,3457292227.75,1706007492.92,8008880952.50,6238323344.15,4002804366.77,2077798866.20,9005558984.02,6602705332.77,4516495759.76,2303847455.63,8909315338.14,6787359739.89,4819342186.58,2705616840.18,1738794725.40,1394233112.88,1038909079.17,685443069.80,3177004852.99,2299368392.32,1561184631.73,788542449.31,4068385292.74,3011514987.21,2103112800.37,1053317315.88,3605738903.28,2701340437.82,1802969183.94,950272733.56,3005088595.41,2279273891.02,1528426125.67,760899260.22,2638253181.80,1989803767.55,1210976594.82,547130806.22,2594344127.80,1911458539.90,1227858901.24,537630219.52,2268208072.15,1531657885.40,988053975.90,503836138.53,2066762068.67,1440707822.61,963429394.28,524367033.89,1770048312.01,1291008883.24,842521849.16,481553783.34,639602379.82,389373715.29,235214778.68,72817670.89,512206441.21,390193323.69,237894989.53,82920557.98,505482909.56,412503323.17,249720416.84,92911810.53,522199733.63,256591795.30,517647674.16,259402088.56,386087360.45,177022225.73,353578606.30,157659657.86,311470299.49,139624230.98,263937278.77,132651220.97,264352607.32,129775809.87,276459000.00,132603392.00,310404178.00,100827461.00,249721593.00,176161598.00,169977076.00,0.0
2,营业收入,1874478945.12,8353884452.41,6177849766.76,3937272666.32,1965282033.07,7055220884.53,5346024697.83,3457292227.75,1706007492.92,8008880952.50,6238323344.15,4002804366.77,2077798866.20,9005558984.02,6602705332.77,4516495759.76,2303847455.63,8909315338.14,6787359739.89,4819342186.58,2705616840.18,1738794725.40,1394233112.88,1038909079.17,685443069.80,3177004852.99,2299368392.32,1561184631.73,788542449.31,4068385292.74,3011514987.21,2103112800.37,1053317315.88,3605738903.28,2701340437.82,1802969183.94,950272733.56,3005088595.41,2279273891.02,1528426125.67,760899260.22,2638253181.80,1989803767.55,1210976594.82,547130806.22,2594344127.80,1911458539.90,1227858901.24,537630219.52,2268208072.15,1531657885.40,988053975.90,503836138.53,2064447697.85,1438163176.68,962524700.07,523788978.11,1768996265.94,1290436778.33,841739725.38,479901689.24,642703877.28,390335827.08,236199588.08,71356561.05,511723159.68,389822637.39,237195785.33,82794595.86,503240301.61,411394920.23,248409858.09,92894080.91,521117959.29,256006229.75,516969629.74,259290892.95,385944704.35,176868574.02,352810907.85,156757242.07,307879868.89,140046871.34,264773300.49,132761719.36,264304929.16,129853060.32,275919000.00,131529125.00,309282794.00,99975374.00,246993614.00,174603655.00,167928872.00,0.0
3,二、营业总成本,1806562473.42,7975302671.54,5869066114.78,3732193913.93,1868718958.86,6712501161.07,5079185479.38,3281890889.52,1611579295.92,7678150952.07,5966247368.87,3820581135.09,1989958793.89,8712484869.19,6348558460.53,4352124829.92,2219010206.56,8689219923.09,6602765800.27,4679746593.87,2623909307.55,1681927806.70,1330901694.97,969278777.72,670462825.07,3163188794.87,2373008343.45,1594297527.09,784572035.20,3657147119.05,2750159229.74,1843206763.14,914053766.53,3191092646.38,2341341461.21,1561003281.68,827676015.70,2637282649.73,1986673607.10,1329385497.73,655407983.40,2303423050.55,1738684957.41,1049961500.24,480337765.48,2256357589.53,1670461168.35,1077890178.75,461131629.96,2042004417.92,1355824254.75,878088087.87,447383518.18,1804720333.09,1244498041.70,860517667.32,451468393.20,1489833481.10,1083741605.55,720061572.26,405903577.69,597548828.89,375694682.60,248677190.02,86185146.32,495696766.76,367591376.51,234221384.52,93120664.92,494108281.42,373472255.48,237950912.19,99892092.90,476663809.07,237976520.07,459029566.02,255853266.83,383943778.38,175144861.27,353711480.96,155760954.72,306538659.69,0,264083135.16,0,256817789.53,0,0,0,270403532.00,75031754.00,205164834.00,139427203.00,140817391.00,0.0
4,营业成本,1647481251.40,7333093607.36,5420131383.54,3434233182.03,1693899352.58,6151086657.34,4670010258.45,3019114097.73,1476515068.88,7079569982.78,5530105115.51,3552902831.56,1856741655.30,8103057757.74,5945663388.67,4080481396.50,2081709949.65,7921418145.06,5983183182.90,4193598122.79,2271219097.18,842108730.65,649876386.59,479762832.17,387718328.85,1876294963.17,1434726258.74,957395850.05,471775042.16,2006344707.18,1538322172.83,998028634.66,466597003.68,1820541181.27,1316453248.75,856937647.92,411998715.39,1514223433.09,1154262038.68,729802942.67,326855017.04,1335499982.05,1094787426.79,687551688.25,315109710.34,1226074061.22,934901521.72,626468749.95,214780955.17,1170670083.50,768837365.10,543185883.87,275715772.93,1087696645.94,735865519.79,528298450.12,309360430.11,923410088.27,639374893.04,416704715.21,273718591.79,381664812.51,299269668.48,184531702.17,58948277.88,369413097.77,277093189.57,173798734.12,65321242.68,361559997.78,291370262.70,184073448.16,71240634.66,370417716.52,185877466.74,384078741.62,196822356.77,283352105.43,131187572.60,261665084.55,120213007.85,229095534.70,0,186701075.01,0,196498466.62,0,0,0,220448482.00,60877299.00,177780786.00,116217796.00,119685617.00,0.0
5,营业税金及附加,4813033.74,25212710.40,19382931.09,12709430.99,6963741.24,23611749.78,18606699.97,12423618.70,5863630.75,27574312.03,21743599.18,13504686.39,5555732.13,23666965.66,14338890.09,9790706.75,3979282.35,21628399.02,17432665.02,14195813.46,9019819.41,20431208.17,16456390.30,11614221.43,7210086.72,26945311.62,19428693.71,16653997.86,9834272.79,46238169.67,32862496.85,25610911.20,13723475.77,35342759.63,28180219.42,18883723.29,10190093.84,26339216.89,20867117.57,14546533.43,10040853.15,24518528.38,18036014.58,9950550.89,4085167.79,25711436.18,18715246.84,11055989.17,6248011.36,19101212.77,13449307.37,7227112.38,3668057.53,18819206.51,12782815.16,7260424.94,3347204.63,18046947.40,13343585.72,8858265.21,4571740.07,7337484.24,4717898.61,2926206.72,662121.54,6044110.11,4627119.67,2854174.76,855271.56,5622786.10,4507124.84,2676752.27,799253.70,5248465.52,2601713.63,5285736.58,2721440.78,4277493.42,2114225.75,3725426.07,1495545.54,2673524.53,0,1880331.95,0,3249408.72,0,0,0,12807051.00,14154455.00,27384048.00,23209407.00,21131774.00,0.0
6,销售费用,108435294.98,364011069.60,225699570.03,144600796.72,70832485.76,243989282.23,178800983.63,116953849.00,60968299.22,248111549.82,183295891.66,123630500.15,63136031.94,100676598.44,157460023.28,102045008.79,50435292.44,191743227.89,169329172.91,147996648.36,126292376.47,472859312.21,423029710.98,315663901.40,176626484.88,879483382.20,684691349.95,452723368.59,221514181.11,1201473796.47,918301552.51,643929555.51,344556152.25,997750498.77,759373777.37,515357490.11,309232655.80,844849885.48,633113058.06,455049715.92,225881664.34,660506006.83,441580914.27,221965430.24,96521523.64,710318142.17,542642190.78,317459578.44,183185082.55,612443949.75,444797034.31,239168914.37,123393687.51,507736250.33,336415761.75,213482601.50,91969512.08,374178102.09,286306522.72,206162717.42,88353511.22,116610025.35,21515209.24,13147625.38,6407643.61,32972669.99,23334859.23,15296488.52,8133926.57,31031667.69,24261464.87,16303893.93,8981079.48,29531389.45,15750192.89,25388848.58,13213114.87,23677833.00,13057237.60,26571240.09,12268155.02,22599472.02,0,21714579.58,0,15972841.75,0,0,0,13134283.00,0,0,0,0,0.0
7,管理费用,29120867.36,228106258.47,189152091.51,133832476.80,73299479.20,288581318.36,199381994.57,128399394.26,65206437.54,301101733.42,210088806.07,133465156.74,70327292.92,423310993.71,200931091.40,133596282.32,68417248.48,467886083.09,353927779.32,260756184.09,173040939.52,264540210.59,205852416.60,133493516.69,95163623.14,329882520.75,212825745.95,145491247.50,77748321.54,356689460.44,238044085.83,158976230.20,83434748.51,311352856.86,216292956.39,147843727.89,94192208.95,245879370.27,172170946.47,114312122.23,89935672.75,269827414.05,170580093.33,115266184.88,61547920.08,268274024.60,156650239.88,104316122.24,52945090.54,219493926.24,120113446.98,85166172.62,45036202.76,183992561.29,148209882.00,102690697.82,43136115.22,164961927.37,140535204.92,85306616.33,37546978.35,81888763.54,42112051.23,42112529.21,17749909.36,79819852.96,56991604.91,38561597.61,17013526.56,89667379.58,49165075.39,30232925.23,16520252.44,79692630.11,31804883.20,69401546.58,38127267.66,63550703.78,24288243.75,52522557.86,19289560.66,41276518.75,0,48111741.14,0,38035471.33,0,0,0,23401803.00,0,0,0,0,0.0
8,财务费用,16712025.94,24879025.71,14700138.61,6818027.39,1941983.60,21927305.39,16658158.34,11731079.66,7926888.14,17687318.61,10950540.60,6335270.26,1724175.46,1944548.99,1268296.49,1449257.45,674744.36,13213798.95,13013206.95,11510626.39,8486674.21,13089845.54,8537897.59,6218254.68,3748830.13,13119850.62,9858670.44,7054166.70,3706158.89,17438630.20,13569257.81,8734268.68,5103476.32,7368954.95,2194762.76,1249020.09,1711976.59,-391117.32,-283732.99,-2204677.12,-846629.30,7560435.96,8320889.54,7399039.79,2964623.64,13864945.79,9378143.49,6100800.59,3302622.59,7900945.98,5091819.51,135501.62,-430202.55,6475669.02,11224063.00,8785492.94,3655131.16,9236415.97,4181399.15,3029258.09,1712756.26,10047743.25,8079855.04,5959126.54,2417193.93,7447035.93,5544603.13,3710389.51,1796697.55,6226450.27,4168327.68,4663892.60,2350872.62,-8226392.53,1942263.61,-25125307.34,4969086.75,9011267.71,4497581.57,9227172.39,2494685.65,10893609.69,0,5675407.48,0,3061601.11,0,0,0,611913.00,0,0,0,0,0.0
