,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,913133558.69,585175945.53,258708039.31,1079019764.21,764669935.26,434725912.35,198963686.19,740803455.67,528921248.96,340830510.50,146808581.14,657677292.30,437235880.83,261412862.23,105076791.27,625540166.23,452913933.62,317270564.31,158929503.68,669843082.91,484293846.74,285357268.10,141300008.72,708077989.74,507881293.76,329558695.47,155167785.27,631379802.56,446088726.64,307176373.83,158310150.39,756144367.85,553651619.40,354390134.52,156183679.85,622027966.46,433681035.48,286429459.68,134411907.62,501318665.92,347392881.77,206874025.83,83591639.84,372360495.79,286095127.63,161946408.38,64478411.18,314089278.49,240336158.57,162286964.68,78019352.22,351649340.14,262535360.93,174134316.52,79109580.13,308365894.23,336479168.85,272263954.05,0.0
2,营业收入,913133558.69,585175945.53,258708039.31,1079019764.21,764669935.26,434725912.35,198963686.19,740803455.67,528921248.96,340830510.50,146808581.14,657677292.30,437235880.83,261412862.23,105076791.27,625540166.23,452913933.62,317270564.31,158929503.68,669843082.91,484293846.74,285357268.10,141300008.72,708077989.74,507881293.76,329558695.47,155167785.27,631379802.56,446088726.64,307176373.83,158310150.39,756144367.85,553651619.40,354390134.52,156183679.85,622027966.46,433681035.48,286429459.68,134411907.62,501318665.92,347392881.77,206874025.83,83591639.84,372360495.79,286095127.63,161946408.38,64478411.18,314089278.49,240336158.57,162286964.68,78019352.22,351649340.14,262535360.93,174134316.52,79109580.13,308259110.78,336293741.88,272250602.86,0.0
3,二、营业总成本,842449061.41,532328560.71,242208997.27,984520262.28,688519063.93,398619834.52,186445141.00,701053142.90,482672533.01,317686030.69,141653271.84,634043819.61,422064402.85,255104210.87,102767165.78,614045686.99,446485453.54,315730559.26,161266626.81,741061741.12,538411270.55,325160494.62,163486194.05,752636438.29,542934674.23,351159950.89,167066420.19,684547774.41,469861367.42,321426725.64,171585487.12,722438109.16,532222776.95,342482423.08,151290505.29,583054999.24,407283040.53,273066834.71,127758668.61,486361374.05,342701854.09,206931765.73,92330468.21,416779524.19,316878356.66,191001306.18,83722865.00,324710002.81,236121847.15,156193659.13,75513068.75,321273006.79,239847820.84,162572492.68,76731679.60,284936500.92,299467253.71,235838681.97,0.0
4,营业成本,678142588.74,429604861.78,191478672.18,798922212.81,558368980.44,320901015.91,147881735.39,549671289.73,385545476.68,253749843.80,109759743.44,502507436.80,326881308.00,191618828.48,74123102.03,479069463.17,352573441.82,252517929.69,132478349.39,614704552.79,443410258.82,259520113.98,127583879.40,617438072.44,445921954.69,284698204.31,136305803.18,546240176.79,384864408.50,267758041.70,143953958.01,621371857.98,464733264.31,298479425.05,130999419.81,500732798.52,347620312.17,234425382.66,111112187.94,419609353.95,293834633.84,177560687.73,76455538.81,340808698.93,270210895.46,162375739.12,69309254.83,277956694.80,200119464.77,130311954.17,61255857.28,255143886.81,192687094.83,131042095.67,61080567.14,233618209.42,239521823.05,190460830.96,0.0
5,营业税金及附加,12184770.39,9037156.19,2443170.30,15643904.38,9470899.29,5692834.26,1820139.48,10830111.18,7760722.27,6314146.18,2778512.42,9448278.90,3329061.08,1599466.40,848096.45,1713210.34,753387.84,586119.34,377217.96,3953123.41,2519889.03,1542966.89,661355.32,5799632.30,3724584.47,2323333.71,1241001.14,3198436.24,1578216.10,943426.05,524136.46,4422979.49,3021445.38,2029262.04,775406.07,3542645.16,2663762.39,1781019.61,682321.33,2996987.57,2094325.62,1024418.52,352443.08,2082337.82,1697556.53,778305.60,395283.75,1905547.13,1637440.19,1380781.26,654561.89,2844654.31,2094082.53,1449328.16,662218.06,1688886.79,681638.66,1512109.27,0.0
6,销售费用,29946747.88,18315872.03,7388007.48,30836435.17,22558035.94,12116256.83,5979686.01,22761487.22,16755291.64,9355674.32,5458443.61,21384596.64,13049924.61,9120872.08,2250365.79,18276700.58,12254133.68,7735960.85,3180252.89,18824088.59,13608264.27,9099181.82,3995073.72,16769788.02,12280820.13,8330132.90,3634593.34,17015651.21,12254666.17,9018817.56,4878774.04,18961329.75,13756449.42,9447017.57,4273154.52,19325681.42,13885738.90,9286043.09,3698390.40,16742205.28,11610963.07,5635287.24,3304026.73,15062946.44,9208261.41,4183396.28,2023726.83,8486006.84,5813535.54,2737571.13,1786742.97,12884784.58,9584142.53,6042015.82,4589679.10,12816061.05,20075510.22,8566728.49,0.0
7,管理费用,66055703.77,42112759.55,19294003.07,84196552.63,53486013.42,38236632.70,19681725.23,63066345.15,45933385.11,29279625.25,14954419.24,77370245.13,58790939.60,44640296.40,23507126.16,61538626.08,41564515.78,24195998.07,13005012.40,45500194.22,36824763.77,25006042.28,15269741.57,50769407.82,35442931.42,24088717.44,12311060.27,57546299.46,36140744.25,23269555.25,12309064.98,43965988.91,27604703.65,17797242.67,8742656.17,39421457.77,29925442.12,18619365.08,8825433.62,30994507.92,22460316.21,14553957.33,8572447.16,31945359.53,21520043.31,14824822.64,8427010.89,21446191.27,17174643.60,14527324.74,7784357.16,37160971.79,27948409.48,19025979.68,7980793.54,27427614.53,31177271.27,31377298.17,0.0
8,财务费用,51235904.26,30226681.41,15987614.31,46040865.17,29405428.74,20020921.73,11435368.65,37697371.52,22748672.54,14999262.78,6461062.55,21615703.50,17119683.28,11382512.29,5384134.58,39287878.49,29210647.35,21294473.11,10449180.66,43246367.24,29380180.41,20267272.70,11161025.11,50719269.64,34316163.09,22971206.00,10356381.87,48733492.73,28777583.81,18047565.61,9490097.07,31457022.51,20958130.75,12643988.11,4942701.88,19687986.42,11621823.84,7306599.44,3412102.17,13542113.98,10113860.73,6329074.41,3258861.04,22072943.29,15004677.99,9602120.58,4635623.30,13893573.44,11376763.05,7236027.83,4031549.45,11804484.45,7534091.47,5013073.35,2418421.76,9385729.13,8011010.51,3921715.08,0.0
