,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,116171072.14,59506814.38,13995327.23,130347276.30,109732826.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,40351706.00,35685756.91,444020.23,-294305.86,-6060180.19,46781995.60,-26131188.37,-25376804.74,-16245070.68,35988774.36,29100454.90,4497004.31,4765531.49,22095211.58,-4458027.87,19329611.32,7350737.57,21954097.64,4871332.67,6164085.00,4184418.68,3404038.50,6070615.25,2745157.64,1229968.31,-2803757.18,32145423.21,32309915.29,28400051.56,98715101.47,0,0,0,32037287.07,0,0,0,1708166.90,-4725.00,0,-413.11,11367605.47,-2282.26,0,0,7787810.43,1522699.45,3394878.71,0,5323169.19,0,301794.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,181039.38,405593.76,677448.11,1705592.24,-361199.60,-228406.00,176000.00,-133694.22,1934689.65,-827110.00,-196770.00,-1474493.34,-591291.74,-326231.32,-93756.62,142064.57,76184.00,-15365.00,311593.00,15365.00,82000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175192.02,252730.55,151402.08,-829174.09,-786508.73,-618047.42,0,741125.63,720252.56,451911.99,192767.60,192133.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,4558987.39,278567.90,722329.70,-2018797.80,-625082.83,-1551344.40,-100177.25,-17015994.40,-2031274.26,-575976.91,-66781.97,7099964.03,1927830.21,-309392.31,-913427.96,610014.78,-1172802.05,706438.76,526784.53,3300467.52,841054.03,1230560.49,802081.76,45158.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419717.13,4000.08,4000.08,4000.08,4000.08,0,0,0,12233260.18,219340.49,-638545.16,159631.62,1117893.46,71778.48,71778.48,4000.77,252215.28,170085.03,0,0,-72598.69,-185321.44,-55433.45,126.69,-208133.42,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,3280664.85,-1260703.83,170431.13,-1866163.55,-672261.83,0,0,0,-1868250.59,-616317.97,0,6980987.01,1809126.76,-408713.96,-882347.70,-1159524.10,-1484075.94,391583.34,0,2241743.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12076628.56,59708.87,434296.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,338481756.42,233635555.38,46915330.65,354272909.86,411825048.79,236350699.15,98162149.45,426433763.77,504541465.58,185973089.62,46302978.63,-102735731.40,-74379101.52,-23146295.66,-14892249.98,35055254.04,31153440.94,26295279.29,18935850.90,231879625.54,45591048.30,18435575.60,9199450.39,170785316.59,108873281.39,30560587.95,10716981.31,180260936.74,-80716926.97,-61373242.74,-43383557.13,-186300779.35,-44102857.06,-29692668.60,-15405504.72,-94260318.10,-37588579.77,-24575356.41,-14066103.20,8954509.46,17059012.62,8757923.73,562742.46,25541310.96,36133551.67,18532314.44,4852395.07,39702524.83,31696978.47,10346916.81,4509943.43,47812194.18,39022618.71,24333199.45,6117527.39,51952342.57,30523766.71,21413867.11,9314370.06,47196246.20,25588730.79,15465680.01,4428250.42,33626240.89,24572231.65,13967153.19,4098325.59,31132721.67,23143810.95,13064983.09,21744766.40,10927434.76,0.0
16,加:营业外收入,1212578.23,456556.53,273912.87,3822208.56,4907731.43,3745278.12,1923978.16,6046840.90,3723819.62,1354004.09,2241084.88,63149362.56,6861646.79,3656341.23,1480261.01,3219174.44,1891984.82,882478.77,351162.62,1369164.95,1156197.86,933989.63,247035.98,3893022.05,1768353.01,964600.00,1355115.00,415958.89,986090.73,984094.48,129838.01,3739191.51,1577090.61,836838.42,3.86,5177381.18,4171949.71,4098379.52,45830.79,1331947.64,4550285.61,4172730.97,4032728.95,5079594.44,95922.19,63165.40,165.40,9736480.53,8705374.28,8104583.47,0.05,599635.23,399626.03,399626.03,8032.21,2121.87,102034.11,102001.01,2001.00,63319.91,43319.80,40952.06,2770.00,126446.73,16446.71,0.05,0,3580.66,3580.01,3580.01,50000.20,76329.54,0.0
17,减：营业外支出,5288352.89,3400443.32,1000248.31,4168011.71,2212419.70,759929.44,771255.12,8326103.25,5613613.42,3549708.68,3328545.51,285186.69,130412.96,86138.46,73.29,1427149.51,764333.72,645740.31,38194.25,2612968.53,1475421.75,1223096.88,800000.00,907248.61,312316.33,206452.91,28.95,600636.83,63468937.03,63318944.06,63234543.22,883018.25,192710.01,109240.87,9856.61,697190.94,634953.89,209351.73,62882.00,1049773.24,379610.19,287119.41,248583.93,1013164.32,245606.21,121257.15,30613.77,225191.13,155535.28,69709.48,16036.27,377444.33,224584.34,175099.10,59903.61,355675.95,150295.35,62045.07,17664.66,154299.68,65907.43,33995.83,12999.93,635838.87,408621.73,352749.38,12682.02,168517.73,116852.83,61559.29,200671.25,63392.28,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,849314.28,326662.84,0,145380.95,127740.75,83580.90,0,757859.16,500185.31,381591.90,0,781997.56,637979.71,385669.35,0,30300.59,0,0,0,711.67,0,0,0,36762.09,0,0,0,0,0,0,0,206915.28,0,0,0,551966.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
