,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950930,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11464291874.05,6638763539.14,2876015754.12,14128388894.67,9965963331.44,6422911985.32,2797269806.73,17654682882.78,8283594410.82,5152675707.29,1928732898.69,11010730487.13,8115253514.50,5015348640.49,2005630445.97,11011668975.75,8763889314.27,5262759533.91,2210785879.56,14455361045.43,11475803598.91,6712150436.95,2673706598.04,13448224175.37,10296439297.64,6222669692.10,2103821519.52,11625269609.43,8284558261.35,4889161412.28,2303338338.61,11699819780.52,9549997587.15,5178171019.08,1832848919.63,8136373355.51,6683925992.99,3736171232.36,1487761847.92,6121093221.74,5225764939.77,3381994107.17,1087329072.47,4506707016.81,4078784158.11,2478875907.32,862669412.67,4059075021.80,3138545035.62,1773948344.12,664371018.00,2955905433.14,2210228505.17,1312801272.13,565786060.37,2160632580.14,1695294997.29,1031643243.24,487442744.07,2021469896.39,1649647432.22,1017049697.44,410512093.73,1589254347.01,1195363117.12,678609583.91,338512015.18,1487781511.85,1033721245.47,655802247.21,332913662.36,1095439983.45,446097669.05,1049503470.43,459601548.33,829208616.04,360531078.35,753525715.70,293715513.60,563863257.76,144642658.03,173932574.50,124203144.47,145746644.64,103902617.75,135629294.23,0.0
2,营业收入,11464291874.05,6638763539.14,2876015754.12,14128388894.67,9965963331.44,6422911985.32,2797269806.73,17654682882.78,8283594410.82,5152675707.29,1928732898.69,11010730487.13,8115253514.50,5015348640.49,2005630445.97,11011668975.75,8763889314.27,5262759533.91,2210785879.56,14455361045.43,11475803598.91,6712150436.95,2673706598.04,13448224175.37,10296439297.64,6222669692.10,2103821519.52,11625269609.43,8284558261.35,4889161412.28,2303338338.61,11699819780.52,9549997587.15,5178171019.08,1832848919.63,8136373355.51,6683925992.99,3736171232.36,1487761847.92,6121093221.74,5225764939.77,3381994107.17,1087329072.47,4506707016.81,4078784158.11,2478875907.32,862669412.67,4059075021.80,3138545035.62,1773948344.12,664371018.00,2914753730.22,2183379188.59,1296511720.78,559676969.76,2118133147.06,1663439802.14,1009812482.32,480951281.91,2003101193.83,1641342514.32,1012650521.77,409220777.98,1580768971.72,1191869660.16,675240552.88,337516568.85,1482065519.29,1029571273.30,652860675.89,331944811.21,1087410062.24,443906495.97,1044837530.51,455706209.65,824356975.67,358141937.35,746137905.86,291930340.13,558045031.28,141938494.34,170131932.34,122667876.58,170131932.34,100610109.23,134589294.23,0.0
3,二、营业总成本,11617261515.27,6734086324.28,3192690458.65,14557406027.40,10182429470.10,6581285307.68,3036505005.54,15345318827.66,8500783423.58,5332987526.12,2328362153.54,11916122218.89,8659346137.11,5337299719.63,2427727608.24,12981550785.02,9838491720.07,6081269650.48,2677262034.25,15062723461.58,11441195762.53,6668709714.51,2707727746.86,13693602829.82,10137952094.57,6063962117.22,2155678614.79,11798660569.24,7867906428.14,4577471992.64,2116242107.36,10416867248.54,8301659276.57,4740997096.94,1722830117.58,7841968656.83,6242787307.56,3484973780.56,1442725398.75,5610293370.23,4735752178.82,3178317624.95,1096000886.27,4371216086.42,3951947496.76,2412944715.36,835664371.95,3929336018.89,2994071850.90,1477184232.39,653321501.39,2985444153.64,2202572013.09,1335872727.89,560151469.20,2195379000.80,1641342994.14,1019111714.78,484940404.73,1965296181.64,1539289748.03,979759802.96,404111648.49,1529896696.99,1094153188.15,628675872.19,324029537.71,1307047017.82,909956682.63,575813849.51,302883305.70,963506624.33,402276056.97,901972527.43,404535478.38,682691527.04,265835466.28,595554504.93,232262226.59,459280450.43,0,130875843.94,0,130875843.94,72143051.11,98930132.27,0.0
4,营业成本,7990790001.52,4434317306.82,2132220205.98,10053409457.95,7016447860.44,4540224627.63,2041131899.10,10147928359.54,5840799564.64,3731740368.85,1418885744.07,8237477231.27,6117073602.28,3832131526.44,1570559069.18,8757311777.32,6834103065.98,4087678770.96,1733671666.74,11084281037.05,8474407869.52,4819178954.61,1894795762.49,10283001173.01,7303760257.43,4380681679.25,1483634304.99,8606745301.51,5711078163.66,3250548021.39,1586323771.40,7935950184.07,6422802239.95,3750533939.09,1340005761.99,6000606788.88,5023292412.60,2743621973.36,1102389854.21,4348159836.04,3832469066.25,2646402491.78,817606330.08,3365712977.82,3149139462.57,1906498616.60,648384126.58,3042756892.11,2343657218.10,1311446180.22,490540059.85,2287848228.18,1682914896.35,1000358563.03,417418004.81,1654143431.00,1231154255.93,751100312.97,361206413.91,1374512673.35,1139352038.62,724142453.12,299789500.00,1124848621.54,829959448.94,454525949.65,248450266.84,967764058.48,651791648.02,403169517.79,231277750.66,640109824.79,262128906.41,656471347.24,294805382.48,549115769.12,229988959.93,426599889.22,162316425.68,356818213.40,0,95890387.33,0,95890387.33,50613365.06,79780747.46,0.0
5,营业税金及附加,205396017.71,129911585.78,54243850.47,305548815.19,210796180.26,131528019.12,65194139.47,321344251.83,171087672.66,99986154.34,40084999.90,294522530.35,168501897.73,112445443.46,53708474.62,297384744.17,215487066.86,128914487.49,51311496.12,338709218.33,246788646.43,150828675.25,108518189.83,267298466.23,236648714.33,140380969.03,78533719.36,280644022.51,177330222.61,112673601.07,80054520.12,218006477.91,196925793.45,94747907.25,47518949.27,207573432.98,145042599.12,81920112.10,42102610.78,133179835.07,104552685.88,55354588.21,16566042.23,95633875.45,67626434.06,43009223.55,12385509.12,87563708.44,56752015.59,24170145.11,8427516.25,60142113.90,56494780.95,23493801.98,7604550.49,41646920.13,31776607.54,20252593.08,7733415.83,48470405.72,34363194.19,21597947.84,9074176.08,46953276.69,28113892.52,19459076.78,7779617.01,49244520.18,34804761.91,24820918.48,10115491.39,34048292.84,11009416.71,28881738.70,9598941.88,-27743057.10,-37925861.05,17493215.87,10164533.72,13373032.39,0,7004758.97,0,7004758.97,4249577.13,6181160.67,0.0
6,销售费用,989801621.29,618807984.58,296076806.96,1220285871.08,873818399.71,562605209.00,264020998.36,1181250530.03,825882403.50,509187681.12,228643093.75,1051864084.34,752541970.64,452880091.20,192475916.05,989925051.99,756346161.64,451545674.57,205467317.94,863536057.39,768773609.54,410135656.46,166320367.34,783322089.50,598999142.88,346912725.90,145956514.64,718507404.99,507713614.21,348424791.29,122373141.33,613190962.01,452867894.34,258001898.92,98710939.49,467213526.18,335020411.33,196498380.42,77539870.64,363411575.82,270061759.89,158144776.97,60671291.24,298389432.25,257503322.15,163872536.65,52803363.90,222732129.76,200722825.37,125487264.36,44678054.42,162855764.32,157629981.88,94919920.00,41027837.61,136730063.74,127506035.96,79821762.34,38707853.69,172116435.83,125920005.17,78793344.91,31571011.54,116779296.73,97716442.15,59225843.92,27657347.04,107990348.00,85494850.61,56192594.50,29895722.76,106872235.47,48934448.57,90917929.18,41655804.71,52487193.39,28786594.19,57206568.89,23916050.79,63109429.73,0,4951228.66,0,4951228.66,3505176.00,2630582.80,0.0
7,管理费用,848962465.68,498108697.95,266616644.16,1116512504.27,794664608.98,535848673.93,258804178.12,1276495785.33,789165570.25,491375430.08,342125011.57,1220871583.80,817318921.81,480278260.58,317015927.91,1181347480.65,1005362172.40,634840191.00,332074773.97,1226842618.76,967887019.32,568793357.18,279363724.76,1241132375.05,943212947.90,506805209.82,239224975.15,1109642210.74,698896579.27,418608165.61,162216182.79,845890378.55,568185442.68,330366628.38,137016769.52,666796614.95,390127636.53,244739700.81,114833600.26,473185812.32,310633832.39,183659304.13,80565326.64,355061334.01,233641661.57,138661496.93,61780436.48,265775932.77,194518882.48,139864491.11,55369490.29,277418724.02,167166250.47,119929346.18,48815729.01,218248782.82,140451987.09,94078337.04,39510959.69,238388578.53,137326473.62,86112593.91,34646664.75,167021008.12,90753650.07,63088045.07,25891085.89,123702186.47,93250977.26,64008942.50,28254806.81,125935587.26,53021582.96,102709317.21,51878823.64,79372021.22,34077161.28,61108130.37,26321960.59,56524415.07,0,15213811.15,0,15213811.15,9451717.13,8183789.37,0.0
8,财务费用,1524009949.90,1044456315.68,440090817.61,1697827187.28,1311833005.98,848552903.45,407353790.49,1756794672.01,860646680.04,487496359.24,298623304.25,1181640719.85,877406907.38,533061560.68,293968220.48,1318595434.77,1011465675.89,762562949.16,354736779.48,1434293452.30,957191636.37,693626089.66,258729702.44,1038279608.00,1005867448.73,639717949.92,208329100.65,983661879.99,756949529.02,422659657.66,165274491.72,767363853.42,647099156.48,296072496.43,99577697.31,460491324.86,336555012.76,205444378.65,105859462.86,272965181.31,201032489.43,123244118.88,120591896.08,293935273.07,235312733.14,152178958.36,57033924.11,300189600.68,192682618.89,147284405.85,54306380.58,197179323.22,138366103.44,97171096.70,45285347.28,144609803.11,110454107.62,73858709.35,37781761.61,131808088.21,102328036.43,69113463.18,29030296.12,74294493.91,47609754.47,32376956.77,14251220.93,58345904.69,44614444.83,27621876.24,3339534.08,56540683.97,27181702.32,21942313.84,6596525.67,29459600.41,10908611.93,33146700.58,9543255.81,-30544640.16,0,7815657.83,0,7815657.83,4323215.79,2153851.97,0.0
